,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,2240600000.0,1672200000.0,568400100.0,90400000.0,419100100.0,344600000.0,0.0,882100100.0,419100100.0,425700000.0,3322700000.0,873600000.0,1569400000.0,6342000000.0,10980100000.0,17322100000.0,62200000.0,1536600000.0,1010400000.0,2641900000.0,4178500000.0,13143600000.0,463000000.0,1032800000.0,-1240400000.0,-1230000000.0,-320000000.0,-301000000.0,58.54
2013-03-31,2312400000.0,1670600000.0,641799900.0,91900000.0,491099900.0,379800000.0,0.81,954099900.0,491099900.0,425700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164800000.0,579400000.0,-367500000.0,-378500000.0,-106400000.0,-84800000.0,59.61
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107599900.0,0.0,0.0,3697100000.0,1015700000.0,1557300000.0,6880500000.0,11205500000.0,18086000000.0,69600000.0,1764900000.0,1009600000.0,2878200000.0,4643100000.0,13442900000.0,0.0,0.0,0.0,0.0,320000000.0,0.0,60.82
2013-06-30,2618700000.0,1953400000.0,665299900.0,116100000.0,525700000.0,429800000.0,1.1400000000000001,402100000.0,525700000.0,425800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123600000.0,528900000.0,498900000.0,470100000.0,106800000.0,63900000.0,53.81
2013-09-30,1908700000.0,1521800000.0,386899900.0,94400000.0,144099900.0,124400000.0,0.29,320099800.0,144099900.0,425900000.0,3338600000.0,478700000.0,1495000000.0,6291300000.0,11365300000.0,17656600000.0,15300000.0,1302300000.0,1011500000.0,2803200000.0,4105500000.0,13551100000.0,176000000.0,-45000000.0,-332500000.0,-465700000.0,-320000000.0,-89500000.0,43.02
2013-12-31,2181500000.0,1860000000.0,321500000.0,91200000.0,179000000.0,125300000.0,0.30000000000000004,301700000.0,179000000.0,414200000.0,5293100000.0,543100000.0,1432900000.0,8105800000.0,11448200000.0,19554000000.0,23000000.0,3265900000.0,3008900000.0,4967500000.0,8233400000.0,11320600000.0,-107600000.0,-604400000.0,274000000.0,268400000.0,106500000.0,2009000000.0,47.27
2014-03-31,1986200000.0,1574600000.0,411600000.0,120000000.0,266600000.0,217500000.0,0.54,451400000.0,266600000.0,378200000.0,2490700000.0,597400000.0,1606600000.0,5355400000.0,12756900000.0,18112300000.0,41700000.0,2163300000.0,3009100000.0,5097900000.0,7261200000.0,10851100000.0,184800000.0,627000000.0,-274900000.0,-1634300000.0,-99700000.0,-1770300000.0,50.0
2014-06-30,2440200000.0,1919100000.0,521100000.0,87500000.0,403200000.0,248400000.0,0.65,643800000.0,403200000.0,374200000.0,2367000000.0,604200000.0,1579600000.0,5188400000.0,13105100000.0,18293500000.0,13300000.0,1922300000.0,3012900000.0,5106600000.0,7028900000.0,11264600000.0,240600000.0,796300000.0,-214000000.0,-360300000.0,-95100000.0,-574500000.0,49.45
2014-09-30,2250700000.0,1836000000.0,414700000.0,83900000.0,277299900.0,201900000.0,0.54,479599900.0,277299900.0,374000000.0,2970600000.0,573900000.0,1471500000.0,5658500000.0,12797000000.0,18455500000.0,41400000.0,1549600000.0,3774200000.0,5943400000.0,7493000000.0,10962500000.0,202300000.0,356500000.0,-188400000.0,-158100000.0,-93800000.0,455400000.0,44.41
2014-12-31,2378699000.0,1799500000.0,579199300.0,91000000.0,364699300.0,360799900.0,0.97,578999300.0,364700000.0,374100000.0,2374600000.0,754400000.0,1718300000.0,5215500000.0,13067500000.0,18283000000.0,54500000.0,1596700000.0,3778000000.0,5965700000.0,7562400000.0,10720600000.0,214300000.0,342300000.0,-251800000.0,-586400000.0,-93900000.0,-279000000.0,45.65
2015-03-31,2139100000.0,1719900000.0,419200100.0,100400000.0,318500000.0,294800000.0,0.81,509100000.0,318500000.0,366000000.0,2517400000.0,661400000.0,1523000000.0,5251600000.0,12380300000.0,17631900000.0,51400000.0,1620700000.0,3775200000.0,5804500000.0,7425200000.0,10206700000.0,190600000.0,728900000.0,-229500000.0,-182900000.0,-91400000.0,-300400000.0,46.06
2015-06-30,2487500000.0,1879600000.0,607900000.0,89300000.0,510000000.0,390600000.0,1.08,708800000.0,510000000.0,361300000.0,2209900000.0,626600000.0,1612200000.0,5100100000.0,12676800000.0,17776900000.0,84100000.0,1883000000.0,3761800000.0,5742100000.0,7625100000.0,10151800000.0,198800000.0,603300000.0,-227400000.0,-343400000.0,-98100000.0,-597400000.0,46.85
2015-09-30,2105500000.0,1770200000.0,335300000.0,76600000.0,246000100.0,160000000.0,0.45,435100100.0,246000100.0,354300000.0,1284900000.0,675100000.0,1549500000.0,4263000000.0,12854900000.0,17117900000.0,60200000.0,1871500000.0,3738100000.0,5619400000.0,7490900000.0,9627000000.0,189100000.0,188500000.0,-245300000.0,-822600000.0,-98300000.0,-131000000.0,31.11
2015-12-31,2163200000.0,1807700000.0,355499600.0,94900000.0,204299800.0,155000000.0,0.44,397999800.0,204299700.0,358500000.0,1276300000.0,675000000.0,1563500000.0,4143400000.0,13246100000.0,17389500000.0,67200000.0,2047000000.0,3769500000.0,5777500000.0,7824500000.0,9565000000.0,193700000.0,517600000.0,-292500000.0,230500000.0,-96900000.0,135400000.0,27.59
2016-03-31,1674000000.0,1437300000.0,236700000.0,89800000.0,163399900.0,256800000.0,0.73,356499900.0,163399900.0,351300000.0,1057700000.0,677200000.0,1566000000.0,3957100000.0,13670000000.0,17627100000.0,83800000.0,1814300000.0,3774000000.0,5781800000.0,7596100000.0,10031000000.0,193100000.0,265900000.0,-235600000.0,-273800000.0,-96200000.0,-280000000.0,27.0
2016-06-30,1674600000.0,1520600000.0,154000000.0,72900000.0,12299900.0,-10200000.0,-0.03,211999900.0,12299900.0,349800000.0,1059300000.0,399600000.0,1702100000.0,3792500000.0,13892300000.0,17684800000.0,96300000.0,1902700000.0,3772600000.0,5787900000.0,7690600000.0,9994200000.0,199700000.0,583500000.0,-201700000.0,-350800000.0,-96200000.0,-242500000.0,26.18
2016-09-30,1952200000.0,1738900000.0,213299900.0,66900000.0,69700000.0,39200000.0,0.11,252600000.0,69700000.0,350100000.0,653500000.0,512400000.0,1500100000.0,3449200000.0,13814000000.0,17263200000.0,426400000.0,1939400000.0,3450300000.0,5449500000.0,7388900000.0,9874300000.0,182900000.0,88300000.0,-196400000.0,-975300000.0,-96400000.0,-111600000.0,24.46
2016-12-31,1862000000.0,1656000000.0,205999800.0,74600000.0,73599900.0,12000000.0,0.03,249499900.0,73600200.0,350400000.0,673100000.0,627800000.0,1391100000.0,3057700000.0,13783000000.0,16840700000.0,38900000.0,1476800000.0,3779300000.0,5741400000.0,7218200000.0,9622500000.0,175900000.0,322500000.0,-208500000.0,-266100000.0,-96300000.0,-254500000.0,29.33
2017-03-31,1578100000.0,1448500000.0,129600000.0,80900000.0,30100000.0,-900000.0,0.0,195400000.0,30100000.0,350500000.0,675300000.0,577800000.0,1533700000.0,3216200000.0,13880200000.0,17096400000.0,165000000.0,1633400000.0,3786600000.0,5802500000.0,7435900000.0,9660500000.0,165300000.0,146000000.0,-223800000.0,-245600000.0,-96400000.0,102200000.0,29.18
2017-06-30,1754600000.0,1562300000.0,192299900.0,71200000.0,94600000.0,97300000.0,0.28,267100000.0,94600000.0,351000000.0,660600000.0,548000000.0,1683500000.0,3337200000.0,14107200000.0,17444400000.0,107800000.0,1872000000.0,3799700000.0,5777800000.0,7649800000.0,9794600000.0,172500000.0,242800000.0,-168500000.0,-177000000.0,-52700000.0,-85300000.0,22.83
2017-09-30,1984800000.0,1744000000.0,240800000.0,66100000.0,213900000.0,227500000.0,0.65,389200000.0,213900000.0,351100000.0,685700000.0,592300000.0,1666200000.0,3375500000.0,14427600000.0,17803100000.0,192800000.0,1897800000.0,3722300000.0,5749800000.0,7647600000.0,10155500000.0,175300000.0,135500000.0,-128500000.0,-220700000.0,-52700000.0,94300000.0,21.59
2017-12-31,2091899000.0,1811800000.0,280099400.0,83100000.0,127099600.0,-431100000.0,-1.23,305199600.0,127100200.0,350900000.0,2153500000.0,642600000.0,1547200000.0,4616500000.0,14016900000.0,18633400000.0,349600000.0,2031100000.0,4878100000.0,6963200000.0,8994300000.0,9639100000.0,178100000.0,411200000.0,1400000.0,-24500000.0,-8800000.0,1089600000.0,25.66
2018-03-31,1933700000.0,1691600000.0,242100000.0,93600000.0,80700000.0,42300000.0,0.11,280200000.0,80700000.0,382600000.0,659400000.0,708400000.0,2059000000.0,3841400000.0,16610900000.0,20452300000.0,322600000.0,2220500000.0,4823100000.0,7552100000.0,9772600000.0,10679700000.0,199500000.0,-71000000.0,-223300000.0,-1220400000.0,-9600000.0,-213300000.0,24.28
2018-06-30,2205000000.0,1910400000.0,294600000.0,79300000.0,196299900.0,67900000.0,0.18,409699900.0,196299900.0,385400000.0,1035300000.0,624900000.0,2168300000.0,4170400000.0,16227600000.0,20398000000.0,281400000.0,2594900000.0,4736500000.0,7387400000.0,9982300000.0,10415700000.0,213400000.0,807000000.0,-201100000.0,-196700000.0,-9600000.0,-169900000.0,28.05
2018-09-30,2928100000.0,2432600000.0,495500000.0,78500000.0,393300000.0,247500000.0,0.64,619000000.0,393300000.0,385500000.0,1029900000.0,834900000.0,1957100000.0,4178000000.0,16236700000.0,20414700000.0,86900000.0,2502400000.0,4523100000.0,7259000000.0,9761400000.0,10653300000.0,225700000.0,523800000.0,-231700000.0,-243800000.0,-9700000.0,-296400000.0,32.48
2018-12-31,2520500000.0,2054300000.0,466200000.0,89700000.0,257999800.0,112300000.0,0.29,502099800.0,257999900.0,384800000.0,847700000.0,838500000.0,2270200000.0,4237000000.0,15882200000.0,20119200000.0,37500000.0,2483700000.0,4491500000.0,7030800000.0,9514500000.0,10604700000.0,244100000.0,150000000.0,-285800000.0,-283800000.0,-9600000.0,-45200000.0,29.21
2019-03-31,1899700000.0,1590200000.0,309500000.0,93500000.0,202100000.0,130800000.0,0.34,435500000.0,202100000.0,385500000.0,384600000.0,792000000.0,2572100000.0,4146300000.0,16299000000.0,20445300000.0,208300000.0,2397200000.0,4533000000.0,7240600000.0,9637800000.0,10807500000.0,233400000.0,-175500000.0,-313900000.0,-328900000.0,-9600000.0,22300000.0,27.31
