,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,20489000000.0,4787000000.0,15702000000.0,5450000000.0,7612000000.0,6055000000.0,0.72,8665000000.0,7612000000.0,8364000000.0,74483000000.0,11991000000.0,2133000000.0,93524000000.0,40581000000.0,134105000000.0,2246000000.0,31929000000.0,11949000000.0,25488000000.0,57417000000.0,76688000000.0,1053000000.0,9666000000.0,-930000000.0,-7660000000.0,-1925000000.0,-2744000000.0,28.61
2013-06-30,19896000000.0,5738000000.0,14158000000.0,5302000000.0,6073000000.0,4965000000.0,0.59,7056000000.0,6073000000.0,8375000000.0,77022000000.0,17486000000.0,1938000000.0,101466000000.0,40965000000.0,142431000000.0,2999000000.0,37417000000.0,12601000000.0,26070000000.0,63487000000.0,78944000000.0,983000000.0,5903000000.0,-1794000000.0,-5839000000.0,-1921000000.0,-1469000000.0,34.54
2013-09-30,18529000000.0,5145000000.0,13384000000.0,4283000000.0,6334000000.0,5244000000.0,0.63,7288000000.0,6334000000.0,8339000000.0,80672000000.0,11007000000.0,2613000000.0,99450000000.0,42898000000.0,142348000000.0,3300000000.0,34623000000.0,12632000000.0,26084000000.0,60707000000.0,81641000000.0,954000000.0,8205000000.0,-1231000000.0,-4614000000.0,-1916000000.0,-3396000000.0,33.28
2013-12-31,24519000000.0,8322000000.0,16197000000.0,5480000000.0,7969000000.0,6558000000.0,0.79,9230000000.0,7969000000.0,8326000000.0,83944000000.0,15986000000.0,1594000000.0,106870000000.0,46673000000.0,153543000000.0,2300000000.0,33742000000.0,20676000000.0,34701000000.0,68443000000.0,85100000000.0,1261000000.0,4413000000.0,-1732000000.0,-1025000000.0,-2332000000.0,2615000000.0,37.41
2014-03-31,20403000000.0,5978000000.0,14425000000.0,4708000000.0,6974000000.0,5660000000.0,0.68,8229000000.0,6974000000.0,8284000000.0,88425000000.0,13497000000.0,1920000000.0,109006000000.0,47113000000.0,156119000000.0,2000000000.0,33903000000.0,20679000000.0,34792000000.0,68695000000.0,87424000000.0,1255000000.0,10099000000.0,-1192000000.0,-4284000000.0,-2322000000.0,-4304000000.0,40.99
2014-06-30,23382000000.0,7633000000.0,15749000000.0,6017000000.0,6482000000.0,4612000000.0,0.56,8224000000.0,6482000000.0,8299000000.0,85709000000.0,19544000000.0,2660000000.0,114246000000.0,58138000000.0,172384000000.0,2000000000.0,45625000000.0,20645000000.0,36975000000.0,82600000000.0,89784000000.0,1742000000.0,9785000000.0,-1330000000.0,-8910000000.0,-2309000000.0,-3580000000.0,41.7
2014-09-30,23201000000.0,8273000000.0,14928000000.0,4879000000.0,5844000000.0,4540000000.0,0.55,7272000000.0,5844000000.0,8249000000.0,89193000000.0,12887000000.0,3141000000.0,112439000000.0,57217000000.0,169656000000.0,5248000000.0,44694000000.0,18472000000.0,34792000000.0,79486000000.0,90170000000.0,1428000000.0,8354000000.0,-1282000000.0,-7737000000.0,-2307000000.0,-2978000000.0,46.36
2014-12-31,26470000000.0,10136000000.0,16334000000.0,5412000000.0,7776000000.0,5863000000.0,0.71,9297000000.0,7776000000.0,8228000000.0,90249000000.0,16186000000.0,2053000000.0,116362000000.0,58486000000.0,174848000000.0,10048000000.0,47415000000.0,18260000000.0,35554000000.0,82969000000.0,91879000000.0,1521000000.0,4340000000.0,-1490000000.0,-4716000000.0,-2547000000.0,534000000.0,46.45
2015-03-31,21729000000.0,7161000000.0,14568000000.0,4800000000.0,6594000000.0,4985000000.0,0.61,8109000000.0,6594000000.0,8167000000.0,95438000000.0,12427000000.0,2469000000.0,118398000000.0,58285000000.0,176683000000.0,4224000000.0,40748000000.0,27644000000.0,45803000000.0,86551000000.0,90132000000.0,1515000000.0,10125000000.0,-1391000000.0,-5481000000.0,-2532000000.0,-3620000000.0,40.66
2015-06-30,22180000000.0,7468000000.0,14712000000.0,5233000000.0,-2053000000.0,-3195000000.0,-0.4,6938000000.0,-2053000000.0,8177000000.0,96526000000.0,17908000000.0,2902000000.0,122797000000.0,51675000000.0,174472000000.0,7484000000.0,49647000000.0,27808000000.0,44742000000.0,94389000000.0,80083000000.0,8991000000.0,6849000000.0,-1781000000.0,-5067000000.0,-2496000000.0,-3604000000.0,44.15
