,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1973000000.0,1018000000.0,955000000.0,460000000.0,216000000.0,192000000.0,0.7000000000000001,268000000.0,216000000.0,274500000.0,3718000000.0,1644000000.0,515000000.0,7366000000.0,5231000000.0,12597000000.0,4000000.0,2889000000.0,2450000000.0,6586000000.0,9475000000.0,3122000000.0,52000000.0,-31000000.0,-46000000.0,-144000000.0,-72000000.0,212000000.0,64.03
2013-06-30,1497000000.0,747000000.0,750000000.0,339000000.0,203000000.0,258000000.0,0.96,227000000.0,203000000.0,269500000.0,3216000000.0,1707000000.0,498000000.0,6841000000.0,5319000000.0,12160000000.0,4000000.0,2794000000.0,2452000000.0,6547000000.0,9341000000.0,2819000000.0,24000000.0,-69000000.0,-18000000.0,469000000.0,-71000000.0,-417000000.0,57.73
2013-09-30,1517000000.0,752000000.0,765000000.0,320000000.0,246000000.0,307000000.0,1.17,286000000.0,246000000.0,262200000.0,2890000000.0,1823000000.0,521000000.0,6580000000.0,5478000000.0,12058000000.0,4000000.0,2840000000.0,2458000000.0,6513000000.0,9353000000.0,2705000000.0,40000000.0,75000000.0,-31000000.0,574000000.0,-69000000.0,-407000000.0,59.38
2013-12-31,1240000000.0,601000000.0,639000000.0,211000000.0,282000000.0,342000000.0,1.33,324000000.0,282000000.0,266000000.0,3225000000.0,1369000000.0,347000000.0,7020000000.0,4831000000.0,11851000000.0,4000000.0,3220000000.0,2457000000.0,4942000000.0,8162000000.0,3689000000.0,42000000.0,580000000.0,-8000000.0,1135000000.0,-80000000.0,-230000000.0,67.5
2014-03-31,1228000000.0,651000000.0,577000000.0,307000000.0,107000000.0,127000000.0,0.5,147000000.0,107000000.0,254100000.0,3141000000.0,1727000000.0,576000000.0,6781000000.0,4834000000.0,11615000000.0,4000000.0,3026000000.0,2462000000.0,4842000000.0,7868000000.0,3747000000.0,40000000.0,12000000.0,-17000000.0,-10000000.0,-79000000.0,-88000000.0,64.29
2014-06-30,1393000000.0,737000000.0,656000000.0,308000000.0,138000000.0,824000000.0,3.25,184000000.0,138000000.0,253700000.0,2876000000.0,1185000000.0,330000000.0,7066000000.0,4802000000.0,11868000000.0,4000000.0,2924000000.0,2446000000.0,4775000000.0,7699000000.0,4169000000.0,46000000.0,118000000.0,-41000000.0,-38000000.0,-79000000.0,-350000000.0,66.57
2014-09-30,1436000000.0,751000000.0,685000000.0,287000000.0,207000000.0,147000000.0,0.6000000000000001,252000000.0,207000000.0,246300000.0,2845000000.0,1162000000.0,331000000.0,7168000000.0,5027000000.0,12195000000.0,4000000.0,3024000000.0,3401000000.0,5929000000.0,8953000000.0,3242000000.0,45000000.0,-115000000.0,-42000000.0,-50000000.0,-78000000.0,164000000.0,63.28
2014-12-31,1824000000.0,911000000.0,913000000.0,282000000.0,-1458000000.0,201000000.0,0.87,-1416000000.0,-1458000000.0,245600000.0,3954000000.0,1409000000.0,345000000.0,6879000000.0,3544000000.0,10423000000.0,4000000.0,2250000000.0,3396000000.0,5407000000.0,7657000000.0,2766000000.0,42000000.0,-652000000.0,-48000000.0,3306000000.0,-82000000.0,-1489000000.0,67.08
2015-03-31,1223000000.0,675000000.0,548000000.0,256000000.0,119000000.0,74000000.0,0.34,160000000.0,119000000.0,215300000.0,3353000000.0,1084000000.0,381000000.0,5884000000.0,3541000000.0,9425000000.0,4000000.0,1977000000.0,3392000000.0,5354000000.0,7331000000.0,2094000000.0,41000000.0,156000000.0,-32000000.0,-18000000.0,-75000000.0,-687000000.0,66.67
2015-06-30,1368000000.0,720000000.0,648000000.0,254000000.0,254000000.0,142000000.0,0.68,294000000.0,254000000.0,208000000.0,3112000000.0,1141000000.0,364000000.0,5632000000.0,3528000000.0,9160000000.0,4000000.0,1971000000.0,3393000000.0,5366000000.0,7337000000.0,1823000000.0,40000000.0,150000000.0,-48000000.0,-44000000.0,-73000000.0,-364000000.0,57.34
2015-09-30,1422000000.0,737000000.0,685000000.0,259000000.0,231000000.0,115000000.0,0.58,263000000.0,231000000.0,199200000.0,2200000000.0,1222000000.0,334000000.0,4787000000.0,3299000000.0,8086000000.0,4000000.0,2029000000.0,4386000000.0,6355000000.0,8384000000.0,-298000000.0,32000000.0,301000000.0,-49000000.0,-67000000.0,-70000000.0,-1120000000.0,68.38
2015-12-31,1682000000.0,844000000.0,838000000.0,252000000.0,390000000.0,279000000.0,1.6,427000000.0,390000000.0,199600000.0,1980000000.0,1362000000.0,296000000.0,4619000000.0,3727000000.0,8346000000.0,4000000.0,2193000000.0,4345000000.0,6249000000.0,8442000000.0,-96000000.0,37000000.0,414000000.0,-43000000.0,-399000000.0,-59000000.0,-227000000.0,68.45
2016-03-31,1193000000.0,691000000.0,502000000.0,234000000.0,100000000.0,17000000.0,0.1,162000000.0,100000000.0,174500000.0,1940000000.0,1148000000.0,287000000.0,4001000000.0,5048000000.0,9049000000.0,4000000.0,2032000000.0,5023000000.0,7154000000.0,9186000000.0,-137000000.0,62000000.0,13000000.0,-51000000.0,-623000000.0,-71000000.0,577000000.0,75.7
