,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,8150000000.0,428000000.0,7722000000.0,5613000000.0,1583000000.0,936000000.0,0.5,1943000000.0,1583000000.0,1901205000.0,368328000000.0,92886000000.0,461214000000.0001,340169000000.0,801383000000.0001,0.0,565744000000.0001,165142000000.0,169567000000.0,735311000000.0001,66072000000.0,360000000.0,4495000000.0,-263000000.0,-3139000000.0,-119000000.0,-4162000000.0,21.98
2013-06-30,8515000000.0,456000000.0,8059000000.0,5568000000.0,1796000000.0,803000000.0,0.41000000000000003,2152000000.0,1796000000.0,1907737000.0,368919000000.0,99044000000.0,467963000000.0001,334728000000.0,802691000000.0001,0.0,575479000000.0001,161098000000.0,161098000000.0,736577000000.0001,66114000000.0,356000000.0,13907000000.0,-320000000.0,-3464000000.0,-120000000.0,-6227000000.0,24.43
2013-09-30,7956000000.0,416000000.0,7540000000.0,5343000000.0,1365000000.0,880000000.0,0.46,1733000000.0,1365000000.0,1909351000.0,384372000000.0,95444000000.0,479816000000.0001,352407000000.0,832223000000.0001,0.0,606177000000.0001,157805000000.0,157805000000.0,763982000000.0001,68241000000.0,368000000.0,-1582000000.0,-361000000.0,-7386000000.0,-119000000.0,19198000000.0,26.95
2013-12-31,7872000000.0,411000000.0,7461000000.0,5552000000.0,-186000000.0,36000000.0,0.07,241000000.0,-186000000.0,1905824000.0,367431000000.0,99978000000.0,467409000000.0001,365293000000.0,832702000000.0001,0.0,610097000000.0001,153575000000.0,153575000000.0,763672000000.0001,69030000000.0,427000000.0,18189000000.0,-372000000.0,-10472000000.0,-117000000.0,-6176000000.0,31.36
2014-03-31,8996000000.0,443000000.0,8553000000.0,5691000000.0,2370000000.0,1449000000.0,0.75,2696000000.0,2370000000.0,1924270000.0,375859000000.0,106811000000.0,482670000000.0001,348711000000.0,831381000000.0001,0.0,607739000000.0001,153374000000.0,153374000000.0,761113000000.0001,70268000000.0,326000000.0,4781000000.0,2000000.0,-9818000000.0,-143000000.0,519000000.0,31.17
2014-06-30,8608000000.0,458000000.0,8150000000.0,5665000000.0,1932000000.0,1820000000.0,0.96,2218000000.0,1932000000.0,1928250000.0,361518000000.0,109817000000.0,471335000000.0001,355233000000.0,826568000000.0001,0.0,604884000000.0001,149483000000.0,149483000000.0,754367000000.0001,72201000000.0,286000000.0,1046000000.0,-415000000.0,-14291000000.0,-244000000.0,-1362000000.0,32.33
2014-09-30,8907000000.0,437000000.0,8470000000.0,5642000000.0,2220000000.0,1629000000.0,0.86,2356000000.0,2220000000.0,1922996000.0,356923000000.0,113048000000.0,469971000000.0001,344540000000.0,814511000000.0001,0.0,588143000000.0001,152357000000.0,152357000000.0,740500000000.0001,74011000000.0,136000000.0,1864000000.0,-120000000.0,346000000.0,-265000000.0,13797000000.0,34.57
2014-12-31,7764000000.0,468000000.0,7296000000.0,6669000000.0,-2931000000.0,-1746000000.0,0.48,-2518000000.0,-2931000000.0,1924000000.0,328903000000.0,115538000000.0,444441000000.0,357069000000.0,801510000000.0001,0.0,576634000000.0001,152772000000.0,152772000000.0,729406000000.0001,72104000000.0,413000000.0,-6605000000.0,-459000000.0,-11561000000.0,-252000000.0,10189000000.0,38.8
2015-03-31,9907000000.0,463000000.0,9444000000.0,5917000000.0,2855000000.0,2314000000.0,1.2,3176000000.0,2855000000.0,1924122000.0,344558000000.0,125436000000.0,469994000000.0001,359105000000.0,829099000000.0001,0.0,598088000000.0001,155545000000.0,155545000000.0,753633000000.0001,75466000000.0,321000000.0,-13055000000.0,-320000000.0,-2905000000.0,-310000000.0,9951000000.0,35.69
2015-06-30,9743000000.0,487000000.0,9256000000.0,5971000000.0,2727000000.0,1665000000.0,0.87,3060000000.0,2727000000.0,1919000000.0,346232000000.0,133008000000.0,479240000000.0001,346515000000.0,825755000000.0001,0.0,591599000000.0001,158089000000.0,158089000000.0,749688000000.0001,76067000000.0,333000000.0,4602000000.0,-300000000.0,-4429000000.0,-363000000.0,5753000000.0,38.79
2015-09-30,7767000000.0,485000000.0,7282000000.0,4959000000.0,1474000000.0,939000000.0,0.49,1843000000.0,1474000000.0,1904000000.0,373977000000.0,128279000000.0,502256000000.0001,331857000000.0,834113000000.0001,0.0,597350000000.0001,160343000000.0,160343000000.0,757693000000.0001,76420000000.0,369000000.0,490000000.0,-344000000.0,-64000000.0,-423000000.0,6958000000.0,31.5
2015-12-31,7738000000.0,457000000.0,7281000000.0,5297000000.0,1439000000.0,753000000.0,0.4,1849000000.0,1439000000.0,1909000000.0,284156000000.0,131166000000.0,415322000000.0,372143000000.0,787465000000.0001,0.0,557513000000.0001,153768000000.0,153768000000.0,711281000000.0001,76184000000.0,410000000.0,3500000000.0,-409000000.0,-12597000000.0,-359000000.0,1492000000.0,31.81
