,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,744000000.0,326000000.0,418000000.0,222000000.0,90000000.0,42000000.0,0.0867,117000000.0,90000000.0,497109000.0,892000000.0,317000000.0,0.0,1608000000.0,7580000000.0,9188000000.0,0.0,1114000000.0,1829000000.0,2871000000.0,3985000000.0,5203000000.0,27000000.0,149000000.0,-20000000.0,-14000000.0,-21000000.0,-35000000.0,10.77
2013-06-30,814000000.0,363000000.0,451000000.0,239000000.0,159000000.0,88000000.0,0.1767,187000000.0,159000000.0,499116000.0,631000000.0,362000000.0,0.0,2610000000.0,9343000000.0,11953000000.0,138000000.0,2416000000.0,2647000000.0,3674000000.0,6090000000.0,5863000000.0,28000000.0,106000000.0,-25000000.0,-1128000000.0,-22000000.0,812000000.0,10.93
2013-09-30,805000000.0,299000000.0,506000000.0,271000000.0,202000000.0,113000000.0,0.2267,235000000.0,202000000.0,502014000.0,571000000.0,372000000.0,0.0,3072000000.0,9414000000.0,12486000000.0,45000000.0,2707000000.0,2673000000.0,3723000000.0,6430000000.0,6056000000.0,33000000.0,82000000.0,-35000000.0,-42000000.0,-22000000.0,-121000000.0,10.7
2013-12-31,848000000.0,328000000.0,520000000.0,278000000.0,237000000.0,142000000.0,0.28,271000000.0,237000000.0,500796000.0,671000000.0,393000000.0,0.0,3163000000.0,9414000000.0,12577000000.0,45000000.0,2800000000.0,2589000000.0,3593000000.0,6393000000.0,6184000000.0,34000000.0,237000000.0,-35000000.0,-32000000.0,-22000000.0,-109000000.0,13.27
2014-03-31,898000000.0,369000000.0,529000000.0,282000000.0,184000000.0,103000000.0,0.2033,219000000.0,184000000.0,508788000.0,665000000.0,434000000.0,0.0,3519000000.0,9459000000.0,12978000000.0,430000000.0,3578000000.0,2084000000.0,3160000000.0,6738000000.0,6240000000.0,35000000.0,183000000.0,-31000000.0,-46000000.0,-22000000.0,-153000000.0,12.31
2014-06-30,865000000.0,342000000.0,523000000.0,283000000.0,191000000.0,101000000.0,0.2,225000000.0,191000000.0,508014000.0,556000000.0,395000000.0,0.0,3718000000.0,9398000000.0,13116000000.0,0.0,3424000000.0,2408000000.0,3485000000.0,6909000000.0,6207000000.0,34000000.0,200000000.0,-35000000.0,-48000000.0,-25000000.0,-220000000.0,12.87
2014-09-30,818000000.0,321000000.0,497000000.0,251000000.0,207000000.0,123000000.0,0.24330000000000002,242000000.0,207000000.0,505764000.0,482000000.0,370000000.0,0.0,3557000000.0,9135000000.0,12692000000.0,0.0,3194000000.0,2345000000.0,3380000000.0,6574000000.0,6118000000.0,35000000.0,24000000.0,-27000000.0,-2000000.0,-26000000.0,-42000000.0,14.14
2014-12-31,919000000.0,401000000.0,518000000.0,279000000.0,172000000.0,87000000.0,0.1733,205000000.0,172000000.0,506781000.0,650000000.0,389000000.0,0.0,3400000000.0,8671000000.0,12071000000.0,0.0,2980000000.0,2297000000.0,3297000000.0,6277000000.0,5794000000.0,33000000.0,225000000.0,-47000000.0,-59000000.0,-25000000.0,-45000000.0,15.99
2015-03-31,858000000.0,351000000.0,507000000.0,296000000.0,27000000.0,9000000.0,0.0167,61000000.0,27000000.0,506958000.0,541000000.0,344000000.0,0.0,3688000000.0,8554000000.0,12242000000.0,0.0,3440000000.0,2306000000.0,3257000000.0,6697000000.0,5545000000.0,34000000.0,231000000.0,-24000000.0,-326000000.0,-25000000.0,4000000.0,16.98
2015-06-30,807000000.0,289000000.0,518000000.0,262000000.0,217000000.0,133000000.0,0.26330000000000003,250000000.0,217000000.0,506154000.0,605000000.0,323000000.0,0.0,3446000000.0,8658000000.0,12104000000.0,0.0,3146000000.0,2281000000.0,3242000000.0,6388000000.0,5716000000.0,33000000.0,175000000.0,-35000000.0,-92000000.0,-43000000.0,-92000000.0,16.27
2015-09-30,871000000.0,342000000.0,529000000.0,252000000.0,231000000.0,138000000.0,0.2767,266000000.0,231000000.0,500712000.0,501000000.0,278000000.0,0.0,3160000000.0,8610000000.0,11770000000.0,20000000.0,2852000000.0,2415000000.0,3372000000.0,6224000000.0,5546000000.0,35000000.0,66000000.0,-32000000.0,36000000.0,-40000000.0,-133000000.0,17.78
2015-12-31,867000000.0,331000000.0,536000000.0,240000000.0,245000000.0,148000000.0,0.30000000000000004,281000000.0,245000000.0,501856300.0,558000000.0,316000000.0,0.0,3260000000.0,8601000000.0,11861000000.0,0.0,2920000000.0,2364000000.0,3332000000.0,6252000000.0,5609000000.0,36000000.0,255000000.0,-42000000.0,-53000000.0,-41000000.0,-179000000.0,19.39
2016-03-31,905000000.0,371000000.0,534000000.0,259000000.0,219000000.0,132000000.0,0.2667,257000000.0,219000000.0,492846000.0,611000000.0,333000000.0,0.0,4722000000.0,8995000000.0,13717000000.0,0.0,4429000000.0,2565000000.0,3591000000.0,8020000000.0,5697000000.0,38000000.0,255000000.0,-23000000.0,-294000000.0,-41000000.0,28000000.0,22.13
2016-06-30,897000000.0,338000000.0,559000000.0,276000000.0,174000000.0,70000000.0,0.14,215000000.0,174000000.0,495057000.0,621000000.0,399000000.0,0.0,4596000000.0,10503000000.0,15099000000.0,0.0,4308000000.0,3731000000.0,5074000000.0,9382000000.0,5717000000.0,41000000.0,174000000.0,-28000000.0,-1279000000.0,-53000000.0,1124000000.0,21.56
2016-09-30,929000000.0,344000000.0,585000000.0,294000000.0,233000000.0,131000000.0,0.26330000000000003,279000000.0,233000000.0,496818000.0,514000000.0,349000000.0,0.0,4346000000.0,10462000000.0,14808000000.0,20000000.0,4054000000.0,3689000000.0,5000000000.0,9054000000.0,5754000000.0,46000000.0,63000000.0,-34000000.0,-18000000.0,-53000000.0,-135000000.0,22.51
2016-12-31,973000000.0,375000000.0,598000000.0,324000000.0,210000000.0,-227000000.0,-0.45,255000000.0,210000000.0,495546000.0,663000000.0,429000000.0,0.0,4560000000.0,9590000000.0,14150000000.0,0.0,4082000000.0,3603000000.0,4638000000.0,8720000000.0,5430000000.0,45000000.0,284000000.0,-49000000.0,-66000000.0,-53000000.0,-69000000.0,22.37
2017-03-31,969000000.0,388000000.0,581000000.0,284000000.0,246000000.0,168000000.0,0.34,291000000.0,246000000.0,499419000.0,684000000.0,467000000.0,0.0,4947000000.0,9543000000.0,14490000000.0,379000000.0,4886000000.0,3242000000.0,4252000000.0,9138000000.0,5352000000.0,45000000.0,244000000.0,-36000000.0,-8000000.0,-53000000.0,-192000000.0,23.15
2017-06-30,994000000.0,398000000.0,596000000.0,296000000.0,242000000.0,146000000.0,0.2967,289000000.0,242000000.0,496248000.0,674000000.0,392000000.0,0.0,4921000000.0,9739000000.0,14660000000.0,0.0,4987000000.0,3058000000.0,4097000000.0,9084000000.0,5576000000.0,47000000.0,270000000.0,-28000000.0,-96000000.0,-63000000.0,-272000000.0,23.83
2017-09-30,965000000.0,362000000.0,603000000.0,291000000.0,262000000.0,170000000.0,0.3433,310000000.0,262000000.0,500085000.0,758000000.0,320000000.0,0.0,5446000000.0,9626000000.0,15072000000.0,0.0,4723000000.0,3589000000.0,4614000000.0,9337000000.0,5735000000.0,48000000.0,95000000.0,-38000000.0,31000000.0,-64000000.0,46000000.0,25.86
2017-12-31,1020000000.0,389000000.0,631000000.0,317000000.0,241000000.0,245000000.0,0.49,289000000.0,241000000.0,499092000.0,634000000.0,356000000.0,0.0,5510000000.0,9844000000.0,15354000000.0,0.0,5234000000.0,3727000000.0,4240000000.0,9474000000.0,5880000000.0,48000000.0,300000000.0,-42000000.0,-817000000.0,-63000000.0,365000000.0,25.61
2018-03-31,1151000000.0,485000000.0,666000000.0,330000000.0,273000000.0,177000000.0,0.3533,326000000.0,273000000.0,500766000.0,653000000.0,486000000.0,0.0,5638000000.0,10152000000.0,15790000000.0,0.0,6036000000.0,3155000000.0,4029000000.0,10065000000.0,5725000000.0,53000000.0,375000000.0,-16000000.0,-8000000.0,-63000000.0,-337000000.0,28.74
2018-06-30,1027000000.0,412000000.0,615000000.0,303000000.0,269000000.0,162000000.0,0.3267,322000000.0,269000000.0,497244000.0,669000000.0,405000000.0,0.0,5727000000.0,9414000000.0,15141000000.0,0.0,6148000000.0,3079000000.0,3451000000.0,9599000000.0,5542000000.0,53000000.0,279000000.0,-29000000.0,159000000.0,-72000000.0,-498000000.0,30.42
2018-09-30,964000000.0,364000000.0,600000000.0,295000000.0,246000000.0,163000000.0,0.33,299000000.0,246000000.0,492681000.0,578000000.0,356000000.0,0.0,5457000000.0,9398000000.0,14855000000.0,0.0,5799000000.0,3072000000.0,3454000000.0,9253000000.0,5602000000.0,53000000.0,14000000.0,-27000000.0,76000000.0,-73000000.0,-71000000.0,28.6
2018-12-31,1135000000.0,490000000.0,645000000.0,339000000.0,240000000.0,-44000000.0,-0.09,291000000.0,240000000.0,496047000.0,854000000.0,384000000.0,268000000.0,6370000000.0,9330000000.0,15700000000.0,0.0,6570000000.0,2956000000.0,3681000000.0,10251000000.0,5449000000.0,51000000.0,360000000.0,-39000000.0,-31000000.0,-72000000.0,-121000000.0,27.19
2019-03-31,1039000000.0,405000000.0,634000000.0,302000000.0,275000000.0,247000000.0,0.49670000000000003,323000000.0,275000000.0,496032000.0,759000000.0,447000000.0,0.0,4736000000.0,9389000000.0,14503000000.0,0.0,5641000000.0,2328000000.0,3368000000.0,9009000000.0,5494000000.0,48000000.0,337000000.0,-20000000.0,-74000000.0,-73000000.0,-302000000.0,29.16
2019-06-30,1061000000.0,438000000.0,623000000.0,314000000.0,256000000.0,174000000.0,0.35000000000000003,304000000.0,256000000.0,496788000.0,622000000.0,415000000.0,0.0,4363000000.0,9404000000.0,14132000000.0,0.0,4531000000.0,3022000000.0,4050000000.0,8581000000.0,5551000000.0,48000000.0,186000000.0,-43000000.0,-89000000.0,-77000000.0,-271000000.0,32.06
2019-09-30,1096000000.0,464000000.0,632000000.0,319000000.0,226000000.0,150000000.0,0.3033,273000000.0,226000000.0,492996000.0,333000000.0,399000000.0,201000000.0,3499000000.0,9135000000.0,12980000000.0,0.0,3692000000.0,2939000000.0,3961000000.0,7653000000.0,5327000000.0,47000000.0,101000000.0,-25000000.0,32000000.0,-78000000.0,-156000000.0,33.12
2019-12-31,1062000000.0,416000000.0,646000000.0,324000000.0,260000000.0,203000000.0,0.41000000000000003,307000000.0,260000000.0,494796000.0,653000000.0,422000000.0,0.0,4290000000.0,9288000000.0,13924000000.0,452000000.0,4227000000.0,2996000000.0,4058000000.0,8285000000.0,5639000000.0,47000000.0,339000000.0,-39000000.0,-283000000.0,-77000000.0,-1743000000.0,35.7
2020-03-31,1353000000.0,652000000.0,701000000.0,359000000.0,275000000.0,203000000.0,0.41000000000000003,323000000.0,275000000.0,494592000.0,1298000000.0,568000000.0,0.0,5270000000.0,9204000000.0,14798000000.0,1204000000.0,5450000000.0,2962000000.0,3950000000.0,9400000000.0,5398000000.0,48000000.0,380000000.0,-26000000.0,-154000000.0,-78000000.0,468000000.0,31.65
2020-06-30,1398000000.0,699000000.0,699000000.0,317000000.0,315000000.0,241000000.0,0.49,365000000.0,315000000.0,492297000.0,947000000.0,523000000.0,0.0,4716000000.0,9438000000.0,14559000000.0,37000000.0,4249000000.0,3482000000.0,4553000000.0,8802000000.0,5757000000.0,50000000.0,441000000.0,-42000000.0,9000000.0,-80000000.0,-762000000.0,39.82
2020-09-30,1413000000.0,698000000.0,715000000.0,326000000.0,326000000.0,264000000.0,0.5367000000000001,377000000.0,326000000.0,492513000.0,794000000.0,504000000.0,0.0,4810000000.0,9634000000.0,14831000000.0,19000000.0,4161000000.0,3571000000.0,4656000000.0,8817000000.0,6014000000.0,51000000.0,-4000000.0,-60000000.0,-12000000.0,-81000000.0,-114000000.0,40.9
2020-12-31,1461000000.0,673000000.0,788000000.0,384000000.0,318000000.0,225000000.0,0.45330000000000004,371000000.0,318000000.0,493245000.0,2977000000.0,566000000.0,0.0,7660000000.0,9938000000.0,17979000000.0,46000000.0,4924000000.0,5541000000.0,6619000000.0,11543000000.0,6436000000.0,53000000.0,435000000.0,-60000000.0,35000000.0,-81000000.0,2318000000.0,44.25
2021-03-31,1651000000.0,800000000.0,851000000.0,368000000.0,365000000.0,298000000.0,0.6033000000000001,428000000.0,365000000.0,494130000.0,1027000000.0,574000000.0,0.0,5654000000.0,12440000000.0,18490000000.0,481000000.0,5556000000.0,5455000000.0,6600000000.0,12156000000.0,6334000000.0,63000000.0,394000000.0,-42000000.0,-2700000000.0,-81000000.0,164000000.0,49.15
2021-06-30,1412000000.0,566000000.0,846000000.0,369000000.0,376000000.0,341000000.0,0.6933,444000000.0,376000000.0,492258000.0,665000000.0,559000000.0,0.0,5017000000.0,12583000000.0,17983000000.0,250000000.0,4895000000.0,5480000000.0,6417000000.0,11312000000.0,6671000000.0,68000000.0,73000000.0,-39000000.0,175000000.0,-88000000.0,-773000000.0,58.6
2021-09-30,1357000000.0,519000000.0,838000000.0,402000000.0,356000000.0,288000000.0,0.5733,422000000.0,356000000.0,503077000.0,517000000.0,552000000.0,0.0,5496000000.0,12518000000.0,18397000000.0,490000000.0,5595000000.0,5447000000.0,6447000000.0,12042000000.0,6355000000.0,66000000.0,232000000.0,-32000000.0,-5000000.0,-91000000.0,-321000000.0,64.34
2021-12-31,1466000000.0,581000000.0,885000000.0,444000000.0,344000000.0,260000000.0,0.5167,425000000.0,344000000.0,497697000.0,422000000.0,588000000.0,208000000.0,7423000000.0,12326000000.0,20115000000.0,1055000000.0,7872000000.0,4812000000.0,5838000000.0,13710000000.0,6405000000.0,81000000.0,384000000.0,-50000000.0,-213000000.0,-90000000.0,2119000000.0,70.0
2022-03-31,1535000000.0,643000000.0,892000000.0,405000000.0,405000000.0,284000000.0,0.5733,472000000.0,405000000.0,495144000.0,742000000.0,621000000.0,0.0,8178000000.0,12175000000.0,20823000000.0,1156000000.0,8851000000.0,4800000000.0,5950000000.0,14801000000.0,6022000000.0,67000000.0,605000000.0,-35000000.0,-390000000.0,-89000000.0,368000000.0,59.4
2022-06-30,1552000000.0,659000000.0,893000000.0,404000000.0,412000000.0,307000000.0,0.6233000000000001,477000000.0,412000000.0,492234000.0,645000000.0,652000000.0,0.0,10218000000.0,11916000000.0,22596000000.0,1076000000.0,10871000000.0,4696000000.0,5874000000.0,16745000000.0,5851000000.0,65000000.0,375000000.0,-42000000.0,146000000.0,-97000000.0,2335000000.0,50.85
2022-09-30,1557000000.0,667000000.0,890000000.0,415000000.0,398000000.0,294000000.0,0.6000000000000001,461000000.0,398000000.0,491229000.0,352000000.0,638000000.0,129000000.0,10851000000.0,11642000000.0,22941000000.0,853000000.0,11335000000.0,4573000000.0,5722000000.0,17057000000.0,5884000000.0,63000000.0,232000000.0,-41000000.0,219000000.0,-99000000.0,1572000000.0,56.68
2022-12-31,1582000000.0,676000000.0,906000000.0,438000000.0,349000000.0,241000000.0,0.0,0.0,349000000.0,491300000.0,705000000.0,677000000.0,0.0,8604000000.0,11820000000.0,20868000000.0,0.0,8835000000.0,4735000000.0,5869000000.0,14704000000.0,6164000000.0,0.0,0.0,0.0,0.0,285000000.0,0.0,61.35
