,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,347043000.0,149814000.0,197229000.0,135079000.0,61564000.0,42011000.0,0.65,74613000.0,61564000.0,64273000.0,54725000.0,281730000.0,183415000.0,574472000.0,1243512000.0,1817984000.0,55668000.0,292380000.0,517563000.0,811175000.0,1103555000.0,714429000.0,13049000.0,39755000.0,-7498000.0,-8729000.0,-9641000.0,-18816000.0,67.62
2013-04-30,382100000.0,165162000.0,216938000.0,134736000.0,82202000.0,54605000.0,0.85,95342000.0,82202000.0,64320000.0,62792000.0,302912000.0,188520000.0,607746000.0,1249591000.0,1857337000.0,5668000.0,273283000.0,551560000.0,848459000.0,1121742000.0,735595000.0,13140000.0,62874000.0,-16186000.0,-17025000.0,-9667000.0,-38252000.0,69.49
2013-07-31,402960000.0,177877000.0,225083000.0,131867000.0,93216000.0,65424000.0,1.02,106582000.0,93216000.0,64137000.0,75368000.0,295074000.0,183855000.0,608884000.0,1245796000.0,1854680000.0,5668000.0,222402000.0,548232000.0,842636000.0,1065038000.0,789642000.0,13366000.0,91955000.0,-7125000.0,-7125000.0,-9622000.0,-71148000.0,72.16
2013-10-31,410818100.0,183924000.0,226894100.0,139487000.0,86867100.0,59777000.0,0.93,101750100.0,86867000.0,64214000.0,42375000.0,308707000.0,198401000.0,602066000.0,1451113000.0,2053179000.0,10832000.0,236797000.0,648270000.0,928519000.0,1165316000.0,887863000.0,14883000.0,73792000.0,-12563000.0,-187666000.0,-11548000.0,75790000.0,72.09
2014-01-31,359420000.0,164638000.0,194782000.0,140923000.0,53859000.0,34880000.0,0.54,68347000.0,53859000.0,64221000.0,46858000.0,279978000.0,200617000.0,583261000.0,1435061000.0,2018322000.0,10779000.0,213628000.0,613401000.0,893019000.0,1106647000.0,911675000.0,14488000.0,47687000.0,-7878000.0,-7878000.0,-11561000.0,-33951000.0,69.32
2014-04-30,417461000.0,181909000.0,235552000.0,142718000.0,92834000.0,61934000.0,0.97,107577000.0,92834000.0,63964000.0,49732000.0,327391000.0,206438000.0,638752000.0,1440306000.0,2079058000.0,10770000.0,236553000.0,636587000.0,919282000.0,1155835000.0,923223000.0,14743000.0,54502000.0,-8517000.0,-8517000.0,-11543000.0,-44110000.0,74.35
2014-07-31,458550000.0,201039000.0,257511000.0,143056000.0,114455000.0,77879000.0,1.23,129063000.0,114455000.0,63482000.0,53223000.0,358189000.0,210352000.0,679791000.0,1429654000.0,2109445000.0,10755000.0,260057000.0,612358000.0,890612900.0,1150670000.0,958775000.0,14608000.0,80769000.0,-11263000.0,-12117000.0,-11421000.0,-64369000.0,75.17
2014-10-31,468589900.0,211337000.0,257253000.0,148745000.0,105956900.0,72080000.0,1.1400000000000001,121871900.0,105957000.0,63656000.0,42314000.0,365844000.0,210871000.0,672683000.0,1607447000.0,2280130000.0,10751000.0,370868000.0,693886000.0,1004465000.0,1375333000.0,904797000.0,15915000.0,105197000.0,-15593000.0,-202013000.0,-13866000.0,88972000.0,76.55
2015-01-31,379008000.0,170287000.0,208721000.0,145903000.0,62818000.0,42885000.0,0.6900000000000001,78802000.0,62818000.0,62536000.0,40926000.0,348316000.0,212610000.0,657646000.0,1584055000.0,2241701000.0,10743000.0,388180000.0,699132000.0,1015620000.0,1403800000.0,837901000.0,15984000.0,25912000.0,-16546000.0,-16917000.0,-13635000.0,-7167000.0,72.86
2015-04-30,400727000.0,178837000.0,221890000.0,145476000.0,76414000.0,49214000.0,0.81,92652000.0,76414000.0,61116000.0,51454000.0,316091000.0,239406000.0,662143000.0,1588094000.0,2250237000.0,10744000.0,298274000.0,819203000.0,1133733000.0,1432007000.0,818230000.0,16238000.0,91524000.0,-19216000.0,-19216000.0,-13481000.0,-61772000.0,79.65
