,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2188000000.0,1057000000.0,1131000000.0,56000000.0,579000000.0,314000000.0,0.63,846000000.0,579000000.0,497000000.0,1453000000.0,765000000.0,846000000.0,5626000000.0,23825000000.0,29451000000.0,10000000.0,2652000000.0,6379000000.0,9674000000.0,12326000000.0,17125000000.0,267000000.0,433000000.0,-510000000.0,-507000000.0,-211000000.0,-105000000.0,41.89
2013-06-30,2018000000.0,1682000000.0,336000000.0,54000000.0,-2611000000.0,-2059000000.0,-4.06,66000000.0,-2611000000.0,497000000.0,1876000000.0,546000000.0,803000000.0,5022000000.0,21454000000.0,26476000000.0,48000000.0,2198000000.0,6726000000.0,10040000000.0,12238000000.0,14238000000.0,2677000000.0,288000000.0,-610000000.0,-598000000.0,-176000000.0,192000000.0,29.95
2013-09-30,2020000000.0,1078000000.0,942000000.0,48000000.0,361000000.0,398000000.0,0.8200000000000001,-1602000000.0,361000000.0,498000000.0,1566000000.0,472000000.0,793000000.0,5221000000.0,21578000000.0,26799000000.0,587000000.0,3258000000.0,5949000000.0,8999000000.0,12257000000.0,14542000000.0,-1963000000.0,440000000.0,-408000000.0,168000000.0,-124000000.0,-379000000.0,28.1
2013-12-31,2188000000.0,1482000000.0,706000000.0,45000000.0,-1981000000.0,-1187000000.0,-2.33,-1600000000.0,-1981000000.0,498000000.0,1633000000.0,482000000.0,717000000.0,4889000000.0,19718000000.0,24607000000.0,595000000.0,2740000000.0,6145000000.0,8958000000.0,11698000000.0,12909000000.0,381000000.0,382000000.0,-372000000.0,-376000000.0,-101000000.0,80000000.0,23.03
2014-03-31,1764000000.0,1083000000.0,681000000.0,45000000.0,190000000.0,100000000.0,0.2,488000000.0,190000000.0,498000000.0,1558000000.0,525000000.0,814000000.0,5247000000.0,19551000000.0,24798000000.0,615000000.0,2884000000.0,6146000000.0,9033000000.0,11917000000.0,12881000000.0,298000000.0,180000000.0,-235000000.0,-178000000.0,-77000000.0,-80000000.0,23.44
2014-06-30,1765000000.0,1060000000.0,705000000.0,48000000.0,183000000.0,180000000.0,0.36,530000000.0,183000000.0,499000000.0,1737000000.0,446000000.0,863000000.0,5354000000.0,19622000000.0,24976000000.0,112000000.0,2252000000.0,6673000000.0,9633000000.0,11885000000.0,13091000000.0,347000000.0,375000000.0,-254000000.0,-250000000.0,-16000000.0,53000000.0,25.44
2014-09-30,1746000000.0,1185000000.0,561000000.0,45000000.0,35000000.0,213000000.0,0.43,312000000.0,35000000.0,499000000.0,1860000000.0,391000000.0,846000000.0,5488000000.0,19633000000.0,25121000000.0,143000000.0,2511000000.0,6630000000.0,9511000000.0,12022000000.0,13099000000.0,277000000.0,324000000.0,-277000000.0,-164000000.0,-13000000.0,-26000000.0,23.05
2014-12-31,1544000000.0,591000000.0,953000000.0,99000000.0,585000000.0,15000000.0,0.03,772000000.0,585000000.0,499000000.0,2476000000.0,476000000.0,700000000.0,5439000000.0,19477000000.0,24916000000.0,166000000.0,2198000000.0,6480000000.0,9629000000.0,11827000000.0,13089000000.0,187000000.0,559000000.0,-274000000.0,85000000.0,-12000000.0,-12000000.0,18.9
2015-03-31,1972000000.0,1027000000.0,945000000.0,58000000.0,497000000.0,183000000.0,0.37,843000000.0,497000000.0,499000000.0,2637000000.0,416000000.0,684000000.0,6151000000.0,19451000000.0,25602000000.0,231000000.0,2834000000.0,6221000000.0,9405000000.0,12239000000.0,13363000000.0,346000000.0,625000000.0,-284000000.0,-214000000.0,-15000000.0,-196000000.0,21.71
2015-06-30,1908000000.0,1027000000.0,881000000.0,68000000.0,403000000.0,72000000.0,0.14,695000000.0,403000000.0,505000000.0,3341000000.0,555000000.0,748000000.0,6556000000.0,19405000000.0,25961000000.0,243000000.0,2356000000.0,6140000000.0,9337000000.0,11693000000.0,14268000000.0,292000000.0,438000000.0,-322000000.0,-325000000.0,-11000000.0,596000000.0,23.36
