,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1023961000.0,736952000.0,287009000.0,163212000.0,31822000.0,2689000.0,0.0071,547850000.0,31822000.0,391804000.0,1025872000.0,0.0,2557100000.0,1806189000.0,4363289000.0,0.0,1688714000.0,700000000.0,1861656000.0,3550370000.0,812919000.0,516028000.0,-12250000.0,-12118000.0,-179236000.0,0.0,321582000.0,27.04
2013-06-30,1069372000.0,760674000.0,308697900.0,158455000.0,57116900.0,29471000.0,0.0729,597102000.0,57116900.0,407344000.0,1080110000.0,0.0,2570322000.0,1910429000.0,4480751000.0,0.0,1670264000.0,500000000.0,1704865000.0,3375129000.0,1105622000.0,539985000.0,33943000.0,-8088000.0,-127685000.0,0.0,48959000.0,30.16
2013-09-30,1105999000.0,798900000.0,307099000.0,154439000.0,57120000.0,31822000.0,0.0771,639512000.0,57120000.0,413756000.0,1134987000.0,0.0,2849278000.0,2052047000.0,4901325000.0,0.0,1935136000.0,500000000.0,1761819000.0,3696955000.0,1204370000.0,582392000.0,34693000.0,-10828000.0,-13669000.0,0.0,45795000.0,44.17
2013-12-31,1175230000.0,820676600.0,354553300.0,174137000.0,82288000.0,48421000.0,0.12,685562900.0,82288300.0,407385000.0,1200405000.0,0.0,3058763000.0,2353800000.0,5412563000.0,0.0,2154203000.0,500000000.0,1924799000.0,4079002000.0,1333561000.0,603275000.0,41445000.0,-23109000.0,64622000.0,0.0,59928000.0,52.6
2014-03-31,1270089000.0,869186000.0,400903000.0,192998000.0,97595000.0,53115000.0,0.12710000000000002,726832900.0,97595000.0,418719000.0,1668243000.0,0.0,3586784000.0,2461322000.0,6048106000.0,0.0,2263653000.0,900000000.0,2306095000.0,4569748000.0,1478358000.0,629238000.0,36359000.0,-13334000.0,57639000.0,0.0,458186000.0,50.29
2014-06-30,1340407000.0,914848000.0,425559000.0,180777000.0,129600000.0,71018000.0,0.1686,798536900.0,129600000.0,419974000.0,1714365000.0,0.0,3668380000.0,2657442000.0,6325822000.0,0.0,2335124000.0,900000000.0,2380993000.0,4716117000.0,1609705000.0,668937000.0,56024000.0,-19869000.0,-28953000.0,0.0,28473000.0,62.94
2014-09-30,1409432000.0,954394000.0,455038000.0,223678000.0,110407100.0,59295000.0,0.1414,829187100.0,110407100.0,421194000.0,1666819000.0,0.0,3823482000.0,2954847000.0,6778329000.0,0.0,2548655000.0,900000000.0,2504800000.0,5053455000.0,1724874000.0,718780000.0,-37439000.0,-21032000.0,-20411000.0,0.0,30662000.0,64.45
2014-12-31,1484728000.0,1014332000.0,470395700.0,279474000.0,65045900.0,83371000.0,0.1971,829889000.0,65045900.0,420544000.0,1608496000.0,0.0,3927053000.0,3115447000.0,7042500000.0,0.0,2663154000.0,885849000.0,2521638000.0,5184792000.0,1857708000.0,764843000.0,-38461000.0,-15491000.0,-51141000.0,0.0,24391000.0,48.8
2015-03-31,1573129000.0,1046401000.0,526728000.0,286166000.0,97456100.0,23696000.0,0.0557,883326000.0,97456100.0,423624000.0,2957708000.0,0.0,5539056000.0,3701570000.0,9240626000.0,0.0,3008849000.0,2400000000.0,4322563000.0,7331412000.0,1909214000.0,785870000.0,-127382000.0,-13036000.0,-42822000.0,0.0,1522434000.0,59.53
2015-06-30,1644694000.0,1121752000.0,522942000.0,293046000.0,74835000.0,26335000.0,0.06,933829100.0,74835000.0,425340000.0,2796758000.0,0.0,5600510000.0,4054351000.0,9654861000.0,0.0,3220069000.0,2400000000.0,4402717000.0,7622786000.0,2032075000.0,858994000.0,-181343000.0,-27538000.0,-48330000.0,0.0,62547000.0,93.85
