,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,6187000000.0,3451000000.0,2736000000.0,1863000000.0,873000000.0,866000000.0,0.485,966000000.0,873000000.0,1787800000.0,4042000000.0,3232000000.0,3329000000.0,11789000000.0,3826000000.0,15615000000.0,57000000.0,3500000000.0,161000000.0,1448000000.0,4948000000.0,10667000000.0,93000000.0,447000000.0,-174000000.0,126000000.0,-188000000.0,-352000000.0,27.23
2013-05-31,6697000000.0,3757000000.0,2940000000.0,2038000000.0,902000000.0,655000000.0,0.375,1045000000.0,902000000.0,1794600000.0,5965000000.0,3117000000.0,3484000000.0,13630000000.0,3915000000.0,17545000000.0,57000000.0,3962000000.0,1210000000.0,2502000000.0,6464000000.0,11081000000.0,143000000.0,1340000000.0,-160000000.0,-1226000000.0,-188000000.0,738000000.0,30.83
2013-08-31,6971000000.0,3839000000.0,3132000000.0,2058000000.0,1074000000.0,779000000.0,0.44,1226000000.0,1074000000.0,1778800000.0,5578000000.0,3207000000.0,3472000000.0,13618000000.0,4056000000.0,17674000000.0,57000000.0,3863000000.0,1207000000.0,2529000000.0,6392000000.0,11282000000.0,152000000.0,618000000.0,-244000000.0,-694000000.0,-188000000.0,-592000000.0,31.41
2013-11-30,6431000000.0,3605000000.0,2826000000.0,2091000000.0,735000000.0,534000000.0,0.30000000000000004,880000000.0,735000000.0,1776000000.0,5187000000.0,3208000000.0,3695000000.0,13607000000.0,4213000000.0,17820000000.0,7000000.0,3851000000.0,1201000000.0,2625000000.0,6476000000.0,11344000000.0,145000000.0,330000000.0,-204000000.0,-495000000.0,-187000000.0,-405000000.0,39.57
2014-02-28,6972000000.0,3869000000.0,3103000000.0,2169000000.0,934000000.0,682000000.0,0.39,1068000000.0,934000000.0,1764600000.0,5029000000.0,3355000000.0,3825000000.0,13410000000.0,4393000000.0,17803000000.0,7000000.0,3954000000.0,1201000000.0,2716000000.0,6670000000.0,11133000000.0,134000000.0,737000000.0,-221000000.0,-42000000.0,-212000000.0,-920000000.0,39.15
2014-05-31,7425000000.0,4040000000.0,3385000000.0,2448000000.0,937000000.0,698000000.0,0.4,1092000000.0,937000000.0,1766700000.0,5142000000.0,3434000000.0,3947000000.0,13696000000.0,4898000000.0,18594000000.0,7000000.0,5027000000.0,1199000000.0,2743000000.0,7770000000.0,10824000000.0,155000000.0,1328000000.0,-208000000.0,24000000.0,-212000000.0,-997000000.0,38.46
2014-08-31,7982000000.0,4261000000.0,3721000000.0,2480000000.0,1241000000.0,962000000.0,0.555,1396000000.0,1241000000.0,1729800000.0,4579000000.0,3587000000.0,4030000000.0,13540000000.0,4981000000.0,18521000000.0,6000000.0,4813000000.0,1195000000.0,2603000000.0,7416000000.0,11105000000.0,155000000.0,683000000.0,-260000000.0,280000000.0,-209000000.0,-882000000.0,39.28
2014-11-30,7380000000.0,4053000000.0,3327000000.0,2438000000.0,889000000.0,655000000.0,0.38,1050000000.0,889000000.0,1726200000.0,4713000000.0,3457000000.0,4150000000.0,14033000000.0,5134000000.0,19167000000.0,110000000.0,4937000000.0,1084000000.0,2530000000.0,7467000000.0,11700000000.0,161000000.0,864000000.0,-225000000.0,-446000000.0,-207000000.0,-422000000.0,49.65
2015-02-28,7460000000.0,4034000000.0,3426000000.0,2379000000.0,1047000000.0,791000000.0,0.46,1212000000.0,1047000000.0,1722900000.0,5361000000.0,3294000000.0,4246000000.0,15207000000.0,5334000000.0,20541000000.0,108000000.0,5586000000.0,1082000000.0,2587000000.0,8173000000.0,12368000000.0,165000000.0,1791000000.0,-235000000.0,-216000000.0,-242000000.0,-791000000.0,48.56
2015-05-31,7779000000.0,4186000000.0,3593000000.0,2595000000.0,998000000.0,865000000.0,0.505,1166000000.0,998000000.0,1723500000.0,5924000000.0,3358000000.0,4337000000.0,15587000000.0,6010000000.0,21597000000.0,107000000.0,6332000000.0,1079000000.0,2558000000.0,8890000000.0,12707000000.0,168000000.0,1342000000.0,-240000000.0,207000000.0,-241000000.0,-695000000.0,50.83
2015-08-31,8414000000.0,4419000000.0,3995000000.0,2577000000.0,1418000000.0,1179000000.0,0.6900000000000001,1583000000.0,1418000000.0,1709000000.0,5408000000.0,3288000000.0,4414000000.0,15238000000.0,5528000000.0,20766000000.0,106000000.0,5276000000.0,1079000000.0,2596000000.0,7872000000.0,12894000000.0,165000000.0,491000000.0,-318000000.0,-385000000.0,-240000000.0,-674000000.0,55.88
2015-11-30,7686000000.0,4185000000.0,3501000000.0,2560000000.0,941000000.0,785000000.0,0.46,1098000000.0,941000000.0,1706500000.0,6116000000.0,3437000000.0,4600000000.0,16755000000.0,5828000000.0,22583000000.0,5000000.0,5511000000.0,2067000000.0,3667000000.0,9178000000.0,13405000000.0,157000000.0,545000000.0,-288000000.0,-312000000.0,-239000000.0,392000000.0,66.14
2016-02-29,8032000000.0,4343000000.0,3689000000.0,2566000000.0,1123000000.0,950000000.0,0.56,1300000000.0,1123000000.0,1693800000.0,5106000000.0,3368000000.0,4590000000.0,15256000000.0,5731000000.0,20987000000.0,7000000.0,4980000000.0,2048000000.0,3707000000.0,8687000000.0,12300000000.0,177000000.0,876000000.0,-286000000.0,153000000.0,-273000000.0,-1763000000.0,61.59
2016-05-31,8244000000.0,4458000000.0,3786000000.0,2766000000.0,1020000000.0,846000000.0,0.5,1183000000.0,1020000000.0,1697900000.0,5457000000.0,3241000000.0,4838000000.0,15025000000.0,6354000000.0,21379000000.0,44000000.0,5358000000.0,1993000000.0,3763000000.0,9121000000.0,12258000000.0,163000000.0,1487000000.0,-241000000.0,-490000000.0,-270000000.0,-929000000.0,55.22
2016-08-31,9061000000.0,4938000000.0,4123000000.0,2897000000.0,1226000000.0,1249000000.0,0.75,1406000000.0,1226000000.0,1672000000.0,4787000000.0,3526000000.0,4896000000.0,14589000000.0,6567000000.0,21156000000.0,44000000.0,5363000000.0,1993000000.0,3628000000.0,8991000000.0,12165000000.0,180000000.0,788000000.0,-277000000.0,-76000000.0,-269000000.0,-1202000000.0,57.64
2016-11-30,8180000000.0,4564000000.0,3616000000.0,2505000000.0,1111000000.0,842000000.0,0.51,1289000000.0,1111000000.0,1659100000.0,5943000000.0,3478000000.0,5033000000.0,16011000000.0,6641000000.0,22652000000.0,44000000.0,5225000000.0,3473000000.0,5104000000.0,10329000000.0,12323000000.0,178000000.0,982000000.0,-223000000.0,312000000.0,-267000000.0,436000000.0,50.07
2017-02-28,8432000000.0,4682000000.0,3750000000.0,2496000000.0,1254000000.0,1141000000.0,0.6900000000000001,1424000000.0,1254000000.0,1653100000.0,6160000000.0,3752000000.0,4932000000.0,16205000000.0,6947000000.0,23152000000.0,6000000.0,5271000000.0,3472000000.0,5159000000.0,10430000000.0,12722000000.0,170000000.0,1114000000.0,-263000000.0,-724000000.0,-298000000.0,-717000000.0,57.16
2017-05-31,8677000000.0,4854000000.0,3823000000.0,2665000000.0,1158000000.0,1008000000.0,0.61,1346000000.0,1158000000.0,1657800000.0,6179000000.0,3677000000.0,5055000000.0,16061000000.0,7198000000.0,23259000000.0,6000000.0,5474000000.0,3471000000.0,5378000000.0,10852000000.0,12407000000.0,188000000.0,962000000.0,-329000000.0,-520000000.0,-299000000.0,-665000000.0,52.99
2017-08-31,9070000000.0,5108000000.0,3962000000.0,2856000000.0,1106000000.0,950000000.0,0.58,1291000000.0,1106000000.0,1639100000.0,5519000000.0,3871000000.0,5211000000.0,16192000000.0,7455000000.0,23647000000.0,7000000.0,6056000000.0,3472000000.0,5598000000.0,11654000000.0,11993000000.0,185000000.0,575000000.0,-270000000.0,-12000000.0,-300000000.0,-998000000.0,52.81
2017-11-30,8554000000.0,4876000000.0,3678000000.0,2768000000.0,910000000.0,767000000.0,0.47000000000000003,1101000000.0,910000000.0,1627000000.0,6389000000.0,3613000000.0,5326000000.0,16582000000.0,7473000000.0,24055000000.0,10000000.0,6750000000.0,3472000000.0,5547000000.0,12297000000.0,11758000000.0,191000000.0,1323000000.0,-227000000.0,-214000000.0,-295000000.0,-216000000.0,60.42
2018-02-28,8984000000.0,5046000000.0,3938000000.0,2767000000.0,1171000000.0,-921000000.0,-0.5700000000000001,1369000000.0,1171000000.0,1623500000.0,4751000000.0,3792000000.0,5366000000.0,15355000000.0,7197000000.0,22552000000.0,6000000.0,5783000000.0,3469000000.0,6987000000.0,12770000000.0,9782000000.0,198000000.0,787000000.0,-231000000.0,752000000.0,-325000000.0,-2234000000.0,67.03
2018-05-31,9789000000.0,5411000000.0,4378000000.0,3120000000.0,1258000000.0,1137000000.0,0.71,1458000000.0,1258000000.0,1623800000.0,5245000000.0,3498000000.0,5261000000.0,15134000000.0,7402000000.0,22536000000.0,6000000.0,6040000000.0,3468000000.0,6684000000.0,12724000000.0,9812000000.0,200000000.0,2270000000.0,-300000000.0,-250000000.0,-323000000.0,-1387000000.0,71.8
2018-08-31,9948000000.0,5551000000.0,4397000000.0,3063000000.0,1334000000.0,1092000000.0,0.6900000000000001,1515000000.0,1334000000.0,1594000000.0,4269000000.0,4330000000.0,5227000000.0,15501000000.0,6982000000.0,22483000000.0,6000000.0,6708000000.0,3467000000.0,6783000000.0,13491000000.0,8992000000.0,181000000.0,1301000000.0,-343000000.0,-333000000.0,-320000000.0,-1832000000.0,82.2
