,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,6104000000.0,4787000000.0,1317000000.0,558000000.0,759000000.0,489000000.0,2.07,869000000.0,759000000.0,236400000.0,3183000000.0,3050000000.0,930000000.0,7846000000.0,18068000000.0,25914000000.0,0.0,5555000000.0,3937000000.0,10890000000.0,16445000000.0,9469000000.0,110000000.0,1000000.0,-40000000.0,-38000000.0,-130000000.0,-642000000.0,70.15
2013-06-30,6294000000.0,4906000000.0,1388000000.0,582000000.0,806000000.0,488000000.0,2.09,921000000.0,806000000.0,234000000.0,4904000000.0,3124000000.0,745000000.0,9564000000.0,17944000000.0,27508000000.0,0.0,5639000000.0,5929000000.0,12311000000.0,17950000000.0,9558000000.0,115000000.0,328000000.0,-48000000.0,-44000000.0,-142000000.0,1437000000.0,82.8
2013-09-30,6106000000.0,4761000000.0,1345000000.0,555000000.0,790000000.0,497000000.0,2.18,910000000.0,790000000.0,228200000.0,4944000000.0,3003000000.0,784000000.0,9591000000.0,17814000000.0,27405000000.0,0.0,5762000000.0,5928000000.0,12287000000.0,18049000000.0,9356000000.0,120000000.0,950000000.0,-90000000.0,-87000000.0,-139000000.0,-823000000.0,95.26
2013-12-31,6157000000.0,4828000000.0,1329000000.0,561000000.0,768000000.0,478000000.0,2.17,918000000.0,768000000.0,229600000.0,5150000000.0,2685000000.0,698000000.0,9488000000.0,16893000000.0,26381000000.0,0.0,5815000000.0,5928000000.0,9946000000.0,15761000000.0,10620000000.0,150000000.0,1204000000.0,-186000000.0,-177000000.0,-134000000.0,-821000000.0,114.61
2014-03-31,5848000000.0,4461000000.0,1387000000.0,542000000.0,845000000.0,579000000.0,2.68,954000000.0,845000000.0,216300000.0,3885000000.0,3234000000.0,781000000.0,8604000000.0,16931000000.0,25535000000.0,0.0,5271000000.0,5927000000.0,9695000000.0,14966000000.0,10569000000.0,109000000.0,-402000000.0,-60000000.0,-132000000.0,-132000000.0,-731000000.0,123.38
2014-06-30,6039000000.0,4629000000.0,1410000000.0,590000000.0,820000000.0,511000000.0,2.41,928000000.0,820000000.0,212400000.0,3476000000.0,3280000000.0,741000000.0,8390000000.0,16961000000.0,25351000000.0,0.0,5414000000.0,5927000000.0,9669000000.0,15083000000.0,10268000000.0,108000000.0,572000000.0,-116000000.0,-116000000.0,-148000000.0,-865000000.0,119.63
2014-09-30,5984000000.0,4635000000.0,1349000000.0,580000000.0,769000000.0,473000000.0,2.29,874000000.0,769000000.0,206200000.0,3402000000.0,3233000000.0,671000000.0,8122000000.0,16921000000.0,25043000000.0,0.0,5511000000.0,5926000000.0,9639000000.0,15150000000.0,9893000000.0,105000000.0,933000000.0,-109000000.0,-109000000.0,-143000000.0,-898000000.0,131.76
2014-12-31,6108000000.0,4653000000.0,1455000000.0,693000000.0,762000000.0,506000000.0,2.52,902000000.0,762000000.0,208800000.0,3863000000.0,2806000000.0,742000000.0,7780000000.0,18792000000.0,26572000000.0,0.0,5892000000.0,5925000000.0,13445000000.0,19337000000.0,7235000000.0,140000000.0,1490000000.0,-276000000.0,-288000000.0,-140000000.0,-741000000.0,147.39
2015-03-31,5957000000.0,4542000000.0,1415000000.0,635000000.0,780000000.0,484000000.0,2.45,879000000.0,780000000.0,197700000.0,2646000000.0,3131000000.0,818000000.0,7143000000.0,18123000000.0,25266000000.0,0.0,5284000000.0,6418000000.0,13234000000.0,18518000000.0,6748000000.0,99000000.0,-654000000.0,-117000000.0,-115000000.0,-156000000.0,-448000000.0,160.96
2015-06-30,5896000000.0,4442000000.0,1454000000.0,641000000.0,813000000.0,531000000.0,2.77,930000000.0,813000000.0,191800000.0,1907000000.0,3151000000.0,856000000.0,6460000000.0,18092000000.0,24552000000.0,0.0,5154000000.0,6417000000.0,13227000000.0,18381000000.0,6171000000.0,117000000.0,626000000.0,-115000000.0,-119000000.0,-153000000.0,-1246000000.0,158.63
2015-09-30,5979000000.0,4522000000.0,1457000000.0,663000000.0,794000000.0,516000000.0,2.7800000000000002,907000000.0,794000000.0,185800000.0,1292000000.0,3268000000.0,856000000.0,5951000000.0,18015000000.0,23966000000.0,0.0,5133000000.0,6417000000.0,13136000000.0,18269000000.0,5697000000.0,113000000.0,557000000.0,-102000000.0,-64000000.0,-149000000.0,-1108000000.0,165.95
2015-12-31,5694000000.0,4378000000.0,1316000000.0,627000000.0,689000000.0,459000000.0,2.52,827000000.0,689000000.0,189400000.0,2319000000.0,2841000000.0,807000000.0,6334000000.0,18090000000.0,24424000000.0,0.0,5457000000.0,6386000000.0,13445000000.0,18902000000.0,5522000000.0,138000000.0,1633000000.0,-137000000.0,-133000000.0,-145000000.0,-473000000.0,188.81
2016-03-31,5956000000.0,4561000000.0,1395000000.0,656000000.0,739000000.0,556000000.0,3.07,842000000.0,739000000.0,181300000.0,1277000000.0,3346000000.0,898000000.0,5706000000.0,18227000000.0,23933000000.0,0.0,4955000000.0,6387000000.0,13357000000.0,18312000000.0,5621000000.0,103000000.0,-60000000.0,-298000000.0,-298000000.0,-159000000.0,-684000000.0,197.9
2016-06-30,6000000000.0,4583000000.0,1417000000.0,620000000.0,797000000.0,517000000.0,2.87,903000000.0,797000000.0,180100000.0,1139000000.0,3483000000.0,973000000.0,5781000000.0,18300000000.0,24081000000.0,0.0,5099000000.0,6387000000.0,13301000000.0,18400000000.0,5681000000.0,106000000.0,604000000.0,-173000000.0,-171000000.0,-163000000.0,-571000000.0,222.28
2016-09-30,6155000000.0,4667000000.0,1488000000.0,662000000.0,826000000.0,602000000.0,3.38,939000000.0,826000000.0,178100000.0,1103000000.0,3659000000.0,797000000.0,5771000000.0,18329000000.0,24100000000.0,0.0,5106000000.0,6387000000.0,13227000000.0,18333000000.0,5767000000.0,113000000.0,738000000.0,-137000000.0,-136000000.0,-160000000.0,-638000000.0,213.95
2016-12-31,6595000000.0,4986000000.0,1609000000.0,694000000.0,915000000.0,368000000.0,2.98,1049000000.0,915000000.0,178900000.0,2541000000.0,3299000000.0,816000000.0,6856000000.0,18758000000.0,25614000000.0,0.0,5630000000.0,7058000000.0,14725000000.0,20355000000.0,5259000000.0,134000000.0,1531000000.0,-312000000.0,-200000000.0,-158000000.0,107000000.0,232.58
