,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,85939000.0,32308000.0,53631000.0,50505000.0,-12913000.0,-13358000.0,-0.1,-2088000.0,-12913000.0,129782000.0,338866000.0,79844000.0,447236000.0,68717000.0,515953000.0,0.0,229113000.0,0.0,22913000.0,252026000.0,263927000.0,10825000.0,15023000.0,-10415000.0,-11011000.0,0.0,22621000.0,36.2
2013-06-30,102222000.0,35998000.0,66224000.0,67616000.0,-19343000.0,-21405000.0,-0.16,-6235000.0,-19343000.0,134454000.0,253780000.0,92765000.0,376809000.0,165524000.0,542333000.0,0.0,249172000.0,0.0,25266000.0,274438000.0,267895000.0,13108000.0,9736000.0,-11820000.0,-45401000.0,0.0,11082000.0,40.39
2013-09-30,111259000.0,41575000.0,69684000.0,63515000.0,-14650000.0,-14713000.0,-0.11,999000.0,-14650000.0,137457000.0,220138000.0,84527000.0,342419000.0,236317000.0,578736000.0,0.0,268139000.0,0.0,23001000.0,291140000.0,287596000.0,15649000.0,20720000.0,-16824000.0,-36736000.0,0.0,15249000.0,51.95
2013-12-31,125230000.0,45378000.0,79852000.0,75344000.0,-19361000.0,-24232000.0,-0.17,2829000.0,-19361000.0,135416000.0,634554000.0,108339000.0,797749000.0,370727000.0,1168476000.0,0.0,328088000.0,414777000.0,446129000.0,774217000.0,394259000.0,22190000.0,36267000.0,-16262000.0,-309647000.0,0.0,519618000.0,56.01
2014-03-31,139090000.0,53114000.0,85976000.0,91047000.0,-36181000.0,-43311000.0,-0.30000000000000004,-8199000.0,-36181000.0,142060000.0,655762000.0,107932000.0,828625000.0,395636000.0,1224261000.0,0.0,365506000.0,421840000.0,455013000.0,820519000.0,403742000.0,27982000.0,24217000.0,-10968000.0,-75683000.0,0.0,23154000.0,59.92
2014-06-30,166757000.0,58938000.0,107819000.0,116851000.0,-44471000.0,-50363000.0,-0.35000000000000003,-14046000.0,-44471000.0,144457000.0,677480000.0,109246000.0,844659000.0,417584000.0,1262243000.0,0.0,403047000.0,429025000.0,461079000.0,864126000.0,398117000.0,30425000.0,42059000.0,-16437000.0,-57028000.0,0.0,6274000.0,61.96
2014-09-30,178712000.0,66086000.0,112626000.0,107442000.0,-34499000.0,-41050000.0,-0.28,-122000.0,-34499000.0,146336000.0,646072000.0,111164000.0,821399000.0,483213000.0,1304612000.0,0.0,419277000.0,436332000.0,467920000.0,887197000.0,417415000.0,34377000.0,25000000.0,-18094000.0,-141014000.0,0.0,25666000.0,58.78
2014-12-31,198004000.0,70638000.0,127366000.0,122024000.0,-36684000.0,-44663000.0,-0.30000000000000004,1004000.0,-36684000.0,145356000.0,668791000.0,159171000.0,906986000.0,517766000.0,1424752000.0,0.0,506997000.0,443437000.0,489080000.0,996077000.0,428675000.0,37688000.0,49661000.0,-8880000.0,-43203000.0,0.0,13641000.0,67.85
2015-03-31,211964000.0,76899000.0,135065000.0,139449000.0,-54232000.0,-58093000.0,-0.38,-15403000.0,-54232000.0,151602000.0,745010000.0,142720000.0,983934000.0,509707900.0,1493642000.0,0.0,540926000.0,451323000.0,497806000.0,1038732000.0,454910000.0,38829000.0,67366000.0,-26699000.0,-34334000.0,0.0,29739000.0,78.78
2015-06-30,246716000.0,79717000.0,166999000.0,166958000.0,-53235000.0,-61925000.0,-0.4,-13029000.0,-53235000.0,154465000.0,722524000.0,143206000.0,954074000.0,609237000.0,1563311000.0,0.0,591633000.0,459011000.0,508565000.0,1100198000.0,463113000.0,40206000.0,80185000.0,-15121000.0,-64994000.0,0.0,-501000.0,74.31
2015-09-30,261150000.0,81888000.0,179262000.0,151480000.0,-28040000.0,-41030000.0,-0.26,13441000.0,-28040000.0,156930500.0,728951000.0,159768000.0,981607000.0,681280900.0,1662888000.0,0.0,634821000.0,466831000.0,511133000.0,1145954000.0,516934000.0,41481000.0,63649000.0,-20768000.0,-71672000.0,0.0,31394000.0,69.45
2015-12-31,285650000.0,90909000.0,194741000.0,167156000.0,-30858000.0,-37378000.0,-0.23,12684000.0,-30858000.0,155707000.0,801250000.0,203333000.0,1085635000.0,721417000.0,1807052000.0,0.0,731636000.0,474534000.0,508602000.0,1240238000.0,566814000.0,43542000.0,106554000.0,-24893000.0,-60521000.0,0.0,19698000.0,86.56
2016-03-31,305879000.0,94260000.0,211619000.0,199847000.0,-324152000.0,-333332000.0,-2.06,-279068000.0,-324152000.0,162067000.0,900873000.0,190263000.0,1193258000.0,680785000.0,1874043000.0,0.0,1048283000.0,482643000.0,523404000.0,1571687000.0,302356000.0,45084000.0,78687000.0,-29077000.0,-31406000.0,0.0,-8690000.0,61.18
2016-06-30,341312000.0,96649000.0,244663000.0,222577000.0,-48278000.0,-49625000.0,-0.30000000000000004,203000.0,-48278000.0,163838800.0,806714000.0,197296000.0,1097889000.0,616449000.0,1714338000.0,0.0,852081000.0,490891000.0,537975000.0,1390056000.0,324282000.0,48481000.0,-148171000.0,-23852000.0,3859000.0,0.0,-17168000.0,66.4
2016-09-30,357656000.0,102837000.0,254819000.0,206576000.0,-26775000.0,-36258000.0,-0.22,25609000.0,-26775000.0,165378800.0,806880000.0,220089000.0,1126907000.0,686207000.0,1813114000.0,0.0,898339000.0,499280000.0,552272000.0,1450611000.0,362503000.0,52384000.0,96718000.0,-31183000.0,-51591000.0,0.0,-9007000.0,79.15
2016-12-31,386138000.0,105249000.0,280889000.0,189919000.0,17037000.0,4966000.0,-0.2,57013000.0,17037100.0,164533800.0,899362000.0,322757000.0,1342535000.0,691232000.0,2033767000.0,0.0,1071498000.0,507812000.0,575308000.0,1646806000.0,386961000.0,39976000.0,131847000.0,-21450000.0,-29100000.0,0.0,-20887000.0,74.34
2017-03-31,428771000.0,116084000.0,312687000.0,249990000.0,-21792000.0,-21514000.0,-0.24,34150000.0,-21792000.0,168742400.0,975314000.0,278107000.0,1396255000.0,774008000.0,2170263000.0,0.0,1139805000.0,516490000.0,603119000.0,1742924000.0,427339000.0,55942000.0,187608000.0,-33186000.0,-127765000.0,0.0,-19631000.0,87.47
2017-06-30,448258000.0,122128000.0,326130000.0,273919000.0,-37794000.0,-55804000.0,-0.33,21772000.0,-37794000.0,170419100.0,1692176000.0,279088000.0,2111027000.0,813379000.0,2924406000.0,0.0,1217290000.0,1140063000.0,1224690000.0,2441980000.0,482426000.0,59566000.0,128725000.0,-35917000.0,-27718000.0,0.0,613795000.0,106.0
2017-09-30,492372000.0,127486000.0,364886000.0,270331000.0,-3910000.0,-22182000.0,-0.14,67125000.0,-3910000.0,171883200.0,1671897000.0,291903000.0,2127492000.0,942023000.0,3069515000.0,0.0,1280651000.0,1156629000.0,1237473000.0,2518124000.0,551391000.0,71035000.0,141824000.0,-46753000.0,-210181000.0,0.0,-8046000.0,117.53
2017-12-31,549093100.0,134164000.0,414929100.0,311270000.0,-900000.0,-17346000.0,-0.16,78931100.0,-900000.0,171176000.0,1779298000.0,437051000.0,2421951000.0,1128294000.0,3550245000.0,543418000.0,2039479000.0,630018000.0,732022000.0,2771501000.0,778744000.0,79831000.0,184783000.0,-34654000.0,-518284000.0,0.0,-47226000.0,130.39
2018-03-31,589222000.0,143473000.0,445749000.0,348764000.0,-20283000.0,10622000.0,0.06,60611000.0,-20283000.0,175482800.0,1885959000.0,371008000.0,2489926000.0,1214559000.0,3704485000.0,516925000.0,2098016000.0,637795000.0,741306000.0,2839322000.0,865163000.0,80894000.0,250080000.0,-35371000.0,-237246000.0,0.0,-61792000.0,165.45
2018-06-30,631056000.0,153165000.0,477891100.0,381964000.0,-31989000.0,-52746000.0,-0.30000000000000004,52601000.0,-31989000.0,177343000.0,1749658000.0,367598000.0,2351629000.0,1121255000.0,3472884000.0,211463000.0,1837041000.0,645668000.0,744133000.0,2581174000.0,891710000.0,84590000.0,125896000.0,-52991000.0,226312000.0,0.0,-303081000.0,172.47
2018-09-30,673097000.0,157858000.0,515239000.0,370016000.0,9568000.0,8405000.0,0.05,101738000.0,9568000.0,178719700.0,1626040000.0,424698000.0,2292185000.0,1289257000.0,3581442000.0,160972000.0,1818957000.0,653638000.0,742301000.0,2561258000.0,1020184000.0,92170000.0,145501000.0,-47987000.0,-89349000.0,0.0,-68234000.0,195.63
2018-12-31,715441000.0,168162000.0,547279000.0,398339100.0,278000.0,7015000.0,0.04,88319000.0,278000.0,177846000.0,1497922000.0,574810000.0,2344693000.0,1534447000.0,3879140000.0,0.0,2012573000.0,661707000.0,755368000.0,2767941000.0,1111199000.0,88041000.0,289612000.0,-88113000.0,-247139000.0,0.0,-174321000.0,178.05
2019-03-31,788926000.0,186252000.0,602674000.0,445865000.0,-15713000.0,-1545000.0,-0.01,87461000.0,-15713000.0,182062000.0,1662113000.0,422559000.0,2374486000.0,2024409000.0,4398895000.0,41952000.0,2097841000.0,669875000.0,1106103000.0,3203944000.0,1194951000.0,103174000.0,360848000.0,-47124000.0,-200873000.0,0.0,-86400000.0,246.49
2019-06-30,833904000.0,198147000.0,635757000.0,479337000.0,-27000000.0,-11079000.0,-0.06,81571000.0,-27000000.0,186678000.0,1653384000.0,503376000.0,2442287000.0,2160416000.0,4602703000.0,46132000.0,2224979000.0,678145000.0,1116778000.0,3341757000.0,1260946000.0,108571000.0,243735000.0,-49896000.0,-202517000.0,0.0,-97919000.0,274.57
