,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2738000000.0,1040000000.0,1698000000.0,780000000.0,691000000.0,450000000.0,1.43,919000000.0,691000000.0,314500000.0,687000000.0,1158000000.0,246000000.0,2323000000.0,28276000000.0,30599000000.0,47000000.0,1904000000.0,8438000000.0,18585000000.0,20489000000.0,10110000000.0,228000000.0,723000000.0,-360000000.0,-366000000.0,-157000000.0,-338000000.0,77.08
2013-06-30,2802000000.0,1014000000.0,1788000000.0,726000000.0,836000000.0,465000000.0,1.47,1064000000.0,836000000.0,314100000.0,587000000.0,1072000000.0,228000000.0,2078000000.0,28527000000.0,30605000000.0,47000000.0,1815000000.0,8430000000.0,18602000000.0,20417000000.0,10188000000.0,228000000.0,783000000.0,-456000000.0,-441000000.0,-158000000.0,-427000000.0,72.65
2013-09-30,2824000000.0,1010000000.0,1814000000.0,735000000.0,849000000.0,482000000.0,1.55,1080000000.0,849000000.0,310400000.0,1004000000.0,1083000000.0,224000000.0,2494000000.0,28871000000.0,31365000000.0,447000000.0,2332000000.0,8499000000.0,18739000000.0,21071000000.0,10294000000.0,231000000.0,898000000.0,-545000000.0,-562000000.0,-161000000.0,61000000.0,77.35
2013-12-31,2881000000.0,1006000000.0,1875000000.0,761000000.0,881000000.0,506000000.0,1.6600000000000001,1116000000.0,881000000.0,311900000.0,1561000000.0,1024000000.0,223000000.0,3075000000.0,29408000000.0,32483000000.0,545000000.0,2305000000.0,8903000000.0,18889000000.0,21194000000.0,11289000000.0,235000000.0,674000000.0,-466000000.0,-525000000.0,-161000000.0,310000000.0,92.83
2014-03-31,2689000000.0,1045000000.0,1644000000.0,740000000.0,667000000.0,368000000.0,1.18,905000000.0,667000000.0,309500000.0,1532000000.0,1109000000.0,240000000.0,3130000000.0,29570000000.0,32700000000.0,445000000.0,2321000000.0,8909000000.0,18686000000.0,21007000000.0,11693000000.0,238000000.0,588000000.0,-359000000.0,-254000000.0,-167000000.0,-255000000.0,97.17
2014-06-30,3042000000.0,1070000000.0,1972000000.0,715000000.0,1019000000.0,562000000.0,1.81,1259000000.0,1019000000.0,309500000.0,1667000000.0,1122000000.0,251000000.0,3266000000.0,29774000000.0,33040000000.0,433000000.0,2368000000.0,8814000000.0,18595000000.0,20963000000.0,12077000000.0,240000000.0,849000000.0,-406000000.0,-393000000.0,-168000000.0,-311000000.0,103.03
2014-09-30,3023000000.0,1061000000.0,1962000000.0,728000000.0,998000000.0,558000000.0,1.8,1235000000.0,998000000.0,309400000.0,1432000000.0,1103000000.0,249000000.0,3012000000.0,30194000000.0,33206000000.0,2000000.0,2082000000.0,8919000000.0,18685000000.0,20767000000.0,12439000000.0,237000000.0,909000000.0,-545000000.0,-607000000.0,-176000000.0,-537000000.0,111.6
2014-12-31,2870000000.0,1025000000.0,1845000000.0,714000000.0,891000000.0,506000000.0,1.65,1132000000.0,891000000.0,309400000.0,973000000.0,1055000000.0,236000000.0,2778000000.0,30422000000.0,33200000000.0,102000000.0,1780000000.0,8883000000.0,19012000000.0,20792000000.0,12408000000.0,241000000.0,569000000.0,-694000000.0,-748000000.0,-176000000.0,-280000000.0,109.61
2015-03-31,2567000000.0,933000000.0,1634000000.0,783000000.0,606000000.0,308000000.0,1.01,852000000.0,606000000.0,306800000.0,524000000.0,1032000000.0,268000000.0,2115000000.0,30660000000.0,32775000000.0,501000000.0,2103000000.0,8429000000.0,18514000000.0,20617000000.0,12158000000.0,246000000.0,631000000.0,-376000000.0,-378000000.0,-181000000.0,-702000000.0,102.92
2015-06-30,2713000000.0,928000000.0,1785000000.0,724000000.0,814000000.0,432000000.0,1.43,1062000000.0,814000000.0,302900000.0,889000000.0,1055000000.0,277000000.0,2413000000.0,30897000000.0,33310000000.0,500000000.0,2203000000.0,8890000000.0,19030000000.0,21233000000.0,12077000000.0,248000000.0,870000000.0,-478000000.0,-474000000.0,-179000000.0,-31000000.0,87.36
