,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,1630100000.0,665200000.0,964900000.0,559700000.0,187900000.0,158100000.0,0.44,289600000.0,187900000.0,359500000.0,6723900000.0,633800000.0,172900000.0,8048600000.0,2817300000.0,10865900000.0,1243300000.0,3621000000.0,994300000.0,2619900000.0,6240900000.0,4625000000.0,101700000.0,365100000.0,-110700000.0,-89200000.0,0.0,985000000.0,36.0
2013-04-30,1716500000.0,684300000.0,1032200000.0,584400100.0,204399400.0,173800000.0,0.48,309699400.0,204399300.0,361500000.0,6952600000.0,800900000.0,139500000.0,8418200000.0,2824200000.0,11242400000.0,1257800000.0,3830600000.0,994600000.0,2694300000.0,6524900000.0,4717500000.0,105300000.0,455600000.0,-63600000.0,-106600000.0,0.0,-146200000.0,34.89
2013-07-31,1516200000.0,606600000.0,909600000.0,536200000.0,96900000.0,81600000.0,0.23,191000000.0,96900000.0,350900000.0,5084000000.0,533300000.0,116500000.0,6201600000.0,2816300000.0,9017900000.0,0.0,2330100000.0,994800000.0,2669800000.0,4999900000.0,4018000000.0,94100000.0,285800000.0,-65300000.0,325900000.0,-51400000.0,-2084700000.0,41.12
2013-10-31,1549900000.0,584700000.0,965200000.0,549000000.0,186900000.0,166800000.0,0.49,261200000.0,186900000.0,340700000.0,5272700000.0,590400000.0,115900000.0,6420000000.0,2777400000.0,9197400000.0,0.0,2408700000.0,995000000.0,2668300000.0,5077000000.0,4120400000.0,74300000.0,362500000.0,-42200000.0,242100000.0,-51300000.0,-155200000.0,38.81
2014-01-31,1610000000.0,607700000.0,1002300000.0,545300000.0,226700000.0,192100000.0,0.5700000000000001,310300000.0,226700000.0,339400000.0,5069300000.0,584300000.0,118200000.0,6229400000.0,2771200000.0,9000600000.0,0.0,2423800000.0,995200000.0,2660900000.0,5084700000.0,3915900000.0,83600000.0,331800000.0,-57900000.0,31900000.0,-50400000.0,-467400000.0,42.34
2014-04-30,1648900000.0,607000100.0,1041900000.0,548499900.0,223499900.0,197500000.0,0.6000000000000001,305499900.0,223500000.0,340000000.0,5003300000.0,855900000.0,122400000.0,6471300000.0,2742500000.0,9213800000.0,0.0,2694600000.0,990100000.0,2732700000.0,5427300000.0,3786500000.0,82000000.0,369900000.0,-55600000.0,160100000.0,-48900000.0,-396700000.0,35.61
2014-07-31,1489000000.0,551000000.0,938000000.0,550000000.0,160000000.0,88000000.0,0.27,238000000.0,160000000.0,323000000.0,5564200000.0,585400000.0,104200000.0,6748100000.0,2724300000.0,9472400000.0,0.0,2400900000.0,1494100000.0,3234800000.0,5635700000.0,3836700000.0,78000000.0,216000000.0,-58000000.0,133000000.0,-53000000.0,392000000.0,38.84
2014-10-31,1543000000.0,560000000.0,983000000.0,561000000.0,193000000.0,160000000.0,0.5,270000000.0,193000000.0,318000000.0,5269400000.0,632700000.0,107600000.0,6489100000.0,2688400000.0,9177500000.0,0.0,2491000000.0,1494400000.0,3225200000.0,5716200000.0,3461300000.0,77000000.0,381000000.0,-51000000.0,118000000.0,-52000000.0,-605000000.0,42.8
2015-01-31,1551000000.0,574000000.0,977000000.0,545000000.0,202000000.0,177000000.0,0.5700000000000001,282000000.0,202000000.0,312000000.0,5252500000.0,666300000.0,117800000.0,6554600000.0,2680100000.0,9234700000.0,0.0,2491300000.0,1494700000.0,3235400000.0,5726700000.0,3508000000.0,80000000.0,275000000.0,-29000000.0,-430000000.0,-52000000.0,-176000000.0,37.8
2015-04-30,1540000000.0,605000000.0,935000000.0,541000000.0,161000000.0,135000000.0,0.44,233000000.0,161000000.0,316000000.0,5326000000.0,779000000.0,146000000.0,6773000000.0,2628000000.0,9401000000.0,0.0,2709000000.0,1487000000.0,3278000000.0,5987000000.0,3414000000.0,72000000.0,396000000.0,-37000000.0,-724000000.0,-51000000.0,-286000000.0,36.25
2015-07-31,1335000000.0,519000000.0,816000000.0,571000000.0,-26000000.0,-30000000.0,-0.1,43000000.0,-26000000.0,304000000.0,4950000000.0,415000000.0,193000000.0,6119000000.0,2578000000.0,8697000000.0,0.0,2480000000.0,1488000000.0,3217000000.0,5697000000.0,3000000000.0,69000000.0,129000000.0,-38000000.0,742000000.0,-54000000.0,-464000000.0,31.15
2015-10-31,1445000000.0,561000000.0,884000000.0,522000000.0,145000000.0,114000000.0,0.39,212000000.0,145000000.0,294000000.0,4814000000.0,587000000.0,125000000.0,6081000000.0,2554000000.0,8635000000.0,0.0,2453000000.0,1489000000.0,3195000000.0,5648000000.0,2987000000.0,67000000.0,145000000.0,-46000000.0,-38000000.0,-53000000.0,-230000000.0,34.0
