,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4550772000.0,4247556000.0,303215800.0,116225000.0,186990700.0,84403000.0,0.26,336463700.0,186990700.0,318686000.0,932203000.0,1791321000.0,2381648000.0,5546741000.0,8492269000.0,14039010000.0,292384000.0,1986987000.0,3380200000.0,4249780000.0,6236767000.0,7802243000.0,149473000.0,128811000.0,-327627000.0,-138787000.0,-117618000.0,-139091000.0,46.15
2013-06-30,4665588000.0,4352463000.0,313125000.0,123150000.0,189975100.0,84726000.0,0.27,336467100.0,189975100.0,318903000.0,678123000.0,1767177000.0,2279744000.0,5183163000.0,8583488000.0,13766650000.0,31668000.0,1740576000.0,3380200000.0,4254845000.0,5995421000.0,7771230000.0,146492000.0,356163000.0,-283534000.0,-227241000.0,-117662000.0,-399850000.0,43.32
2013-09-30,4940936000.0,4532393000.0,408543000.0,125126000.0,283417000.0,147079000.0,0.46,433998000.0,283417000.0,319341000.0,1771385000.0,1918165000.0,2439847000.0,6468877000.0,8622898000.0,15091780000.0,38203000.0,1993489000.0,4380200000.0,5235014000.0,7228503000.0,7863273000.0,150581000.0,398666000.0,-247440000.0,-181624000.0,-117875000.0,874484000.0,49.02
2013-12-31,4894751000.0,4509010000.0,385741200.0,103403000.0,268339400.0,169898000.0,0.53,432001400.0,268337900.0,319077000.0,1511443000.0,1810987000.0,2605609000.0,6410046000.0,8793237000.0,15203280000.0,32502000.0,1960216000.0,4376900000.0,5332789000.0,7293005000.0,7910278000.0,163662000.0,194309000.0,-304254000.0,-292318000.0,-117873000.0,-139499000.0,53.38
2014-03-31,5108444000.0,4731242000.0,377201700.0,133434000.0,243767600.0,110640000.0,0.35000000000000003,423679600.0,243767600.0,319505000.0,1252542000.0,1900293000.0,2724194000.0,6309873000.0,8808139000.0,15118010000.0,30372000.0,1895968000.0,4376900000.0,5361508000.0,7257476000.0,7860535000.0,179912000.0,149214000.0,-253518000.0,-331502000.0,-118680000.0,-145905000.0,50.54
2014-06-30,5291075000.0,4875208000.0,415867200.0,132813000.0,283054200.0,146554000.0,0.46,465836200.0,283054200.0,319693000.0,1167561000.0,2071439000.0,2738658000.0,6494790000.0,8816098000.0,15310890000.0,53714000.0,2017226000.0,4368900000.0,5347649000.0,7364875000.0,7946013000.0,182782000.0,294115000.0,-180422000.0,-266866000.0,-118689000.0,-114552000.0,49.25
2014-09-30,5701869000.0,5102283000.0,599585900.0,152604000.0,446981900.0,244666000.0,0.76,625098900.0,446981900.0,320023000.0,1395945000.0,2243908000.0,2683235000.0,6796244000.0,8697350000.0,15493590000.0,57401000.0,2156496000.0,4360600000.0,5321395000.0,7477891000.0,8015703000.0,178117000.0,482234000.0,-104561000.0,-118698000.0,-118861000.0,-132560000.0,54.28
2014-12-31,5003752000.0,4547171000.0,456581500.0,101954000.0,329235400.0,175156000.0,0.66,512847400.0,329235400.0,319838000.0,1124144000.0,2068298000.0,2745032000.0,6441888000.0,9174039000.0,15615930000.0,223811000.0,2097776000.0,4360600000.0,5443033000.0,7540809000.0,8075118000.0,183612000.0,417335000.0,-92918000.0,-720996000.0,-118893000.0,33970000.0,49.05
2015-03-31,4399440000.0,4111158000.0,288281700.0,124561000.0,163720700.0,67450000.0,0.21,340309700.0,163720700.0,320315000.0,1265864000.0,1711101000.0,2405916000.0,5862989000.0,8992448000.0,14855440000.0,43191000.0,1524806000.0,4360600000.0,5424961000.0,6949767000.0,7905671000.0,176589000.0,563694000.0,-74919000.0,-105752000.0,-119712000.0,-324845000.0,47.53
2015-06-30,4357609000.0,3971303000.0,386305900.0,128592000.0,257713900.0,124344000.0,0.39,432540800.0,257713900.0,320506000.0,1688732000.0,1791523000.0,2267394000.0,6154737000.0,8913440000.0,15068180000.0,50964000.0,1690077000.0,4360600000.0,5403015000.0,7093092000.0,7975085000.0,174827000.0,631010000.0,-82402000.0,-85629000.0,-119764000.0,-125902000.0,44.07
2015-09-30,4225514000.0,3701678000.0,523836200.0,124339000.0,399497100.0,226389000.0,0.71,572993000.0,399497100.0,320819000.0,1995425000.0,1716356000.0,2361071000.0,6465731000.0,8803736000.0,15269470000.0,54601000.0,1847411000.0,4360600000.0,5374716000.0,7222127000.0,8047341000.0,173496000.0,562595000.0,-100770000.0,-105762000.0,-119985000.0,-133135000.0,37.55
2015-12-31,3456713000.0,3541247000.0,-84534200.0,81497000.0,-410864300.0,-338973000.0,-0.19,-235759200.0,-410864300.0,320565000.0,2039469000.0,1383823000.0,2245469000.0,5854405000.0,8472563000.0,14326970000.0,51315000.0,1385173000.0,4337145000.0,5091919000.0,6477092000.0,7849877000.0,175105000.0,411462000.0,-86642000.0,-144553000.0,-119971000.0,-217587000.0,40.3
2016-03-31,3715576000.0,3400591000.0,314984900.0,109745000.0,205239700.0,87196000.0,0.22,375600700.0,205239700.0,319240000.0,2328488000.0,1493892000.0,2007879000.0,6006149000.0,8388955000.0,14395100000.0,36655000.0,1550130000.0,4337875000.0,5066902000.0,6617032000.0,7778072000.0,170361000.0,550859000.0,-75388000.0,-32080000.0,-120153000.0,-190056000.0,47.3
2016-06-30,4245772000.0,3660512000.0,585260000.0,161711000.0,423549100.0,243620000.0,0.73,594863100.0,423549100.0,319360000.0,2331150000.0,1789942000.0,2288134000.0,6538498000.0,8386085000.0,14924580000.0,19951000.0,1936108000.0,4337561000.0,5067766000.0,7003874000.0,7920709000.0,171314000.0,315513000.0,-140323000.0,-639874000.0,-120149000.0,-176717000.0,49.41
2016-09-30,4290236000.0,3608000000.0,682235800.0,169223000.0,513012900.0,304413000.0,0.84,684512900.0,513012900.0,319737000.0,2354707000.0,1850455000.0,2338432000.0,6700422000.0,8413257000.0,15113680000.0,29795000.0,1898487000.0,4338347000.0,5124676000.0,7023163000.0,8090516000.0,171500000.0,315718000.0,-96842000.0,-273521000.0,-120373000.0,-115791000.0,49.45
2016-12-31,3956539000.0,3513112000.0,443426800.0,156082000.0,287344700.0,158410000.0,0.5,461223800.0,287344700.0,319563000.0,2195961000.0,1631676000.0,2479958000.0,6506393000.0,8717125000.0,15223520000.0,617959000.0,2389966000.0,3739141000.0,4578844000.0,6968810000.0,8254708000.0,173879000.0,567911000.0,-273716000.0,-79643000.0,-120408000.0,-143870000.0,59.52
2017-03-31,4815179000.0,4054929000.0,760250200.0,176426000.0,583824200.0,355707000.0,1.11,764717200.0,583824200.0,320224000.0,1707759000.0,1980556000.0,3064170000.0,6878193000.0,8997267000.0,15875460000.0,648153000.0,2837796000.0,3739908000.0,4569593000.0,7407389000.0,8468071000.0,180893000.0,244142000.0,-85665000.0,-484725000.0,-121303000.0,-147102000.0,59.72
