,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1240800000.0,767200000.0,473600000.0,341400000.0,97800100.0,54200000.0,0.19,137600100.0,97800100.0,290000000.0,174200000.0,1021300000.0,815000000.0,2356600000.0,3840600000.0,6197200000.0,413000000.0,1674600000.0,1699600000.0,2534000000.0,4208600000.0,1988600000.0,39800000.0,-123100000.0,-33600000.0,-33900000.0,-44500000.0,148100000.0,26.1
2013-06-30,1474700000.0,892000000.0,582700000.0,365300000.0,185399900.0,109800000.0,0.38,225199900.0,185399900.0,290900000.0,154100000.0,1215300000.0,884700000.0,2600200000.0,3802700000.0,6402900000.0,413200000.0,1841400000.0,1669000000.0,2521000000.0,4362400000.0,2040500000.0,39800000.0,63300000.0,-23400000.0,-23400000.0,-43600000.0,-57600000.0,26.25
2013-09-30,1466100000.0,913600000.0,552500000.0,342700000.0,178499900.0,193300000.0,0.67,218299900.0,178499900.0,290100000.0,197400000.0,1056900000.0,822600000.0,2384200000.0,3768700000.0,6152900000.0,30100000.0,1442800000.0,1671100000.0,2517000000.0,3959800000.0,2193100000.0,39800000.0,360800000.0,-28700000.0,154300000.0,-44000000.0,-472700000.0,27.5
2013-12-31,1425400000.0,909300000.0,516099900.0,350100100.0,153400100.0,117300000.0,0.41000000000000003,192900100.0,153400300.0,288600000.0,226300000.0,1105100000.0,684400000.0,2285600000.0,3784100000.0,6069700000.0,174800000.0,1604500000.0,1661600000.0,2390200000.0,3994700000.0,2075000000.0,39500000.0,304200000.0,137300000.0,-43600000.0,-42000000.0,-231300000.0,32.41
2014-03-31,1214300000.0,757300000.0,457000100.0,340300000.0,104700100.0,52900000.0,0.19,142800100.0,104700100.0,280900000.0,136800000.0,973100000.0,801300000.0,2231300000.0,3762600000.0,5993900000.0,319500000.0,1552800000.0,1666700000.0,2367600000.0,3920400000.0,2073500000.0,38100000.0,-92100000.0,-31900000.0,-32200000.0,-42900000.0,73900000.0,29.9
2014-06-30,1502200000.0,906600000.0,595600000.0,370800000.0,213300000.0,150600000.0,0.54,250900100.0,213300000.0,277400000.0,142700000.0,1230400000.0,811800000.0,2458600000.0,3759500000.0,6218100000.0,640700000.0,1986400000.0,1424200000.0,2128100000.0,4114500000.0,2103600000.0,37600000.0,96200000.0,-35100000.0,-31700000.0,-46900000.0,-70600000.0,30.99
2014-09-30,1484500000.0,907800000.0,576700000.0,383800000.0,173200100.0,122300000.0,0.45,211900100.0,173200100.0,273500000.0,132600000.0,1158300000.0,789400000.0,2377400000.0,3971800000.0,6349200000.0,768100000.0,2188700000.0,1418700000.0,2131500000.0,4320200000.0,2029000000.0,38700000.0,339200000.0,-34000000.0,-344500000.0,-46300000.0,-6300000.0,34.41
2014-12-31,1526000000.0,951900100.0,574099900.0,385600000.0,113499900.0,52000000.0,0.19,155199900.0,113500000.0,276100000.0,199400000.0,1248200000.0,708500000.0,2292200000.0,4272100000.0,6564300000.0,397400000.0,1888600000.0,2084500000.0,2820800000.0,4709400000.0,1854900000.0,41700000.0,290800000.0,-41900000.0,-343500000.0,-46400000.0,122000000.0,38.09
2015-03-31,1264000000.0,776500000.0,487500000.0,362000000.0,98200000.0,54100000.0,0.2,140399900.0,98200000.0,270500000.0,215400000.0,1053200000.0,852300000.0,2423000000.0,4181600000.0,6604600000.0,740400000.0,2044200000.0,2094100000.0,2861400000.0,4905600000.0,1699000000.0,42200000.0,-154300000.0,-50900000.0,-49100000.0,-53200000.0,218200000.0,39.07
2015-06-30,1560900000.0,939900000.0,621000000.0,393000000.0,214700000.0,148500000.0,0.55,257999900.0,214700000.0,269700000.0,238700000.0,1304400000.0,935600000.0,2753000000.0,4205800000.0,6958800000.0,782600000.0,2306500000.0,2080900000.0,2869200000.0,5175700000.0,1783100000.0,43300000.0,102500000.0,-34900000.0,-27900000.0,-51200000.0,-55600000.0,41.11
