,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-06-30,2257000000.0,1380000000.0,877000000.0,747000000.0,-20000000.0,-1124000000.0,-1.94,130000000.0,-20000000.0,579381000.0,2381000000.0,1582000000.0,0.0,4643000000.0,11000000000.0,15643000000.0,0.0,2171000000.0,0.0,776000000.0,2947000000.0,12696000000.0,150000000.0,81000000.0,19000000.0,18000000.0,0.0,823000000.0,15.25
2013-09-30,2072000000.0,1295000000.0,777000000.0,636000000.0,0.0,27000000.0,0.05,141000000.0,0.0,578800000.0,2688000000.0,2010000000.0,0.0,5230000000.0,11113000000.0,16343000000.0,0.0,2645000000.0,0.0,739000000.0,3384000000.0,12959000000.0,141000000.0,59000000.0,29000000.0,27000000.0,-12000000.0,205000000.0,16.06
2013-12-31,2238000000.0,1274000000.0,964000000.0,637000000.0,189000000.0,150000000.0,0.26,327000000.0,189000000.0,578900000.0,2908000000.0,1628000000.0,0.0,5112000000.0,10871000000.0,15983000000.0,0.0,2292000000.0,0.0,800000000.0,3092000000.0,12891000000.0,138000000.0,348000000.0,-76000000.0,-102000000.0,-1000000.0,-1000000.0,18.02
2014-03-31,2078000000.0,1259000000.0,819000000.0,644000000.0,33000000.0,48000000.0,0.08,175000000.0,33000000.0,579000000.0,3207000000.0,1485000000.0,0.0,5370000000.0,11173000000.0,16543000000.0,0.0,2498000000.0,0.0,857000000.0,3355000000.0,13188000000.0,142000000.0,396000000.0,-88000000.0,-111000000.0,-10000000.0,-13000000.0,17.22
2014-06-30,2098000000.0,1246000000.0,852000000.0,532000000.0,189000000.0,12000000.0,0.02,320000000.0,189000000.0,579000000.0,3145000000.0,1454000000.0,0.0,5270000000.0,11219000000.0,16489000000.0,0.0,2264000000.0,0.0,806000000.0,3070000000.0,13419000000.0,131000000.0,226000000.0,-21000000.0,-99000000.0,-1000000.0,-2000000.0,17.94
2014-09-30,2108000000.0,1282000000.0,826000000.0,632000000.0,70000000.0,65000000.0,0.11,194000000.0,70000000.0,579500000.0,2735000000.0,1471000000.0,0.0,4865000000.0,11258000000.0,16123000000.0,0.0,2293000000.0,0.0,828000000.0,3121000000.0,13002000000.0,124000000.0,220000000.0,20000000.0,-509000000.0,-17000000.0,-26000000.0,16.35
2014-12-31,2258000000.0,1251000000.0,1007000000.0,655000000.0,225000000.0,143000000.0,0.24,352000000.0,225000000.0,580200000.0,1918000000.0,1505000000.0,0.0,4052000000.0,11918000000.0,15970000000.0,0.0,2329000000.0,0.0,854000000.0,3183000000.0,12787000000.0,127000000.0,324000000.0,-56000000.0,-956000000.0,0.0,-130000000.0,15.69
2015-03-31,2041000000.0,1204000000.0,837000000.0,653000000.0,60000000.0,23000000.0,0.04,184000000.0,60000000.0,581800000.0,2027000000.0,1360000000.0,0.0,4088000000.0,11598000000.0,15686000000.0,0.0,2273000000.0,0.0,867000000.0,3140000000.0,12546000000.0,124000000.0,282000000.0,-48000000.0,-48000000.0,-12000000.0,-4000000.0,16.01
2015-06-30,2117000000.0,1215000000.0,902000000.0,687000000.0,92000000.0,-380000000.0,-0.65,215000000.0,92000000.0,581000000.0,1951000000.0,1283000000.0,0.0,4014000000.0,11021000000.0,15035000000.0,0.0,2110000000.0,0.0,789000000.0,2899000000.0,12136000000.0,123000000.0,5000000.0,-42000000.0,-228000000.0,-1000000.0,-30000000.0,14.59
2015-09-30,2014000000.0,1199000000.0,815000000.0,650000000.0,44000000.0,175000000.0,0.30000000000000004,165000000.0,44000000.0,581000000.0,1898000000.0,1361000000.0,0.0,3889000000.0,10867000000.0,14756000000.0,0.0,2166000000.0,0.0,809000000.0,2975000000.0,11781000000.0,121000000.0,141000000.0,-61000000.0,-86000000.0,-16000000.0,-37000000.0,12.62
2015-12-31,2161000000.0,1193000000.0,968000000.0,688000000.0,157000000.0,62000000.0,0.11,280000000.0,157000000.0,581200000.0,1883000000.0,1409000000.0,0.0,3795000000.0,11080000000.0,14875000000.0,0.0,2096000000.0,0.0,800000000.0,2896000000.0,11979000000.0,123000000.0,205000000.0,-57000000.0,-164000000.0,-58000000.0,-62000000.0,13.36
2016-03-31,1891000000.0,1084000000.0,807000000.0,649000000.0,-248000000.0,-149000000.0,-0.26,-122000000.0,-248000000.0,580200000.0,1972000000.0,1254000000.0,0.0,3905000000.0,11811000000.0,15716000000.0,0.0,2648000000.0,369000000.0,1223000000.0,3871000000.0,11845000000.0,126000000.0,177000000.0,-58000000.0,-438000000.0,-14000000.0,303000000.0,12.77
2016-06-30,2226000000.0,1252000000.0,974000000.0,735000000.0,226000000.0,89000000.0,0.15,361000000.0,226000000.0,580600000.0,2147000000.0,1229000000.0,0.0,3889000000.0,11594000000.0,15483000000.0,0.0,2442000000.0,369000000.0,1239000000.0,3681000000.0,11802000000.0,135000000.0,355000000.0,-39000000.0,-423000000.0,-59000000.0,-54000000.0,11.35
2016-09-30,1965000000.0,1157000000.0,808000000.0,678000000.0,10000000.0,-15000000.0,-0.03,130000000.0,10000000.0,580800000.0,1499000000.0,1294000000.0,0.0,3328000000.0,11941000000.0,15269000000.0,0.0,2287000000.0,377000000.0,1236000000.0,3523000000.0,11746000000.0,120000000.0,-271000000.0,-25000000.0,-11000000.0,-18000000.0,-59000000.0,13.98
2016-12-31,2116000000.0,1126000000.0,990000000.0,665000000.0,205000000.0,-290000000.0,-0.5,325000000.0,205000000.0,581400000.0,1564000000.0,1528000000.0,0.0,3591000000.0,10936000000.0,14527000000.0,0.0,2325000000.0,268000000.0,974000000.0,3299000000.0,11228000000.0,120000000.0,272000000.0,-24000000.0,-107000000.0,-59000000.0,-62000000.0,11.46
2017-03-31,1978000000.0,1101000000.0,877000000.0,662000000.0,106000000.0,-5000000.0,-0.01,215000000.0,106000000.0,581600000.0,1850000000.0,1326000000.0,0.0,3762000000.0,11124000000.0,14886000000.0,0.0,2461000000.0,273000000.0,1008000000.0,3469000000.0,11417000000.0,109000000.0,218000000.0,113000000.0,69000000.0,-16000000.0,-31000000.0,13.0
2017-06-30,2080000000.0,1145000000.0,935000000.0,723000000.0,112000000.0,-430000000.0,-0.74,212000000.0,112000000.0,581400000.0,2016000000.0,1276000000.0,208000000.0,3815000000.0,10737000000.0,14552000000.0,103000000.0,2452000000.0,276000000.0,1007000000.0,3459000000.0,11093000000.0,100000000.0,275000000.0,-49000000.0,-371000000.0,-59000000.0,-65000000.0,13.7
2017-09-30,2058000000.0,1149000000.0,909000000.0,661000000.0,151000000.0,68000000.0,0.12,248000000.0,151000000.0,582300000.0,1877000000.0,1365000000.0,0.0,3768000000.0,10894000000.0,14662000000.0,0.0,2417000000.0,281000000.0,1049000000.0,3466000000.0,11196000000.0,97000000.0,-4000000.0,-62000000.0,-121000000.0,-21000000.0,-31000000.0,13.26
2017-12-31,2180000000.0,1139000000.0,1041000000.0,713000000.0,228000000.0,-84000000.0,-0.14,328000000.0,228000000.0,582700000.0,1856000000.0,1379000000.0,0.0,3718000000.0,10641000000.0,14359000000.0,0.0,2270000000.0,187000000.0,931000000.0,3201000000.0,11158000000.0,100000000.0,208000000.0,-51000000.0,-55000000.0,-59000000.0,-171000000.0,16.21
2018-03-31,2093000000.0,1151000000.0,942000000.0,761000000.0,81000000.0,-1128000000.0,-1.94,181000000.0,81000000.0,582800000.0,2112000000.0,1328000000.0,0.0,3986000000.0,9386000000.0,13372000000.0,0.0,2467000000.0,184000000.0,894000000.0,3361000000.0,10011000000.0,100000000.0,261000000.0,50000000.0,32000000.0,-19000000.0,-32000000.0,15.8
2018-06-30,2693000000.0,1465000000.0,1228000000.0,914000000.0,139000000.0,-372000000.0,-0.64,314000000.0,139000000.0,582700000.0,2034000000.0,1612000000.0,376000000.0,4394000000.0,11952000000.0,16346000000.0,462000000.0,3295000000.0,1490000000.0,2574000000.0,5869000000.0,10477000000.0,175000000.0,292000000.0,-163000000.0,-177000000.0,-59000000.0,-164000000.0,15.5
2018-09-30,2524000000.0,1340000000.0,1184000000.0,826000000.0,195000000.0,101000000.0,0.17,358000000.0,195000000.0,583900000.0,1886000000.0,1648000000.0,388000000.0,4469000000.0,11819000000.0,16288000000.0,671000000.0,3545000000.0,1186000000.0,2313000000.0,5858000000.0,10430000000.0,163000000.0,113000000.0,-133000000.0,-121000000.0,-23000000.0,-124000000.0,13.19
2018-12-31,2627000000.0,1484000000.0,1143000000.0,773000000.0,207000000.0,95000000.0,0.16,370000000.0,207000000.0,584900000.0,1618000000.0,1853000000.0,400000000.0,4429000000.0,11798000000.0,16227000000.0,744000000.0,3712000000.0,936000000.0,2081000000.0,5793000000.0,10434000000.0,163000000.0,245000000.0,-99000000.0,-288000000.0,-58000000.0,-209000000.0,11.35
2019-03-31,2457000000.0,1400000000.0,1057000000.0,810000000.0,79000000.0,10000000.0,0.02,247000000.0,79000000.0,585000000.0,1648000000.0,1631000000.0,404000000.0,4247000000.0,11811000000.0,16058000000.0,678000000.0,3679000000.0,868000000.0,1921000000.0,5600000000.0,10458000000.0,168000000.0,303000000.0,-135000000.0,-114000000.0,-21000000.0,-168000000.0,12.44
2019-06-30,2466000000.0,1415000000.0,1051000000.0,782000000.0,104000000.0,-51000000.0,-0.09,269000000.0,104000000.0,584700000.0,1643000000.0,1544000000.0,348000000.0,4050000000.0,11661000000.0,15711000000.0,449000000.0,3340000000.0,1004000000.0,2060000000.0,5400000000.0,10311000000.0,165000000.0,267000000.0,-102000000.0,-154000000.0,-59000000.0,-109000000.0,13.49
2019-09-30,2340000000.0,1338000000.0,1002000000.0,781000000.0,59000000.0,-227000000.0,-0.39,221000000.0,59000000.0,586700000.0,1441000000.0,1540000000.0,402000000.0,3799000000.0,12434000000.0,16233000000.0,622000000.0,3492000000.0,707000000.0,2912000000.0,6404000000.0,9829000000.0,162000000.0,27000000.0,-114000000.0,-118000000.0,-22000000.0,-95000000.0,13.92
2019-12-31,2479000000.0,1351000000.0,1128000000.0,773000000.0,193000000.0,85000000.0,0.15,355000000.0,193000000.0,588200000.0,1272000000.0,1570000000.0,358000000.0,3718000000.0,12564000000.0,16282000000.0,183000000.0,2727000000.0,1201000000.0,3428000000.0,6155000000.0,10127000000.0,162000000.0,165000000.0,-113000000.0,-116000000.0,-59000000.0,-233000000.0,14.14
2020-03-31,2266000000.0,1283000000.0,983000000.0,741000000.0,82000000.0,-730000000.0,-1.24,242000000.0,82000000.0,588300000.0,1388000000.0,1237000000.0,363000000.0,3741000000.0,10687000000.0,14428000000.0,156000000.0,2689000000.0,1115000000.0,3171000000.0,5860000000.0,8568000000.0,160000000.0,270000000.0,-105000000.0,-93000000.0,-19000000.0,-13000000.0,8.98
2020-06-30,1923000000.0,1028000000.0,895000000.0,700000000.0,35000000.0,-397000000.0,-0.67,195000000.0,35000000.0,587900000.0,1517000000.0,1203000000.0,348000000.0,3461000000.0,10800000000.0,14261000000.0,76000000.0,2682000000.0,1183000000.0,3190000000.0,5872000000.0,8389000000.0,160000000.0,318000000.0,-70000000.0,-100000000.0,-58000000.0,-131000000.0,11.86
2020-09-30,2117000000.0,1164000000.0,953000000.0,685000000.0,104000000.0,34000000.0,0.06,268000000.0,104000000.0,589500000.0,1539000000.0,1240000000.0,203000000.0,3435000000.0,10965000000.0,14400000000.0,78000000.0,2738000000.0,1206000000.0,3208000000.0,5946000000.0,8454000000.0,164000000.0,155000000.0,-91000000.0,-96000000.0,-20000000.0,-50000000.0,14.02
2020-12-31,2414000000.0,1198000000.0,1216000000.0,719000000.0,330000000.0,231000000.0,0.39,497000000.0,330000000.0,590700000.0,1562000000.0,1444000000.0,203000000.0,3596000000.0,11498000000.0,15094000000.0,212000000.0,2861000000.0,1044000000.0,3159000000.0,6020000000.0,9074000000.0,167000000.0,328000000.0,-79000000.0,-180000000.0,-60000000.0,-169000000.0,17.97
2021-03-31,2335000000.0,1186000000.0,1149000000.0,851000000.0,125000000.0,79000000.0,0.13,298000000.0,125000000.0,590800000.0,1974000000.0,1335000000.0,246000000.0,3943000000.0,11454000000.0,15397000000.0,212000000.0,3169000000.0,1000000000.0,3099000000.0,6268000000.0,9129000000.0,173000000.0,577000000.0,-59000000.0,-70000000.0,-24000000.0,-110000000.0,25.43
2021-06-30,2492000000.0,1283000000.0,1209000000.0,999000000.0,34000000.0,-14000000.0,-0.02,210000000.0,34000000.0,590400000.0,2236000000.0,1498000000.0,253000000.0,4456000000.0,12315000000.0,16771000000.0,28000000.0,3234000000.0,2285000000.0,4391000000.0,7625000000.0,9146000000.0,176000000.0,177000000.0,-137000000.0,-946000000.0,-59000000.0,1028000000.0,25.77
2021-09-30,2502000000.0,1244000000.0,1258000000.0,848000000.0,245000000.0,196000000.0,0.33,410000000.0,245000000.0,591700000.0,2100000000.0,1499000000.0,308000000.0,4372000000.0,12046000000.0,16418000000.0,300000000.0,3272000000.0,1964000000.0,3998000000.0,7270000000.0,9148000000.0,165000000.0,68000000.0,-103000000.0,-95000000.0,-27000000.0,-85000000.0,23.53
2021-12-31,2717000000.0,1279000000.0,1438000000.0,852000000.0,418000000.0,235000000.0,0.4,586000000.0,418000000.0,592100000.0,2184000000.0,1665000000.0,248000000.0,4599000000.0,11921000000.0,16520000000.0,302000000.0,3233000000.0,1968000000.0,3940000000.0,7173000000.0,9347000000.0,168000000.0,362000000.0,-107000000.0,-154000000.0,-59000000.0,-113000000.0,22.31
2022-03-31,2492000000.0,1246000000.0,1246000000.0,888000000.0,186000000.0,82000000.0,0.14,358000000.0,186000000.0,588800000.0,1865000000.0,1532000000.0,308000000.0,4162000000.0,13257000000.0,17419000000.0,306000000.0,3527000000.0,2496000000.0,4476000000.0,8003000000.0,9416000000.0,172000000.0,600000000.0,-107000000.0,-1305000000.0,-28000000.0,372000000.0,22.15
2022-06-30,2674000000.0,1355000000.0,1319000000.0,1004000000.0,132000000.0,110000000.0,0.19,315000000.0,132000000.0,589500000.0,1822000000.0,1502000000.0,311000000.0,4093000000.0,13128000000.0,17221000000.0,293000000.0,3519000000.0,2776000000.0,4559000000.0,8078000000.0,9143000000.0,183000000.0,324000000.0,-179000000.0,-522000000.0,-61000000.0,230000000.0,15.58
2022-09-30,2478000000.0,1273000000.0,1205000000.0,855000000.0,171000000.0,40000000.0,0.07,350000000.0,171000000.0,581300000.0,1458000000.0,1473000000.0,373000000.0,3754000000.0,12633000000.0,16387000000.0,23000000.0,3013000000.0,2977000000.0,4646000000.0,7659000000.0,8728000000.0,179000000.0,-31000000.0,-100000000.0,-130000000.0,-31000000.0,-149000000.0,15.11
