,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,661000000.0,456500000.0,204500000.0,76000000.0,37700000.0,22600000.0,0.05,89300000.0,37700000.0,449500000.0,614300000.0,367200000.0,561400000.0,1617500000.0,1615200000.0,3232700000.0,242800000.0,874000000.0,706800000.0,944800000.0,1818800000.0,1413900000.0,51600000.0,85200000.0,-30900000.0,38000000.0,0.0,-65200000.0,8.28
2013-06-30,688300000.0,456500000.0,231800000.0,83500000.0,50900000.0,47700000.0,0.11,103500000.0,50900000.0,450700000.0,579000000.0,407600000.0,559700000.0,1621800000.0,1619600000.0,3241400000.0,231300000.0,876600000.0,686300000.0,899500000.0,1776100000.0,1465300000.0,52600000.0,55200000.0,-45400000.0,-153900000.0,0.0,-40900000.0,8.08
2013-09-30,715400000.0,466200000.0,249200000.0,78700000.0,67300000.0,51800000.0,0.12,120500000.0,67300000.0,449300000.0,553600000.0,419200000.0,585300000.0,1645700000.0,1603000000.0,3248700000.0,249000000.0,878100000.0,659400000.0,868900000.0,1747000000.0,1501700000.0,53200000.0,59900000.0,-50200000.0,-51500000.0,0.0,-34300000.0,7.31
2013-12-31,717999800.0,474399900.0,243599900.0,81500000.0,52999900.0,28300000.0,0.06,108700000.0,53000100.0,447900000.0,625700000.0,383400000.0,608800000.0,1707200000.0,1586600000.0,3293800000.0,181600000.0,819200000.0,760600000.0,951000000.0,1770200000.0,1523600000.0,55700000.0,127000000.0,-20300000.0,49200000.0,0.0,-33600000.0,8.24
2014-03-31,706500000.0,458300000.0,248200000.0,85400000.0,70700000.0,55700000.0,0.13,123400000.0,70700000.0,440400000.0,617000000.0,417100000.0,613900000.0,1737300000.0,1549400000.0,3286700000.0,173700000.0,824200000.0,746500000.0,922600000.0,1746800000.0,1539900000.0,52700000.0,74900000.0,-46300000.0,14900000.0,0.0,-38300000.0,9.4
2014-06-30,757600000.0,479500000.0,278100000.0,92600000.0,86800100.0,94100000.0,0.2,145100100.0,86800100.0,441100000.0,601200000.0,437300000.0,632600000.0,1761600000.0,1656800000.0,3418400000.0,169400000.0,869300000.0,735500000.0,909600000.0,1778900000.0,1639500000.0,58300000.0,151600000.0,-48700000.0,-86900000.0,-1200000.0,-27900000.0,9.14
2014-09-30,833500000.0,552600000.0,280900000.0,99600000.0,56800100.0,40500000.0,0.09,129200000.0,56800100.0,440700000.0,494900000.0,488700000.0,724300000.0,1813200000.0,2069000000.0,3882200000.0,203300000.0,1013000000.0,980300000.0,1194900000.0,2207900000.0,1674300000.0,72400000.0,92300000.0,-65700000.0,-438400000.0,-1500000.0,241600000.0,8.94
2014-12-31,864200100.0,586499900.0,277700100.0,103300000.0,14600000.0,-600000.0,0.01,111000000.0,14600000.0,439500000.0,517800000.0,417500000.0,729900000.0,1805800000.0,2016300000.0,3822100000.0,209600000.0,1040800000.0,982100000.0,1133900000.0,2174700000.0,1647400000.0,96400000.0,162500000.0,-39500000.0,-55200000.0,-1500000.0,-84000000.0,10.13
2015-03-31,870800000.0,570400000.0,300400000.0,100000000.0,68399900.0,55100000.0,0.13,158899900.0,68399900.0,431400000.0,429400000.0,454500000.0,746900000.0,1758900000.0,1987400000.0,3746300000.0,212600000.0,1013700000.0,950200000.0,1105400000.0,2119100000.0,1627200000.0,90500000.0,83500000.0,-55400000.0,-54200000.0,0.0,-113200000.0,12.11
2015-06-30,880500000.0,576100000.0,304400000.0,95400000.0,67800000.0,50700000.0,0.12,156800000.0,67800000.0,426900000.0,577900000.0,489900000.0,743000000.0,1932100000.0,1983300000.0,3915400000.0,555900000.0,1320300000.0,822300000.0,975400000.0,2295700000.0,1619700000.0,89000000.0,101600000.0,-74600000.0,-72500000.0,0.0,120700000.0,11.69
2015-09-30,904200000.0,595700000.0,308500000.0,97200000.0,69400000.0,46300000.0,0.11,159600000.0,69400000.0,413700000.0,557600000.0,505900000.0,754000000.0,1952700000.0,1997400000.0,3950100000.0,539300000.0,1338000000.0,868400000.0,1031000000.0,2369000000.0,1581100000.0,90200000.0,128300000.0,-64200000.0,-71700000.0,0.0,-77200000.0,9.4
2015-12-31,840300100.0,560400100.0,279900000.0,94000000.0,55500000.0,54100000.0,0.13,146200000.0,55499900.0,421200000.0,617600000.0,426400000.0,750400000.0,1891500000.0,1978100000.0,3869600000.0,543400000.0,1239300000.0,850500000.0,998400000.0,2237700000.0,1631900000.0,90700000.0,157200000.0,-66900000.0,-66100000.0,0.0,-30100000.0,9.8
2016-03-31,817200000.0,541700000.0,275500000.0,93700000.0,58400000.0,36000000.0,0.09,140100000.0,58400000.0,412600000.0,619500000.0,428200000.0,759700000.0,1901700000.0,1953400000.0,3855100000.0,525400000.0,1189400000.0,835100000.0,987600000.0,2177000000.0,1678100000.0,81700000.0,114900000.0,-70800000.0,-70800000.0,0.0,-44500000.0,9.59
2016-06-30,877800000.0,569900000.0,307900000.0,98700000.0,75299900.0,25100000.0,0.06,157899900.0,75299900.0,414900000.0,588100000.0,487400000.0,750200000.0,1921800000.0,4176000000.0,6097800000.0,536700000.0,1260500000.0,2935100000.0,3111600000.0,4372100000.0,1725700000.0,82600000.0,104200000.0,-51500000.0,-118200000.0,0.0,-21500000.0,8.82
2016-09-30,950900000.0,621900000.0,329000000.0,124300000.0,46700000.0,10100000.0,0.02,133900000.0,46700000.0,415800000.0,880500000.0,675100000.0,1083100000.0,2802400000.0,3988500000.0,6790900000.0,540600000.0,1497900000.0,3095700000.0,3539000000.0,5036900000.0,1754000000.0,87200000.0,132700000.0,-37200000.0,-2185800000.0,-1900000.0,2345300000.0,12.32
