,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2020-03-31,2966000000.0,2069000000.0,897000000.0,465000000.0,329000000.0,165000000.0,0.38,372000000.0,329000000.0,433100000.0,1207000000.0,2888000000.0,599000000.0,5514000000.0,4010000000.0,9524000000.0,67000000.0,5355000000.0,6258000000.0,8453000000.0,13808000000.0,-4284000000.0,43000000.0,159000000.0,-39000000.0,-92000000.0,-21000000.0,-256000000.0,50.0
2020-06-30,3029000000.0,2138000000.0,891000000.0,441000000.0,416000000.0,224000000.0,0.52,465000000.0,416000000.0,433100000.0,1912000000.0,2865000000.0,629000000.0,6392000000.0,4049000000.0,10441000000.0,33000000.0,5762000000.0,6260000000.0,8351000000.0,14113000000.0,-3672000000.0,49000000.0,664000000.0,-36000000.0,-50000000.0,-109000000.0,76000000.0,56.86
2020-09-30,3268000000.0,2289000000.0,979000000.0,481000000.0,454000000.0,266000000.0,0.61,502000000.0,454000000.0,433200000.0,1733000000.0,2958000000.0,667000000.0,6271000000.0,4202000000.0,10473000000.0,538000000.0,6291000000.0,5512000000.0,7663000000.0,13954000000.0,-3481000000.0,48000000.0,348000000.0,-37000000.0,-147000000.0,-168000000.0,-409000000.0,62.42
2020-12-31,3493000000.0,2481000000.0,1012000000.0,537000000.0,440000000.0,251000000.0,0.58,491000000.0,440000000.0,433200000.0,1799000000.0,3148000000.0,659000000.0,6493000000.0,4217000000.0,10710000000.0,701000000.0,6673000000.0,5262000000.0,7432000000.0,14105000000.0,-3395000000.0,51000000.0,309000000.0,-71000000.0,-64000000.0,-111000000.0,-255000000.0,67.55
2021-03-31,3408000000.0,2389000000.0,1019000000.0,482000000.0,509000000.0,308000000.0,0.71,560000000.0,509000000.0,431600000.0,1725000000.0,3124000000.0,686000000.0,6346000000.0,4159000000.0,10505000000.0,341000000.0,6395000000.0,5457000000.0,7461000000.0,13856000000.0,-3351000000.0,51000000.0,585000000.0,-44000000.0,-50000000.0,-119000000.0,-574000000.0,68.45
2021-06-30,3701000000.0,2626000000.0,1075000000.0,484000000.0,561000000.0,326000000.0,0.76,612000000.0,561000000.0,427900000.0,1923000000.0,3194000000.0,673000000.0,6681000000.0,4176000000.0,10857000000.0,343000000.0,6716000000.0,5457000000.0,7458000000.0,14174000000.0,-3317000000.0,51000000.0,533000000.0,-40000000.0,-17000000.0,-125000000.0,-342000000.0,81.77
2021-09-30,3620000000.0,2556000000.0,1064000000.0,460000000.0,542000000.0,331000000.0,0.77,619000000.0,542000000.0,426000000.0,1553000000.0,3217000000.0,628000000.0,6375000000.0,4097000000.0,10472000000.0,38000000.0,6363000000.0,5458000000.0,7404000000.0,13767000000.0,-3295000000.0,50000000.0,355000000.0,-31000000.0,-2000000.0,-177000000.0,-705000000.0,82.28
2021-12-31,3569000000.0,2529000000.0,1040000000.0,503000000.0,496000000.0,281000000.0,0.65,551000000.0,496000000.0,425000000.0,3475000000.0,3232000000.0,622000000.0,8261000000.0,4018000000.0,12279000000.0,24000000.0,6247000000.0,7249000000.0,9176000000.0,15423000000.0,-3144000000.0,51000000.0,277000000.0,-41000000.0,-20000000.0,-127000000.0,1679000000.0,87.07
2022-03-31,3414000000.0,2417000000.0,997000000.0,459000000.0,526000000.0,311000000.0,0.73,582000000.0,526000000.0,424000000.0,3076000000.0,3262000000.0,626000000.0,7844000000.0,3951000000.0,11795000000.0,51000000.0,6242000000.0,6694000000.0,10475000000.0,16717000000.0,-4922000000.0,48000000.0,504000000.0,-30000000.0,-17000000.0,-135000000.0,-823000000.0,76.95
2022-06-30,3488000000.0,2512000000.0,976000000.0,439000000.0,487000000.0,321000000.0,0.76,546000000.0,487000000.0,421000000.0,1230000000.0,3189000000.0,596000000.0,6150000000.0,3763000000.0,9913000000.0,81000000.0,6338000000.0,6602000000.0,8463000000.0,14801000000.0,-4888000000.0,49000000.0,353000000.0,-27000000.0,7000000.0,-130000000.0,-2114000000.0,70.67
2022-09-30,3344000000.0,2381000000.0,963000000.0,417000000.0,529000000.0,324000000.0,0.77,564000000.0,529000000.0,419000000.0,1041000000.0,3103000000.0,603000000.0,5829000000.0,3513000000.0,9342000000.0,103000000.0,5992000000.0,6459000000.0,8211000000.0,14203000000.0,-4861000000.0,48000000.0,239000000.0,-24000000.0,72000000.0,-187000000.0,-465000000.0,63.8
