,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,5872000000.0,3137000000.0,2735000000.0,393000000.0,2107000000.0,1355000000.0,1.6800000000000002,3435000000.0,2176000000.0,804700000.0,2140000000.0,4995000000.0,1306000000.0,10154000000.0,55670000000.0,65824000000.0,600000000.0,7786000000.0,7024000000.0,17098000000.0,24884000000.0,40940000000.0,1259000000.0,2712000000.0,-2070000000.0,-2195000000.0,0.0,31000000.0,75.08
2013-06-30,5962000000.0,3180000000.0,2782000000.0,495000000.0,2142000000.0,1322000000.0,1.6400000000000001,3503000000.0,2200000000.0,804900000.0,3069000000.0,5221000000.0,1340000000.0,10859000000.0,56563000000.0,67422000000.0,600000000.0,8234000000.0,7026000000.0,17338000000.0,25572000000.0,41850000000.0,1303000000.0,3513000000.0,-2210000000.0,-2104000000.0,-517000000.0,-480000000.0,85.49
2013-09-30,6449000000.0,3214000000.0,3235000000.0,459000000.0,2519000000.0,1583000000.0,1.96,3908000000.0,2574000000.0,805100000.0,3771000000.0,5653000000.0,1328000000.0,11938000000.0,57499000000.0,69437000000.0,600000000.0,8842000000.0,6961000000.0,17627000000.0,26469000000.0,42968000000.0,1334000000.0,3561000000.0,-2271000000.0,-2321000000.0,-517000000.0,-538000000.0,89.62
2013-12-31,1887000000.0,-3034000000.0,4921000000.0,197000000.0,983000000.0,1630000000.0,2.04,1347000000.0,1040000000.0,804100000.0,3393000000.0,5674000000.0,1200000000.0,11323000000.0,58120000000.0,69443000000.0,0.0,8434000000.0,6939000000.0,17637000000.0,26071000000.0,43372000000.0,307000000.0,2992000000.0,-806000000.0,-1424000000.0,-519000000.0,-1946000000.0,91.11
2014-03-31,4968000000.0,2620000000.0,2348000000.0,317000000.0,1864000000.0,1390000000.0,1.75,2893000000.0,1916000000.0,791300000.0,2332000000.0,5233000000.0,1308000000.0,10899000000.0,58376000000.0,69275000000.0,0.0,8190000000.0,6877000000.0,17716000000.0,25906000000.0,43369000000.0,977000000.0,2697000000.0,-1794000000.0,-2373000000.0,-514000000.0,-1385000000.0,91.29
2014-06-30,5133000000.0,1691000000.0,3442000000.0,429000000.0,1887000000.0,1428000000.0,1.83,2978000000.0,1954000000.0,782600000.0,2391000000.0,5826000000.0,1323000000.0,10786000000.0,59507000000.0,70293000000.0,0.0,8869000000.0,6835000000.0,17612000000.0,26481000000.0,43812000000.0,1024000000.0,2867000000.0,-2130000000.0,-1715000000.0,-570000000.0,-1093000000.0,98.33
2014-09-30,4904000000.0,1736000000.0,3168000000.0,355000000.0,1604000000.0,1205000000.0,1.55,2707000000.0,1651000000.0,777400000.0,2897000000.0,4960000000.0,1359000000.0,10507000000.0,61003000000.0,71510000000.0,1599000000.0,9521000000.0,6837000000.0,17904000000.0,27425000000.0,44085000000.0,1056000000.0,2638000000.0,-2035000000.0,-2742000000.0,-565000000.0,610000000.0,92.12
2014-12-31,4307000000.0,756000000.0,3551000000.0,402000000.0,-4131000000.0,-3407000000.0,-4.41,-2886000000.0,-4090000000.0,781100000.0,7808000000.0,4206000000.0,1052000000.0,13873000000.0,42386000000.0,56259000000.0,0.0,8244000000.0,6838000000.0,13056000000.0,21300000000.0,34959000000.0,1204000000.0,2866000000.0,-2971000000.0,-1640000000.0,-561000000.0,-334000000.0,80.47
2015-03-31,3089000000.0,1557000000.0,1532000000.0,311000000.0,-270000000.0,-218000000.0,-0.28,820000000.0,-209000000.0,769600000.0,5418000000.0,3068000000.0,1133000000.0,10434000000.0,42955000000.0,53389000000.0,700000000.0,6915000000.0,6139000000.0,12310000000.0,19225000000.0,34164000000.0,1029000000.0,561000000.0,-1675000000.0,-2206000000.0,-557000000.0,9000000.0,72.88
2015-06-30,3469000000.0,1480000000.0,1989000000.0,347000000.0,446000000.0,176000000.0,0.23,1596000000.0,480000000.0,766400000.0,5138000000.0,3973000000.0,1120000000.0,11008000000.0,43361000000.0,54369000000.0,1450000000.0,7825000000.0,6880000000.0,13242000000.0,21067000000.0,33302000000.0,1116000000.0,805000000.0,-1390000000.0,-1683000000.0,-556000000.0,1481000000.0,77.64
