,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4040000000.0,2474000000.0,1566000000.0,650000000.0,800000000.0,443000000.0,0.71,916000000.0,800000000.0,621000000.0,409000000.0,3130000000.0,569000000.0,5259000000.0,20852000000.0,26111000000.0,566000000.0,4440000000.0,5901000000.0,12277000000.0,16717000000.0,9394000000.0,116000000.0,587000000.0,-34000000.0,-54000000.0,-81000000.0,-832000000.0,46.69
2013-06-30,3369000000.0,1892000000.0,1477000000.0,629000000.0,775000000.0,472000000.0,0.78,806000000.0,775000000.0,609000000.0,282000000.0,2998000000.0,449000000.0,4770000000.0,20923000000.0,25693000000.0,474000000.0,3825000000.0,5949000000.0,12267000000.0,16092000000.0,9601000000.0,31000000.0,464000000.0,-34000000.0,-176000000.0,-74000000.0,-415000000.0,48.87
2013-09-30,3302000000.0,1801000000.0,1501000000.0,667000000.0,764000000.0,494000000.0,0.8200000000000001,834000000.0,764000000.0,603000000.0,226000000.0,3221000000.0,554000000.0,4892000000.0,21003000000.0,25895000000.0,362000000.0,3753000000.0,5944000000.0,12471000000.0,16224000000.0,9671000000.0,70000000.0,269000000.0,-44000000.0,114000000.0,-73000000.0,-439000000.0,55.16
2013-12-31,3294000000.0,1957000000.0,1337000000.0,600000000.0,686000000.0,470000000.0,0.78,759000000.0,686000000.0,608000000.0,368000000.0,3234000000.0,772000000.0,5370000000.0,21017000000.0,26387000000.0,495000000.0,4207000000.0,5940000000.0,12214000000.0,16421000000.0,9966000000.0,73000000.0,553000000.0,-100000000.0,-156000000.0,-72000000.0,-226000000.0,63.74
2014-03-31,3570000000.0,2121000000.0,1449000000.0,587000000.0,791000000.0,468000000.0,0.8,862000000.0,791000000.0,585000000.0,311000000.0,3301000000.0,541000000.0,5077000000.0,21038000000.0,26115000000.0,546000000.0,4072000000.0,7448000000.0,13576000000.0,17648000000.0,8467000000.0,71000000.0,501000000.0,-28000000.0,-65000000.0,-75000000.0,-522000000.0,61.8
2014-06-30,3188000000.0,1798000000.0,1390000000.0,589000000.0,730000000.0,439000000.0,0.77,801000000.0,730000000.0,570000000.0,261000000.0,3047000000.0,940000000.0,5392000000.0,20924000000.0,26316000000.0,401000000.0,3321000000.0,5846000000.0,13721000000.0,17042000000.0,9274000000.0,71000000.0,123000000.0,-41000000.0,-84000000.0,-70000000.0,134000000.0,62.14
2014-09-30,3367000000.0,1936000000.0,1431000000.0,617000000.0,668000000.0,1639000000.0,3.08,736000000.0,668000000.0,532000000.0,178000000.0,3461000000.0,1136000000.0,5404000000.0,18051000000.0,23455000000.0,451000000.0,3397000000.0,6508000000.0,12532000000.0,15929000000.0,7526000000.0,68000000.0,-336000000.0,-43000000.0,-319000000.0,-69000000.0,349000000.0,53.5
2014-12-31,2394000000.0,1834000000.0,560000000.0,178000000.0,401000000.0,413000000.0,0.8,441000000.0,401000000.0,550000000.0,428000000.0,3620000000.0,922000000.0,5485000000.0,18450000000.0,23935000000.0,636000000.0,4033000000.0,6476000000.0,12932000000.0,16965000000.0,6970000000.0,40000000.0,987000000.0,-66000000.0,-133000000.0,-78000000.0,-604000000.0,55.34
2015-03-31,3500000000.0,2142000000.0,1358000000.0,588000000.0,721000000.0,394000000.0,0.79,789000000.0,721000000.0,498000000.0,331000000.0,3374000000.0,764000000.0,5220000000.0,18566000000.0,23786000000.0,21000000.0,3092000000.0,7693000000.0,14297000000.0,17389000000.0,6397000000.0,68000000.0,417000000.0,-17000000.0,2000000.0,-80000000.0,-516000000.0,60.63
2015-06-30,3219000000.0,1907000000.0,1312000000.0,605000000.0,586000000.0,332000000.0,0.68,652000000.0,586000000.0,490000000.0,320000000.0,3186000000.0,1156000000.0,5232000000.0,18430000000.0,23662000000.0,414000000.0,3467000000.0,7686000000.0,14232000000.0,17699000000.0,5963000000.0,66000000.0,446000000.0,-29000000.0,-44000000.0,-75000000.0,-413000000.0,55.5
