,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2014-06-30,33306000.0,6829000.0,26477000.0,21838000.0,3094000.0,-593000.0,-0.01,4778000.0,3094000.0,50284000.0,14338000.0,921000.0,519000.0,336492000.0,103703000.0,440195000.0,893000.0,329398000.0,26528000.0,42959000.0,372357000.0,67838000.0,1684000.0,4162000.0,-4118000.0,89472000.0,0.0,-92791000.0,14.59
2014-09-30,36598000.0,6436000.0,30162000.0,23266000.0,4678000.0,2690000.0,0.05,6468000.0,4678000.0,51057000.0,18843000.0,1468000.0,384000.0,418331000.0,104625000.0,522956000.0,845000.0,407892000.0,26341000.0,44448000.0,452340000.0,70616000.0,1790000.0,7408000.0,-2670000.0,-80674000.0,0.0,77771000.0,16.56
2014-12-31,44040000.0,7131000.0,36909000.0,28995000.0,4787000.0,2506000.0,0.05,10868000.0,4787000.0,49784000.0,25515000.0,3729000.0,195000.0,691948000.0,105549000.0,797497000.0,855000.0,678772000.0,26123000.0,44587000.0,723359000.0,74138000.0,6081000.0,9036000.0,-2322000.0,-269249000.0,0.0,266884000.0,26.33
2015-03-31,55222000.0,8281000.0,46941000.0,33213000.0,10538000.0,5995000.0,0.11,12684000.0,10538000.0,54750000.0,35673000.0,1684000.0,718000.0,633551000.0,106038000.0,739589000.0,862000.0,613004000.0,25652000.0,46196000.0,659200000.0,80389000.0,2146000.0,13136000.0,-2502000.0,66863000.0,0.0,-69470000.0,32.06
2015-06-30,48973000.0,8021000.0,40952000.0,26837000.0,10808000.0,5946000.0,0.1,13167000.0,10808000.0,57038000.0,42667000.0,2562000.0,326000.0,591947000.0,107235000.0,699182000.0,861000.0,565495000.0,25435000.0,47317000.0,612812000.0,86370000.0,2359000.0,9643000.0,-2420000.0,46336000.0,0.0,-48985000.0,34.15
2015-09-30,55340000.0,8909000.0,46431000.0,35770000.0,6855000.0,3847000.0,0.07,9280000.0,6855000.0,57051000.0,48547000.0,3397000.0,639000.0,671220000.0,110362000.0,781582000.0,875000.0,641576000.0,25206000.0,48327000.0,689903000.0,91679000.0,2425000.0,11350000.0,-5228000.0,-78316000.0,0.0,72846000.0,35.91
2015-12-31,65118000.0,10262000.0,54856000.0,44560000.0,6234000.0,5157000.0,0.09,8882000.0,6234000.0,56495000.0,50714000.0,9097000.0,1093000.0,761138000.0,115517000.0,876655000.0,886000.0,727534000.0,24856000.0,50807000.0,778341000.0,98314000.0,2648000.0,8843000.0,-6399000.0,-87207000.0,0.0,80531000.0,37.63
2016-03-31,90126000.0,11971000.0,78155000.0,43868000.0,28704000.0,18588000.0,0.32,31645000.0,28704000.0,57133000.0,72075000.0,2580000.0,736000.0,1205803000.0,125829000.0,1331632000.0,900000.0,1161793000.0,24650000.0,51475000.0,1213268000.0,118364000.0,2941000.0,29948000.0,-8363000.0,-437279000.0,0.0,428692000.0,35.6
2016-06-30,73880000.0,11865000.0,62015000.0,39986000.0,16004000.0,10421000.0,0.18,19244000.0,16004000.0,57592000.0,80893000.0,2775000.0,441000.0,1122559000.0,136424000.0,1258983000.0,911000.0,1072497000.0,28349000.0,57671000.0,1130168000.0,128815000.0,3240000.0,24606000.0,-15977000.0,75328000.0,0.0,-91116000.0,43.21
2016-09-30,77325000.0,14748000.0,62577000.0,53731000.0,582000.0,6151000.0,0.11,4168000.0,582000.0,57820000.0,74496000.0,5795000.0,355000.0,677678000.0,143317000.0,820995000.0,1090000.0,628894000.0,29000000.0,61064000.0,689958000.0,131037000.0,3586000.0,19881000.0,-7790000.0,433483000.0,0.0,-459761000.0,50.13
