,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3924300000.0,3189300000.0,735000000.0,141200000.0,377599900.0,236100000.0,0.67,562299900.0,377599900.0,354000000.0,2439100000.0,9345200000.0,818200000.0,12948100000.0,5886000000.0,18834100000.0,3218900000.0,5809400000.0,4639700000.0,7076800000.0,12886200000.0,5947900000.0,184700000.0,384000000.0,-296800000.0,-341500000.0,-70700000.0,-37400000.0,50.56
2013-06-30,4300500000.0,3494600000.0,805899900.0,136000000.0,469200000.0,291600000.0,0.8200000000000001,666799900.0,469200000.0,354100000.0,2623700000.0,9322700000.0,832000000.0,13128200000.0,6073800000.0,19202000000.0,2973200000.0,5681700000.0,4937500000.0,7408700000.0,13090400000.0,6111600000.0,197600000.0,768600000.0,-406300000.0,-596500000.0,-70700000.0,35400000.0,53.66
2013-09-30,4300100000.0,3491100000.0,809000000.0,134700000.0,477500000.0,309400000.0,0.87,683900000.0,477500000.0,354400000.0,2911500000.0,9788300000.0,893100000.0,13963800000.0,6347800000.0,20311600000.0,2792800000.0,5657900000.0,5493600000.0,8172800000.0,13830700000.0,6480900000.0,206400000.0,547700000.0,-433500000.0,-526100000.0,-70900000.0,221900000.0,55.66
2013-12-31,4598901000.0,3725699000.0,873201900.0,147600000.0,516200200.0,334200000.0,0.87,738200200.0,516200200.0,354200000.0,3017600000.0,9831700000.0,813600000.0,13971000000.0,6754500000.0,20725500000.0,2658900000.0,5524400000.0,5765300000.0,8566800000.0,14091200000.0,6634300000.0,222000000.0,675400000.0,-389600000.0,-686900000.0,-70800000.0,53900000.0,59.17
2014-03-31,4379900000.0,3595500000.0,784399900.0,145000000.0,442399900.0,273900000.0,0.77,662199900.0,442399900.0,354900000.0,2540300000.0,10050500000.0,958000000.0,13861200000.0,6736400000.0,20597600000.0,2871900000.0,5631900000.0,5368000000.0,8102200000.0,13734100000.0,6863500000.0,219800000.0,285700000.0,-186600000.0,-175600000.0,-389700000.0,-568100000.0,67.44
2014-06-30,4569600000.0,3719400000.0,850200200.0,139600000.0,512300300.0,319200000.0,0.9,740000300.0,512300300.0,355100000.0,2715300000.0,10111800000.0,969100000.0,14097500000.0,6809900000.0,20907400000.0,2710300000.0,5396100000.0,5609400000.0,8352000000.0,13748100000.0,7159300000.0,227700000.0,555100000.0,-312900000.0,-477600000.0,-78100000.0,2400000.0,62.83
2014-09-30,4928400000.0,4006300000.0,922099900.0,136700000.0,587599600.0,371400000.0,1.05,817699600.0,587599600.0,355200000.0,2969000000.0,10166000000.0,988100000.0,14431400000.0,6594700000.0,21026100000.0,2925800000.0,5903900000.0,5292400000.0,7959500000.0,13863400000.0,7162700000.0,230100000.0,760800000.0,-311500000.0,-429100000.0,-78000000.0,-10100000.0,56.88
2014-12-31,5119100000.0,4160400000.0,958700200.0,140100000.0,607601100.0,394300000.0,1.11,562501100.0,607600600.0,355000000.0,3009600000.0,10089700000.0,925700000.0,14315500000.0,6303300000.0,20618800000.0,2641900000.0,5678000000.0,5588700000.0,8187600000.0,13865600000.0,6753200000.0,-45100000.0,522000000.0,909400000.0,-449600000.0,-78000000.0,55300000.0,68.01
2015-03-31,4832700000.0,3910200000.0,922500200.0,133000000.0,592900400.0,378400000.0,1.07,814000400.0,592900400.0,355100000.0,2791900000.0,10277100000.0,865700000.0,14275500000.0,6051300000.0,20326800000.0,2174600000.0,5061600000.0,6000000000.0,8533601000.0,13595200000.0,6731600000.0,221100000.0,476200000.0,-274300000.0,-332200000.0,-432400000.0,-239900000.0,63.14
2015-06-30,5079900000.0,4061200000.0,1018700000.0,132100000.0,681399900.0,447200000.0,1.26,908699900.0,681399900.0,355300000.0,3360400000.0,10541200000.0,888200000.0,15153200000.0,6262100000.0,21415300000.0,2656400000.0,5699300000.0,5914200000.0,8497400000.0,14196700000.0,7218600000.0,227300000.0,710900000.0,-329100000.0,-582500000.0,-78100000.0,245200000.0,63.81
2015-09-30,4847200000.0,3851300000.0,995900100.0,131000000.0,654799800.0,431200000.0,1.21,885699800.0,654799800.0,355000000.0,3524900000.0,10425800000.0,893100000.0,15199400000.0,6320400000.0,21519800000.0,2536400000.0,5389800000.0,6143700000.0,8786200000.0,14176000000.0,7343800000.0,230900000.0,664100000.0,-356599900.0,-487000000.0,-85200000.0,19600000.0,52.17
2015-12-31,4355300000.0,3469400000.0,885900100.0,145400000.0,528900400.0,347200000.0,0.98,756700400.0,528899900.0,354600000.0,3464500000.0,10182600000.0,796500000.0,14689300000.0,6420500000.0,21109800000.0,2796500000.0,5717700000.0,5795000000.0,8451700000.0,14169400000.0,6940400000.0,227800000.0,704800000.0,-341100100.0,-573200000.0,-84800000.0,-221400000.0,47.4
2016-03-31,4300000000.0,3413600000.0,886399900.0,134800000.0,-401500000.0,-594600000.0,-1.69,-159000000.0,-401500000.0,351300000.0,3313400000.0,10345900000.0,829100000.0,14754700000.0,6602200000.0,21356900000.0,2754700000.0,6434600000.0,5822600000.0,8579100000.0,15013700000.0,6343200000.0,242500000.0,795800000.0,-294800000.0,-292200000.0,-576900000.0,-722900000.0,54.69
2016-06-30,4413200000.0,3489400000.0,923800300.0,135300000.0,680900400.0,481300000.0,1.37,933800400.0,680900400.0,350900000.0,3491200000.0,10124900000.0,824900000.0,14686700000.0,6740500000.0,21427200000.0,2426300000.0,5976400000.0,6018100000.0,8741100000.0,14717500000.0,6709700000.0,252900000.0,853600000.0,-392000000.0,-493900000.0,-84100000.0,-118900000.0,51.87
2016-09-30,4249400000.0,3371500000.0,877899900.0,130800000.0,525299800.0,346200000.0,0.99,775499800.0,525299800.0,351000000.0,2866800000.0,10104200000.0,824100000.0,14013400000.0,6955500000.0,20968900000.0,2516000000.0,5186800000.0,6014300000.0,8803900000.0,13990700000.0,6978200000.0,250200000.0,-158900000.0,-431200000.0,-135300000.0,-84200000.0,9800000.0,58.78
2016-12-31,4070700000.0,3259100000.0,811600600.0,141900000.0,436800800.0,288800000.0,0.8200000000000001,684300800.0,436800800.0,351100000.0,3056600000.0,9699600000.0,727800000.0,13709600000.0,6929300000.0,20638900000.0,2447500000.0,5087000000.0,6027700000.0,8774300000.0,13861300000.0,6777600000.0,247500000.0,810300000.0,-403600000.0,-642900000.0,-84100000.0,8500000.0,63.9
2017-03-31,4237900000.0,3390900000.0,847000000.0,140200000.0,466100100.0,310300000.0,0.88,725300100.0,466100100.0,351600000.0,2970800000.0,10116600000.0,772200000.0,14083500000.0,6956200000.0,21039700000.0,2516100000.0,5293400000.0,5849400000.0,8667000000.0,13960400000.0,7079300000.0,259200000.0,610500000.0,-307300000.0,-337000000.0,-294700000.0,-445700000.0,67.2
2017-06-30,4704200000.0,3764000000.0,940200200.0,138700000.0,562600100.0,373000000.0,1.06,831600100.0,562600100.0,351800000.0,3124400000.0,10509900000.0,885300000.0,14789500000.0,7263800000.0,22053300000.0,2888900000.0,5905100000.0,5655200000.0,8647700000.0,14552800000.0,7500500000.0,269000000.0,574700000.0,-363200000.0,-433300000.0,-87800000.0,-62100000.0,66.04
