,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3672000000.0,1329000000.0,2343000000.0,1338000000.0,502000000.0,239000000.0,0.55,1005000000.0,502000000.0,434000000.0,582000000.0,1407000000.0,389000000.0,4892000000.0,48170000000.0,53062000000.0,1888000000.0,7048000000.0,11518000000.0,32190000000.0,39238000000.0,13824000000.0,503000000.0,869000000.0,-1249000000.0,-1207000000.0,-191000000.0,215000000.0,44.53
2013-06-30,3776000000.0,1368000000.0,2408000000.0,1256000000.0,636000000.0,328000000.0,0.74,1152000000.0,636000000.0,442000000.0,586000000.0,1671000000.0,475000000.0,5442000000.0,48882000000.0,54324000000.0,2240000000.0,7382000000.0,11917000000.0,32820000000.0,40202000000.0,14122000000.0,516000000.0,590000000.0,-1272000000.0,-1264000000.0,-195000000.0,677000000.0,45.73
2013-09-30,4175000000.0,1776000000.0,2399000000.0,1585000000.0,291000000.0,161000000.0,0.36,814000000.0,291000000.0,446000000.0,582000000.0,1762000000.0,500000000.0,5522000000.0,49692000000.0,55214000000.0,2241000000.0,7644000000.0,11918000000.0,33310000000.0,40954000000.0,14260000000.0,523000000.0,1374000000.0,-1360000000.0,-1342000000.0,-197000000.0,-32000000.0,40.92
2013-12-31,3975000000.0,1511000000.0,2464000000.0,1596000000.0,333000000.0,86000000.0,0.19,868000000.0,333000000.0,444000000.0,597000000.0,1977000000.0,454000000.0,5977000000.0,49628000000.0,55605000000.0,2063000000.0,7493000000.0,12717000000.0,33518000000.0,41011000000.0,14594000000.0,535000000.0,594000000.0,-1326000000.0,-1294000000.0,-199000000.0,715000000.0,40.28
2014-03-31,3891000000.0,1570000000.0,2321000000.0,1299000000.0,484000000.0,227000000.0,0.49,1022000000.0,484000000.0,459000000.0,407000000.0,1802000000.0,392000000.0,5892000000.0,50095000000.0,55987000000.0,930000000.0,6147000000.0,13965000000.0,34908000000.0,41055000000.0,14932000000.0,538000000.0,771000000.0,-1197000000.0,-1189000000.0,-202000000.0,230000000.0,43.2
2014-06-30,3952000000.0,1549000000.0,2403000000.0,1328000000.0,518000000.0,267000000.0,0.5700000000000001,1075000000.0,518000000.0,467000000.0,431000000.0,1926000000.0,461000000.0,6197000000.0,50828000000.0,57025000000.0,1452000000.0,6649000000.0,13966000000.0,35096000000.0,41745000000.0,15280000000.0,557000000.0,509000000.0,-1123000000.0,-1104000000.0,-206000000.0,619000000.0,48.02
2014-09-30,4939000000.0,1916000000.0,3023000000.0,1287000000.0,1065000000.0,811000000.0,1.72,1736000000.0,1065000000.0,472000000.0,438000000.0,1626000000.0,497000000.0,6071000000.0,51813000000.0,57884000000.0,426000000.0,5726000000.0,14555000000.0,36127000000.0,41853000000.0,16031000000.0,671000000.0,1677000000.0,-1244000000.0,-1168000000.0,-209000000.0,-502000000.0,45.04
2014-12-31,4308000000.0,1534000000.0,2774000000.0,1724000000.0,383000000.0,131000000.0,0.27,1050000000.0,383000000.0,468000000.0,449000000.0,1535000000.0,476000000.0,6389000000.0,53738000000.0,60127000000.0,633000000.0,5920000000.0,15050000000.0,38207000000.0,44127000000.0,16000000000.0,667000000.0,733000000.0,-1269000000.0,-1253000000.0,-211000000.0,532000000.0,53.24
2015-03-31,3899000000.0,1274000000.0,2625000000.0,1923000000.0,71000000.0,31000000.0,0.06,702000000.0,71000000.0,477000000.0,443000000.0,1414000000.0,418000000.0,6026000000.0,54521000000.0,60547000000.0,856000000.0,6153000000.0,15051000000.0,38439000000.0,44592000000.0,15955000000.0,631000000.0,1080000000.0,-1191000000.0,-1272000000.0,-211000000.0,186000000.0,53.07
2015-06-30,4217000000.0,1395000000.0,2822000000.0,1484000000.0,687000000.0,402000000.0,0.84,1338000000.0,687000000.0,480000000.0,536000000.0,1593000000.0,456000000.0,6446000000.0,55185000000.0,61631000000.0,1016000000.0,6302000000.0,15544000000.0,39058000000.0,45360000000.0,16271000000.0,651000000.0,779000000.0,-1219000000.0,-1214000000.0,-213000000.0,539000000.0,49.1
