,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2786000000.0,1155000000.0,1631000000.0,731000000.0,610000000.0,320000000.0,0.63,950000000.0,610000000.0,505942000.0,420000000.0,1683000000.0,754000000.0,3656000000.0,28056000000.0,31712000000.0,1270000000.0,3406000000.0,7009000000.0,17359000000.0,20765000000.0,10947000000.0,340000000.0,877000000.0,-724000000.0,-733000000.0,-182000000.0,-103000000.0,34.34
2013-06-30,2310000000.0,755000000.0,1555000000.0,660000000.0,612000000.0,333000000.0,0.66,940000000.0,612000000.0,505900000.0,164000000.0,1359000000.0,916000000.0,3615000000.0,28444000000.0,32059000000.0,965000000.0,3058000000.0,7442000000.0,17904000000.0,20962000000.0,11097000000.0,328000000.0,466000000.0,-682000000.0,-646000000.0,-182000000.0,-76000000.0,32.66
2013-09-30,2554000000.0,801000000.0,1753000000.0,728000000.0,712000000.0,390000000.0,0.77,1075000000.0,712000000.0,505858000.0,448000000.0,1294000000.0,1049000000.0,3741000000.0,28869000000.0,32610000000.0,1010000000.0,3235000000.0,7476000000.0,18036000000.0,21271000000.0,11339000000.0,363000000.0,1092000000.0,-696000000.0,-709000000.0,-182000000.0,-99000000.0,32.93
2013-12-31,2318000000.0,825000000.0,1493000000.0,836000000.0,365000000.0,200000000.0,0.39,704000000.0,365000000.0,506000000.0,493000000.0,1312000000.0,1024000000.0,3614000000.0,28908000000.0,32522000000.0,841000000.0,3063000000.0,7862000000.0,17850000000.0,20913000000.0,11609000000.0,339000000.0,723000000.0,-709000000.0,-713000000.0,-182000000.0,35000000.0,32.04
2014-03-31,3223000000.0,1356000000.0,1867000000.0,856000000.0,705000000.0,386000000.0,0.76,1065000000.0,705000000.0,506000000.0,655000000.0,1821000000.0,746000000.0,3853000000.0,29473000000.0,33326000000.0,786000000.0,3357000000.0,7802000000.0,18169000000.0,21526000000.0,11800000000.0,360000000.0,1116000000.0,-609000000.0,-629000000.0,-187000000.0,-325000000.0,38.14
2014-06-30,2249000000.0,789000000.0,1460000000.0,800000000.0,365000000.0,212000000.0,0.42,704000000.0,365000000.0,506000000.0,570000000.0,1395000000.0,902000000.0,3794000000.0,29906000000.0,33700000000.0,1095000000.0,3463000000.0,7932000000.0,18393000000.0,21856000000.0,11844000000.0,339000000.0,332000000.0,-620000000.0,-653000000.0,-187000000.0,236000000.0,40.79
2014-09-30,2641000000.0,863000000.0,1778000000.0,714000000.0,746000000.0,444000000.0,0.87,1117000000.0,746000000.0,506000000.0,703000000.0,1281000000.0,1025000000.0,3846000000.0,30301000000.0,34147000000.0,574000000.0,3136000000.0,8389000000.0,18927000000.0,22063000000.0,12084000000.0,371000000.0,1088000000.0,-693000000.0,-706000000.0,-187000000.0,-249000000.0,37.24
2014-12-31,2773000000.0,878000000.0,1895000000.0,780000000.0,807000000.0,476000000.0,0.9400000000000001,1233000000.0,807000000.0,506000000.0,651000000.0,1465000000.0,1022000000.0,4119000000.0,31168000000.0,35287000000.0,883000000.0,3478000000.0,8215000000.0,19623000000.0,23101000000.0,12186000000.0,426000000.0,624000000.0,-898000000.0,-904000000.0,-187000000.0,-21000000.0,41.41
2015-03-31,3135000000.0,1094000000.0,2041000000.0,663000000.0,1048000000.0,586000000.0,1.16,1433000000.0,1048000000.0,506000000.0,1195000000.0,1468000000.0,749000000.0,4159000000.0,31668000000.0,35827000000.0,994000000.0,3622000000.0,8090000000.0,19647000000.0,23269000000.0,12558000000.0,385000000.0,1679000000.0,-747000000.0,-779000000.0,-197000000.0,-294000000.0,41.92
2015-06-30,2314000000.0,668000000.0,1646000000.0,761000000.0,568000000.0,345000000.0,0.68,936000000.0,568000000.0,506000000.0,720000000.0,1149000000.0,824000000.0,3627000000.0,32585000000.0,36212000000.0,625000000.0,3107000000.0,8689000000.0,20397000000.0,23504000000.0,12708000000.0,368000000.0,555000000.0,-996000000.0,-994000000.0,-197000000.0,28000000.0,39.28
