,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,12581000000.0,5834000000.0,6747000000.0,5066000000.0,1658000000.0,1073000000.0,0.6900000000000001,2209000000.0,1658000000.0,1544000000.0,7011000000.0,7234000000.0,3920000000.0,19910000000.0,55445000000.0,75355000000.0,0.0,17994000000.0,23225000000.0,34897000000.0,52891000000.0,22464000000.0,551000000.0,702000000.0,-295000000.0,-285000000.0,-831000000.0,173000000.0,79.11
2013-06-30,16807000000.0,7898000000.0,8909000000.0,6013000000.0,2869000000.0,2007000000.0,1.3,3503000000.0,2869000000.0,1548000000.0,8139000000.0,7981000000.0,4131000000.0,21963000000.0,54690000000.0,76653000000.0,0.0,19162000000.0,23212000000.0,34726000000.0,53888000000.0,22765000000.0,634000000.0,2313000000.0,-586000000.0,-501000000.0,-846000000.0,-700000000.0,81.79
2013-09-30,16909000000.0,7946000000.0,8963000000.0,6158000000.0,2780000000.0,1913000000.0,1.23,3410000000.0,2780000000.0,1542000000.0,9559000000.0,8088000000.0,3738000000.0,22931000000.0,53883000000.0,76814000000.0,0.0,18468000000.0,24293000000.0,35944000000.0,54412000000.0,22402000000.0,630000000.0,3647000000.0,-565000000.0,-592000000.0,-881000000.0,-1608000000.0,79.5
2013-12-31,20118000000.0,9565000000.0,10553000000.0,8120000000.0,2398000000.0,1747000000.0,1.12,3246000000.0,2398000000.0,1541000000.0,9678000000.0,6954000000.0,3409000000.0,22203000000.0,55275000000.0,77478000000.0,0.0,17839000000.0,24333000000.0,35250000000.0,53089000000.0,24389000000.0,848000000.0,3026000000.0,-1240000000.0,-1247000000.0,-876000000.0,-1654000000.0,82.94
2014-03-31,12623000000.0,5747000000.0,6876000000.0,5048000000.0,1807000000.0,1215000000.0,0.8,2339000000.0,1807000000.0,1524000000.0,10086000000.0,7262000000.0,3748000000.0,23285000000.0,54208000000.0,77493000000.0,0.0,19457000000.0,24240000000.0,35143000000.0,54600000000.0,22893000000.0,532000000.0,181000000.0,-348000000.0,-223000000.0,-888000000.0,542000000.0,83.5
2014-06-30,16894000000.0,7778000000.0,9116000000.0,6198000000.0,2896000000.0,1976000000.0,1.31,3526000000.0,2896000000.0,1515000000.0,11299000000.0,8470000000.0,4194000000.0,25795000000.0,54638000000.0,80433000000.0,0.0,20228000000.0,25606000000.0,36605000000.0,56833000000.0,23600000000.0,630000000.0,2491000000.0,-531000000.0,-3939000000.0,-864000000.0,-797000000.0,89.34
2014-09-30,17218000000.0,7995000000.0,9223000000.0,6354000000.0,2847000000.0,2008000000.0,1.32,3479000000.0,2847000000.0,1507000000.0,12906000000.0,8376000000.0,3784000000.0,26590000000.0,53876000000.0,80466000000.0,0.0,22844000000.0,23489000000.0,34435000000.0,57279000000.0,23187000000.0,632000000.0,4021000000.0,-601000000.0,-2516000000.0,-993000000.0,-1772000000.0,93.09
2014-12-31,19948000000.0,9718000000.0,10230000000.0,8172000000.0,2031000000.0,1304000000.0,0.87,2862000000.0,2031000000.0,1509000000.0,8726000000.0,0.0,3143000000.0,20663000000.0,49846000000.0,70509000000.0,0.0,18092000000.0,23821000000.0,34869000000.0,52961000000.0,17548000000.0,831000000.0,3813000000.0,-1264000000.0,1741000000.0,-985000000.0,-6237000000.0,94.56
2015-03-31,12217000000.0,5503000000.0,6714000000.0,4901000000.0,1797000000.0,1221000000.0,0.81,2293000000.0,1797000000.0,1484000000.0,8495000000.0,6963000000.0,3462000000.0,20922000000.0,48703000000.0,69625000000.0,0.0,20127000000.0,22403000000.0,33509000000.0,53636000000.0,15989000000.0,496000000.0,270000000.0,-259000000.0,320000000.0,-978000000.0,-210000000.0,95.62
2015-06-30,15923000000.0,7251000000.0,8672000000.0,5753000000.0,2900000000.0,1980000000.0,1.33,3479000000.0,2900000000.0,1476000000.0,9579000000.0,7826000000.0,3931000000.0,23069000000.0,49193000000.0,72262000000.0,0.0,21546000000.0,23075000000.0,34252000000.0,55798000000.0,16464000000.0,579000000.0,2491000000.0,-547000000.0,-478000000.0,-995000000.0,-889000000.0,93.34
2015-09-30,16331000000.0,7490000000.0,8841000000.0,6048000000.0,1416000000.0,533000000.0,0.36,1985000000.0,1416000000.0,1467000000.0,10679000000.0,7666000000.0,3124000000.0,22814000000.0,47088000000.0,69902000000.0,0.0,19071000000.0,26318000000.0,37252000000.0,56323000000.0,13579000000.0,569000000.0,4014000000.0,-594000000.0,-1148000000.0,-1035000000.0,-1659000000.0,94.3
2015-12-31,18585000000.0,8487000000.0,10098000000.0,7911000000.0,2240000000.0,1718000000.0,1.18,3012000000.0,2240000000.0,1469000000.0,12009000000.0,6437000000.0,2720000000.0,23031000000.0,46636000000.0,69667000000.0,0.0,17578000000.0,29213000000.0,40059000000.0,57637000000.0,12030000000.0,772000000.0,4089000000.0,-1272000000.0,-2263000000.0,-1032000000.0,-1354000000.0,99.92
2016-03-31,11862000000.0,5151000000.0,6711000000.0,5078000000.0,1619000000.0,931000000.0,0.64,2100000000.0,1619000000.0,1446000000.0,12144000000.0,6707000000.0,3219000000.0,23966000000.0,46053000000.0,70019000000.0,0.0,16842000000.0,31068000000.0,41946000000.0,58788000000.0,11231000000.0,481000000.0,305000000.0,-364000000.0,-1412000000.0,-1038000000.0,157000000.0,102.48
