,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,12410000000.0,2263000000.0,10147000000.0,3217000000.0,3870000000.0,2750000000.0,0.38,5644000000.0,3870000000.0,7187000000.0,35346000000.0,12735000000.0,7035000000.0,64763000000.0,122635000000.0,187398000000.0,0.0,27543000000.0,31481000000.0,77028000000.0,104571000000.0,82827000000.0,1774000000.0,2303000000.0,-202000000.0,-10926000000.0,-1735000000.0,434000000.0,27.38
2013-06-30,12973000000.0,2242000000.0,10731000000.0,3591000000.0,4287000000.0,14095000000.0,2.0,5913000000.0,4287000000.0,7042000000.0,33711000000.0,11523000000.0,6282000000.0,61435000000.0,117900000000.0,179335000000.0,0.0,23450000000.0,31532000000.0,76908000000.0,100358000000.0,78977000000.0,1626000000.0,3757000000.0,-309000000.0,843000000.0,-1701000000.0,-4034000000.0,26.57
2013-09-30,12643000000.0,2287000000.0,10356000000.0,3395000000.0,3984000000.0,2590000000.0,0.39,5505000000.0,3984000000.0,6581000000.0,33679000000.0,11371000000.0,6482000000.0,59500000000.0,116021000000.0,175521000000.0,0.0,20373000000.0,31812000000.0,76794000000.0,97167000000.0,78354000000.0,1521000000.0,5900000000.0,-278000000.0,-603000000.0,-1590000000.0,-5631000000.0,27.26
2013-12-31,13558000000.0,2794000000.0,10764000000.0,4152000000.0,3043000000.0,2568000000.0,0.4,4532000000.0,3043000000.0,6813000000.0,32408000000.0,9357000000.0,6166000000.0,56244000000.0,115857000000.0,172101000000.0,0.0,23366000000.0,30462000000.0,72115000000.0,95481000000.0,76620000000.0,1489000000.0,5724000000.0,-417000000.0,142000000.0,-1554000000.0,-5744000000.0,29.06
2014-03-31,11353000000.0,2045000000.0,9308000000.0,3040000000.0,3470000000.0,2329000000.0,0.36,4926000000.0,3470000000.0,6389000000.0,33881000000.0,9399000000.0,6066000000.0,57793000000.0,114015000000.0,171808000000.0,0.0,24790000000.0,27649000000.0,68950000000.0,93740000000.0,78068000000.0,1456000000.0,2935000000.0,-292000000.0,-98000000.0,-1662000000.0,-2133000000.0,30.47
2014-06-30,12773000000.0,2462000000.0,10311000000.0,3520000000.0,3950000000.0,2912000000.0,0.46,5374000000.0,3950000000.0,6368000000.0,34054000000.0,10388000000.0,6249000000.0,58287000000.0,114325000000.0,172612000000.0,0.0,21938000000.0,32267000000.0,73718000000.0,95656000000.0,76956000000.0,1424000000.0,4087000000.0,-278000000.0,-1507000000.0,-1658000000.0,-2040000000.0,28.16
2014-09-30,12361000000.0,2368000000.0,9993000000.0,3556000000.0,3682000000.0,2666000000.0,0.42,5008000000.0,3682000000.0,6330000000.0,33446000000.0,9955000000.0,6355000000.0,56987000000.0,114375000000.0,171362000000.0,0.0,19920000000.0,31666000000.0,73137000000.0,93057000000.0,78305000000.0,1326000000.0,4463000000.0,-275000000.0,-2535000000.0,-1650000000.0,-2887000000.0,28.06
2014-12-31,13118000000.0,2702000000.0,10416000000.0,3981000000.0,2147000000.0,1228000000.0,0.2,3478000000.0,2147000000.0,6346000000.0,36122000000.0,8401000000.0,5663000000.0,55595000000.0,111972000000.0,167566000000.0,0.0,21587000000.0,31541000000.0,74358000000.0,95944000000.0,71622000000.0,1331000000.0,5599000000.0,-354000000.0,-1514000000.0,-1639000000.0,-3127000000.0,29.55
2015-03-31,10864000000.0,1838000000.0,9026000000.0,3104000000.0,3037000000.0,2376000000.0,0.38,4297000000.0,3037000000.0,6203000000.0,27708000000.0,8920000000.0,5786000000.0,49443000000.0,111197000000.0,160640000000.0,0.0,20222000000.0,29370000000.0,72832000000.0,93053000000.0,67587000000.0,1260000000.0,680000000.0,-239000000.0,6592000000.0,-1758000000.0,-6978000000.0,33.01
2015-06-30,11853000000.0,2180000000.0,9673000000.0,3386000000.0,3595000000.0,2626000000.0,0.43,4796000000.0,3595000000.0,6159000000.0,30256000000.0,8951000000.0,5796000000.0,51715000000.0,109162000000.0,160878000000.0,0.0,24143000000.0,26729000000.0,69555000000.0,93698000000.0,67180000000.0,1201000000.0,4090000000.0,-258000000.0,-2105000000.0,-1725000000.0,-1874000000.0,31.81
