,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,4437200000.0,3930000000.0,507200200.0,507200200.0,308600000.0,0.51,570900200.0,507200200.0,600600000.0,110200000.0,4319800000.0,4430000000.0,19113500000.0,23543500000.0,15090200000.0,2063500000.0,2063500000.0,17153700000.0,6389800000.0,63700000.0,722100000.0,-26900000.0,-570600000.0,-175600000.0,-220300000.0,25.27,0
2013-06-30,4593600000.0,4062100000.0,531500000.0,531500000.0,324600000.0,0.54,593600000.0,531500000.0,599500000.0,96900000.0,4364100000.0,4461000000.0,19380800000.0,23841800000.0,15254000000.0,2063900000.0,2063900000.0,17317900000.0,6523900000.0,62100000.0,415100000.0,-41000000.0,-353200000.0,0.0,-74600000.0,25.42,0
2013-09-30,4521300000.0,4129600000.0,391699700.0,391699700.0,232400000.0,0.39,452199700.0,391699700.0,598900000.0,100900000.0,4532700000.0,4633600000.0,19875300000.0,24508900000.0,15705700000.0,2010600000.0,2010600000.0,17716300000.0,6792600000.0,60500000.0,610800000.0,-35300000.0,-513300000.0,0.0,-93300000.0,27.23,0
2013-12-31,4618800000.0,4153400000.0,465399900.0,465399900.0,299800000.0,0.51,514399900.0,465399900.0,599100000.0,75100000.0,4400900000.0,4476000000.0,19932200000.0,24408200000.0,16329400000.0,1860900000.0,1889300000.0,18218700000.0,6189500000.0,49000000.0,151900000.0,-33500000.0,80600000.0,0.0,-258600000.0,27.27,0
2014-03-31,4707600000.0,4185300000.0,522300300.0,522300300.0,321300000.0,0.54,564100300.0,522300300.0,593900000.0,96700000.0,4627400000.0,4724100000.0,19591300000.0,24315400000.0,15964400000.0,1861300000.0,1912400000.0,17876800000.0,6438600000.0,41800000.0,660600000.0,-14000000.0,337000000.0,-892600000.0,-976600000.0,24.22,0
2014-06-30,4741500000.0,4255600000.0,485899900.0,485899900.0,293400000.0,0.49,528899900.0,485899900.0,591200000.0,126100000.0,4701300000.0,4827400000.0,20625300000.0,25452700000.0,16356700000.0,2208000000.0,2306800000.0,18663500000.0,6789200000.0,43000000.0,380600000.0,-27600000.0,-651200000.0,0.0,299400000.0,25.36,0
2014-09-30,4766100000.0,4276200000.0,489899900.0,489899900.0,296100000.0,0.5,536399900.0,489899900.0,589800000.0,90600000.0,4871500000.0,4962100000.0,20963900000.0,25926000000.0,16769000000.0,2164300000.0,2221700000.0,18990700000.0,6935300000.0,46500000.0,616300000.0,-27500000.0,-510400000.0,0.0,-141500000.0,25.28,0
2014-12-31,5176201000.0,4580201000.0,596000000.0,596000500.0,370200000.0,0.63,640000500.0,595999500.0,590600000.0,108400000.0,4769400000.0,4877800000.0,20909800000.0,25787600000.0,16595400000.0,2164700000.0,2263600000.0,18859000000.0,6928600000.0,44000000.0,68100000.0,-33100000.0,-12300000.0,0.0,-36700000.0,26.99,0
2015-03-31,4895300000.0,4398400000.0,496899400.0,496899400.0,295600000.0,0.5,537999400.0,496899400.0,587600000.0,101500000.0,5034200000.0,5135700000.0,21745000000.0,26880700000.0,17021500000.0,2560100000.0,2657300000.0,19678800000.0,7201900000.0,41100000.0,771100000.0,-20800000.0,-696400000.0,-403600000.0,-81200000.0,27.2,0
2015-06-30,5283300000.0,4696900000.0,586399900.0,586399900.0,363300000.0,0.62,654199900.0,586399900.0,585700000.0,263800000.0,5269600000.0,5533400000.0,23770800000.0,29304200000.0,18596000000.0,2739000000.0,3348400000.0,21944400000.0,7359800000.0,67800000.0,658900000.0,-25700000.0,-450000000.0,0.0,-46600000.0,27.83,0
2015-09-30,5273800000.0,4785000000.0,488799800.0,488799800.0,278300000.0,0.47000000000000003,558399800.0,488799800.0,585200000.0,194500000.0,5554800000.0,5749300000.0,24185700000.0,29935000000.0,19230100000.0,2714300000.0,3242900000.0,22473000000.0,7462000000.0,69600000.0,730400000.0,-31400000.0,-712800000.0,0.0,-86600000.0,30.64,0
