,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1162756000.0,946076000.0,216680000.0,129626000.0,82282000.0,81762000.0,0.21,89621000.0,82282000.0,384228000.0,1659501000.0,0.0,0.0,1897705000.0,4843436000.0,6741141000.0,56631000.0,1630965000.0,2511729000.0,2834661000.0,4465626000.0,2275515000.0,7339000.0,270620000.0,-5319000.0,-1189000.0,0.0,-81267000.0,20.24
2013-06-30,1279422000.0,1034563000.0,244859000.0,150531000.0,36989000.0,36417000.0,0.09,44734000.0,36989000.0,385389000.0,1279111000.0,0.0,0.0,1516706000.0,4935564000.0,6452271000.0,59866000.0,1674272000.0,2082062000.0,2449784000.0,4124056000.0,2328215000.0,7745000.0,64445000.0,-5689000.0,-6186000.0,0.0,-438515000.0,18.97
2013-09-30,1582078000.0,1253314000.0,328764000.0,138637000.0,173072000.0,2265858000.0,5.92,181122000.0,173072000.0,382883000.0,1419415000.0,0.0,0.0,1716337000.0,6977385000.0,8693722000.0,115098000.0,1774845000.0,2056657000.0,2427192000.0,4202037000.0,4491685000.0,8050000.0,219885000.0,-7337000.0,-10716000.0,-19317000.0,-71843000.0,16.5
2013-12-31,1655339000.0,1273243000.0,382096300.0,149706000.0,235479200.0,216471200.0,0.58,243932300.0,235479200.0,383077000.0,1653044000.0,0.0,0.0,1940977000.0,6793166000.0,8734143000.0,105664000.0,1686150000.0,2058168000.0,2399041000.0,4085191000.0,4648952000.0,8453000.0,326186000.0,-10554000.0,-27886000.0,-19065000.0,-67965000.0,20.37
2014-03-31,1118894000.0,836936000.0,281958100.0,144887000.0,123240100.0,74302000.0,0.19,132182100.0,123240100.0,383991000.0,1343758000.0,0.0,0.0,1553679000.0,6797732000.0,8351411000.0,35836000.0,1498924000.0,1814041000.0,2188424000.0,3687348000.0,4664063000.0,8942000.0,91396000.0,-17842000.0,-19847000.0,-19065000.0,-383716000.0,19.19
2014-06-30,1286187000.0,981638000.0,304549000.0,229767000.0,65458000.0,41880000.0,0.11,75420000.0,65458000.0,376072000.0,1272541000.0,0.0,0.0,1494148000.0,6973188000.0,8467336000.0,58506000.0,1613607000.0,1815548000.0,2215685000.0,3829292000.0,4638044000.0,9962000.0,-17114000.0,-15081000.0,-40465000.0,-19087000.0,-39649000.0,20.16
2014-09-30,1594725000.0,1221531000.0,373194000.0,147136000.0,223652000.0,140545000.0,0.37,233612000.0,223652000.0,373531000.0,1246820000.0,0.0,0.0,1483192000.0,7131453000.0,8614645000.0,71594000.0,1698417000.0,1817054000.0,2205819000.0,3904236000.0,4710409000.0,9960000.0,127553000.0,-8965000.0,-9284000.0,-18792000.0,-67386000.0,17.66
2014-12-31,1822557000.0,1204374000.0,618182600.0,339600000.0,277407700.0,217611000.0,0.58,288407700.0,277407800.0,370377000.0,1309220000.0,0.0,0.0,1648751000.0,6920659000.0,8569410000.0,140241000.0,1754531000.0,1818561000.0,2009925000.0,3764456000.0,4804954000.0,11000000.0,106046000.0,-6902000.0,-53017000.0,-18702000.0,-38341000.0,21.46
2015-03-31,1133298000.0,877064000.0,256233900.0,161312000.0,95805100.0,54617000.0,0.15,106867100.0,95805100.0,366748000.0,1068261000.0,0.0,0.0,1294553000.0,7138732000.0,8433285000.0,67563000.0,1646115000.0,1820067000.0,2045176000.0,3691291000.0,4741994000.0,11062000.0,-25397000.0,-14517000.0,-9885000.0,-29616000.0,-203653000.0,22.23
2015-06-30,1280291000.0,979359000.0,300932000.0,130119000.0,167627000.0,103324000.0,0.28,178418000.0,167627000.0,361009000.0,477535000.0,0.0,0.0,747079000.0,7410877000.0,8157956000.0,119271000.0,1702028000.0,1583580000.0,1849669000.0,3551697000.0,4606259000.0,10791000.0,-165706000.0,-8598000.0,1420000.0,-29509000.0,-429280000.0,20.15
