,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,755207000.0,569961000.0,185246000.0,75285000.0,106000000.0,62294000.0,0.63,150296000.0,106000000.0,96415000.0,268037000.0,427815000.0,270181000.0,1011636000.0,1504302000.0,2515938000.0,15000000.0,286380000.0,799543000.0,1227739000.0,1514119000.0,1001819000.0,44296000.0,95767000.0,-27276000.0,-28960000.0,0.0,-6163000.0,44.87
2013-06-30,800230000.0,604980000.0,195250000.0,74225000.0,110197000.0,66252000.0,0.67,154880000.0,110197000.0,96432000.0,370057000.0,408074000.0,263008000.0,1102333000.0,1512488000.0,2614821000.0,15000000.0,344150000.0,795548000.0,1219385000.0,1563535000.0,1051286000.0,44683000.0,187270000.0,-53615000.0,-53893000.0,-30658000.0,-31357000.0,48.96
2013-09-30,845440000.0,617841000.0,227599000.0,77096000.0,142782000.0,84682000.0,0.87,191215000.0,142782000.0,96758000.0,396595000.0,419149000.0,266892000.0,1135928000.0,1521181000.0,2657109000.0,15000000.0,353902000.0,791549000.0,1204079000.0,1557981000.0,1099128000.0,48433000.0,137131000.0,-49519000.0,-49666000.0,-39225000.0,-60927000.0,57.09
2013-12-31,1264423000.0,1005018000.0,259405100.0,99994000.0,122920900.0,228072000.0,2.35,203408900.0,122920900.0,96600000.0,191000000.0,666100000.0,594300000.0,1531000000.0,3712800000.0,5243800000.0,39000000.0,660600000.0,2532700000.0,3226400000.0,3887000000.0,1356800000.0,80488000.0,188032000.0,-103990000.0,-1278881000.0,-39217000.0,885247000.0,63.28
2014-03-31,1431300000.0,1129900000.0,301400000.0,116500000.0,160900000.0,88700000.0,0.92,246900000.0,160900000.0,96800000.0,185706000.0,696344000.0,607306000.0,1561343000.0,3702605000.0,5263948000.0,6500000.0,643433000.0,2498999000.0,3202932000.0,3846365000.0,1417583000.0,86000000.0,149300000.0,-50900000.0,-53600000.0,-39300000.0,-101000000.0,70.37
2014-06-30,1468400000.0,1157600000.0,310800000.0,122900000.0,180200100.0,98000000.0,1.01,283300100.0,180200100.0,96900000.0,161991000.0,707088000.0,611342000.0,1574249000.0,3729988000.0,5304237000.0,6500000.0,657913000.0,2448774000.0,3163705000.0,3821618000.0,1482619000.0,103100000.0,184800000.0,-97300000.0,-117700000.0,-39300000.0,-90800000.0,71.49
2014-09-30,1518900000.0,1198600000.0,320300000.0,119600000.0,188400000.0,103000000.0,1.06,295800000.0,188400000.0,97100000.0,154323000.0,717947000.0,616962000.0,1597707000.0,3733042000.0,5330749000.0,6500000.0,690035000.0,2373539000.0,3088675000.0,3778710000.0,1552039000.0,107400000.0,222600000.0,-106700000.0,-112300000.0,-39400000.0,-118000000.0,63.82
2014-12-31,1434000000.0,1137000000.0,297000400.0,110500000.0,173200300.0,97200000.0,1.0,267500300.0,173200100.0,97000000.0,124900000.0,651200000.0,664900000.0,1502900000.0,3769900000.0,5272800000.0,6500000.0,611000000.0,2371700000.0,3140400000.0,3751400000.0,1521400000.0,94300000.0,179400000.0,-165300000.0,-167500000.0,-39400000.0,-41300000.0,78.05
2015-03-31,1425700000.0,1148700000.0,277000000.0,117300000.0,157100000.0,89600000.0,0.92,252400000.0,157100000.0,97100000.0,126400000.0,676700000.0,687600000.0,1614800000.0,3770600000.0,5385400000.0,6500000.0,621300000.0,2369900000.0,3207800000.0,3829100000.0,1556300000.0,95300000.0,108300000.0,-55600000.0,-57600000.0,-39400000.0,-49200000.0,78.19
2015-06-30,1454300000.0,1136600000.0,317700100.0,115900000.0,197600100.0,112600000.0,1.16,286300100.0,197600100.0,96800000.0,163700000.0,708000000.0,667500000.0,1657400000.0,3752500000.0,5409900000.0,6500000.0,606200000.0,2368000000.0,3212700000.0,3818900000.0,1591000000.0,88700000.0,196200000.0,-86300000.0,-66300000.0,-54100000.0,-92600000.0,62.49
