,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,505378000.0,280493000.0,224885000.0,151497000.0,35901000.0,32216000.0,0.28,67414000.0,35901000.0,113454000.0,125871000.0,410782000.0,259762000.0,896692000.0,2911454000.0,3808146000.0,7301000.0,573354000.0,1019345000.0,1400369000.0,1973723000.0,1834423000.0,31513000.0,10931000.0,-11829000.0,-10306000.0,-8060000.0,-42594000.0,33.64
2013-06-30,540673000.0,299011000.0,241662000.0,147795000.0,40216000.0,27925000.0,0.25,72566000.0,40216000.0,111575000.0,112470000.0,434798000.0,259470000.0,906505000.0,2904779000.0,3811284000.0,2215000.0,563281000.0,1001858000.0,1388151000.0,1951432000.0,1859852000.0,32350000.0,27862000.0,-11023000.0,-11881000.0,-7832000.0,-28375000.0,32.5
2013-09-30,522100000.0,288832000.0,233268000.0,142780000.0,57954000.0,40198000.0,0.36,92133000.0,57954000.0,111827000.0,132303000.0,428531000.0,278351000.0,948424000.0,2903102000.0,3851526000.0,2622000.0,589391000.0,933292000.0,1342564000.0,1931955000.0,1919571000.0,34179000.0,48095000.0,43500000.0,37053000.0,-7841000.0,-67765000.0,37.75
2013-12-31,589435000.0,313107900.0,276327100.0,139826000.0,93723100.0,66873000.0,0.5700000000000001,129265100.0,93723100.0,112254000.0,173242000.0,466749000.0,260858000.0,1044838000.0,2901874000.0,3946712000.0,2624000.0,602796000.0,932104000.0,1349429000.0,1952225000.0,1994487000.0,35542000.0,71703000.0,-7427000.0,-16077000.0,-7867000.0,-15426000.0,41.23
2014-03-31,530610000.0,294897000.0,235713000.0,152437000.0,51762000.0,34224000.0,0.30000000000000004,81394000.0,51762000.0,112553000.0,224113000.0,442976000.0,279031000.0,1097582000.0,2873496000.0,3971078000.0,2626000.0,605462000.0,926897000.0,1336180000.0,1941642000.0,2029436000.0,29632000.0,67711000.0,-6020000.0,-6020000.0,-7887000.0,-11548000.0,45.06
2014-06-30,556170000.0,308186000.0,247984000.0,147253000.0,69637000.0,50490000.0,0.44,98574000.0,69637000.0,112788000.0,205258000.0,443722000.0,277991000.0,1080649000.0,2855919000.0,3936568000.0,1051000.0,578599000.0,894282000.0,1301978000.0,1880577000.0,2055991000.0,28937000.0,54395000.0,-8427000.0,-8565000.0,-7922000.0,-65135000.0,46.84
2014-09-30,542049000.0,298740000.0,243309000.0,142997000.0,58776000.0,42277000.0,0.37,88111000.0,58776000.0,112646000.0,203683000.0,427008000.0,281617000.0,1074347000.0,2812123000.0,3886470000.0,1157000.0,567433000.0,858578000.0,1256283000.0,1823716000.0,2062754000.0,29335000.0,62927000.0,-7767000.0,-9231000.0,-7904000.0,-47012000.0,43.6
2014-12-31,441050800.0,233459000.0,207591900.0,205522000.0,-15168100.0,30787000.0,0.27,11251900.0,-15168000.0,112593000.0,174821000.0,470563000.0,285457000.0,1068551000.0,3059025000.0,4127576000.0,1075000.0,597310000.0,1045393000.0,1488164000.0,2085474000.0,2042102000.0,26420000.0,96564000.0,-2407000.0,-272081000.0,-7907000.0,154626000.0,43.73
2015-03-31,526901000.0,291527000.0,235374000.0,145873000.0,57381000.0,40334000.0,0.36,90877000.0,57381000.0,112641000.0,168924000.0,415378000.0,291120000.0,1022535000.0,3005736000.0,4028271000.0,1083000.0,550581000.0,1014666000.0,1417805000.0,1968386000.0,2059885000.0,33496000.0,37663000.0,-4479000.0,-9039000.0,-7876000.0,-24690000.0,51.14
2015-06-30,563906000.0,311394000.0,252512000.0,146742000.0,68131000.0,48974000.0,0.43,98372000.0,68131000.0,113018000.0,192170000.0,425698000.0,304754000.0,1070328000.0,3012428000.0,4082756000.0,1974000.0,574344000.0,986452000.0,1387508000.0,1961852000.0,2120904000.0,30241000.0,63471000.0,-5620000.0,-19736000.0,-7923000.0,-23723000.0,52.64
