,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,479971000.0,150263000.0,329708000.0,56197000.0,97039000.0,265416000.0,0.58,276962000.0,97039000.0,461468000.0,833964000.0,327691000.0,1161655000.0,22913640000.0,24075300000.0,0.0,589034000.0,9074123000.0,10275730000.0,10864770000.0,13210530000.0,179923000.0,129140000.0,2990149000.0,2814582000.0,-140528000.0,-2261865000.0,39.98
2013-06-30,410693000.0,134843000.0,275850000.0,54909000.0,58514000.0,-1517000.0,0.0,219832900.0,58514000.0,486032000.0,412066000.0,314616000.0,726682000.0,23310880000.0,24037570000.0,0.0,651081000.0,8417310000.0,9063984000.0,9715066000.0,14322500000.0,161319000.0,74428000.0,-121587000.0,-396730000.0,-147662000.0,-23912000.0,37.72
2013-09-30,423058000.0,128834000.0,294224000.0,55034000.0,77381000.0,-7534000.0,-0.02,238807000.0,77381000.0,497989000.0,164181000.0,327542000.0,491723000.0,24297820000.0,24789540000.0,0.0,692241000.0,9119317000.0,9833780000.0,10526020000.0,14263520000.0,161426000.0,128680000.0,-60630000.0,-751184000.0,288190000.0,356667000.0,37.62
2013-12-31,436764000.0,127277000.0,309487000.0,63067000.0,71477900.0,59057000.0,0.12,196095900.0,71477900.0,486076000.0,491129000.0,295955000.0,787084000.0,23785220000.0,24572310000.0,0.0,563993000.0,9011216000.0,9831861000.0,10395850000.0,14176450000.0,124618000.0,152741000.0,1006086000.0,667254000.0,-580862000.0,-436512000.0,36.95
2014-03-31,434682000.0,134680000.0,300002000.0,63203000.0,71466000.0,4666000.0,0.01,237072000.0,71466000.0,498696000.0,198636000.0,306583000.0,505219000.0,24149930000.0,24655150000.0,0.0,572754000.0,8870635000.0,9589150000.0,10161910000.0,14493240000.0,165606000.0,72243000.0,-281266000.0,-517127000.0,-168241000.0,132184000.0,40.83
2014-06-30,460089000.0,137413000.0,322676000.0,60375000.0,95274000.0,72715000.0,0.15,263171000.0,95274000.0,499112000.0,267427000.0,123961000.0,391388000.0,23740170000.0,24131560000.0,0.0,615849000.0,8529453000.0,9238863000.0,9854712000.0,14276850000.0,167897000.0,233623000.0,440480000.0,327513000.0,-168004000.0,-483078000.0,41.09
2014-09-30,415151000.0,124766000.0,290385000.0,58203000.0,78112000.0,136245000.0,0.27,202364000.0,78112000.0,499292000.0,311879000.0,132464000.0,444343000.0,23627760000.0,24072100000.0,0.0,556965000.0,8822952000.0,9378389000.0,9935354000.0,14136750000.0,124252000.0,144921000.0,185558000.0,-413841000.0,-166014000.0,327752000.0,37.7
2014-12-31,450865000.0,148860000.0,302005000.0,47551000.0,74956100.0,408609000.0,0.81,237946000.0,74956000.0,499583000.0,350692000.0,0.0,350692000.0,25424310000.0,25775000000.0,0.0,627999000.0,9336977000.0,9963402000.0,10591400000.0,15183600000.0,162990000.0,443686000.0,51599100.0,-61806000.0,502259000.0,-327665000.0,43.03
2015-03-31,462847000.0,152277000.0,310570000.0,51306000.0,83881000.0,345206000.0,0.67,242438000.0,83881000.0,514022000.0,192013000.0,197500000.0,389513000.0,25071310000.0,25460820000.0,0.0,459845000.0,8641421000.0,9208169000.0,9668014000.0,15792810000.0,158557000.0,81532000.0,-122832000.0,-200349000.0,-190585000.0,-31953000.0,43.56
2015-06-30,510404000.0,150767000.0,359637000.0,51974000.0,87348000.0,140240000.0,0.27,274401000.0,87348000.0,523476000.0,351025000.0,197500000.0,548525000.0,31053870000.0,31602400000.0,0.0,537432000.0,12121300000.0,12710940000.0,13248370000.0,18354020000.0,187053000.0,274357000.0,-5874100.0,-4880271000.0,-190604000.0,4763383000.0,37.1
