,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,18527000000.0,13432000000.0,5095000000.0,1677000000.0,3391000000.0,2114000000.0,1.28,3613000000.0,3391000000.0,1646000000.0,3981000000.0,3591000000.0,7976000000.0,16661000000.0,20757000000.0,37418000000.0,4802000000.0,14509000000.0,20796000000.0,26964000000.0,41473000000.0,-4055000000.0,222000000.0,1363000000.0,-240000000.0,-222000000.0,-1414000000.0,-53000000.0,92.71
2013-06-30,20483000000.0,15267000000.0,5216000000.0,1850000000.0,3337000000.0,2113000000.0,1.3,3556000000.0,3337000000.0,1631000000.0,3586000000.0,3964000000.0,8217000000.0,16755000000.0,20385000000.0,37140000000.0,3940000000.0,14706000000.0,21559000000.0,27659000000.0,42365000000.0,-5225000000.0,219000000.0,3137000000.0,-280000000.0,-269000000.0,-1401000000.0,-3246000000.0,86.62
2013-09-30,20629000000.0,15320000000.0,5309000000.0,1687000000.0,3599000000.0,2328000000.0,1.44,3817000000.0,3599000000.0,1614000000.0,3382000000.0,3659000000.0,8026000000.0,16016000000.0,20779000000.0,36795000000.0,4923000000.0,16018000000.0,21877000000.0,27968000000.0,43986000000.0,-7191000000.0,218000000.0,3315000000.0,-301000000.0,-980000000.0,-1387000000.0,-2604000000.0,86.59
2013-12-31,20390000000.0,15203000000.0,5187000000.0,1676000000.0,3188000000.0,1976000000.0,1.24,3411000000.0,3188000000.0,1622000000.0,2154000000.0,3853000000.0,9846000000.0,16852000000.0,21316000000.0,38168000000.0,3655000000.0,17066000000.0,24023000000.0,27376000000.0,44442000000.0,-6274000000.0,223000000.0,2320000000.0,-379000000.0,-1209000000.0,-1518000000.0,-2312000000.0,87.13
2014-03-31,17779000000.0,13236000000.0,4543000000.0,1547000000.0,2951000000.0,1875000000.0,1.18,3162000000.0,2951000000.0,1583000000.0,1823000000.0,3408000000.0,8724000000.0,14825000000.0,21312000000.0,36137000000.0,3690000000.0,13971000000.0,25989000000.0,29323000000.0,43294000000.0,-7157000000.0,211000000.0,715000000.0,-256000000.0,-208000000.0,-1503000000.0,-805000000.0,81.87
2014-06-30,21051000000.0,15950000000.0,5101000000.0,1716000000.0,2874000000.0,1842000000.0,1.17,3090000000.0,2874000000.0,1571000000.0,1541000000.0,4081000000.0,8271000000.0,14710000000.0,21615000000.0,36325000000.0,2348000000.0,13580000000.0,27161000000.0,30592000000.0,44172000000.0,-7847000000.0,216000000.0,2705000000.0,-252000000.0,-336000000.0,-1490000000.0,-2682000000.0,84.31
2014-09-30,21335000000.0,16213000000.0,5122000000.0,1763000000.0,3345000000.0,2146000000.0,1.38,3578000000.0,3345000000.0,1560000000.0,2043000000.0,3785000000.0,7979000000.0,14761000000.0,20640000000.0,35401000000.0,3448000000.0,15117000000.0,25395000000.0,28961000000.0,44078000000.0,-8677000000.0,233000000.0,2965000000.0,-296000000.0,-229000000.0,-1478000000.0,-2075000000.0,83.4
2014-12-31,19941000000.0,15376000000.0,4565000000.0,1975000000.0,2532000000.0,1596000000.0,1.03,2761000000.0,2532000000.0,1566000000.0,1682000000.0,4004000000.0,8592000000.0,15484000000.0,19703000000.0,35187000000.0,2526000000.0,15112000000.0,26929000000.0,31278000000.0,46390000000.0,-11203000000.0,229000000.0,1354000000.0,-349000000.0,-223000000.0,-1564000000.0,-1277000000.0,81.45
2015-03-31,17352000000.0,12965000000.0,4387000000.0,1494000000.0,2871000000.0,1788000000.0,1.16,3063000000.0,2871000000.0,1548000000.0,1524000000.0,3741000000.0,7552000000.0,14275000000.0,18980000000.0,33255000000.0,5013000000.0,14980000000.0,25572000000.0,30521000000.0,45501000000.0,-12246000000.0,192000000.0,-375000000.0,-203000000.0,68000000.0,-1555000000.0,525000000.0,75.33
2015-06-30,18763000000.0,14282000000.0,4481000000.0,1568000000.0,2892000000.0,1881000000.0,1.21,3077000000.0,2892000000.0,1549000000.0,1838000000.0,3619000000.0,7207000000.0,13772000000.0,18941000000.0,32713000000.0,4636000000.0,15386000000.0,24566000000.0,29125000000.0,44511000000.0,-11798000000.0,185000000.0,3675000000.0,-210000000.0,-292000000.0,-1555000000.0,-3165000000.0,80.17
2015-09-30,19422000000.0,14878000000.0,4544000000.0,1566000000.0,2959000000.0,1935000000.0,1.25,3143000000.0,2959000000.0,1549000000.0,2393000000.0,3322000000.0,7207000000.0,14112000000.0,17899000000.0,32011000000.0,3107000000.0,14102000000.0,25800000000.0,30135000000.0,44237000000.0,-12226000000.0,184000000.0,2693000000.0,-223000000.0,-164000000.0,-1555000000.0,-1821000000.0,79.33
2015-12-31,18371000000.0,14354000000.0,4017000000.0,2028000000.0,1901000000.0,1245000000.0,0.8,2094000000.0,1901000000.0,1549000000.0,3417000000.0,2778000000.0,8473000000.0,15804000000.0,18152000000.0,33956000000.0,3230000000.0,15386000000.0,25250000000.0,30046000000.0,45432000000.0,-11476000000.0,193000000.0,1872000000.0,-324000000.0,-320000000.0,-1585000000.0,-275000000.0,87.91
2016-03-31,16788000000.0,12801000000.0,3987000000.0,1496000000.0,2473000000.0,1525000000.0,0.98,2648000000.0,2473000000.0,1550000000.0,2944000000.0,2989000000.0,8699000000.0,15928000000.0,18693000000.0,34621000000.0,3110000000.0,14091000000.0,26683000000.0,31424000000.0,45515000000.0,-10894000000.0,175000000.0,462000000.0,-226000000.0,-419000000.0,-1585000000.0,-593000000.0,98.11
2016-06-30,19041000000.0,14756000000.0,4285000000.0,1513000000.0,2753000000.0,1783000000.0,1.15,2938000000.0,2753000000.0,1551000000.0,3814000000.0,3085000000.0,7989000000.0,16046000000.0,18756000000.0,34802000000.0,1871000000.0,12672000000.0,28098000000.0,32929000000.0,45601000000.0,-10799000000.0,185000000.0,2374000000.0,-254000000.0,-18000000.0,-1588000000.0,-1401000000.0,101.72
2016-09-30,19935000000.0,15385000000.0,4550000000.0,1554000000.0,2977000000.0,1933000000.0,1.25,3165000000.0,2977000000.0,1551000000.0,4884000000.0,3100000000.0,7486000000.0,16574000000.0,19003000000.0,35577000000.0,3127000000.0,14258000000.0,26960000000.0,31636000000.0,45894000000.0,-10317000000.0,188000000.0,3092000000.0,-254000000.0,-506000000.0,-1586000000.0,-1566000000.0,97.22
2016-12-31,-29079000000.0,-33551000000.0,4472000000.0,1754000000.0,2700000000.0,1707000000.0,1.1,2895000000.0,2700000000.0,1551000000.0,4239000000.0,3499000000.0,9017000000.0,17608000000.0,19243000000.0,36851000000.0,3216000000.0,16467000000.0,25851000000.0,31284000000.0,47751000000.0,-10900000000.0,195000000.0,2149000000.0,-438000000.0,109000000.0,-1619000000.0,-1853000000.0,91.49
2017-03-31,6064000000.0,2177000000.0,3887000000.0,1449000000.0,2416000000.0,1587000000.0,1.02,2613000000.0,2416000000.0,1552000000.0,5076000000.0,3090000000.0,8007000000.0,16884000000.0,19743000000.0,36627000000.0,2758000000.0,13355000000.0,28588000000.0,33829000000.0,47184000000.0,-10557000000.0,197000000.0,843000000.0,-292000000.0,-543000000.0,-1618000000.0,341000000.0,112.9
2017-06-30,6917000000.0,2519000000.0,4398000000.0,1639000000.0,2737000000.0,1776000000.0,1.1400000000000001,2947000000.0,2737000000.0,1553000000.0,6197000000.0,3648000000.0,7730000000.0,18432000000.0,20228000000.0,38660000000.0,5152000000.0,17243000000.0,26595000000.0,31694000000.0,48937000000.0,-10277000000.0,210000000.0,3228000000.0,-268000000.0,-701000000.0,-1618000000.0,-1932000000.0,117.45
2017-09-30,7473000000.0,2735000000.0,4738000000.0,1629000000.0,3088000000.0,1966000000.0,1.27,3313000000.0,3088000000.0,1553000000.0,7667000000.0,3985000000.0,8283000000.0,20859000000.0,21092000000.0,41951000000.0,5910000000.0,18514000000.0,28065000000.0,33070000000.0,51584000000.0,-9633000000.0,225000000.0,1920000000.0,-435000000.0,-1078000000.0,-1618000000.0,359000000.0,111.01
2017-12-31,8294000000.0,3001000000.0,5293000000.0,1930000000.0,3340000000.0,692000000.0,0.44,3583000000.0,3340000000.0,1552000000.0,8447000000.0,3738000000.0,8806000000.0,21594000000.0,21374000000.0,42968000000.0,3005000000.0,15962000000.0,31334000000.0,37236000000.0,53198000000.0,-10230000000.0,243000000.0,2921000000.0,-553000000.0,-761000000.0,-1666000000.0,-1537000000.0,105.65
2018-03-31,6896000000.0,2615000000.0,4281000000.0,1833000000.0,2426000000.0,1553000000.0,1.0,2668000000.0,2426000000.0,1553000000.0,7200000000.0,3894000000.0,8592000000.0,20593000000.0,22477000000.0,43070000000.0,5270000000.0,17688000000.0,29578000000.0,35864000000.0,53552000000.0,-10482000000.0,242000000.0,1380000000.0,-365000000.0,-1018000000.0,-1659000000.0,-1738000000.0,99.4
2018-06-30,7726000000.0,2744000000.0,4982000000.0,1868000000.0,3093000000.0,2193000000.0,1.4100000000000001,3339000000.0,3093000000.0,1555000000.0,6587000000.0,3772000000.0,8925000000.0,20028000000.0,20693000000.0,40721000000.0,3617000000.0,17441000000.0,28048000000.0,33448000000.0,50889000000.0,-10168000000.0,246000000.0,3993000000.0,-409000000.0,335000000.0,-1673000000.0,-4277000000.0,80.74
2018-09-30,7504000000.0,2618000000.0,4886000000.0,1710000000.0,3156000000.0,2242000000.0,1.44,3402000000.0,3156000000.0,1555000000.0,5880000000.0,3522000000.0,8440000000.0,18538000000.0,20842000000.0,39380000000.0,3587000000.0,15599000000.0,28179000000.0,33723000000.0,49322000000.0,-9942000000.0,246000000.0,1683000000.0,-328000000.0,-481000000.0,-1778000000.0,-1889000000.0,81.54
2018-12-31,7499000000.0,2781000000.0,4718000000.0,1997000000.0,2702000000.0,1907000000.0,1.23,2957000000.0,2702000000.0,1555000000.0,6593000000.0,3564000000.0,8804000000.0,19442000000.0,20359000000.0,39801000000.0,4784000000.0,17191000000.0,26975000000.0,33349000000.0,50540000000.0,-10739000000.0,255000000.0,2422000000.0,-334000000.0,166000000.0,-1775000000.0,-1747000000.0,66.76
2019-03-31,6751000000.0,2465000000.0,4286000000.0,2217000000.0,2050000000.0,1350000000.0,0.87,2290000000.0,2050000000.0,1555000000.0,3081000000.0,3535000000.0,8318000000.0,15741000000.0,22301000000.0,38042000000.0,7133000000.0,18486000000.0,23131000000.0,29741000000.0,48227000000.0,-10185000000.0,240000000.0,1241000000.0,-324000000.0,-1596000000.0,-1780000000.0,-3151000000.0,88.39
2019-06-30,7699000000.0,2665000000.0,5034000000.0,1831000000.0,3187000000.0,2319000000.0,1.49,3419000000.0,3187000000.0,1556000000.0,4008000000.0,4074000000.0,8255000000.0,17163000000.0,22760000000.0,39923000000.0,5031000000.0,18046000000.0,24858000000.0,31286000000.0,49332000000.0,-9409000000.0,232000000.0,3442000000.0,-178000000.0,-153000000.0,-1777000000.0,-2404000000.0,78.53
2019-09-30,7642000000.0,2605000000.0,5037000000.0,2234000000.0,2788000000.0,1891000000.0,1.22,3025000000.0,2788000000.0,1556000000.0,6507000000.0,3729000000.0,8529000000.0,19575000000.0,21845000000.0,41420000000.0,5390000000.0,18045000000.0,26426000000.0,32530000000.0,50575000000.0,-9155000000.0,237000000.0,2083000000.0,-194000000.0,122000000.0,-1779000000.0,453000000.0,75.93
