,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4177000000.0,222000000.0,3955000000.0,2604000000.0,1351000000.0,928000000.0,1.78,526000000.0,9006000000.0,194977000000.0,105835000000.0,300812000000.0,0.0,226754000000.0,26694000000.0,31980000000.0,258734000000.0,42078000000.0,283000000.0,1012000000.0,3380000000.0,-210000000.0,-5664000000.0,66.5
2013-06-30,4275000000.0,211000000.0,4064000000.0,2562000000.0,1502000000.0,1058000000.0,2.02,528000000.0,11570000000.0,201387000000.0,103028000000.0,304415000000.0,0.0,227039000000.0,29161000000.0,35435000000.0,262474000000.0,41941000000.0,300000000.0,784000000.0,-4023000000.0,-234000000.0,3342000000.0,72.92
2013-09-30,4134000000.0,214000000.0,3920000000.0,2531000000.0,1389000000.0,955000000.0,1.82,529000000.0,15469000000.0,207033000000.0,101564000000.0,308597000000.0,0.0,230906000000.0,30114000000.0,34871000000.0,265777000000.0,42820000000.0,300000000.0,4100000000.0,-7186000000.0,-233000000.0,3943000000.0,72.45
2013-12-31,4286000000.0,213000000.0,4073000000.0,2627000000.0,1446000000.0,993000000.0,1.87,528000000.0,21237000000.0,215496000000.0,104696000000.0,320192000000.0,0.0,234907000000.0,36819000000.0,41248000000.0,276155000000.0,44037000000.0,263000000.0,-341000000.0,-11106000000.0,-234000000.0,10582000000.0,77.58
2014-03-31,3992000000.0,215000000.0,3777000000.0,2358000000.0,1419000000.0,992000000.0,1.8599999999999999,532000000.0,23124000000.0,219938000000.0,103485000000.0,323423000000.0,0.0,235346000000.0,38650000000.0,43159000000.0,278505000000.0,44918000000.0,236000000.0,1920000000.0,-2985000000.0,-235000000.0,1745000000.0,87.0
2014-06-30,4037000000.0,227000000.0,3810000000.0,2400000000.0,1410000000.0,1001000000.0,1.88,532000000.0,25522000000.0,225281000000.0,101783000000.0,327064000000.0,0.0,235438000000.0,40935000000.0,45833000000.0,281271000000.0,45793000000.0,240000000.0,1550000000.0,-3297000000.0,-256000000.0,1916000000.0,89.05
2014-09-30,4065000000.0,224000000.0,3841000000.0,2412000000.0,1429000000.0,963000000.0,1.82,529000000.0,34822000000.0,234431000000.0,99993000000.0,334424000000.0,0.0,239702000000.0,44019000000.0,48727000000.0,288429000000.0,45995000000.0,248000000.0,1110000000.0,-8265000000.0,-257000000.0,6427000000.0,85.58
2014-12-31,4187000000.0,240000000.0,3947000000.0,2591000000.0,1356000000.0,980000000.0,1.88,529000000.0,40344000000.0,244092000000.0,100980000000.0,345072000000.0,0.0,245926000000.0,48263000000.0,53072000000.0,298998000000.0,46074000000.0,264000000.0,1005000000.0,-10346000000.0,-252000000.0,9537000000.0,91.23
2015-03-31,3978000000.0,247000000.0,3731000000.0,2403000000.0,1328000000.0,933000000.0,1.79,521000000.0,39393000000.0,243232000000.0,107728000000.0,350960000000.0,0.0,248143000000.0,50228000000.0,56379000000.0,304522000000.0,46438000000.0,252000000.0,260000000.0,-3886000000.0,-251000000.0,3417000000.0,93.24
2015-06-30,4119000000.0,253000000.0,3866000000.0,2412000000.0,1454000000.0,992000000.0,1.92,517000000.0,42686000000.0,246924000000.0,107021000000.0,353945000000.0,0.0,249881000000.0,53130000000.0,58152000000.0,308033000000.0,45912000000.0,278000000.0,1396000000.0,-4597000000.0,-265000000.0,3462000000.0,95.65
