,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,686652000.0,230679000.0,455973000.0,263271000.0,86923000.0,24444000.0,0.22,212389000.0,86923000.0,109832000.0,25109000.0,358403000.0,258816000.0,871777000.0,12429150000.0,13300930000.0,122828000.0,891511000.0,3304458000.0,8257086000.0,9148600000.0,4152330000.0,125466000.0,212157000.0,-167947000.0,-176720000.0,-58067000.0,-36530000.0,57.89
2013-06-30,915822000.0,277584000.0,638238000.0,270114000.0,259812000.0,131207000.0,1.19,394748900.0,259812000.0,109962000.0,27803000.0,508685000.0,253432000.0,1066289000.0,12496410000.0,13562690000.0,629231000.0,1537218000.0,2820172000.0,7856241000.0,9393459000.0,4169235000.0,134937000.0,242099000.0,-187418000.0,-195158000.0,-58164000.0,-44247000.0,55.47
2013-09-30,1152392000.0,350953000.0,801439000.0,276579000.0,415688000.0,226163000.0,2.06,556414000.0,415688000.0,110009000.0,135457000.0,689708000.0,258344000.0,1350486000.0,12472180000.0,13822670000.0,566481000.0,1446943000.0,2820315000.0,7954300000.0,9401243000.0,4421428000.0,140726000.0,428074000.0,-191240000.0,-200078000.0,-58254000.0,-120342000.0,54.74
2013-12-31,699761800.0,236493000.0,463268900.0,278930000.0,83900000.0,24260000.0,0.22,206283000.0,83900100.0,109984000.0,9526000.0,529014000.0,259710000.0,1043609000.0,12465080000.0,13508690000.0,693549000.0,1618644000.0,2796465000.0,7549582000.0,9168226000.0,4340460000.0,122383000.0,270977000.0,-428627000.0,-437445000.0,-60759000.0,40537000.0,52.92
2014-03-31,686251000.0,249786000.0,436465000.0,258727000.0,75169900.0,15766000.0,0.14,205585900.0,75169900.0,110257000.0,103421000.0,336934000.0,259897000.0,897930000.0,12552870000.0,13450800000.0,549924000.0,1394643000.0,3045614000.0,7678453000.0,9073096000.0,4377701000.0,130416000.0,249157000.0,-199723000.0,-208508000.0,-62520000.0,53246000.0,54.66
2014-06-30,906264000.0,290854000.0,615410000.0,255226000.0,254112900.0,132458000.0,1.2,388466900.0,254112900.0,110565000.0,9161000.0,495065000.0,269145000.0,999072000.0,12691250000.0,13690320000.0,545491000.0,1554707000.0,2999513000.0,7753748000.0,9308455000.0,4381862000.0,134354000.0,215909000.0,-176383000.0,-184460000.0,-62618000.0,-125709000.0,57.84
2014-09-30,1172667000.0,382361000.0,790306000.0,264268000.0,421775000.0,243961000.0,2.2,560451000.0,421775000.0,110686000.0,10471000.0,543753000.0,263056000.0,1040932000.0,12939420000.0,13980350000.0,387991000.0,1448518000.0,3037801000.0,7887817000.0,9336335000.0,4644013000.0,138676000.0,421852000.0,-234015000.0,-240789000.0,-62640000.0,-179753000.0,54.64
2014-12-31,726450200.0,256828000.0,469622200.0,302099100.0,60184300.0,5410000.0,0.05,193982400.0,60184300.0,110626000.0,7604000.0,398277000.0,255986000.0,973435000.0,13315460000.0,14288890000.0,530970000.0,1559143000.0,3006573000.0,8210645000.0,9769788000.0,4519102000.0,133798000.0,212709000.0,-280188000.0,-288911000.0,-58893000.0,73335000.0,68.31
2015-03-31,671219000.0,223237000.0,447982000.0,258160000.0,67684000.0,16122000.0,0.15,214792000.0,67684000.0,110916000.0,11664000.0,337614000.0,265981000.0,935442000.0,13500270000.0,14435700000.0,428070000.0,1373976000.0,3281319000.0,8508721000.0,9882696000.0,4553007000.0,147108000.0,144148000.0,-223819000.0,-232817000.0,-64061000.0,92729000.0,63.75
2015-06-30,890648000.0,281477000.0,609171000.0,253997000.0,231973100.0,122902000.0,1.11,378507100.0,231973100.0,110986000.0,13557000.0,471934000.0,274297000.0,1031756000.0,13669730000.0,14701480000.0,260223000.0,1339859000.0,3565857000.0,8835981000.0,10175840000.0,4525643000.0,146534000.0,250146000.0,-266206000.0,-276686000.0,-64180000.0,28433000.0,56.89
2015-09-30,1199146000.0,363847000.0,835299000.0,263690000.0,445111000.0,257116000.0,2.32,598874000.0,445111000.0,111036000.0,13007000.0,520733000.0,278523000.0,1061979000.0,13813040000.0,14875020000.0,468433000.0,1523362000.0,3257347000.0,8560337000.0,10083700000.0,4791319000.0,153763000.0,427079000.0,-254693000.0,-263285000.0,-64225000.0,-164344000.0,64.14
