,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3108000000.0,1862000000.0,1246000000.0,746000000.0,290000000.0,2410000000.0,8.245,391000000.0,290000000.0,292200000.0,2380000000.0,2824000000.0,1698000000.0,7726000000.0,7650000000.0,15376000000.0,48000000.0,3727000000.0,3353000000.0,6608000000.0,10335000000.0,5041000000.0,101000000.0,-89000000.0,-63000000.0,1614000000.0,-84000000.0,-800000000.0,66.97
2013-06-30,3883000000.0,2263000000.0,1620000000.0,925000000.0,458000000.0,341000000.0,1.19,577000000.0,458000000.0,286800000.0,1781000000.0,3223000000.0,1862000000.0,7710000000.0,8356000000.0,16066000000.0,24000000.0,4106000000.0,3355000000.0,6659000000.0,10765000000.0,5301000000.0,119000000.0,583000000.0,-86000000.0,-1220000000.0,-88000000.0,-124000000.0,73.21
2013-09-30,3774000000.0,2161000000.0,1613000000.0,910000000.0,375000000.0,226000000.0,0.79,488000000.0,375000000.0,286400000.0,2249000000.0,3122000000.0,1878000000.0,8120000000.0,8518000000.0,16638000000.0,27000000.0,4362000000.0,3368000000.0,6795000000.0,11157000000.0,5481000000.0,113000000.0,788000000.0,-101000000.0,-226000000.0,-87000000.0,-263000000.0,83.53
2013-12-31,3500000000.0,2028000000.0,1472000000.0,905000000.0,329000000.0,254000000.0,0.9,448000000.0,329000000.0,286800000.0,1745000000.0,2736000000.0,1824000000.0,7214000000.0,8649000000.0,15863000000.0,34000000.0,4135000000.0,3372000000.0,6530000000.0,10665000000.0,5198000000.0,119000000.0,509000000.0,-244000000.0,-165000000.0,-86000000.0,-792000000.0,94.83
2014-03-31,3636000000.0,2091000000.0,1545000000.0,900000000.0,406000000.0,1262000000.0,4.535,525000000.0,406000000.0,278200000.0,3039000000.0,3016000000.0,1929000000.0,8888000000.0,8229000000.0,17117000000.0,19000000.0,4566000000.0,3373000000.0,6462000000.0,11028000000.0,6089000000.0,119000000.0,163000000.0,-103000000.0,1595000000.0,-85000000.0,-303000000.0,96.73
2014-06-30,4082000000.0,2306000000.0,1776000000.0,985000000.0,550000000.0,386000000.0,1.3900000000000001,665000000.0,550000000.0,277200000.0,2913000000.0,3184000000.0,1964000000.0,9035000000.0,8265000000.0,17300000000.0,425000000.0,4962000000.0,2958000000.0,6017000000.0,10979000000.0,6321000000.0,115000000.0,238000000.0,-129000000.0,-573000000.0,-92000000.0,-243000000.0,105.07
2014-09-30,3935000000.0,2229000000.0,1706000000.0,941000000.0,526000000.0,371000000.0,1.345,645000000.0,526000000.0,276400000.0,3038000000.0,2968000000.0,1905000000.0,8898000000.0,8189000000.0,17087000000.0,394000000.0,4896000000.0,2954000000.0,5986000000.0,10882000000.0,6205000000.0,119000000.0,636000000.0,-70000000.0,198000000.0,-92000000.0,-270000000.0,98.37
2014-12-31,3138000000.0,1722000000.0,1416000000.0,870000000.0,332000000.0,83000000.0,0.305,429000000.0,332000000.0,276600000.0,1183000000.0,2815000000.0,1825000000.0,6443000000.0,11092000000.0,17535000000.0,481000000.0,4875000000.0,3533000000.0,7395000000.0,12270000000.0,5265000000.0,97000000.0,491000000.0,-262000000.0,-2077000000.0,-92000000.0,-153000000.0,115.57
2015-03-31,3662000000.0,2065000000.0,1597000000.0,914000000.0,444000000.0,322000000.0,1.18,564000000.0,444000000.0,273200000.0,1170000000.0,2961000000.0,1881000000.0,7084000000.0,10284000000.0,17368000000.0,621000000.0,4773000000.0,4023000000.0,7437000000.0,12210000000.0,5158000000.0,120000000.0,-429000000.0,-72000000.0,35000000.0,-91000000.0,458000000.0,112.77
2015-06-30,4100000000.0,2283000000.0,1817000000.0,954000000.0,475000000.0,337000000.0,1.24,600000000.0,475000000.0,272500000.0,1182000000.0,3286000000.0,1861000000.0,7374000000.0,10222000000.0,17596000000.0,293000000.0,4825000000.0,4222000000.0,7515000000.0,12340000000.0,5256000000.0,125000000.0,615000000.0,-90000000.0,-143000000.0,-98000000.0,-500000000.0,114.72
