,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2457000000.0,586000000.0,1871000000.0,772000000.0,693000000.0,413000000.0,0.7000000000000001,1041000000.0,693000000.0,582640000.0,972000000.0,996000000.0,616000000.0,4989000000.0,38352000000.0,43341000000.0,1812000000.0,5650000000.0,18881000000.0,27149000000.0,32799000000.0,10542000000.0,348000000.0,244000000.0,-828000000.0,-899000000.0,-210000000.0,621000000.0,29.16
2013-06-30,3450000000.0,1492000000.0,1958000000.0,784000000.0,758000000.0,405000000.0,0.6900000000000001,1093000000.0,758000000.0,589834000.0,795000000.0,1008000000.0,642000000.0,4775000000.0,38971000000.0,43746000000.0,1206000000.0,5542000000.0,18875000000.0,27250000000.0,32792000000.0,10954000000.0,335000000.0,703000000.0,-969000000.0,-935000000.0,-216000000.0,89000000.0,28.18
2013-09-30,3074000000.0,1049000000.0,2025000000.0,744000000.0,846000000.0,410000000.0,0.65,1186000000.0,846000000.0,631046000.0,1343000000.0,974000000.0,686000000.0,4971000000.0,40017000000.0,44988000000.0,499000000.0,4948000000.0,19092000000.0,27678000000.0,32626000000.0,12362000000.0,340000000.0,1276000000.0,-971000000.0,-954000000.0,-219000000.0,256000000.0,28.3
2013-12-31,-1718000000.0,-1376000000.0,-342000000.0,-192000000.0,264000000.0,-104000000.0,-0.16,150000000.0,264000000.0,608983000.0,1185000000.0,1020000000.0,702000000.0,5153000000.0,41106000000.0,46259000000.0,1016000000.0,4912000000.0,20592000000.0,28881000000.0,33793000000.0,12466000000.0,-114000000.0,633000000.0,-861000000.0,-1507000000.0,-233000000.0,665000000.0,28.03
2014-03-31,1194000000.0,-736000000.0,1930000000.0,769000000.0,723000000.0,316000000.0,0.5,1088000000.0,723000000.0,630749000.0,1672000000.0,1211000000.0,607000000.0,6094000000.0,41879000000.0,47973000000.0,1883000000.0,6376000000.0,20514000000.0,28880000000.0,35256000000.0,12717000000.0,365000000.0,931000000.0,-892000000.0,-1183000000.0,-234000000.0,392000000.0,30.87
2014-06-30,1849000000.0,403000000.0,1446000000.0,524000000.0,678000000.0,229000000.0,0.35000000000000003,803000000.0,678000000.0,653132000.0,1601000000.0,1096000000.0,651000000.0,5537000000.0,42656000000.0,48193000000.0,1112000000.0,5156000000.0,20819000000.0,29302000000.0,34458000000.0,13735000000.0,125000000.0,652000000.0,-786000000.0,-920000000.0,-236000000.0,279000000.0,33.09
2014-09-30,1879000000.0,413000000.0,1466000000.0,545000000.0,688000000.0,497000000.0,0.74,937000000.0,688000000.0,664432000.0,1462000000.0,1050000000.0,763000000.0,5760000000.0,42429000000.0,48189000000.0,1334000000.0,5412000000.0,20522000000.0,28803000000.0,34215000000.0,13974000000.0,249000000.0,1045000000.0,-924000000.0,-871000000.0,-248000000.0,-252000000.0,30.59
2014-12-31,2930000000.0,1809000000.0,1121000000.0,335000000.0,778000000.0,686000000.0,1.04,1027000000.0,778000000.0,653504000.0,1519000000.0,808000000.0,381000000.0,6026000000.0,42580000000.0,48606000000.0,1836000000.0,7439000000.0,17054000000.0,27539000000.0,34978000000.0,13628000000.0,249000000.0,775000000.0,-1072000000.0,-355000000.0,-249000000.0,164000000.0,33.84
2015-03-31,2230000000.0,582000000.0,1648000000.0,542000000.0,890000000.0,647000000.0,0.97,1117000000.0,890000000.0,666974000.0,1660000000.0,1231000000.0,687000000.0,5699000000.0,43222000000.0,48921000000.0,3130000000.0,7217000000.0,18772000000.0,27668000000.0,34885000000.0,14036000000.0,227000000.0,673000000.0,-833000000.0,-990000000.0,-250000000.0,-97000000.0,31.35
2015-06-30,1781000000.0,384000000.0,1397000000.0,543000000.0,638000000.0,-757000000.0,-1.13,870000000.0,638000000.0,668415000.0,846000000.0,843000000.0,315000000.0,2870000000.0,35374000000.0,38244000000.0,2100000000.0,4509000000.0,17103000000.0,23794000000.0,28303000000.0,9941000000.0,232000000.0,640000000.0,-846000000.0,-734000000.0,-250000000.0,-388000000.0,29.47
