,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,470900000.0,150389000.0,320511000.0,18253000.0,211257000.0,161936000.0,0.9400000000000001,302258000.0,211257000.0,171446000.0,398252000.0,0.0,796817000.0,8304733000.0,9101551000.0,0.0,205129000.0,142419000.0,142419000.0,347548000.0,8754003000.0,91001000.0,309339000.0,-35597000.0,-41416000.0,-263733000.0,113939000.0,152.32
2013-06-30,485378000.0,142571000.0,342807000.0,14085000.0,237785000.0,207685000.0,1.21,328722000.0,237785000.0,171625000.0,410910000.0,0.0,815436000.0,8279162000.0,9094598000.0,0.0,218703000.0,111688000.0,111688000.0,330391000.0,8764207000.0,90937000.0,363230000.0,-22490000.0,-63348000.0,-267264000.0,-286775000.0,153.33
2013-09-30,511957000.0,147803000.0,364154000.0,17650000.0,249967000.0,231361000.0,1.35,346504000.0,249967000.0,171721000.0,56965000.0,0.0,477406000.0,8672534000.0,9149940000.0,0.0,243033000.0,100118000.0,100118000.0,343151000.0,8806789000.0,96537000.0,367094000.0,-76374000.0,-441898000.0,-267303000.0,-280557000.0,160.55
2013-12-31,496707000.0,118996000.0,377711000.0,16691000.0,252093000.0,243749000.0,1.42,361020000.0,252093000.0,171640000.0,19169000.0,428139000.0,447308000.0,9428959000.0,9876266000.0,700000000.0,918358000.0,139053000.0,139053000.0,1057411000.0,8818855000.0,108927000.0,390676000.0,-25447000.0,-865731000.0,-293161000.0,437233000.0,150.52
2014-03-31,519624000.0,174519000.0,345105000.0,18989000.0,217095000.0,174052000.0,1.01,326116000.0,217095000.0,171910000.0,101112000.0,209557000.0,310669000.0,9371913000.0,9682582000.0,372000000.0,594608000.0,88150000.0,88150000.0,682758000.0,8999824000.0,109021000.0,330709000.0,-38653000.0,173069000.0,-294226000.0,-421909000.0,168.49
2014-06-30,538037000.0,150554000.0,387483000.0,15377000.0,265663000.0,218352000.0,1.27,372106000.0,265663000.0,172282000.0,387983000.0,207928000.0,595911000.0,9350546000.0,9946457000.0,322000000.0,559985000.0,74987000.0,74987000.0,634972000.0,9311485000.0,106443000.0,395337000.0,-42747000.0,-71348000.0,-299697000.0,-36685000.0,171.35
2014-09-30,567090000.0,158568000.0,408522000.0,17874000.0,279571000.0,231815000.0,1.34,390648000.0,279571000.0,172378000.0,98252000.0,0.0,98252000.0,9526216000.0,9624468000.0,0.0,260461000.0,71632000.0,71632000.0,332093000.0,9292375000.0,111077000.0,427103000.0,-60335000.0,-91939000.0,-302747000.0,-624374000.0,165.84
2014-12-31,552544800.0,129683000.0,422861800.0,19219000.0,293069900.0,283957000.0,1.65,403642900.0,293069900.0,172251000.0,187712000.0,0.0,187712000.0,9630964000.0,9818676000.0,0.0,247141000.0,64364000.0,64364000.0,311505000.0,9507171000.0,110573000.0,450393000.0,-80796000.0,-208113000.0,-303875000.0,-153896000.0,184.85
2015-03-31,564879000.0,172012000.0,392867000.0,24160000.0,261561000.0,212613000.0,1.23,368707000.0,261561000.0,172520000.0,152797000.0,0.0,152797000.0,9619221000.0,9772017000.0,0.0,264439000.0,58657000.0,58657000.0,323096000.0,9448921000.0,107146000.0,382492000.0,-71093000.0,-94147000.0,-305863000.0,-322814000.0,197.14
2015-06-30,588615000.0,161097000.0,427518000.0,20988000.0,300057000.0,263926000.0,1.53,406530000.0,300057000.0,172629000.0,20256000.0,0.0,20256000.0,9614501000.0,9634758000.0,0.0,270414000.0,58683000.0,58683000.0,329097000.0,9305661000.0,106473000.0,457133000.0,-59057000.0,-93827000.0,-355770000.0,-495395000.0,184.37
2015-09-30,618872000.0,164686000.0,454186000.0,23573000.0,324531000.0,273508000.0,1.58,430613000.0,324531000.0,172771000.0,35668000.0,0.0,35668000.0,9619146000.0,9654815000.0,0.0,295482000.0,55725000.0,55725000.0,351207000.0,9303608000.0,106082000.0,472189000.0,-82316000.0,-98112000.0,-355693000.0,-358635000.0,211.63
2015-12-31,609330000.0,137707000.0,471623000.0,19456000.0,345860000.0,303003100.0,1.75,452167000.0,345860000.0,172699000.0,104285000.0,0.0,104285000.0,9673947000.0,9778232000.0,0.0,261578000.0,319016000.0,319016000.0,580594000.0,9197638000.0,106307000.0,436465000.0,-81606000.0,-170049000.0,-353705000.0,-214439000.0,247.7
2016-03-31,611786000.0,173286000.0,438500000.0,23047000.0,310325000.0,241335000.0,1.4,415453000.0,310325000.0,172977000.0,305705000.0,0.0,305705000.0,9758643000.0,10064350000.0,0.0,275170000.0,336664000.0,336664000.0,611834000.0,9452513000.0,105128000.0,440980000.0,-79492000.0,-162678000.0,-357335000.0,-76266000.0,275.83
2016-06-30,634188000.0,172004000.0,462184000.0,18321000.0,336850000.0,280775000.0,1.62,443863000.0,336850000.0,173087000.0,260124000.0,0.0,260124000.0,9737014000.0,9997137000.0,0.0,305769000.0,436835000.0,436835000.0,742604000.0,9254533000.0,107013000.0,523734000.0,-93742000.0,-125117000.0,-371710000.0,-444545000.0,255.59
2016-09-30,663148000.0,178627000.0,484521000.0,22140000.0,352949000.0,308957000.0,1.78,462381000.0,352949000.0,173108000.0,57213000.0,0.0,57213000.0,9808557000.0,9865769000.0,0.0,345734000.0,430892000.0,430892000.0,776626000.0,9089143000.0,109432000.0,515326000.0,-79210000.0,-167764000.0,-369718000.0,-550543000.0,223.14
2016-12-31,651427100.0,145166000.0,506261100.0,20148000.0,374372100.0,352812000.0,2.04,486113100.0,374372100.0,173091000.0,183688000.0,0.0,183688000.0,9946650000.0,10130340000.0,0.0,297935000.0,390749000.0,390749000.0,688684000.0,9441654000.0,111741000.0,465296000.0,-98907000.0,-243552000.0,-406995000.0,-77472000.0,223.5
2017-03-31,645547000.0,182902000.0,462645000.0,25028000.0,326688000.0,281131000.0,1.62,437617000.0,326688000.0,173364000.0,120859000.0,0.0,120859000.0,9963052000.0,10083910000.0,0.0,294542000.0,395862000.0,395862000.0,690404000.0,9393507000.0,110929000.0,459083000.0,-95337000.0,-118121000.0,-408334000.0,-403788000.0,218.91
2017-06-30,664312000.0,182578000.0,481734000.0,14992000.0,356565000.0,276681000.0,1.5899999999999999,466742000.0,356565000.0,173602000.0,358266000.0,0.0,358266000.0,10007460000.0,10365730000.0,0.0,322923000.0,420778000.0,420778000.0,743701000.0,9622026000.0,110177000.0,506244000.0,-121302000.0,-127329000.0,-409653000.0,-141435000.0,208.53
2017-09-30,686361000.0,190619000.0,495742000.0,22311000.0,360111000.0,279717000.0,1.6099999999999999,473431000.0,360111000.0,173715000.0,694233000.0,0.0,694233000.0,10071460000.0,10765690000.0,0.0,380420000.0,1425854000.0,1425854000.0,1806274000.0,8959420000.0,113320000.0,537192000.0,-108640000.0,-155909000.0,-409610000.0,-49389000.0,213.99
2017-12-31,672308000.0,151879000.0,520429000.0,20551000.0,379778000.0,334079900.0,1.92,499878000.0,379778000.0,173613000.0,433376000.0,0.0,433376000.0,10299520000.0,10732890000.0,0.0,337201000.0,1431322000.0,1431322000.0,1768523000.0,8964369000.0,120100000.0,470370000.0,-132609000.0,-335705000.0,-402750000.0,-397607000.0,209.0
2018-03-31,669924000.0,192827000.0,477097000.0,31520000.0,327598000.0,287819000.0,1.6600000000000001,445577000.0,327598000.0,173892000.0,363030000.0,0.0,363030000.0,10322490000.0,10685520000.0,0.0,326819000.0,1442911000.0,1442911000.0,1769730000.0,8915790000.0,117979000.0,458519000.0,-98823000.0,-114900000.0,-403092000.0,-413646000.0,200.39
2018-06-30,685528000.0,190977000.0,494551000.0,31329000.0,343445000.0,348300000.0,2.0,463222000.0,343445000.0,173932000.0,338419000.0,0.0,338419000.0,10354540000.0,10692960000.0,0.0,351336000.0,1420834000.0,1420834000.0,1772170000.0,8920792000.0,119777000.0,520753000.0,-125221000.0,-141127000.0,-403061000.0,-404235000.0,226.86
