,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,41211000000.0,35243000000.0,5968000000.0,3651000000.0,1091000000.0,1407000000.0,2.25,1339000000.0,1091000000.0,625030000.0,4753000000.0,9910000000.0,5811000000.0,21170000000.0,29981000000.0,51151000000.0,13000000.0,14951000000.0,6958000000.0,14822000000.0,29773000000.0,21378000000.0,248000000.0,2213000000.0,-382000000.0,-323000000.0,-194000000.0,-585000000.0,69.97
2013-06-30,43190000000.0,37257000000.0,5933000000.0,3869000000.0,886000000.0,958000000.0,1.55,1121000000.0,886000000.0,619143000.0,4220000000.0,9793000000.0,5033000000.0,20529000000.0,29400000000.0,49929000000.0,14000000.0,14005000000.0,6455000000.0,14234000000.0,28239000000.0,21690000000.0,235000000.0,968000000.0,-366000000.0,-266000000.0,-193000000.0,-1241000000.0,58.91
2013-09-30,44146000000.0,38717000000.0,5429000000.0,3973000000.0,225000000.0,535000000.0,0.88,464000000.0,225000000.0,608934000.0,5942000000.0,9744000000.0,4737000000.0,21085000000.0,29898000000.0,50983000000.0,24000000.0,14680000000.0,6132000000.0,14309000000.0,28989000000.0,21994000000.0,239000000.0,1949000000.0,-408000000.0,642000000.0,-189000000.0,-971000000.0,57.82
2013-12-31,43049000000.0,37028000000.0,6021000000.0,4104000000.0,486000000.0,826000000.0,1.38,735000000.0,486000000.0,612918000.0,5400000000.0,9632000000.0,3354000000.0,19237000000.0,30561000000.0,49798000000.0,24000000.0,12931000000.0,6131000000.0,14475000000.0,27406000000.0,22392000000.0,249000000.0,897000000.0,-623000000.0,-497000000.0,-241000000.0,-882000000.0,77.13
2014-03-31,40283000000.0,34381000000.0,5902000000.0,4040000000.0,569000000.0,1572000000.0,2.69,809000000.0,569000000.0,584053000.0,5326000000.0,9120000000.0,5908000000.0,21059000000.0,29788000000.0,50847000000.0,40000000.0,15164000000.0,6177000000.0,13854000000.0,29018000000.0,21829000000.0,240000000.0,1398000000.0,-572000000.0,-86000000.0,-233000000.0,-1355000000.0,77.06
2014-06-30,45549000000.0,39316000000.0,6233000000.0,4244000000.0,690000000.0,863000000.0,1.52,935000000.0,690000000.0,565799000.0,4956000000.0,10110000000.0,4928000000.0,20605000000.0,30217000000.0,50822000000.0,38000000.0,15120000000.0,6174000000.0,13747000000.0,28867000000.0,21955000000.0,245000000.0,830000000.0,-561000000.0,-361000000.0,-290000000.0,-878000000.0,80.43
2014-09-30,40417000000.0,33602000000.0,6815000000.0,4275000000.0,1289000000.0,1180000000.0,2.11,1544000000.0,1289000000.0,559492000.0,3108000000.0,8766000000.0,5673000000.0,18194000000.0,31456000000.0,49650000000.0,35000000.0,13769000000.0,6178000000.0,13687000000.0,27456000000.0,22194000000.0,255000000.0,429000000.0,-1514000000.0,-1381000000.0,-282000000.0,-778000000.0,81.31
2014-12-31,34963000000.0,28449000000.0,6514000000.0,4144000000.0,1024000000.0,1147000000.0,2.07,1303000000.0,1024000000.0,565902000.0,5207000000.0,7255000000.0,3397000000.0,16692000000.0,32000000000.0,48692000000.0,842000000.0,11094000000.0,7793000000.0,15561000000.0,26655000000.0,22037000000.0,279000000.0,872000000.0,-1126000000.0,-468000000.0,-287000000.0,1649000000.0,71.7
2015-03-31,22778000000.0,16695000000.0,6083000000.0,3856000000.0,1067000000.0,987000000.0,1.8,1325000000.0,1067000000.0,548200000.0,5390000000.0,5737000000.0,4166000000.0,16144000000.0,32933000000.0,49077000000.0,35000000.0,9864000000.0,8914000000.0,16618000000.0,26482000000.0,22595000000.0,258000000.0,1352000000.0,-1081000000.0,-1038000000.0,-278000000.0,-58000000.0,78.6
2015-06-30,28512000000.0,22253000000.0,6259000000.0,3955000000.0,1137000000.0,1012000000.0,1.85,1417000000.0,1137000000.0,544617000.0,5089000000.0,6567000000.0,4126000000.0,16534000000.0,33340000000.0,49874000000.0,42000000.0,10075000000.0,8923000000.0,16576000000.0,26651000000.0,23223000000.0,280000000.0,1427000000.0,-1213000000.0,-1214000000.0,-316000000.0,-643000000.0,80.56
2015-09-30,25792000000.0,18580000000.0,7212000000.0,4047000000.0,1848000000.0,1578000000.0,2.92,2123000000.0,1848000000.0,540357000.0,4822000000.0,5198000000.0,4388000000.0,15049000000.0,34366000000.0,49415000000.0,43000000.0,8875000000.0,8908000000.0,16508000000.0,25383000000.0,24032000000.0,275000000.0,1437000000.0,-992000000.0,-964000000.0,-310000000.0,-699000000.0,76.84
2015-12-31,21893000000.0,15871000000.0,6022000000.0,3889000000.0,778000000.0,650000000.0,1.21,1064000000.0,778000000.0,542355000.0,3074000000.0,5173000000.0,3477000000.0,12256000000.0,36324000000.0,48580000000.0,44000000.0,7531000000.0,8843000000.0,17111000000.0,24642000000.0,23938000000.0,286000000.0,1497000000.0,-2478000000.0,-2522000000.0,-314000000.0,-717000000.0,81.8
2016-03-31,17409000000.0,11930000000.0,5479000000.0,3847000000.0,342000000.0,385000000.0,0.72,627000000.0,342000000.0,531739000.0,1723000000.0,4737000000.0,4108000000.0,11216000000.0,37030000000.0,48246000000.0,32000000.0,7419000000.0,8803000000.0,17184000000.0,24603000000.0,23643000000.0,285000000.0,258000000.0,-750000000.0,-862000000.0,-307000000.0,-783000000.0,86.59
2016-06-30,21849000000.0,16198000000.0,5651000000.0,4015000000.0,368000000.0,496000000.0,0.9400000000000001,663000000.0,368000000.0,528247000.0,2232000000.0,5597000000.0,3993000000.0,12643000000.0,37718000000.0,50361000000.0,1532000000.0,10400000000.0,7330000000.0,15895000000.0,26295000000.0,24066000000.0,295000000.0,1155000000.0,-620000000.0,-750000000.0,-346000000.0,132000000.0,79.34
2016-09-30,21624000000.0,15961000000.0,5663000000.0,3835000000.0,494000000.0,511000000.0,0.97,792000000.0,494000000.0,525991000.0,2337000000.0,5001000000.0,3905000000.0,11964000000.0,38290000000.0,50254000000.0,1583000000.0,10100000000.0,7275000000.0,15843000000.0,25943000000.0,24311000000.0,298000000.0,883000000.0,-661000000.0,-551000000.0,-346000000.0,-230000000.0,80.55
2016-12-31,23397000000.0,18379000000.0,5018000000.0,3629000000.0,-104000000.0,163000000.0,0.31,207000000.0,-104000000.0,527531000.0,2711000000.0,6397000000.0,3150000000.0,12680000000.0,38973000000.0,51653000000.0,550000000.0,9463000000.0,9588000000.0,18465000000.0,27928000000.0,23725000000.0,311000000.0,667000000.0,-813000000.0,-995000000.0,-358000000.0,703000000.0,86.41
2017-03-31,22894000000.0,17679000000.0,5215000000.0,3540000000.0,536000000.0,535000000.0,1.02,856000000.0,536000000.0,521647000.0,1513000000.0,5690000000.0,4387000000.0,12170000000.0,39235000000.0,51405000000.0,609000000.0,8730000000.0,9601000000.0,18950000000.0,27680000000.0,23725000000.0,320000000.0,-549000000.0,-470000000.0,158000000.0,-350000000.0,-686000000.0,79.22
2017-06-30,24087000000.0,18353000000.0,5734000000.0,3795000000.0,493000000.0,550000000.0,1.06,819000000.0,493000000.0,517785000.0,2161000000.0,5594000000.0,4245000000.0,12456000000.0,39372000000.0,51828000000.0,493000000.0,8874000000.0,9472000000.0,19148000000.0,28022000000.0,23806000000.0,326000000.0,1865000000.0,-458000000.0,-453000000.0,-390000000.0,-904000000.0,82.69
2017-09-30,25627000000.0,19463000000.0,6164000000.0,3891000000.0,845000000.0,823000000.0,1.6,1187000000.0,845000000.0,512923000.0,1547000000.0,6355000000.0,4455000000.0,12935000000.0,39777000000.0,52712000000.0,706000000.0,9905000000.0,9495000000.0,18848000000.0,28753000000.0,23959000000.0,342000000.0,401000000.0,-367000000.0,-381000000.0,-385000000.0,-612000000.0,91.61
2017-12-31,29746000000.0,23914000000.0,5832000000.0,3931000000.0,387000000.0,3198000000.0,6.29,739000000.0,387000000.0,515090000.0,3119000000.0,7506000000.0,3395000000.0,14390000000.0,39981000000.0,54371000000.0,41000000.0,10107000000.0,10069000000.0,16836000000.0,26943000000.0,27428000000.0,352000000.0,1931000000.0,-537000000.0,-470000000.0,-390000000.0,91000000.0,101.15
2018-03-31,23595000000.0,21138000000.0,2457000000.0,496000000.0,400000000.0,524000000.0,1.07,742000000.0,400000000.0,487065000.0,842000000.0,6124000000.0,4743000000.0,12125000000.0,40007000000.0,52132000000.0,42000000.0,9236000000.0,11579000000.0,18596000000.0,27832000000.0,24300000000.0,342000000.0,488000000.0,-328000000.0,-357000000.0,-372000000.0,-2409000000.0,95.92
2018-06-30,28980000000.0,25747000000.0,3233000000.0,541000000.0,1213000000.0,1339000000.0,2.86,1556000000.0,1213000000.0,468331000.0,1884000000.0,7173000000.0,4901000000.0,14579000000.0,40247000000.0,54826000000.0,341000000.0,11732000000.0,11023000000.0,18134000000.0,29866000000.0,24960000000.0,343000000.0,2364000000.0,-538000000.0,-464000000.0,-423000000.0,-841000000.0,112.31
2018-09-30,29788000000.0,26385000000.0,3403000000.0,549000000.0,1321000000.0,1492000000.0,3.2,1672000000.0,1321000000.0,466109000.0,924000000.0,7971000000.0,5544000000.0,15314000000.0,40570000000.0,55884000000.0,316000000.0,11974000000.0,11021000000.0,18115000000.0,30089000000.0,25795000000.0,351000000.0,582000000.0,-779000000.0,-719000000.0,-420000000.0,-819000000.0,112.72
2018-12-31,29098000000.0,24660000000.0,4438000000.0,516000000.0,2308000000.0,2240000000.0,4.85,2651000000.0,2308000000.0,470708000.0,3019000000.0,6173000000.0,3543000000.0,13209000000.0,41093000000.0,54302000000.0,67000000.0,8935000000.0,11093000000.0,18214000000.0,27149000000.0,27153000000.0,343000000.0,4139000000.0,-994000000.0,-931000000.0,-428000000.0,-1098000000.0,86.15
2019-03-31,23103000000.0,21055000000.0,2048000000.0,494000000.0,-52000000.0,204000000.0,0.44,285000000.0,-52000000.0,457599000.0,1253000000.0,7303000000.0,5344000000.0,14815000000.0,43040000000.0,57855000000.0,30000000.0,11328000000.0,11268000000.0,19782000000.0,31110000000.0,26745000000.0,337000000.0,-478000000.0,-1097000000.0,-1012000000.0,-420000000.0,-284000000.0,95.17
2019-06-30,27847000000.0,24554000000.0,3293000000.0,505000000.0,1305000000.0,1424000000.0,3.13,1644000000.0,1305000000.0,453681000.0,1819000000.0,6727000000.0,5093000000.0,14295000000.0,43486000000.0,57781000000.0,667000000.0,11171000000.0,10772000000.0,19304000000.0,30475000000.0,27306000000.0,339000000.0,1930000000.0,-631000000.0,-574000000.0,-467000000.0,-787000000.0,93.54
2019-09-30,27218000000.0,23806000000.0,3412000000.0,521000000.0,544000000.0,712000000.0,1.58,886000000.0,544000000.0,449005000.0,2268000000.0,7086000000.0,5521000000.0,15617000000.0,43124000000.0,58741000000.0,842000000.0,12083000000.0,11083000000.0,19566000000.0,31649000000.0,27092000000.0,342000000.0,1662000000.0,-867000000.0,-846000000.0,-461000000.0,-331000000.0,102.4
