,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,313949000.0,93270000.0,220679000.0,121457000.0,21244000.0,17037000.0,0.14,40631000.0,21244000.0,119518000.0,240809000.0,213252000.0,645238000.0,1139581000.0,1784819000.0,7500000.0,499069000.0,300625000.0,457951000.0,957020000.0,827799000.0,19387000.0,82796000.0,-5033000.0,-5033000.0,0.0,-80358000.0,25.49
2013-06-30,314996000.0,91168000.0,223828000.0,117110000.0,43215000.0,34455000.0,0.29,61783000.0,43215000.0,119440000.0,257031000.0,200883000.0,639948000.0,1116829000.0,1756777000.0,9375000.0,494028000.0,258750000.0,412044000.0,906072000.0,850705000.0,18568000.0,84590000.0,-6702000.0,-5096000.0,0.0,-61478000.0,24.53
2013-09-30,344845100.0,91529000.0,253316100.0,124644000.0,49006000.0,56466000.0,0.47000000000000003,68125100.0,49006000.0,119473000.0,241913000.0,229106000.0,680216000.0,1148690000.0,1828906000.0,15000000.0,528613000.0,243125000.0,373813000.0,902426000.0,926480000.0,19119000.0,43661000.0,-10200000.0,-34505000.0,0.0,-28346000.0,28.46
2013-12-31,324925000.0,92956000.0,231969000.0,115169000.0,54871000.0,39657000.0,0.33,73971000.0,54871000.0,118933000.0,371377000.0,212570000.0,769100000.0,1135642000.0,1904742000.0,15000000.0,455937000.0,353125000.0,480157000.0,936094000.0,968648000.0,19100000.0,36242000.0,-5774000.0,-5774000.0,0.0,97790000.0,35.39
2014-03-31,328700000.0,93797000.0,234903000.0,120074000.0,51213000.0,43756000.0,0.37,70386000.0,51213000.0,118978000.0,270470000.0,221288000.0,703444000.0,1255682000.0,1959126000.0,12500000.0,525815000.0,305625000.0,450890000.0,976705000.0,982421000.0,19173000.0,110722000.0,-4568000.0,-116087000.0,0.0,-94704000.0,35.42
2014-06-30,336634000.0,91076000.0,245558000.0,125257000.0,54384000.0,38026000.0,0.32,73410000.0,54384000.0,118328000.0,304173000.0,228623000.0,711229000.0,1246977000.0,1958206000.0,15625000.0,548351000.0,299375000.0,437386000.0,985737000.0,972469000.0,19026000.0,106423000.0,-6379000.0,-6379000.0,0.0,-66618000.0,38.8
2014-09-30,366708000.0,95854000.0,270854000.0,139179000.0,36107900.0,38755000.0,0.33,56115900.0,36107900.0,118094000.0,293654000.0,235688000.0,732167000.0,1467787000.0,2199954000.0,25000000.0,626667000.0,586875000.0,719398000.0,1346065000.0,853889000.0,20008000.0,51165000.0,-8554000.0,-220560000.0,0.0,168885000.0,36.9
2014-12-31,325442000.0,92942000.0,232500000.0,124614000.0,37631000.0,30284000.0,0.26,58868000.0,37631000.0,115341000.0,261052000.0,201391000.0,696065000.0,1441158000.0,2137223000.0,31250000.0,588982000.0,574375000.0,692788000.0,1281770000.0,855453000.0,21237000.0,13632000.0,-7947000.0,-8767000.0,0.0,-27753000.0,36.65
2015-03-31,314119000.0,86054000.0,228065000.0,116259000.0,3988000.0,5392000.0,0.05,24956000.0,3988000.0,114944000.0,267815000.0,201379000.0,706252000.0,1402378000.0,2108630000.0,37500000.0,660736000.0,493125000.0,593674000.0,1254410000.0,854220000.0,20968000.0,91992000.0,-6160000.0,-6160000.0,0.0,-75192000.0,36.17
2015-06-30,303113000.0,79376000.0,223737000.0,134554000.0,21607000.0,17435000.0,0.15,42857000.0,21607000.0,114764000.0,275060000.0,183144000.0,635205000.0,1511396000.0,2146601000.0,43750000.0,638193000.0,580625000.0,678085000.0,1316278000.0,830323000.0,21250000.0,86839000.0,-6530000.0,-115121000.0,0.0,36333000.0,41.02
