,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1585710000.0,1347437000.0,238272900.0,113681000.0,119290900.0,72081000.0,0.34,154184900.0,119290900.0,213453000.0,366619000.0,1283739000.0,37666000.0,2185665000.0,2969153000.0,5154818000.0,0.0,829886000.0,0.0,494111000.0,1323997000.0,3830821000.0,34894000.0,44132000.0,-56093000.0,-65615000.0,0.0,-4957000.0,28.58
2013-06-30,1474377000.0,1233093000.0,241283900.0,119031000.0,117174000.0,70237000.0,0.33,152498900.0,117174000.0,214314000.0,363113000.0,1282949000.0,40852000.0,2176827000.0,3011104000.0,5187931000.0,0.0,800415000.0,0.0,499677000.0,1300092000.0,3887839000.0,35325000.0,117776000.0,-101974000.0,-116225000.0,0.0,-964000.0,26.46
2013-09-30,1645132000.0,1372079000.0,273053000.0,124949000.0,141078000.0,92906000.0,0.43,179543000.0,141078000.0,214866000.0,309153000.0,1434701000.0,35590000.0,2137387000.0,3357581000.0,5494968000.0,2639000.0,964787000.0,0.0,505927000.0,1470714000.0,4024254000.0,38465000.0,83192000.0,-46566000.0,-134556000.0,0.0,-2452000.0,27.51
2013-12-31,1706358000.0,1472035000.0,234323500.0,127408000.0,98456200.0,166697000.0,0.77,135548200.0,98456200.0,214929000.0,488777000.0,1439115000.0,31877000.0,2313318000.0,3479927000.0,5793245000.0,1181000.0,1042467000.0,1053000.0,509459000.0,1551926000.0,4241319000.0,37092000.0,125458000.0,-2524000.0,38037000.0,0.0,-8278000.0,31.56
2014-03-31,1762574000.0,1490503000.0,272070900.0,173331000.0,90494900.0,54408000.0,0.25,133133900.0,90494900.0,219033000.0,273340000.0,1501857000.0,35604000.0,2214457000.0,3612163000.0,5826620000.0,1650000.0,982475000.0,4556000.0,527469000.0,1509944000.0,4316676000.0,42639000.0,-60533000.0,-68925000.0,-145034000.0,0.0,-10246000.0,36.9
2014-06-30,1838209000.0,1574000000.0,264209000.0,135210000.0,120797000.0,81082000.0,0.37,161495000.0,120797000.0,219612000.0,188948000.0,1589927000.0,40772000.0,2242928000.0,3666131000.0,5909059000.0,1670000.0,967196000.0,4147000.0,540776000.0,1507972000.0,4401087000.0,40698000.0,3146000.0,-44543000.0,-48791000.0,0.0,-44809000.0,34.58
2014-09-30,2145958000.0,1809055000.0,336903000.0,196494000.0,131283900.0,94648000.0,0.43,177166900.0,131283900.0,219492000.0,144159000.0,1873241000.0,39411000.0,2536467000.0,3692822000.0,6229289000.0,1686000.0,1128127000.0,83186000.0,612531000.0,1740658000.0,4488631000.0,45883000.0,50348000.0,-64636000.0,-146902000.0,0.0,56326000.0,36.29
2014-12-31,2000488000.0,1704877000.0,295611200.0,200442000.0,86484100.0,66576000.0,0.30000000000000004,133721100.0,86484300.0,219668000.0,190515000.0,1801110000.0,38921000.0,2495704000.0,3757879000.0,6253583000.0,8876000.0,1106311000.0,72489000.0,621732000.0,1728043000.0,4525540000.0,47237000.0,254781000.0,-54664000.0,-147859000.0,0.0,-59618000.0,28.39
2015-03-31,1861386000.0,1623480000.0,237906000.0,145463000.0,84150000.0,53484000.0,0.25,132114000.0,84150000.0,215473000.0,135534000.0,1642675000.0,45824000.0,2387640000.0,3753194000.0,6140834000.0,9440000.0,1124310000.0,115002000.0,705771000.0,1830081000.0,4310753000.0,47964000.0,179628000.0,-57222000.0,-92228000.0,0.0,-142235000.0,28.53
2015-06-30,1872340000.0,1644835000.0,227505000.0,149923000.0,68851100.0,46109000.0,0.22,118885100.0,68851100.0,213047000.0,65427000.0,1626833000.0,55815000.0,2315567000.0,3814943000.0,6130510000.0,2638000.0,1179148000.0,214255000.0,741644000.0,1920792000.0,4209718000.0,50034000.0,106124000.0,-54760000.0,-91820000.0,0.0,-83160000.0,28.82
2015-09-30,1939438000.0,1704223000.0,235215000.0,145687000.0,80877900.0,216388000.0,1.15,130754900.0,80877900.0,188951000.0,49194000.0,1700314000.0,64690000.0,2362664000.0,3010760000.0,5373424000.0,2350000.0,1340538000.0,348209000.0,828972000.0,2169510000.0,3203914000.0,49877000.0,108898000.0,-39499000.0,-70880000.0,0.0,-1034502000.0,24.21
2015-12-31,1899272000.0,1676233000.0,223039300.0,151790000.0,3623900.0,-5074000.0,-0.03,54692900.0,3623900.0,195113000.0,128771000.0,1621133000.0,75285000.0,2277519000.0,2936024000.0,5213543000.0,7067000.0,1203744000.0,475364000.0,921984000.0,2125728000.0,3087815000.0,51069000.0,233999000.0,-32309000.0,-52185000.0,0.0,32053000.0,20.25
2016-03-31,1713737000.0,1510424000.0,203313100.0,158524000.0,37294100.0,20496000.0,0.13,86299100.0,37294100.0,162803000.0,155315000.0,1493255000.0,72643000.0,2248374000.0,3047145000.0,5295519000.0,4154000.0,1235911000.0,404058000.0,886379000.0,2122290000.0,3173229000.0,49005000.0,205811000.0,-42606000.0,-83929000.0,0.0,-90774000.0,22.56
