,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,767000000.0,206000000.0,561000000.0,114000000.0,217000000.0,101000000.0,0.77,449000000.0,217000000.0,129000000.0,430298000.0,360611000.0,233402000.0,1196414000.0,12564880000.0,13761300000.0,0.0,971866000.0,3017280000.0,5523360000.0,6495226000.0,7266071000.0,232000000.0,360000000.0,-707000000.0,-707000000.0,0.0,548000000.0,124.25
2013-06-30,1159000000.0,208000000.0,951000000.0,117000000.0,591000000.0,337000000.0,2.42,836000000.0,591000000.0,138000000.0,695625000.0,351415000.0,198650000.0,1465192000.0,12697390000.0,14162590000.0,0.0,1012128000.0,2823428000.0,5502302000.0,6514430000.0,7648157000.0,245000000.0,577000000.0,-107000000.0,-107000000.0,-6000000.0,-204000000.0,144.75
2013-09-30,807000000.0,235000000.0,572000000.0,121000000.0,199000000.0,91000000.0,0.65,434000000.0,199000000.0,139000000.0,744120000.0,423620000.0,226438000.0,1533261000.0,13011680000.0,14544940000.0,0.0,1214811000.0,2851212000.0,5567382000.0,6782193000.0,7762751000.0,235000000.0,668000000.0,-648000000.0,-648000000.0,0.0,28000000.0,188.8
2013-12-31,925000000.0,275000000.0,650000000.0,136000000.0,-1242000000.0,-1367000000.0,-9.82,-982000000.0,-1242000000.0,136000000.0,393000000.0,439000000.0,220000000.0,1730000000.0,10564000000.0,12294000000.0,0.0,1250000000.0,2653000000.0,4429000000.0,5679000000.0,6615000000.0,260000000.0,541000000.0,-703000000.0,-678000000.0,-5000000.0,-214000000.0,184.07
2014-03-31,944000000.0,301000000.0,643000000.0,136000000.0,259000000.0,123000000.0,0.85,501000000.0,259000000.0,143000000.0,257000000.0,439000000.0,231000000.0,1542000000.0,10923000000.0,12465000000.0,0.0,1238000000.0,2706000000.0,4503000000.0,5741000000.0,6724000000.0,242000000.0,466000000.0,-626000000.0,-626000000.0,0.0,24000000.0,187.14
2014-06-30,932000000.0,365000000.0,567000000.0,138000000.0,158000000.0,1000000.0,0.01,425000000.0,158000000.0,143000000.0,445000000.0,472000000.0,221000000.0,1380000000.0,11330000000.0,12710000000.0,0.0,1465000000.0,2659000000.0,4495000000.0,5960000000.0,6750000000.0,267000000.0,717000000.0,-477000000.0,-477000000.0,-6000000.0,-52000000.0,229.81
2014-09-30,1513000000.0,362000000.0,1151000000.0,139000000.0,716000000.0,374000000.0,2.58,1013000000.0,716000000.0,143000000.0,550000000.0,512000000.0,237000000.0,1491000000.0,11781000000.0,13272000000.0,0.0,1439000000.0,2662000000.0,4680000000.0,6119000000.0,7153000000.0,297000000.0,615000000.0,-525000000.0,-525000000.0,0.0,15000000.0,196.97
2014-12-31,1683000000.0,368000000.0,1315000000.0,140000000.0,766000000.0,432000000.0,2.92,1103000000.0,766000000.0,144000000.0,1025000000.0,463000000.0,241000000.0,2359000000.0,12550000000.0,14909000000.0,0.0,1419000000.0,2648000000.0,4901000000.0,6320000000.0,8589000000.0,337000000.0,568000000.0,-1071000000.0,-1071000000.0,-6000000.0,978000000.0,148.85
2015-03-31,869000000.0,288000000.0,581000000.0,121000000.0,-13000000.0,-78000000.0,-0.52,322000000.0,-13000000.0,149000000.0,383000000.0,365000000.0,266000000.0,1694000000.0,12653000000.0,14347000000.0,0.0,1162000000.0,2668000000.0,4686000000.0,5848000000.0,8499000000.0,335000000.0,104000000.0,-717000000.0,-717000000.0,0.0,-29000000.0,163.51
2015-06-30,644000000.0,400000000.0,244000000.0,120000000.0,-233000000.0,-218000000.0,-1.46,124000000.0,-233000000.0,149000000.0,219000000.0,412000000.0,269000000.0,1305000000.0,12697000000.0,14002000000.0,0.0,1033000000.0,2672000000.0,4661000000.0,5694000000.0,8308000000.0,357000000.0,328000000.0,-489000000.0,-489000000.0,-6000000.0,-3000000.0,138.69
