,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,2258000000.0,1136000000.0,1122000000.0,442000000.0,330000000.0,301000000.0,0.25,483000000.0,330000000.0,1221000000.0,4299000000.0,11975000000.0,20554000000.0,7342000000.0,27896000000.0,0.0,13072000000.0,0.0,1610000000.0,14682000000.0,13214000000.0,153000000.0,652000000.0,-118000000.0,-1796000000.0,0.0,478000000.0,31.04
2015-12-31,2556000000.0,1294000000.0,1262000000.0,480000000.0,411000000.0,367000000.0,0.30000000000000004,575000000.0,411000000.0,1222000000.0,3411000000.0,12398000000.0,20648000000.0,8233000000.0,28881000000.0,0.0,13617000000.0,0.0,1505000000.0,15122000000.0,13759000000.0,164000000.0,728000000.0,-164000000.0,-1716000000.0,0.0,504000000.0,36.2
2016-03-31,2544000000.0,1303000000.0,1241000000.0,464000000.0,407000000.0,365000000.0,0.30000000000000004,581000000.0,407000000.0,1216000000.0,4767000000.0,12391000000.0,21968000000.0,7502000000.0,29470000000.0,0.0,14362000000.0,0.0,1510000000.0,15872000000.0,13598000000.0,174000000.0,738000000.0,-133000000.0,325000000.0,0.0,113000000.0,38.6
2016-06-30,2650000000.0,1383000000.0,1267000000.0,511000000.0,371000000.0,323000000.0,0.27,547000000.0,371000000.0,1210000000.0,4957000000.0,13201000000.0,23457000000.0,7174000000.0,30631000000.0,0.0,15223000000.0,0.0,1591000000.0,16814000000.0,13817000000.0,176000000.0,696000000.0,-201000000.0,-1806000000.0,0.0,544000000.0,36.51
2016-09-30,2667000000.0,1426000000.0,1241000000.0,494000000.0,348000000.0,323000000.0,0.27,533000000.0,348000000.0,1207000000.0,5088000000.0,13507000000.0,24161000000.0,7195000000.0,31356000000.0,0.0,15616000000.0,0.0,1548000000.0,17164000000.0,14192000000.0,185000000.0,801000000.0,-183000000.0,-1689000000.0,0.0,238000000.0,40.97
2016-12-31,2981000000.0,1589000000.0,1392000000.0,528000000.0,460000000.0,390000000.0,0.32,649000000.0,460000000.0,1210000000.0,4975000000.0,14577000000.0,25733000000.0,7370000000.0,33103000000.0,0.0,16878000000.0,0.0,1513000000.0,18391000000.0,14712000000.0,189000000.0,923000000.0,-152000000.0,-2734000000.0,0.0,1143000000.0,39.47
2017-03-31,2975000000.0,1604000000.0,1371000000.0,503000000.0,431000000.0,384000000.0,0.32,614000000.0,431000000.0,1203000000.0,4055000000.0,15119000000.0,25425000000.0,8068000000.0,33493000000.0,0.0,17286000000.0,0.0,1581000000.0,18867000000.0,14626000000.0,183000000.0,751000000.0,-148000000.0,-1243000000.0,0.0,-54000000.0,43.02
2017-06-30,3136000000.0,1707000000.0,1429000000.0,566000000.0,430000000.0,411000000.0,0.34,631000000.0,430000000.0,1202000000.0,4091000000.0,16354000000.0,27035000000.0,8255000000.0,35290000000.0,0.0,18641000000.0,0.0,1651000000.0,20292000000.0,14998000000.0,201000000.0,921000000.0,-174000000.0,-1729000000.0,0.0,1042000000.0,53.67
2017-09-30,3239000000.0,1811000000.0,1428000000.0,571000000.0,423000000.0,380000000.0,0.32,617000000.0,423000000.0,1202000000.0,4921000000.0,17476000000.0,29437000000.0,8324000000.0,37761000000.0,0.0,20703000000.0,0.0,1626000000.0,22329000000.0,15432000000.0,194000000.0,1006000000.0,-165000000.0,-651000000.0,0.0,1439000000.0,64.03
2017-12-31,3744000000.0,1573000000.0,2171000000.0,760000000.0,843000000.0,620000000.0,0.52,1070000000.0,843000000.0,1203000000.0,5695000000.0,18525000000.0,32645000000.0,8129000000.0,40774000000.0,0.0,22863000000.0,0.0,1917000000.0,24780000000.0,15994000000.0,227000000.0,-147000000.0,-180000000.0,-862000000.0,0.0,1657000000.0,73.62
2018-03-31,3685000000.0,1922000000.0,1763000000.0,628000000.0,534000000.0,511000000.0,0.43,719000000.0,534000000.0,1192000000.0,6306000000.0,19420000000.0,34742000000.0,7580000000.0,42322000000.0,0.0,25714000000.0,0.0,1967000000.0,27681000000.0,14641000000.0,185000000.0,-349000000.0,-178000000.0,5000000.0,0.0,793000000.0,75.87
2018-06-30,3857000000.0,2034000000.0,1823000000.0,694000000.0,572000000.0,526000000.0,0.44,752000000.0,572000000.0,1187000000.0,4965000000.0,19471000000.0,34184000000.0,7493000000.0,41677000000.0,0.0,24809000000.0,0.0,1849000000.0,26658000000.0,15019000000.0,180000000.0,28000000.0,-198000000.0,558000000.0,0.0,-1335000000.0,83.27
2018-09-30,3683000000.0,2011000000.0,1672000000.0,702000000.0,490000000.0,436000000.0,0.37,678000000.0,490000000.0,1181000000.0,9587000000.0,21363000000.0,33990000000.0,9734000000.0,43724000000.0,0.0,26640000000.0,0.0,1969000000.0,28609000000.0,15115000000.0,188000000.0,4670000000.0,-223000000.0,154000000.0,0.0,1049000000.0,87.84
2018-12-31,4226000000.0,2295000000.0,1931000000.0,831000000.0,598000000.0,584000000.0,0.5,821000000.0,598000000.0,1184000000.0,9109000000.0,20375000000.0,32963000000.0,10369000000.0,43332000000.0,0.0,25904000000.0,0.0,2042000000.0,27946000000.0,15386000000.0,223000000.0,1131000000.0,-221000000.0,104000000.0,0.0,-1747000000.0,84.09
2019-03-31,4128000000.0,2278000000.0,1850000000.0,748000000.0,518000000.0,667000000.0,0.5700000000000001,748000000.0,518000000.0,1171000000.0,7849000000.0,23147000000.0,34891000000.0,11389000000.0,46280000000.0,0.0,28635000000.0,0.0,2488000000.0,31123000000.0,15157000000.0,230000000.0,1027000000.0,-218000000.0,-4860000000.0,0.0,1502000000.0,103.84
2019-06-30,4305000000.0,2344000000.0,1961000000.0,775000000.0,705000000.0,823000000.0,0.7000000000000001,933000000.0,705000000.0,1175000000.0,8415000000.0,23952000000.0,36435000000.0,11956000000.0,48391000000.0,0.0,29847000000.0,0.0,2405000000.0,32252000000.0,16139000000.0,228000000.0,1174000000.0,-139000000.0,-1097000000.0,0.0,996000000.0,114.46
2019-09-30,4378000000.0,2431000000.0,1947000000.0,717000000.0,697000000.0,462000000.0,0.39,924000000.0,697000000.0,1175000000.0,10462000000.0,22928000000.0,37748000000.0,12475000000.0,50223000000.0,0.0,26340000000.0,4964000000.0,7400000000.0,33740000000.0,16483000000.0,227000000.0,1096000000.0,-156000000.0,623000000.0,0.0,1339000000.0,103.59
2019-12-31,4961000000.0,2732000000.0,2229000000.0,872000000.0,799000000.0,507000000.0,0.43,1026000000.0,799000000.0,1174000000.0,10761000000.0,22962000000.0,38495000000.0,12838000000.0,51333000000.0,104000000.0,26919000000.0,4965000000.0,7485000000.0,34404000000.0,16929000000.0,227000000.0,774000000.0,-174000000.0,-408000000.0,0.0,350000000.0,108.17
