,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,6124000000.0,2372000000.0,3752000000.0,661000000.0,1877000000.0,1866000000.0,1.08,2125000000.0,1877000000.0,1722000000.0,13493000000.0,1889000000.0,1484000000.0,17766000000.0,29833000000.0,47599000000.0,0.0,5263000000.0,0.0,4708000000.0,9971000000.0,37628000000.0,248000000.0,2216000000.0,-289000000.0,-2444000000.0,-431000000.0,14000000.0,66.94
2013-06-30,6243000000.0,2497000000.0,3746000000.0,613000000.0,1677000000.0,1580000000.0,0.9,1932000000.0,1677000000.0,1727000000.0,11461000000.0,1949000000.0,1727000000.0,15972000000.0,30837000000.0,46809000000.0,0.0,5028000000.0,0.0,4198000000.0,9226000000.0,37583000000.0,255000000.0,2077000000.0,-314000000.0,-2316000000.0,-604000000.0,-1272000000.0,61.09
2013-09-30,6481000000.0,2714000000.0,3767000000.0,657000000.0,1588000000.0,1501000000.0,0.88,1861000000.0,1588000000.0,1715000000.0,14966000000.0,2142000000.0,1302000000.0,19555000000.0,25961000000.0,45516000000.0,0.0,5213000000.0,0.0,4216000000.0,9429000000.0,36087000000.0,273000000.0,2510000000.0,-236000000.0,4409000000.0,-592000000.0,-3312000000.0,67.32
2013-12-31,6622000000.0,2706000000.0,3916000000.0,623000000.0,1493000000.0,1875000000.0,1.11,1765000000.0,1493000000.0,1688000000.0,17280000000.0,1327000000.0,1064000000.0,20585000000.0,25697000000.0,46282000000.0,0.0,5313000000.0,0.0,3942000000.0,9255000000.0,37027000000.0,272000000.0,2781000000.0,-210000000.0,445000000.0,-590000000.0,-1073000000.0,74.25
2014-03-31,6367000000.0,2482000000.0,3885000000.0,539000000.0,1990000000.0,1959000000.0,1.16,2279000000.0,1990000000.0,1688000000.0,16628000000.0,2217000000.0,1147000000.0,21008000000.0,26867000000.0,47875000000.0,0.0,5901000000.0,0.0,3721000000.0,9622000000.0,38253000000.0,289000000.0,1814000000.0,-587000000.0,-2903000000.0,-589000000.0,-868000000.0,78.86
2014-06-30,6806000000.0,2740000000.0,4066000000.0,582000000.0,2075000000.0,2238000000.0,1.31,2367000000.0,2075000000.0,1683000000.0,18153000000.0,2084000000.0,1185000000.0,22408000000.0,25947000000.0,48355000000.0,0.0,6021000000.0,0.0,3547000000.0,9568000000.0,38787000000.0,292000000.0,2673000000.0,-121000000.0,906000000.0,-705000000.0,-1976000000.0,79.2
2014-09-30,6692000000.0,2758000000.0,3934000000.0,546000000.0,1992000000.0,1895000000.0,1.13,2289000000.0,1992000000.0,1683000000.0,17565000000.0,2412000000.0,1458000000.0,22413000000.0,26161000000.0,48574000000.0,0.0,6013000000.0,0.0,3395000000.0,9408000000.0,39166000000.0,297000000.0,1619000000.0,-230000000.0,-87000000.0,-702000000.0,-1563000000.0,74.77
2014-12-31,7099000000.0,3047000000.0,4052000000.0,583000000.0,2064000000.0,1972000000.0,1.19,2426000000.0,2064000000.0,1661000000.0,17788000000.0,2239000000.0,1761000000.0,22761000000.0,25686000000.0,48447000000.0,0.0,6405000000.0,0.0,3223000000.0,9628000000.0,38819000000.0,362000000.0,2364000000.0,-253000000.0,-1736000000.0,-697000000.0,-2203000000.0,74.33
2015-03-31,6894000000.0,2628000000.0,4266000000.0,545000000.0,1336000000.0,1053000000.0,0.63,1565000000.0,1336000000.0,1645000000.0,15555000000.0,2058000000.0,1861000000.0,20740000000.0,26433000000.0,47173000000.0,1096000000.0,6169000000.0,0.0,3170000000.0,9339000000.0,37834000000.0,229000000.0,-658000000.0,-196000000.0,1046000000.0,-688000000.0,-1213000000.0,69.34
2015-06-30,5832000000.0,2451000000.0,3381000000.0,621000000.0,1235000000.0,1184000000.0,0.74,1532000000.0,1235000000.0,1608000000.0,21331000000.0,1961000000.0,1583000000.0,25928000000.0,26367000000.0,52295000000.0,1000000000.0,6083000000.0,9913000000.0,13016000000.0,19099000000.0,33196000000.0,297000000.0,2116000000.0,-205000000.0,-1530000000.0,-757000000.0,3904000000.0,62.63
2015-09-30,5456000000.0,2252000000.0,3204000000.0,595000000.0,1141000000.0,1062000000.0,0.68,1467000000.0,1141000000.0,1618000000.0,17321000000.0,1964000000.0,1492000000.0,22099000000.0,28697000000.0,50796000000.0,1000000000.0,6100000000.0,9969000000.0,13282000000.0,19382000000.0,31414000000.0,326000000.0,1684000000.0,-74000000.0,-1352000000.0,-738000000.0,-2749000000.0,53.73
2015-12-31,5775000000.0,2534000000.0,3241000000.0,578000000.0,1685000000.0,1498000000.0,1.0,2051000000.0,1685000000.0,1502000000.0,16528000000.0,1323000000.0,1216000000.0,20338000000.0,29891000000.0,50229000000.0,1000000000.0,6503000000.0,9950000000.0,13493000000.0,19996000000.0,30233000000.0,366000000.0,2739000000.0,-128000000.0,-716000000.0,-717000000.0,-2665000000.0,49.99
2016-03-31,5551000000.0,2141000000.0,3410000000.0,619000000.0,1415000000.0,1164000000.0,0.78,1785000000.0,1415000000.0,1487000000.0,16402000000.0,1738000000.0,1427000000.0,20157000000.0,29903000000.0,50060000000.0,1949000000.0,7026000000.0,9993000000.0,13397000000.0,20423000000.0,29637000000.0,370000000.0,737000000.0,-125000000.0,-719000000.0,-710000000.0,-1157000000.0,51.14
2016-06-30,6044000000.0,2534000000.0,3510000000.0,620000000.0,1592000000.0,1444000000.0,0.98,1948000000.0,1592000000.0,1471000000.0,17110000000.0,1939000000.0,1338000000.0,20979000000.0,29807000000.0,50786000000.0,1749000000.0,6843000000.0,10024000000.0,13305000000.0,20148000000.0,30638000000.0,356000000.0,1840000000.0,-136000000.0,-794000000.0,-781000000.0,-943000000.0,53.57
2016-09-30,6184000000.0,2540000000.0,3644000000.0,568000000.0,1803000000.0,1599000000.0,1.07,2246000000.0,1803000000.0,1484000000.0,18648000000.0,2219000000.0,1556000000.0,22981000000.0,29378000000.0,52359000000.0,1749000000.0,7311000000.0,10008000000.0,13280000000.0,20591000000.0,31768000000.0,443000000.0,2316000000.0,-150000000.0,-1259000000.0,-782000000.0,-989000000.0,68.5
2016-12-31,5999000000.0,2443000000.0,3556000000.0,591000000.0,778000000.0,682000000.0,0.46,1139000000.0,778000000.0,1478000000.0,10812000000.0,2085000000.0,1910000000.0,15779000000.0,36587000000.0,52366000000.0,1749000000.0,7994000000.0,9935000000.0,13166000000.0,21160000000.0,31206000000.0,361000000.0,1586000000.0,-129000000.0,681000000.0,-784000000.0,-1311000000.0,65.2
2017-03-31,5016000000.0,2208000000.0,2808000000.0,615000000.0,729000000.0,749000000.0,0.51,1039000000.0,729000000.0,1477000000.0,9982000000.0,4201000000.0,2066000000.0,16908000000.0,39171000000.0,56079000000.0,1998000000.0,10145000000.0,9939000000.0,14600000000.0,24745000000.0,31334000000.0,310000000.0,820000000.0,-122000000.0,79000000.0,-783000000.0,-671000000.0,57.34
2017-06-30,5371000000.0,2488000000.0,2883000000.0,710000000.0,773000000.0,866000000.0,0.59,1166000000.0,773000000.0,1478000000.0,20863000000.0,3532000000.0,2002000000.0,27021000000.0,37358000000.0,64379000000.0,2495000000.0,9163000000.0,19403000000.0,23933000000.0,33096000000.0,31283000000.0,393000000.0,171000000.0,-177000000.0,-1102000000.0,-844000000.0,8682000000.0,55.22
2017-09-30,5872000000.0,2653000000.0,3219000000.0,742000000.0,301000000.0,148000000.0,0.11,774000000.0,301000000.0,1477000000.0,37308000000.0,3632000000.0,2035000000.0,43593000000.0,21893000000.0,65486000000.0,2495000000.0,10907000000.0,19398000000.0,23833000000.0,34740000000.0,30746000000.0,473000000.0,2424000000.0,-262000000.0,20805000000.0,-841000000.0,-1129000000.0,51.84
2017-12-31,6035000000.0,2663000000.0,3372000000.0,773000000.0,-4000000.0,-5983000000.0,-4.03,359000000.0,-4000000.0,1477000000.0,35403000000.0,3053000000.0,1872000000.0,40966000000.0,23385000000.0,64351000000.0,3465000000.0,12027000000.0,19381000000.0,28400000000.0,40427000000.0,23924000000.0,363000000.0,1762000000.0,-226000000.0,-3261000000.0,-844000000.0,-165000000.0,64.02
2018-03-31,5220000000.0,2239000000.0,2981000000.0,869000000.0,400000000.0,330000000.0,0.25,788000000.0,400000000.0,1482000000.0,39571000000.0,3535000000.0,1797000000.0,45544000000.0,18582000000.0,64126000000.0,3733000000.0,12660000000.0,19361000000.0,27647000000.0,40307000000.0,23819000000.0,388000000.0,516000000.0,-185000000.0,4742000000.0,-845000000.0,-709000000.0,55.41
2018-06-30,5577000000.0,2491000000.0,3086000000.0,655000000.0,903000000.0,1202000000.0,0.8200000000000001,1413000000.0,903000000.0,1478000000.0,35910000000.0,3163000000.0,1785000000.0,44318000000.0,17772000000.0,62090000000.0,7103000000.0,16212000000.0,15378000000.0,22810000000.0,39022000000.0,23068000000.0,510000000.0,2053000000.0,-214000000.0,1134000000.0,-911000000.0,-2632000000.0,56.12
