,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-03-31,634891800.0,446006000.0,188885800.0,145033000.0,-102545000.0,6482000.0,0.04,57692000.0,-102545000.0,90477000.0,544644000.0,379646000.0,346900000.0,1500105000.0,5392274000.0,6892379000.0,0.0,325310000.0,0.0,393909000.0,719219000.0,6173160000.0,160237000.0,138525000.0,-127403000.0,78264000.0,0.0,-34408000.0,79.7
2015-06-30,673641000.0,394124000.0,279517000.0,145728000.0,-1335000.0,2036000.0,0.01,164524000.0,-1335000.0,149322000.0,558429000.0,433042000.0,363914000.0,1579986000.0,5329884000.0,6909870000.0,0.0,335496000.0,0.0,396183000.0,731679000.0,6178191000.0,165859000.0,141432000.0,-89255000.0,-75137000.0,0.0,-40473000.0,80.27
2015-09-30,708335000.0,423487000.0,284848000.0,134994000.0,18039000.0,4448000.0,0.03,191927000.0,18039000.0,146053000.0,195557000.0,465511000.0,393760000.0,1275982000.0,5256115000.0,6532097000.0,0.0,355474000.0,75000000.0,464525000.0,819999000.0,5712098000.0,173888000.0,168795000.0,-80431000.0,100669000.0,0.0,-425445000.0,45.05
2015-12-31,620681000.0,389693000.0,230988000.0,126294000.0,-13213000.0,-11127000.0,-0.08,163956100.0,-13213000.0,139343000.0,1025166000.0,327595000.0,406692000.0,1843717000.0,5167393000.0,7011110000.0,0.0,300685000.0,987888000.0,1216353000.0,1517038000.0,5494072000.0,177169000.0,218006000.0,-61468000.0,-207962000.0,0.0,672616000.0,50.9
2016-03-31,608069000.0,353869000.0,254200000.0,127083000.0,8477000.0,-24202000.0,-0.18,166512000.0,8477000.0,141937000.0,612689000.0,363736000.0,427551000.0,1509210000.0,5087609000.0,6596819000.0,0.0,373801000.0,988130000.0,1223346000.0,1597147000.0,4999672000.0,158035000.0,159694000.0,-84470000.0,-96284000.0,0.0,-489682000.0,50.41
2016-06-30,698537000.0,422062000.0,276475000.0,143595000.0,5740900.0,-5675000.0,-0.04,171827900.0,5740900.0,127541000.0,446907000.0,470550000.0,455771000.0,1485420000.0,5202567000.0,6687987000.0,0.0,420333000.0,988372000.0,1234078000.0,1654411000.0,5033576000.0,166087000.0,59389000.0,-130440000.0,-75001000.0,0.0,23154000.0,55.26
2016-09-30,864698000.0,547899000.0,316799000.0,138583000.0,45393000.0,11847000.0,0.09,219880000.0,45393000.0,127546000.0,469219000.0,569511000.0,437135000.0,1582536000.0,5169086000.0,6751622000.0,0.0,557445000.0,988625000.0,1217801000.0,1775246000.0,4976376000.0,174487000.0,249998000.0,-119979000.0,-111824000.0,0.0,-102186000.0,55.74
2016-12-31,826347000.0,515705000.0,310642000.0,130672000.0,61381000.0,-78638000.0,-0.62,240025000.0,61381000.0,126852000.0,495811000.0,503366000.0,404617000.0,1487917000.0,5136994000.0,6624911000.0,0.0,548596000.0,988886000.0,1213199000.0,1761795000.0,4863116000.0,178644000.0,220362000.0,-136536000.0,-136429000.0,0.0,-56044000.0,52.73
2017-03-31,642992100.0,411395900.0,231596100.0,132738000.0,-24455800.0,55908000.0,0.43,160903300.0,-24455800.0,127121000.0,545463000.0,423195000.0,430454000.0,1461605000.0,5060718000.0,6522323000.0,0.0,418828000.0,989154000.0,1206773000.0,1625601000.0,4896722000.0,185359000.0,247071000.0,-165747000.0,-167094000.0,0.0,-30574000.0,68.56
2017-06-30,640831000.0,404454000.0,236377000.0,139431000.0,-27829000.0,-30624000.0,-0.24,149388000.0,-27829000.0,126961000.0,512631000.0,415453000.0,470880000.0,1467216000.0,4975480000.0,6442696000.0,0.0,361918000.0,989420000.0,1168097000.0,1530015000.0,4912681000.0,177217000.0,103636000.0,-124428000.0,-117392000.0,0.0,-19803000.0,63.32
