,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1911220000.0,1282190000.0,629030000.0,274034000.0,165632100.0,76226000.0,0.35000000000000003,354996100.0,165632100.0,219097000.0,215888000.0,308030000.0,145922000.0,958614000.0,18907490000.0,19866100000.0,2491064000.0,5060504000.0,5975890000.0,6467062000.0,11527570000.0,8338535000.0,189364000.0,241257000.0,-178376000.0,-193513000.0,-27735000.0,-25672000.0,33.22
2013-06-30,1882767000.0,1323619000.0,559147900.0,257948000.0,113338000.0,24747000.0,0.11,299522000.0,113338000.0,219502000.0,205174000.0,310051000.0,141440000.0,953094000.0,18997700000.0,19950790000.0,1906468000.0,4712175000.0,6347640000.0,6872360000.0,11584540000.0,8366259000.0,186184000.0,431531000.0,-217697000.0,-251386000.0,-26363000.0,-192104000.0,33.34
2013-09-30,2311749000.0,1416801000.0,894948000.0,249954000.0,444209000.0,365701000.0,1.6600000000000001,632750000.0,444209000.0,219744000.0,209567000.0,342021000.0,160225000.0,1018675000.0,19067570000.0,20086240000.0,1942849000.0,4844565000.0,5980912000.0,6479596000.0,11324160000.0,8762084000.0,188541000.0,557316000.0,-137973000.0,-133505000.0,-61000.0,-419838000.0,38.28
2013-12-31,1854158000.0,1282660000.0,571498300.0,262883000.0,74969700.0,7018000.0,0.03,265591700.0,74969900.0,219638000.0,204687000.0,259746000.0,151244000.0,956374000.0,19116570000.0,20072950000.0,1563378000.0,4267010000.0,6511426000.0,6997672000.0,11264680000.0,8808265000.0,190622000.0,181964000.0,-229731000.0,-246134000.0,-89470000.0,60988000.0,47.42
2014-03-31,1887224000.0,1303980000.0,583244000.0,290307000.0,97466100.0,26457000.0,0.12,291201000.0,97466100.0,221295000.0,216508000.0,299036000.0,145155000.0,1010933000.0,19115210000.0,20126140000.0,535834000.0,3382779000.0,7461530000.0,7966429000.0,11349210000.0,8776932000.0,193735000.0,315786000.0,-177791000.0,-197370000.0,-76264000.0,-107505000.0,54.56
2014-06-30,1980043000.0,1330674000.0,649368900.0,260988000.0,195586900.0,137673000.0,0.62,388466900.0,195586900.0,222189000.0,185262000.0,293516000.0,143375000.0,978340000.0,19033870000.0,20012210000.0,494579000.0,3549420000.0,7099269000.0,7613551000.0,11162970000.0,8849240000.0,192880000.0,565143000.0,-164681000.0,-128473000.0,-55593000.0,-467461000.0,55.6
2014-09-30,2388762000.0,1426882000.0,961880000.0,239662000.0,529462000.0,490248000.0,2.2,721910000.0,529462000.0,222523000.0,183181000.0,252918000.0,136162000.0,860226000.0,18739680000.0,19599910000.0,772245000.0,3737740000.0,6213829000.0,6841142000.0,10578880000.0,9021028000.0,192448000.0,578635000.0,3454000.0,-18972000.0,0.0,-557267000.0,67.29
2014-12-31,1817826000.0,1244745000.0,573080400.0,257995000.0,119343500.0,109768000.0,0.5,367718500.0,119343900.0,221658000.0,189241000.0,261392000.0,123490000.0,801083000.0,19912110000.0,20713190000.0,799630000.0,3849247000.0,7644318000.0,8579584000.0,12428830000.0,8284359000.0,248375000.0,284195000.0,-1252380000.0,-1425563000.0,-67095000.0,1149713000.0,82.43
2015-03-31,1815599000.0,1222617000.0,592981900.0,286832000.0,105681900.0,45230000.0,0.21,306149900.0,105681900.0,219626000.0,229705000.0,297073000.0,125063000.0,951203000.0,19918390000.0,20869590000.0,1089345000.0,4336291000.0,7470260000.0,8559392000.0,12895680000.0,7973910000.0,200468000.0,426427000.0,-304644000.0,-399576000.0,-131745000.0,19653000.0,81.85
2015-06-30,2058322000.0,1316409000.0,741913100.0,274148000.0,261297100.0,184967000.0,0.84,467765100.0,261297100.0,219913000.0,159360000.0,212454000.0,140228000.0,913391000.0,20481800000.0,21395190000.0,1188576000.0,4791538000.0,7592330000.0,8283416000.0,13074950000.0,8320240000.0,206468000.0,613918000.0,-846972000.0,-816996000.0,-65973000.0,131450000.0,78.69
2015-09-30,2523100000.0,1387026000.0,1136074000.0,256060000.0,258004900.0,228787000.0,1.04,468746900.0,258004900.0,219963000.0,147419000.0,241638000.0,131108000.0,900826000.0,20058020000.0,20958850000.0,905128000.0,4360491000.0,7584808000.0,8342571000.0,12703060000.0,8255786000.0,210742000.0,567591000.0,-209021000.0,-253137000.0,0.0,-322023000.0,89.09
2015-12-31,1902053000.0,1173341000.0,728711900.0,269464000.0,249918500.0,206799000.0,0.9500000000000001,511401500.0,249918500.0,219537000.0,121565000.0,238972000.0,121332000.0,837022000.0,19945020000.0,20782040000.0,899542000.0,4292692000.0,7627701000.0,8426313000.0,12719000000.0,8063039000.0,261483000.0,338430000.0,-252703000.0,-273266000.0,-82494000.0,-82592000.0,101.21
2016-03-31,1917795000.0,1241578000.0,676217000.0,302326000.0,163127100.0,99140000.0,0.46,386256100.0,163127100.0,216914000.0,117360000.0,253303000.0,121392000.0,892286000.0,20071130000.0,20963410000.0,895490000.0,4397944000.0,7806690000.0,8677700000.0,13075640000.0,7887769000.0,223129000.0,477896000.0,-249840000.0,-236746000.0,-162890000.0,-246762000.0,82.15
2016-06-30,2105262000.0,1310587000.0,794674900.0,290782000.0,282272900.0,229905000.0,1.07,517374900.0,282272900.0,215265000.0,175164000.0,215804000.0,112380000.0,857938000.0,21613550000.0,22471490000.0,895411000.0,4373631000.0,9153499000.0,9952197000.0,14325830000.0,8145665000.0,235102000.0,793016000.0,-1797355000.0,-1975704000.0,-80667000.0,1247225000.0,67.15
2016-09-30,2563741000.0,1340123000.0,1223618000.0,259327000.0,734962900.0,693257000.0,3.23,977868800.0,734962900.0,214819000.0,178428000.0,273422000.0,118849000.0,803069000.0,21647190000.0,22450260000.0,1298002000.0,4500570000.0,8419850000.0,9159543000.0,13660110000.0,8790149000.0,242906000.0,730040000.0,-266636000.0,-305109000.0,0.0,-403513000.0,74.95
2016-12-31,1909603000.0,1123251000.0,786352100.0,256306900.0,296842200.0,261085900.0,1.22,543415200.0,296842200.0,215393000.0,132603000.0,291899000.0,114087000.0,748305000.0,21562020000.0,22310320000.0,1285735000.0,4441601000.0,8101701000.0,8747312000.0,13188910000.0,9121412000.0,246573000.0,515738000.0,-180532000.0,-207333000.0,-102930000.0,-353141000.0,82.04
2017-03-31,2008560000.0,1175824000.0,832736100.0,317465000.0,279522100.0,214726000.0,1.0,528527100.0,279522100.0,214870000.0,109309000.0,292975000.0,108427000.0,756689000.0,21260570000.0,22017260000.0,1727970000.0,5271742000.0,6841403000.0,7478685000.0,12750430000.0,9266830000.0,249005000.0,796526000.0,107217000.0,123600000.0,-102942000.0,-944394000.0,98.11
2017-06-30,2195274000.0,1256785000.0,938488900.0,283855000.0,419696900.0,369526000.0,1.72,667412900.0,419696900.0,215085000.0,130477000.0,263992000.0,109136000.0,767641000.0,21256530000.0,22024170000.0,1541519000.0,5285953000.0,6478806000.0,7054807000.0,12340760000.0,9683408000.0,247716000.0,862754000.0,-148758000.0,-115932000.0,-103097000.0,-725099000.0,109.23
2017-09-30,2569544000.0,1318269000.0,1251275000.0,273637000.0,737487900.0,752842000.0,3.51,989164900.0,737487900.0,214694000.0,139950000.0,285332000.0,119949000.0,798152000.0,21301160000.0,22099310000.0,1515708000.0,5057112000.0,6076499000.0,6606714000.0,11663830000.0,10435490000.0,251677000.0,795321000.0,-115794000.0,-85679000.0,-103123000.0,-700217000.0,118.54
2017-12-31,2004467000.0,1145701000.0,858765900.0,311059100.0,307349000.0,288039100.0,1.35,556088000.0,307348800.0,214617000.0,120112000.0,318641000.0,111393000.0,907637000.0,21453290000.0,22360930000.0,1188514000.0,4854873000.0,6350937000.0,6803750000.0,11658620000.0,10702300000.0,248739000.0,419965000.0,-176803000.0,-135581000.0,-128293000.0,-306086000.0,119.28
2018-03-31,2027756000.0,1176019000.0,851736900.0,337361000.0,274146000.0,218653000.0,1.03,524484000.0,274146000.0,212610000.0,111245000.0,387862000.0,110826000.0,1034526000.0,22936450000.0,23970970000.0,1144017000.0,5195154000.0,7664722000.0,8129022000.0,13324180000.0,10646800000.0,250338000.0,924122000.0,-1720232000.0,-1645145000.0,-127840000.0,711853000.0,117.74
2018-06-30,2337605000.0,1314411000.0,1023194000.0,312923000.0,456895000.0,466295000.0,2.2,716446000.0,456895000.0,211673000.0,108998000.0,355729000.0,121879000.0,1099896000.0,22957140000.0,24057040000.0,1177626000.0,5502350000.0,7341463000.0,7780988000.0,13283340000.0,10773700000.0,259551000.0,1007464000.0,-492648000.0,-495836000.0,-126805000.0,-497896000.0,103.6
2018-09-30,2796187000.0,1411364000.0,1384823000.0,325167000.0,799733200.0,810391000.0,3.88,1078873000.0,799733200.0,209054000.0,254821000.0,385297000.0,152157000.0,1359000000.0,25734540000.0,27093540000.0,1528613000.0,7072942000.0,7646988000.0,8682463000.0,15755410000.0,11338130000.0,279140000.0,815398000.0,-296247000.0,-1217631000.0,-126820000.0,551797000.0,129.94
2018-12-31,2332301000.0,1360413000.0,971887700.0,327693100.0,364026000.0,315702900.0,1.51,661676100.0,364026100.0,210570000.0,287852000.0,324507000.0,153573000.0,1242044000.0,26456230000.0,27698270000.0,1646841000.0,7112165000.0,8355370000.0,9480645000.0,16592810000.0,11105460000.0,297650000.0,732155000.0,-1150901000.0,-1130546000.0,-146029000.0,432319000.0,97.79
2019-03-31,2439767000.0,1413704000.0,1026063000.0,414947000.0,318831100.0,249681000.0,1.19,629398100.0,318831100.0,209322000.0,248197000.0,374982000.0,157939000.0,1333122000.0,27386930000.0,28720050000.0,1646324000.0,8105943000.0,7526330000.0,9345036000.0,17450970000.0,11269070000.0,310567000.0,1078454000.0,-470116000.0,-450448000.0,-146817000.0,-667681000.0,114.62
