,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,120378000.0,30372000.0,90006000.0,17975000.0,39396000.0,15554000.0,0.17,75247000.0,39396000.0,90290000.0,28492000.0,75992000.0,124211000.0,3737176000.0,3861387000.0,0.0,121120000.0,1930443000.0,1964571000.0,2085691000.0,1775696000.0,35851000.0,41282000.0,-32252000.0,-30088000.0,-41380000.0,-11141000.0,52.91
2013-06-30,122307000.0,31231000.0,91076000.0,14966000.0,43449000.0,31864000.0,0.35000000000000003,77901000.0,43449000.0,91422000.0,64497000.0,72082000.0,155081000.0,3744822000.0,3899903000.0,0.0,131181000.0,1892124000.0,1932690000.0,2063871000.0,1836032000.0,34452000.0,68052000.0,-78633000.0,8347000.0,-42087000.0,-39658000.0,50.81
2013-09-30,120318000.0,30129000.0,90189000.0,15001000.0,41541000.0,34998000.0,0.38,79123000.0,41541000.0,91985000.0,67990000.0,73801000.0,167919000.0,3728634000.0,3896553000.0,0.0,147087000.0,1864437000.0,1912371000.0,2059458000.0,1837095000.0,37582000.0,91228000.0,-78210000.0,-8697000.0,-42306000.0,-78972000.0,48.35
2013-12-31,126004000.0,33012000.0,92992000.0,13292000.0,39934000.0,46326000.0,0.5,76354000.0,39934000.0,91383000.0,90204000.0,76931000.0,179095000.0,3734421000.0,3913516000.0,0.0,147045000.0,1854697000.0,1905337000.0,2052382000.0,1861134000.0,36420000.0,50169000.0,-131977000.0,20621000.0,-42322000.0,-52808000.0,46.3
2014-03-31,133280000.0,35304000.0,97976000.0,14198000.0,43700000.0,19389000.0,0.21,83633000.0,43700000.0,92167000.0,44351000.0,84986000.0,141275000.0,3894276000.0,4035551000.0,0.0,136800000.0,2000690000.0,2057665000.0,2194465000.0,1841086000.0,39933000.0,52264000.0,-125591000.0,-117053000.0,-43025000.0,19264000.0,51.06
2014-06-30,134892000.0,34396000.0,100496000.0,15223000.0,47455000.0,25482000.0,0.28,85427000.0,47455000.0,91975000.0,45648000.0,87183000.0,144748000.0,3899023000.0,4043771000.0,0.0,141063000.0,2031063000.0,2084306000.0,2225369000.0,1818402000.0,37972000.0,67332000.0,-47617000.0,-45583000.0,-43055000.0,-20172000.0,55.68
2014-09-30,133559000.0,32981000.0,100578000.0,14463000.0,47636000.0,47942000.0,0.52,85866000.0,47636000.0,92345000.0,110047000.0,80666000.0,202845000.0,3925243000.0,4128088000.0,0.0,173997000.0,2023243000.0,2079962000.0,2253959000.0,1874129000.0,38230000.0,98214000.0,-85362000.0,-23664000.0,-43192000.0,-10578000.0,53.83
2014-12-31,136167000.0,34138000.0,102029000.0,16358000.0,45759000.0,73515000.0,0.79,84835000.0,45759000.0,92370000.0,121789000.0,86767000.0,220688000.0,3976482000.0,4197170000.0,0.0,181197000.0,2021357000.0,2079491000.0,2260688000.0,1936482000.0,39076000.0,59932000.0,-91787000.0,-23990000.0,-43628000.0,-22874000.0,63.78
2015-03-31,140399000.0,36303000.0,104096000.0,16378000.0,50560000.0,25174000.0,0.27,88478000.0,50560000.0,93842000.0,43079000.0,84847000.0,140095000.0,3978302000.0,4118397000.0,0.0,166659000.0,1994727000.0,2052859000.0,2219518000.0,1898879000.0,37918000.0,54458000.0,-55633000.0,-55087000.0,-45349000.0,-76658000.0,68.04
2015-06-30,141129000.0,35852000.0,105277000.0,15099000.0,52174000.0,32480000.0,0.34,90596000.0,52174000.0,94136000.0,33840000.0,84674000.0,130795000.0,3967473000.0,4098268000.0,0.0,142415000.0,1988700000.0,2045986000.0,2188401000.0,1909867000.0,38422000.0,72955000.0,-57985000.0,-21619000.0,-45427000.0,-60711000.0,58.98
