,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1023684000.0,613394000.0,410290000.0,320785000.0,89072100.0,55861000.0,0.41000000000000003,101252100.0,89072100.0,137311000.0,225351000.0,547500000.0,1076401000.0,311344000.0,1387745000.0,0.0,499081000.0,1397000.0,34140000.0,533221000.0,854524000.0,12180000.0,27885000.0,-8082000.0,-37751000.0,-22021000.0,-49407000.0,37.53
2013-06-30,1063228000.0,631120000.0,432108000.0,331314000.0,100360000.0,63088000.0,0.46,112373000.0,100360000.0,136385000.0,246971000.0,557311000.0,1119099000.0,309225000.0,1428324000.0,0.0,534895000.0,1365000.0,31678000.0,566573000.0,861751000.0,12013000.0,102050000.0,-11022000.0,-14429000.0,-21865000.0,-61572000.0,33.23
2013-09-30,1075119000.0,637641000.0,437478000.0,333565000.0,103480000.0,66358000.0,0.49,115582000.0,103480000.0,135727000.0,279747000.0,566077000.0,1166214000.0,308490000.0,1474704000.0,0.0,551928000.0,1333000.0,23992000.0,575920000.0,898784000.0,12102000.0,81122000.0,-13013000.0,-18416000.0,-21726000.0,-34386000.0,39.03
2013-12-31,1083864000.0,640648000.0,443215800.0,339150900.0,103664800.0,66885000.0,0.49,116141800.0,103665000.0,136153000.0,275764000.0,551905000.0,1172528000.0,317743000.0,1490271000.0,0.0,535853000.0,1300000.0,34775000.0,570628000.0,919643000.0,12477000.0,98160000.0,-21608000.0,-27181000.0,-23575000.0,-74905000.0,41.99
2014-03-31,1084342000.0,645847000.0,438495100.0,336386000.0,101776100.0,61551000.0,0.45,114309100.0,101776100.0,135333000.0,267737000.0,587249000.0,1187317000.0,316014000.0,1503331000.0,0.0,537546000.0,1266000.0,33639000.0,571185000.0,932146000.0,12533000.0,59225000.0,-12443000.0,-17726000.0,-24394000.0,-50067000.0,41.95
2014-06-30,1164914000.0,686470000.0,478444000.0,354791000.0,123429000.0,75140000.0,0.56,135516000.0,123429000.0,134699000.0,307778000.0,617200000.0,1273919000.0,314526000.0,1588445000.0,0.0,580890000.0,1231000.0,31994000.0,612884000.0,975561000.0,12087000.0,104914000.0,-10642000.0,-15165000.0,-24260000.0,-51922000.0,47.74
2014-09-30,1224308000.0,719088000.0,505220000.0,366967000.0,138252900.0,85184000.0,0.64,150359900.0,138252900.0,134054000.0,290876000.0,657105000.0,1314505000.0,312508000.0,1627013000.0,0.0,623905000.0,1196000.0,30525000.0,654430000.0,972583000.0,12107000.0,93681000.0,-13122000.0,-21536000.0,-24098000.0,-81207000.0,49.0
2014-12-31,1221450000.0,720692800.0,500757100.0,367590000.0,133167200.0,84053000.0,0.63,146121200.0,133167500.0,134358000.0,287119000.0,657676000.0,1323283000.0,323984000.0,1647267000.0,0.0,623362000.0,1159000.0,44047000.0,667409000.0,979858000.0,12954000.0,82878000.0,-26623000.0,-34214000.0,-24852000.0,-46859000.0,58.38
2015-03-31,1205563000.0,711476000.0,494087000.0,365985000.0,128102100.0,77922000.0,0.59,141108000.0,128102100.0,133077000.0,260885000.0,661251000.0,1316289000.0,320997000.0,1637286000.0,0.0,607705000.0,1123000.0,44958000.0,652663000.0,984623000.0,13006000.0,84480000.0,-13346000.0,-20801000.0,-27375000.0,-81236000.0,60.52
2015-06-30,1272058000.0,741556000.0,530502000.0,381355000.0,149147000.0,89706000.0,0.68,162709000.0,149147000.0,132499000.0,313131000.0,687029000.0,1397434000.0,325766000.0,1723200000.0,0.0,663799000.0,1085000.0,44726000.0,708525000.0,1014675000.0,13562000.0,141915000.0,-16177000.0,-21735000.0,-26506000.0,-70969000.0,55.5
