,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1522800000.0,906400000.0,616400000.0,376800000.0,227100100.0,175600000.0,1.24,278600100.0,242400100.0,140000000.0,1330700000.0,1139100000.0,640000000.0,3436900000.0,2283000000.0,5719900000.0,0.0,1469900000.0,905000000.0,2229500000.0,3699400000.0,2020500000.0,36200000.0,202600000.0,-33400000.0,-49300000.0,-66100000.0,-124600000.0,86.35
2013-06-30,1624200000.0,971300000.0,652900000.0,383700000.0,257399900.0,203700000.0,1.45,310399900.0,272699900.0,138900000.0,1397000000.0,1155100000.0,619000000.0,3485100000.0,2286200000.0,5771300000.0,0.0,1552300000.0,905100000.0,2211200000.0,3763500000.0,2007800000.0,37700000.0,293900000.0,-31800000.0,-42500000.0,-72300000.0,-185300000.0,83.14
2013-09-30,1715700000.0,1018500000.0,697200200.0,403700000.0,279200200.0,214700000.0,1.53,330200200.0,294100000.0,139200000.0,1573600000.0,1186100000.0,615400000.0,3679900000.0,2164700000.0,5844600000.0,0.0,1544700000.0,905100000.0,1714400000.0,3259100000.0,2585500000.0,36100000.0,351000000.0,-59100000.0,-59200000.0,-72400000.0,-131000000.0,106.94
2013-12-31,1591700000.0,928000000.0,663700000.0,385400000.0,272799900.0,198100000.0,1.4100000000000001,323599900.0,287699900.0,138600000.0,1610600000.0,1169400000.0,645600000.0,3719800000.0,2221000000.0,5940800000.0,0.0,1538700000.0,905100000.0,1714300000.0,3253000000.0,2687800000.0,35900000.0,203500000.0,-35400000.0,-98900000.0,-80500000.0,-59700000.0,118.16
2014-03-31,1600500000.0,944700000.0,655800000.0,392500000.0,248400000.0,180100000.0,1.29,301800000.0,263400000.0,138500000.0,1725600000.0,1204400000.0,667500000.0,3929400000.0,2228700000.0,6158100000.0,0.0,1696700000.0,905400000.0,1711200000.0,3407900000.0,2750200000.0,38400000.0,202800000.0,-22700000.0,-157100000.0,-80400000.0,-53000000.0,124.55
2014-06-30,1649500000.0,968000000.0,681500000.0,394400000.0,274000000.0,199400000.0,1.43,328500000.0,288400000.0,138000000.0,1749500000.0,1177800000.0,655400000.0,3907700000.0,2237400000.0,6145100000.0,0.0,1712700000.0,905400000.0,1710500000.0,3423200000.0,2721900000.0,40100000.0,301100000.0,-38000000.0,-126700000.0,-80000000.0,-238700000.0,125.16
2014-09-30,1781800000.0,1028900000.0,752899900.0,397800000.0,339000400.0,249200000.0,1.79,392100400.0,354000300.0,138000000.0,1819800000.0,1215800000.0,588400000.0,3934200000.0,2290100000.0,6224300000.0,0.0,1692100000.0,900400000.0,1874100000.0,3566200000.0,2658100000.0,38100000.0,325900000.0,-44500000.0,-100700000.0,-79600000.0,-170400000.0,109.88
2014-12-31,1574400000.0,886900000.0,687500000.0,386900000.0,287500000.0,213900000.0,1.56,343000000.0,302400000.0,135600000.0,1912700000.0,1106700000.0,593500000.0,3932500000.0,2269500000.0,6202000000.0,0.0,1770800000.0,905600000.0,1862100000.0,3632900000.0,2569100000.0,40600000.0,268200000.0,-39900000.0,-57000000.0,-88100000.0,-64400000.0,111.2
2015-03-31,1550800000.0,877600000.0,673200100.0,382400000.0,276500100.0,205800000.0,1.51,331300100.0,292200100.0,134900000.0,2037600000.0,1060300000.0,595600000.0,4046000000.0,2234200000.0,6280200000.0,0.0,1279300000.0,1505400000.0,2434400000.0,3713700000.0,2566500000.0,39100000.0,285200000.0,-17900000.0,-36200000.0,-87800000.0,-107500000.0,115.99
2015-06-30,1575200000.0,897000000.0,678200000.0,376400000.0,284599900.0,205800000.0,1.52,342199800.0,300999800.0,134300000.0,2157800000.0,1084300000.0,599400000.0,4174900000.0,2231600000.0,6406500000.0,0.0,1416000000.0,1492200000.0,2434500000.0,3850500000.0,2556000000.0,41200000.0,286300000.0,-23400000.0,21800000.0,-87400000.0,-160800000.0,124.64
