,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,299714000.0,155606000.0,144108000.0,99134000.0,35080000.0,23179000.0,0.047400000000000005,44974000.0,35080000.0,493553300.0,82479000.0,79092000.0,11801000.0,225206000.0,482232000.0,707438000.0,0.0,233858000.0,0.0,108614000.0,342472000.0,364966000.0,9894000.0,38786000.0,-4739000.0,-5612000.0,-13146000.0,-14938000.0,7.27
2013-06-30,350798000.0,174361000.0,176437000.0,109518000.0,57151000.0,35994000.0,0.0741,66919000.0,57151000.0,493458800.0,91597000.0,91458000.0,12117000.0,257792000.0,479277000.0,737069000.0,0.0,247066000.0,0.0,105196000.0,352262000.0,384807000.0,9768000.0,34355000.0,-4875000.0,-6386000.0,-13150000.0,-17365000.0,7.67
2013-09-30,362155000.0,181135000.0,181020000.0,113028000.0,57916000.0,36200000.0,0.0741,67992000.0,57916000.0,492773700.0,116734000.0,93642000.0,11836000.0,276681000.0,484183000.0,760864000.0,0.0,248559000.0,0.0,105013000.0,353572000.0,407292000.0,10076000.0,54378000.0,-3680000.0,-13011000.0,-13136000.0,-17293000.0,7.85
2013-12-31,324707000.0,167357000.0,157350100.0,106608000.0,40909000.0,27957000.0,0.0563,50475000.0,40909100.0,493022200.0,118216000.0,85069000.0,12251000.0,274442000.0,464775000.0,739217000.0,0.0,235792000.0,0.0,65170000.0,300962000.0,438255000.0,9566000.0,35146000.0,-4966000.0,-5781000.0,-26226000.0,-26057000.0,8.97
2014-03-31,313388000.0,161308000.0,152080000.0,100832000.0,41034000.0,25766000.0,0.0533,51248000.0,41034000.0,492718500.0,83129000.0,86537000.0,12688000.0,241004000.0,524657000.0,765661000.0,0.0,250502000.0,0.0,65393000.0,315895000.0,449766000.0,10214000.0,41182000.0,-5156000.0,-58195000.0,-15301000.0,-18555000.0,8.96
2014-06-30,369357000.0,182642000.0,186715000.0,110752000.0,65355000.0,40860000.0,0.083,75963000.0,65355000.0,492329300.0,101519000.0,98977000.0,13136000.0,273465000.0,531124000.0,804589000.0,0.0,259431000.0,0.0,69616000.0,329047000.0,475542000.0,10608000.0,48829000.0,-6315000.0,-11828000.0,-15311000.0,-20391000.0,8.89
2014-09-30,384870000.0,188810000.0,196060000.0,118765000.0,65858000.0,41121000.0,0.083,77295000.0,65858000.0,492075000.0,114216000.0,100622000.0,12526000.0,287345000.0,539289100.0,826634000.0,0.0,267857000.0,0.0,67764000.0,335621000.0,491013000.0,11437000.0,67416000.0,-11223000.0,-10998000.0,-15333000.0,-37963000.0,8.68
2014-12-31,343951000.0,174979000.0,168972000.0,111357000.0,46365100.0,29917000.0,0.062200000000000005,56383100.0,46365100.0,492063800.0,108372000.0,90088000.0,14078000.0,283958000.0,524204000.0,808162000.0,0.0,252679000.0,0.0,92807000.0,345486000.0,462676000.0,10018000.0,36719000.0,-4007000.0,-8450000.0,-29805000.0,-29610000.0,9.81
2015-03-31,330909000.0,168043000.0,162866000.0,105575000.0,46510000.0,30281000.0,0.062200000000000005,57291000.0,46510000.0,491717300.0,93389000.0,88487000.0,13766000.0,255231000.0,546031000.0,801262000.0,0.0,244457000.0,0.0,89825000.0,334282000.0,466980000.0,10781000.0,44054000.0,-8311000.0,-36167000.0,-17483000.0,-21693000.0,10.99
2015-06-30,392150000.0,190209000.0,201941000.0,118622000.0,72074000.0,45073000.0,0.09330000000000001,83319000.0,72074000.0,491879300.0,109684000.0,102326000.0,14034000.0,299057000.0,549704000.0,848761000.0,0.0,263935000.0,0.0,87583000.0,351518000.0,497243000.0,11245000.0,45201000.0,-9419000.0,-11533000.0,-17476000.0,-18992000.0,12.68
