,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,737135000.0,315559000.0,421576000.0,236399000.0,185177000.0,124914000.0,1.26,229455000.0,185177000.0,98876000.0,430022000.0,568809000.0,200023000.0,1285056000.0,5767934000.0,7052990000.0,516514000.0,1082773000.0,1403259000.0,2188041000.0,3270814000.0,3782176000.0,44278000.0,171268000.0,-11205000.0,-13210000.0,0.0,-88804000.0,127.31
2013-06-30,784010000.0,338503000.0,445507000.0,265761000.0,179746000.0,111353000.0,1.12,227806000.0,179746000.0,99089000.0,374571000.0,631891000.0,197458000.0,1328135000.0,6885607000.0,8213742000.0,512799000.0,1126851000.0,2245424000.0,3197343000.0,4324194000.0,3889548000.0,48060000.0,139739000.0,-10684000.0,-1014878000.0,-16338000.0,819716000.0,124.22
2013-09-30,827810000.0,345185000.0,482625000.0,263276000.0,219349000.0,136323000.0,1.37,269406000.0,219349000.0,99207000.0,459980000.0,590659000.0,204722000.0,1389199000.0,6856376000.0,8245575000.0,12250000.0,634137000.0,2593607000.0,3548625000.0,4182762000.0,4062813000.0,50057000.0,255766000.0,-11460000.0,-18617000.0,-16368000.0,-161392000.0,132.87
2013-12-31,889172900.0,355953000.0,533219800.0,275131000.0,258088600.0,165703000.0,1.67,308801600.0,258088800.0,99123000.0,459720000.0,606020000.0,204923000.0,1373337000.0,6811644000.0,8184981000.0,11016000.0,643091000.0,2453836000.0,3328840000.0,3971931000.0,4213050000.0,50713000.0,235780000.0,-9179000.0,-69158000.0,-16386000.0,-165887000.0,138.68
2014-03-31,834052000.0,345116000.0,488936000.0,265536000.0,223400000.0,147226000.0,1.48,273105000.0,223400000.0,99557000.0,502885000.0,609355000.0,209383000.0,1432170000.0,6757532000.0,8189703000.0,10923000.0,667973000.0,2304143000.0,3164485000.0,3832458000.0,4357245000.0,49705000.0,212628000.0,-10478000.0,-12516000.0,-19863000.0,-154631000.0,133.51
2014-06-30,885175000.0,361993000.0,523182000.0,276516000.0,246666000.0,157361000.0,1.58,296547000.0,246666000.0,99881000.0,565282000.0,625166000.0,212050000.0,1524525000.0,6737622000.0,8262146000.0,10984000.0,635272000.0,2233809000.0,3078859000.0,3714131000.0,4548015000.0,49881000.0,140502000.0,-10082000.0,-10244000.0,-19958000.0,-71714000.0,146.01
2014-09-30,884122000.0,360082000.0,524040000.0,278382000.0,245658000.0,155510000.0,1.55,296696000.0,245658000.0,100068000.0,564112000.0,631858000.0,213440000.0,1532691000.0,6977575000.0,8510266000.0,11074000.0,662005000.0,2358474000.0,3200037000.0,3862042000.0,4648224000.0,51038000.0,226102000.0,-9275000.0,-317633000.0,-20006000.0,112873000.0,146.29
2014-12-31,946144800.0,380403900.0,565740800.0,281992100.0,283748800.0,185936000.0,1.8599999999999999,334411800.0,283748900.0,99916000.0,610430000.0,607947000.0,193766000.0,1512105000.0,6888080000.0,8400185000.0,11092000.0,627947000.0,2190282000.0,3016878000.0,3644825000.0,4755360000.0,50663000.0,261209000.0,-10397000.0,-7712000.0,-20032000.0,-184632000.0,156.35
2015-03-31,865281000.0,347120000.0,518161000.0,271265000.0,246896000.0,155773000.0,1.55,296205000.0,246896000.0,100377000.0,615493000.0,606785000.0,194737000.0,1521822000.0,7452800000.0,8974622000.0,7719000.0,699384000.0,2617722000.0,3467843000.0,4167227000.0,4807395000.0,49309000.0,260399000.0,-9950000.0,-603123000.0,-25024000.0,386144000.0,172.0
2015-06-30,889541000.0,355630000.0,533911000.0,281937000.0,251974000.0,171280000.0,1.7000000000000002,302842000.0,251974000.0,100573000.0,678571000.0,589598000.0,197026000.0,1587282000.0,7446814000.0,9034096000.0,7208000.0,654941000.0,2517499000.0,3359806000.0,4014747000.0,5019349000.0,50868000.0,172549000.0,-10723000.0,-11205000.0,-25075000.0,-112903000.0,172.46
2015-09-30,883933000.0,350450000.0,533483000.0,283112000.0,250371000.0,160417000.0,1.5899999999999999,301416000.0,250371000.0,100681000.0,700578000.0,594970000.0,200820000.0,1647879000.0,7785120000.0,9432999000.0,6911000.0,657032000.0,2792067000.0,3647062000.0,4304094000.0,5128905000.0,51045000.0,226619000.0,-6830000.0,-442323000.0,-25111000.0,256091000.0,156.7
