,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,2760647000.0,1993661000.0,766985600.0,390003000.0,376982200.0,236602000.0,0.545,428649200.0,376981900.0,438260000.0,647848000.0,59617000.0,1209237000.0,2031427000.0,1639134000.0,3670561000.0,0.0,1422582000.0,150000000.0,481116000.0,1903698000.0,1766863000.0,51667000.0,333374000.0,-169102000.0,-168765000.0,-31140000.0,-141670000.0,29.85
2013-04-30,2539914000.0,1798811000.0,741103000.0,361968000.0,379135000.0,234612000.0,0.545,427861000.0,379135000.0,430816000.0,715212000.0,77284000.0,1226449000.0,2153196000.0,1689565000.0,3842761000.0,0.0,1467202000.0,150000000.0,500298000.0,1967500000.0,1875261000.0,48726000.0,352859000.0,-97552000.0,-109699000.0,-37475000.0,-175747000.0,33.03
2013-07-31,2551277000.0,1823777000.0,727500100.0,381193000.0,346307100.0,213121000.0,0.5,396434100.0,346307100.0,427672000.0,550578000.0,79202000.0,1330536000.0,2098477000.0,1810008000.0,3908485000.0,0.0,1471814000.0,150000000.0,505701000.0,1977515000.0,1930970000.0,50127000.0,179469000.0,-174138000.0,-173197000.0,-37129000.0,-169881000.0,33.74
2013-10-31,2398122000.0,1746235000.0,651887100.0,381860000.0,270027100.0,171618000.0,0.405,320585100.0,270027100.0,423972000.0,384286000.0,72819000.0,1430467000.0,2050089000.0,1896634000.0,3946723000.0,0.0,1496697000.0,150000000.0,508899000.0,2005596000.0,1941127000.0,50558000.0,148893000.0,-151521000.0,-154009000.0,-36811000.0,-173179000.0,38.67
2014-01-31,2741039000.0,1992101000.0,748938000.0,401345000.0,347592500.0,217953000.0,0.52,404292500.0,347593300.0,425761000.0,435174000.0,62612000.0,1257155000.0,1867159000.0,2029638000.0,3896797000.0,0.0,1393057000.0,150000000.0,496438000.0,1889495000.0,2007302000.0,56700000.0,340782000.0,-127304000.0,-126903000.0,-36502000.0,-162981000.0,33.96
2014-04-30,2680593000.0,1908184000.0,772409100.0,379802000.0,392607200.0,243913000.0,0.585,449072200.0,392607200.0,417898000.0,595950000.0,84492000.0,1250759000.0,2063022000.0,2088266000.0,4151288000.0,0.0,1576353000.0,149694000.0,499657000.0,2076010000.0,2075278000.0,56465000.0,504577000.0,-148700000.0,-143658000.0,-42581000.0,-188137000.0,34.04
2014-07-31,2729566000.0,1944017000.0,785549000.0,395225000.0,390324000.0,239561000.0,0.5750000000000001,444529000.0,390324000.0,415130000.0,549784000.0,85218000.0,1258820000.0,2023865000.0,2143675000.0,4167540000.0,0.0,1532121000.0,149708000.0,486092000.0,2018213000.0,2149327000.0,54205000.0,237214000.0,-104650000.0,-104713000.0,-42300000.0,-178667000.0,32.2
2014-10-31,2598820000.0,1882185000.0,716635000.0,410002000.0,306633100.0,192720000.0,0.47000000000000003,366284100.0,306633100.0,411732000.0,571578000.0,75895000.0,1495013000.0,2302493000.0,2364381000.0,4666874000.0,0.0,1766924000.0,395971000.0,712654100.0,2479578000.0,2187296000.0,59651000.0,240191000.0,-298195000.0,-295916000.0,-41926000.0,77519000.0,40.36
2015-01-31,3032698000.0,2203570000.0,829127700.0,430341900.0,398784900.0,248530000.0,0.605,461422900.0,398785400.0,413553000.0,697108000.0,73278000.0,1372675000.0,2249839000.0,2437531000.0,4687370000.0,0.0,1659368000.0,395562000.0,748792000.0,2408160000.0,2279210000.0,62638000.0,390883000.0,-95146000.0,-94712000.0,-41647000.0,-171141000.0,45.85
2015-04-30,2938148000.0,2067455000.0,870692900.0,409298000.0,461394800.0,282205000.0,0.6900000000000001,524710800.0,461394800.0,407653000.0,761856000.0,88258000.0,1504281000.0,2473776000.0,2449683000.0,4923459000.0,0.0,1825007000.0,395677000.0,764953000.0,2589960000.0,2333499000.0,63316000.0,413988000.0,-106928000.0,-107054000.0,-48743000.0,-242186000.0,49.44
2015-07-31,2968270000.0,2119480000.0,848790000.0,435226000.0,413564000.0,258639000.0,0.64,478977000.0,413564000.0,404760000.0,631287000.0,88443000.0,1509752000.0,2359301000.0,2454271000.0,4813572000.0,0.0,1675657000.0,395793000.0,751401000.0,2427058000.0,2386514000.0,65413000.0,176383000.0,-86180000.0,-86243000.0,-48199000.0,-221208000.0,53.16
2015-10-31,2782855000.0,2003347000.0,779507900.0,443354000.0,336153800.0,215656000.0,0.54,409598800.0,336153800.0,401494000.0,487116000.0,81324000.0,1700834000.0,2425404000.0,2469181000.0,4894585000.0,0.0,1749479000.0,395909000.0,751024000.0,2500503000.0,2394082000.0,73445000.0,171656000.0,-92452000.0,-92469000.0,-47891000.0,-223772000.0,50.58
2016-01-31,3250727000.0,2386591000.0,864135700.0,450877000.0,413259000.0,264161000.0,0.66,485913000.0,413258500.0,403034000.0,763339000.0,73627000.0,1419104000.0,2372195000.0,2496924000.0,4869119000.0,0.0,1602847000.0,396025000.0,794281000.0,2397128000.0,2471991000.0,72654000.0,564225000.0,-81400000.0,-76743000.0,-47479000.0,-211583000.0,56.26
2016-04-30,3088995000.0,2176205000.0,912790000.0,436924000.0,475866000.0,290634000.0,0.73,549744000.0,475866000.0,395799000.0,911752000.0,96244000.0,1498449000.0,2629123000.0,2485054000.0,5114177000.0,0.0,1750896000.0,396142000.0,823840000.0,2574736000.0,2539441000.0,73878000.0,469080000.0,-79724000.0,-79768000.0,-54236000.0,-240889000.0,56.78
2016-07-31,3180917000.0,2251845000.0,929072000.0,469511000.0,459561000.0,281906000.0,0.72,534313000.0,459561000.0,393568000.0,928931000.0,97139000.0,1560209000.0,2713680000.0,2480554000.0,5194234000.0,0.0,1751181000.0,396259000.0,828723000.0,2579904000.0,2614330000.0,74752000.0,310474000.0,-67702000.0,-67287000.0,-53848000.0,-225494000.0,61.83
2016-10-31,3086687000.0,2206092000.0,880595000.0,490171000.0,390424100.0,244546000.0,0.63,465930100.0,390424100.0,390870000.0,879614000.0,91355000.0,1763745000.0,2875376000.0,2474511000.0,5349887000.0,0.0,1887944000.0,396376000.0,812421000.0,2700365000.0,2649522000.0,75506000.0,249674000.0,-73016000.0,-68977000.0,-53470000.0,-229604000.0,62.54
2017-01-31,3510158000.0,2539563000.0,970594700.0,493801900.0,476792700.0,300568000.0,0.77,555171800.0,476792500.0,392124000.0,1111599000.0,75154000.0,1512886000.0,2813049000.0,2496302000.0,5309351000.0,0.0,1752506000.0,396493000.0,808828000.0,2561334000.0,2748017000.0,78379000.0,529673000.0,-77438000.0,-80148000.0,-53086000.0,-220104000.0,66.11
2017-04-30,3306429000.0,2329966000.0,976462900.0,474819000.0,501643800.0,321018000.0,0.8300000000000001,577463800.0,501643800.0,386433000.0,1244219000.0,100840000.0,1594760000.0,3064735000.0,2488240000.0,5552975000.0,0.0,1937723000.0,396611000.0,837506000.0,2775229000.0,2777746000.0,75820000.0,520861000.0,-75971000.0,-75971000.0,-62795000.0,-312187000.0,65.0
2017-07-31,3431603000.0,2420942000.0,1010661000.0,498276000.0,512385300.0,316539000.0,0.8300000000000001,587470300.0,512385300.0,383011000.0,1150932000.0,103359000.0,1608333000.0,3004417000.0,2510062000.0,5514479000.0,0.0,1828961000.0,396729000.0,845634000.0,2674595000.0,2839884000.0,75085000.0,277098000.0,-93345000.0,-93345000.0,-62167000.0,-276866000.0,55.32
2017-10-31,3328894000.0,2369148000.0,959746100.0,517297000.0,442449200.0,274449000.0,0.72,518799200.0,442449200.0,379432000.0,1144687000.0,103071000.0,1840225000.0,3235945000.0,2531033000.0,5766978000.0,0.0,2056242000.0,396848000.0,852217000.0,2908459000.0,2858519000.0,76350000.0,367727000.0,-97547000.0,-97547000.0,-61497000.0,-278013000.0,63.49
2018-01-31,4067806000.0,2922582000.0,1145224000.0,553306000.0,591918200.0,450747100.0,1.2,677826200.0,591918200.0,381174000.0,1290806000.0,87868000.0,1641735000.0,3151157000.0,2570894000.0,5722051000.0,84973000.0,1926402000.0,311994000.0,746340900.0,2672743000.0,3049308000.0,85908000.0,515652000.0,-88579000.0,-87892000.0,-61067000.0,-282425000.0,82.39
2018-04-30,3588619000.0,2522219000.0,1066400000.0,524423000.0,541976800.0,418252000.0,1.12,621773800.0,541976800.0,373797000.0,1302836000.0,109425000.0,1895456000.0,3454079000.0,2566757000.0,6020836000.0,84981000.0,2106625000.0,312105000.0,783923000.0,2890548000.0,3130288000.0,79797000.0,472050000.0,-79793000.0,-79288000.0,-85410000.0,-380896000.0,80.85
2018-07-31,3737926000.0,2666983000.0,1070943000.0,554581000.0,516362100.0,389404000.0,1.05,598968100.0,516362100.0,371031000.0,1386935000.0,121508000.0,1698390000.0,3379655000.0,2584101000.0,5963756000.0,84989000.0,1978147000.0,312217000.0,800999000.0,2779146000.0,3184610000.0,82606000.0,542134000.0,-98842000.0,-98842000.0,-84561000.0,-358899000.0,87.43
2018-10-31,3549608000.0,2547331000.0,1002277000.0,561577000.0,440699700.0,338108000.0,0.92,524447700.0,440699700.0,368102000.0,1349196000.0,117825000.0,1979080000.0,3623307000.0,2612460000.0,6235767000.0,84997000.0,2252294000.0,312328000.0,796310000.0,3048604000.0,3187163000.0,83748000.0,435888000.0,-114731000.0,-114497000.0,-83892000.0,-359333000.0,99.0
2019-01-31,4107389000.0,2989744000.0,1117644000.0,575969100.0,541675800.0,441693000.0,1.21,625881800.0,541675300.0,369533000.0,1412912000.0,96711000.0,1750442000.0,3404019000.0,2669672000.0,6073691000.0,0.0,2009484000.0,312440000.0,758461000.0,2767945000.0,3305746000.0,84206000.0,616605000.0,-120532000.0,-117782000.0,-83326000.0,-432333000.0,92.12
2019-04-30,3796642000.0,2701668000.0,1094974000.0,558250000.0,536724100.0,421142000.0,1.16,619481100.0,536724100.0,363085000.0,1366592000.0,121607000.0,1813773000.0,3462705000.0,5586415000.0,9049120000.0,536900000.0,2593511000.0,312552000.0,3188083000.0,5781594000.0,3267526000.0,82757000.0,508987000.0,-95629000.0,-95112000.0,-93722000.0,-459437000.0,97.66
2019-07-31,3979869000.0,2843850000.0,1136019000.0,591970000.0,544048800.0,412721000.0,1.15,628189800.0,544048800.0,359794000.0,1382025000.0,130439000.0,1835869000.0,3515918000.0,5636029000.0,9151947000.0,549841000.0,2679408000.0,312665000.0,3176275000.0,5855683000.0,3296264000.0,84141000.0,574476000.0,-154685000.0,-154685000.0,-92920000.0,-408907000.0,106.03
2019-10-31,3849117000.0,2766432000.0,1082685000.0,604605000.0,478080100.0,370932000.0,1.04,566271100.0,478080100.0,356879000.0,1142709000.0,124853000.0,2168796000.0,3606662000.0,5809179000.0,9415841000.0,559433000.0,2858238000.0,312778000.0,3280824000.0,6139062000.0,3276779000.0,88191000.0,327467000.0,-150937000.0,-150937000.0,-91728000.0,-416404000.0,109.67
2020-01-31,4413445000.0,3224237000.0,1189208000.0,601879200.0,587329600.0,456133000.0,1.29,683132600.0,587329600.0,358462000.0,1351205000.0,102236000.0,1832339000.0,3432828000.0,5915539000.0,9348367000.0,564000000.0,2701934000.0,312891000.0,3287184000.0,5989118000.0,3359249000.0,95803000.0,760616000.0,-154232000.0,-154232000.0,-91423000.0,-398501000.0,112.19
2020-04-30,1842673000.0,1889991000.0,-47318000.0,415305000.0,-462622900.0,-305842000.0,-0.87,-372024900.0,-462622900.0,352202000.0,2669535000.0,49624000.0,1757263000.0,4587915000.0,6140131000.0,10728050000.0,805000000.0,2623617000.0,2285614000.0,5287037000.0,7910654000.0,2817392000.0,90598000.0,-1058442000.0,-139729000.0,-139729000.0,-101414000.0,2517127000.0,91.36
2020-07-31,2684712000.0,2080120000.0,604591800.0,519495000.0,85096700.0,22047000.0,0.06,174124700.0,85096700.0,352276000.0,3793043000.0,162723000.0,1117983000.0,5347361000.0,5974884000.0,11322250000.0,802507000.0,3153072000.0,2286295000.0,5301974000.0,8455046000.0,2867199000.0,89028000.0,1230863000.0,-110318000.0,-110318000.0,0.0,3004000.0,89.67
2020-10-31,3754509000.0,2711419000.0,1043090000.0,877857000.0,165233200.0,131197000.0,0.37,253800100.0,165233200.0,352481000.0,4416124000.0,122654000.0,1630390000.0,6516567000.0,6054099000.0,12570670000.0,590000000.0,3941629000.0,2512037000.0,5610000000.0,9551629000.0,3019037000.0,88567000.0,1610702000.0,-89498000.0,-89498000.0,3000.0,-823277000.0,85.17
2021-01-31,4249672000.0,3157044000.0,1092628000.0,690624100.0,402002900.0,237980000.0,0.67,498054900.0,402003100.0,352392000.0,4819293000.0,115067000.0,1508982000.0,6692491000.0,6025376000.0,12717870000.0,64910000.0,3967033000.0,2448175000.0,5460194000.0,9427227000.0,3290640000.0,96052000.0,462810000.0,-65888000.0,-65888000.0,7000.0,5005000.0,111.29
2021-04-30,4516080000.0,3198396000.0,1317684000.0,675053000.0,642631100.0,476479000.0,1.35,730141100.0,642631100.0,352988000.0,5367006000.0,167139000.0,1697992000.0,7431528000.0,5964335000.0,13395860000.0,64937000.0,4318395000.0,2449208000.0,5424647000.0,9743042000.0,3652821000.0,87510000.0,752820000.0,-136937000.0,-136937000.0,-101519000.0,-142834000.0,130.94
2021-07-31,4804974000.0,3410871000.0,1394103000.0,717788000.0,676314900.0,494258000.0,1.4,762898900.0,676314900.0,352865000.0,5569071000.0,159163000.0,1751027000.0,7672849000.0,5968551000.0,13641400000.0,64964000.0,4336190000.0,2450245000.0,5401224000.0,9737414000.0,3903986000.0,86584000.0,592575000.0,-117500000.0,-117500000.0,-101865000.0,-272815000.0,122.69
2021-10-31,4574541000.0,3326004000.0,1248537000.0,725761000.0,522776100.0,385030000.0,1.1,610821200.0,522776100.0,351071000.0,5270000000.0,159000000.0,2231000000.0,7845000000.0,6070823000.0,13916000000.0,686000000.0,4476000000.0,5002000000.0,5456208000.0,9933000000.0,3983000000.0,88045000.0,158258000.0,-123479000.0,-123479000.0,-101136000.0,-344316000.0,113.2
2022-01-31,5020648000.0,3773636000.0,1247012000.0,755866900.0,491144500.0,366822000.0,1.05,589669600.0,491145000.0,351496000.0,4934000000.0,119000000.0,2262000000.0,7473000000.0,6167080000.0,14615000000.0,631000000.0,4215000000.0,4992000000.0,5365277000.0,10555000000.0,4060000000.0,98525000.0,235196000.0,-179924000.0,-179924000.0,-100603000.0,-392431000.0,97.75
2022-04-30,4333100000.0,3196446000.0,1136654000.0,669496000.0,467158200.0,338445000.0,0.98,559266200.0,467158200.0,347053000.0,4027000000.0,164000000.0,2674000000.0,7048000000.0,6185696000.0,13234000000.0,636000000.0,3756000000.0,5021000000.0,5423739000.0,9180000000.0,4054000000.0,92108000.0,-416267000.0,-109848000.0,-109848000.0,-108908000.0,-380669000.0,99.77
2022-07-31,4583009000.0,3399535000.0,1183474000.0,667063000.0,516410900.0,384517000.0,1.11,613483900.0,516410900.0,344884000.0,3915000000.0,168000000.0,2717000000.0,6985000000.0,6194851000.0,13180000000.0,648000000.0,3645000000.0,4980000000.0,5407990000.0,9053000000.0,4127000000.0,97073000.0,360002000.0,-133498000.0,-133498000.0,-108285000.0,-338266000.0,81.26
2022-10-31,4565489000.0,3424046000.0,1141443000.0,693367000.0,448075700.0,342036000.0,1.0,549459700.0,448075700.0,342120000.0,3918000000.0,168000000.0,2494000000.0,6761000000.0,6338906000.0,13100000000.0,657000000.0,3464000000.0,5052000000.0,5488865000.0,8953000000.0,4147000000.0,101384000.0,528932000.0,-174555000.0,-174555000.0,-107455000.0,-351480000.0,95.69
