,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,313071000.0,100695000.0,212376000.0,20431000.0,56765000.0,-22376000.0,-0.18,186005000.0,56765000.0,127057000.0,153276000.0,49463000.0,269944000.0,6179941000.0,6449885000.0,478454000.0,675138000.0,4885339000.0,5078102000.0,5753240000.0,696645000.0,129240000.0,94228000.0,-36423000.0,-244657000.0,0.0,37801000.0,72.0
2013-06-30,324305000.0,103725000.0,220580000.0,21507000.0,49534000.0,-35899000.0,-0.28,201972000.0,49534000.0,127713000.0,231208000.0,47783000.0,352084000.0,6132422000.0,6484506000.0,10000000.0,212898000.0,5631209000.0,5835871000.0,6048769000.0,435737000.0,152438000.0,133931000.0,-33779000.0,-80741000.0,0.0,15197000.0,74.12
2013-09-30,332094000.0,103295000.0,228799000.0,21827000.0,63902000.0,21531000.0,0.17,193738000.0,63902000.0,127885000.0,243336000.0,65115000.0,390434000.0,6193994000.0,6584428000.0,11250000.0,252858000.0,5637078000.0,5883141000.0,6135999000.0,448429000.0,129836000.0,114889000.0,-33171000.0,-124070000.0,0.0,8512000.0,80.46
2013-12-31,335396000.0,100538000.0,234858000.0,21711000.0,59444000.0,-19165000.0,-0.15,220643000.0,59444000.0,127769000.0,174863000.0,71339000.0,343652000.0,6439536000.0,6783188000.0,481886000.0,747673000.0,5394721000.0,5678549000.0,6426222000.0,356966000.0,161199000.0,154539000.0,-65520000.0,-367730000.0,0.0,149327000.0,89.84
2014-03-31,345550000.0,97167000.0,248383000.0,24676000.0,67136000.0,1407000.0,0.01,215815000.0,67136000.0,128560000.0,363188000.0,68102000.0,516128000.0,7275214000.0,7791342000.0,503776000.0,756779000.0,6365982000.0,6638375000.0,7395154000.0,396188000.0,148679000.0,160215000.0,-32238000.0,-941556000.0,0.0,964162000.0,90.96
2014-06-30,383420000.0,107438000.0,275982000.0,25441000.0,83317000.0,-9467000.0,-0.07,248601000.0,83317000.0,128950000.0,149899000.0,72782000.0,314018000.0,7250565000.0,7564583000.0,1080200000.0,1340010000.0,5778891000.0,6065285000.0,7405295000.0,159288000.0,165284000.0,174730000.0,-39913000.0,-85094000.0,0.0,-305167000.0,102.3
2014-09-30,393293000.0,111876000.0,281417000.0,26589000.0,89484000.0,-16624000.0,-0.13,253493000.0,89484000.0,129046000.0,502069000.0,77435000.0,674386000.0,7134606000.0,7808992000.0,1078318000.0,1346227000.0,6471770000.0,6760382000.0,8106609000.0,-297617000.0,164009000.0,150343000.0,-59196000.0,-137336000.0,0.0,331368000.0,110.9
2014-12-31,404733000.0,112004000.0,292729000.0,26611000.0,96585900.0,389000.0,0.0,281641900.0,96585900.0,128919000.0,97511000.0,104268000.0,326888000.0,7514237000.0,7841125000.0,32500000.0,331050000.0,7828299000.0,8170875000.0,8501925000.0,-660800000.0,185056000.0,189052000.0,-79904000.0,-600141000.0,0.0,4935000.0,110.76
2015-03-31,410094000.0,111110000.0,298984000.0,29884000.0,89086000.0,-79030000.0,-0.61,265483000.0,89086000.0,129235000.0,108625000.0,91468000.0,325013000.0,7202286000.0,7527299000.0,33750000.0,286476000.0,7929829000.0,8277610000.0,8564086000.0,-1036787000.0,176397000.0,178408000.0,-68100000.0,-121554000.0,0.0,-31529000.0,117.1
2015-06-30,410704000.0,112112000.0,298592000.0,28262000.0,98163000.0,28305000.0,0.22,273068000.0,98163000.0,128809000.0,117606000.0,93374000.0,344482000.0,7407381000.0,7751863000.0,40000000.0,314054000.0,8216400000.0,8571041000.0,8885095000.0,-1133232000.0,174905000.0,197124000.0,-50292000.0,-315056000.0,0.0,125313000.0,114.97
