,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,182467000.0,25523000.0,156944000.0,68857000.0,88087000.0,50633000.0,1.07,47249000.0,96338000.0,10866070000.0,7400572000.0,18266640000.0,0.0,15951500000.0,600163000.0,600163000.0,16551660000.0,1714981000.0,32545000.0,45907000.0,-4651000.0,-753552000.0,0.0,710018000.0,78.76
2013-06-30,189574000.0,25755000.0,163819000.0,71116000.0,92703000.0,53602000.0,1.13,47260000.0,137900000.0,11689630000.0,8032845000.0,19722470000.0,0.0,16491040000.0,1525163000.0,1525163000.0,18016210000.0,1706267000.0,33389000.0,-181130000.0,-3568000.0,-1239333000.0,0.0,1462025000.0,83.02
2013-09-30,202494000.0,27244000.0,175250000.0,73344000.0,101906000.0,60168000.0,1.27,47271000.0,67607000.0,12621810000.0,8384672000.0,21006480000.0,0.0,17425570000.0,1820313000.0,1820313000.0,19245890000.0,1760596000.0,31888000.0,128804000.0,-1884000.0,-1451208000.0,0.0,1252111000.0,91.52
2013-12-31,212626000.0,28285000.0,184341000.0,47069000.0,137272000.0,64341000.0,1.3599999999999999,47267000.0,143977000.0,14020800000.0,8355859000.0,22376660000.0,0.0,18271410000.0,2305313000.0,2305313000.0,20576720000.0,1799939000.0,27815000.0,208925000.0,-2256000.0,-1468973000.0,0.0,1336418000.0,107.42
2014-03-31,222938000.0,29300000.0,193638000.0,78224000.0,115414000.0,66007000.0,1.3900000000000001,47318000.0,117005000.0,14692640000.0,8411782000.0,23104420000.0,0.0,19401960000.0,1790313000.0,1790313000.0,21192270000.0,1912150000.0,25520000.0,80771000.0,-5405000.0,-764112000.0,0.0,656369000.0,125.59
2014-06-30,236451000.0,30353000.0,206098000.0,80609000.0,125489000.0,72482000.0,1.5,48270000.0,271452000.0,16025570000.0,8501429000.0,24526990000.0,0.0,20590460000.0,1646313000.0,1646313000.0,22236770000.0,2290223000.0,25472000.0,175128000.0,-3408000.0,-1280255000.0,0.0,1259574000.0,126.18
2014-09-30,244568000.0,31247000.0,213321000.0,81944000.0,131377000.0,76805000.0,1.54,50000000.0,315698000.0,17212240000.0,8738248000.0,25950480000.0,0.0,22118850000.0,1430163000.0,1430163000.0,23549020000.0,2401467000.0,25683000.0,117873000.0,-1342000.0,-1432665000.0,0.0,1359038000.0,112.06
2014-12-31,255298000.0,32222000.0,223076000.0,83577000.0,139499000.0,81410000.0,1.62,49066000.0,299078000.0,18620380000.0,8698262000.0,27318640000.0,0.0,23487240000.0,1335163000.0,1335163000.0,24822400000.0,2496238000.0,26584000.0,47102000.0,-3414000.0,-1338866000.0,0.0,1275144000.0,125.96
2015-03-31,264111000.0,31465000.0,232646000.0,89585000.0,143061000.0,83390000.0,1.6600000000000001,50352000.0,258286000.0,19726310000.0,8862882000.0,28589190000.0,0.0,24749090000.0,1220163000.0,1220163000.0,25969250000.0,2619942000.0,26500000.0,333415000.0,-1522000.0,-1526887000.0,0.0,1152680000.0,129.58
2015-06-30,277350000.0,31295000.0,246055000.0,93870000.0,152185000.0,90462000.0,1.78,50809000.0,98207000.0,20995310000.0,8974161000.0,29969470000.0,0.0,25584990000.0,1685163000.0,1685163000.0,27270150000.0,2699320000.0,28158000.0,-101454000.0,-2536000.0,-1254660000.0,0.0,1196035000.0,146.39
2015-09-30,290849000.0,33027000.0,257822000.0,97559000.0,160263000.0,96225000.0,1.8900000000000001,50888000.0,288002000.0,23024070000.0,8896458000.0,31920520000.0,0.0,27603680000.0,1495163000.0,1495163000.0,29098850000.0,2821677000.0,29188000.0,24164000.0,-3584000.0,-1687153000.0,0.0,1852784000.0,137.56
2015-12-31,311742000.0,34060000.0,277682000.0,105114000.0,172568000.0,102988000.0,2.02,50739000.0,341546000.0,24489450000.0,8961095000.0,33450550000.0,0.0,27838550000.0,2720163000.0,2720163000.0,30558710000.0,2891834000.0,28717000.0,282808000.0,-4567000.0,-1703285000.0,0.0,1474021000.0,153.37
2016-03-31,324238000.0,37464000.0,286774000.0,112138000.0,174636000.0,104035000.0,1.98,52589000.0,307001000.0,25636180000.0,9261595000.0,34897770000.0,0.0,29228770000.0,2300000000.0,2300000000.0,31528780000.0,3368997000.0,27650000.0,154021000.0,-3872000.0,-1431405000.0,0.0,1242839000.0,136.12
2016-06-30,337104000.0,42313000.0,294791000.0,125578000.0,169213000.0,102242000.0,1.9100000000000001,53668000.0,290230000.0,27372770000.0,9174065000.0,36546840000.0,0.0,30415990000.0,2636354000.0,2636354000.0,33052350000.0,3494486000.0,29584000.0,-75551000.0,-3199000.0,-1487838000.0,0.0,1546618000.0,124.92
2016-09-30,346194000.0,44659000.0,301535000.0,176677000.0,124858000.0,76110000.0,1.42,53683000.0,686529100.0,28865550000.0,8926771000.0,37792320000.0,0.0,32043280000.0,2187445000.0,2187445000.0,34230720000.0,3561597000.0,29292000.0,221463000.0,-3891000.0,-1002792000.0,0.0,1177628000.0,118.45
2016-12-31,352365000.0,45473000.0,306892000.0,118152000.0,188740100.0,113937000.0,2.12,53406000.0,538951000.0,30031110000.0,9016500000.0,39047610000.0,0.0,33127860000.0,2307488000.0,2307488000.0,35435350000.0,3612264000.0,29817000.0,265071000.0,-5661000.0,-1496366000.0,0.0,1083717000.0,150.2
2017-03-31,360481000.0,48850000.0,311631000.0,122829000.0,188802000.0,133916000.0,2.49,53718000.0,731538000.0,30914340000.0,9350990000.0,40265340000.0,0.0,33707790000.0,2792683000.0,2792683000.0,36500470000.0,3764863000.0,29478000.0,393847000.0,-6055000.0,-1220037000.0,0.0,1018777000.0,148.39
2017-06-30,371487000.0,54697000.0,316790000.0,303863000.0,12927000.0,13957000.0,0.26,54083000.0,532048000.0,31166010000.0,9552604000.0,40718610000.0,0.0,34063480000.0,2857881000.0,2857881000.0,36921360000.0,3797246000.0,32320000.0,-145218000.0,-5340000.0,-682424000.0,0.0,628152000.0,143.53
2017-09-30,378788000.0,61851000.0,316937000.0,119968000.0,196969000.0,124471000.0,2.3,54098000.0,293758000.0,31760380000.0,9566547000.0,41326930000.0,0.0,34592790000.0,2802181000.0,2802181000.0,37394970000.0,3931953000.0,33132000.0,382923000.0,-6751000.0,-881187000.0,0.0,259974000.0,128.04
2017-12-31,395454000.0,67185000.0,328269000.0,151703000.0,176566100.0,114865000.0,2.12,54001000.0,335466000.0,33301390000.0,9816328000.0,43117720000.0,0.0,34633650000.0,4452381000.0,4452381000.0,39086030000.0,4031691000.0,32705000.0,-85540000.0,-4920000.0,-1557684000.0,0.0,1684932000.0,137.26
2018-03-31,404274000.0,78926000.0,325348000.0,278094000.0,47254000.0,34472000.0,0.64,54143000.0,842531000.0,34545330000.0,9890303000.0,44435630000.0,0.0,35891880000.0,4542577000.0,4542577000.0,40434460000.0,4001172000.0,33652000.0,93556000.0,-3887000.0,-962615000.0,0.0,1376124000.0,141.95
2018-06-30,422419000.0,95792000.0,326627000.0,120563000.0,206064000.0,154585000.0,2.84,54527000.0,543919000.0,35269070000.0,9946416000.0,45215480000.0,0.0,36015090000.0,5052774000.0,5052774000.0,41067860000.0,4147623000.0,33354000.0,145682000.0,-7873000.0,-996319000.0,0.0,552025000.0,127.88
2018-09-30,438771000.0,109432000.0,329339000.0,124559000.0,204780000.0,154996000.0,2.84,54544000.0,195404000.0,35738350000.0,10132360000.0,45870710000.0,0.0,37164740000.0,4467974000.0,4467974000.0,41632710000.0,4237997000.0,32526000.0,206267000.0,-6388000.0,-1026276000.0,-30994000.0,471494000.0,114.84
2018-12-31,494011200.0,125783000.0,368228100.0,125586000.0,242642100.0,162381000.0,2.94,54406000.0,317255000.0,37137510000.0,10227300000.0,47364820000.0,0.0,37729500000.0,5228174000.0,5228174000.0,42957680000.0,4407140000.0,32427000.0,206058000.0,6661000.0,-1303924000.0,-31011000.0,1219717000.0,102.81
2019-03-31,479498000.0,146573000.0,332925000.0,131373000.0,201552000.0,142990000.0,2.65,54165000.0,479388000.0,37969150000.0,10348840000.0,48546450000.0,0.0,38314240000.0,5435734000.0,5435734000.0,43994410000.0,4552043000.0,31629000.0,487626000.0,-5215000.0,-1088280000.0,-30835000.0,762787000.0,128.07
2019-06-30,497700000.0,154373000.0,343327000.0,137296000.0,206031000.0,147301000.0,2.7199999999999998,54213000.0,324374000.0,38466410000.0,10187990000.0,48876880000.0,0.0,38350110000.0,5620932000.0,5620932000.0,44215150000.0,4661724000.0,30402000.0,164121000.0,-7124000.0,-391792000.0,-30930000.0,72657000.0,120.84
2019-09-30,498771000.0,156036000.0,342735000.0,135459000.0,207276000.0,148118000.0,2.76,53722000.0,869924000.0,38989430000.0,10198540000.0,49411760000.0,0.0,39696840000.0,4725912000.0,4725912000.0,44669900000.0,4741856000.0,33275000.0,73636000.0,-6289000.0,60414000.0,-30689000.0,411500000.0,119.22
2019-12-31,497422000.0,143101000.0,354321000.0,147777000.0,206544000.0,148077000.0,2.79,53774000.0,789832000.0,40087590000.0,10286640000.0,50591810000.0,3258000000.0,41005760000.0,4598263000.0,4598263000.0,45846610000.0,4745198000.0,35703000.0,52841000.0,-14309000.0,-1214698000.0,-30323000.0,1081565000.0,136.61
