,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3549600000.0,1530400000.0,2019200000.0,230300000.0,544100100.0,390400000.0,0.255,705400100.0,544100100.0,1498200000.0,1697700000.0,520000000.0,1124500000.0,3810200000.0,4692600000.0,8502800000.0,0.0,2269700000.0,549600000.0,905600000.0,3175300000.0,5327500000.0,161300000.0,305200000.0,-240400000.0,-641700000.0,-157400000.0,-284500000.0,28.48
2013-06-30,3735300000.0,1597600000.0,2137700000.0,249600000.0,615200000.0,417800000.0,0.275,776399900.0,615200000.0,1499400000.0,2044300000.0,506800000.0,1173800000.0,4239700000.0,4822700000.0,9062400000.0,0.0,2424400000.0,549700000.0,890400000.0,3314800000.0,5747600000.0,161200000.0,665300000.0,-297300000.0,-385400000.0,-157400000.0,-65300000.0,32.76
2013-09-30,3788700000.0,1633600000.0,2155100000.0,226100100.0,-2115300000.0,-1232100000.0,0.315,-1939000000.0,-2115299000.0,1498500000.0,3233800000.0,561400000.0,1111200000.0,5471400000.0,6045300000.0,11516700000.0,0.0,5377300000.0,1299400000.0,1657100000.0,7034400000.0,4482300000.0,176300000.0,870500000.0,-369000000.0,-412800000.0,-158000000.0,675600000.0,38.49
2013-12-31,4239600000.0,1795100000.0,2444500000.0,242600000.0,813500000.0,540700000.0,0.355,993600000.0,813500000.0,1509800000.0,1702800000.0,589800000.0,943300000.0,3759400000.0,6495800000.0,10255200000.0,0.0,2953000000.0,2047900000.0,2412700000.0,5365700000.0,4889500000.0,180100000.0,-1401900000.0,-256100000.0,-193300000.0,-195900000.0,568900000.0,39.19
2014-03-31,3873800000.0,1629200000.0,2244600000.0,240600000.0,644100100.0,427000000.0,0.28,828200100.0,644100100.0,1510300000.0,1489500000.0,590000000.0,954700000.0,3579000000.0,6518000000.0,10097000000.0,0.0,2733500000.0,2048000000.0,2416400000.0,5149900000.0,4947100000.0,184100000.0,418400000.0,-247500000.0,-355700000.0,-196400000.0,-411500000.0,36.69
2014-06-30,4153700000.0,1711500000.0,2442200000.0,269400000.0,768500200.0,512600000.0,0.335,958300200.0,768500200.0,1503500000.0,1196300000.0,580900000.0,1025800000.0,3356900000.0,7028400000.0,10385300000.0,0.0,2883900000.0,2048100000.0,2430600000.0,5314500000.0,5070800000.0,189800000.0,850100000.0,-307600000.0,-573900000.0,-195500000.0,-453100000.0,38.69
2014-09-30,4180701000.0,1723000000.0,2457701000.0,238700000.0,855001000.0,587800100.0,0.385,1049401000.0,855000200.0,1506300000.0,1843800000.0,631000000.0,1090900000.0,4168700000.0,6584200000.0,10752900000.0,0.0,3038700000.0,2048300000.0,2440500000.0,5479200000.0,5273700000.0,194400000.0,741200000.0,-349700000.0,305200000.0,-195300000.0,-327600000.0,37.73
2014-12-31,4803200000.0,1991200000.0,2812000000.0,298400000.0,915500500.0,983100000.0,0.65,1131801000.0,915500500.0,1498800000.0,1953100000.0,664900000.0,1018300000.0,4546100000.0,7805000000.0,12351100000.0,0.0,3557500000.0,2048400000.0,2635800000.0,6193300000.0,6157800000.0,216300000.0,1425200000.0,-291800000.0,-522500000.0,-239500000.0,-668300000.0,41.03
2015-03-31,4563500000.0,1859800000.0,2703700000.0,305900000.0,777500000.0,494900000.0,0.33,1005400000.0,777500000.0,1500500000.0,1849800000.0,655600000.0,1061100000.0,4245400000.0,7945300000.0,12190700000.0,0.0,3521200000.0,2048500000.0,2658800000.0,6180000000.0,6010700000.0,227900000.0,575700000.0,-314800000.0,-350300000.0,-240100000.0,-307100000.0,47.35
2015-06-30,4881200000.0,1953900000.0,2927300000.0,288500000.0,938600300.0,626700000.0,0.41000000000000003,1187700000.0,938600300.0,1498500000.0,2175200000.0,672700000.0,1166000000.0,4760700000.0,8108100000.0,12868800000.0,549800000.0,4049200000.0,2347400000.0,2961300000.0,7010500000.0,5858300000.0,249100000.0,778300000.0,-336900000.0,-419600000.0,-240100000.0,-21400000.0,53.62
2015-09-30,4914799000.0,1982600000.0,2932199000.0,303899900.0,969397000.0,652700000.0,0.43,1209897000.0,969397200.0,1495900000.0,1611400000.0,719000000.0,1306400000.0,3971000000.0,8445300000.0,12416300000.0,0.0,3648100000.0,2347500000.0,2948400000.0,6596500000.0,5819800000.0,240500000.0,969900000.0,-351300000.0,-227900000.0,-208900000.0,-1259700000.0,56.84
2015-12-31,5373500000.0,2186200000.0,3187300000.0,305500000.0,1058000000.0,687600000.0,0.46,1305300000.0,1058000000.0,1485900000.0,2379900000.0,764400000.0,1242600000.0,4727700000.0,8215801000.0,12943500000.0,399800000.0,4420100000.0,1947900000.0,2540000000.0,6960100000.0,5983400000.0,247300000.0,1636000000.0,-331800000.0,-360100000.0,-297000000.0,-528700000.0,60.03
2016-03-31,4993200000.0,2010300000.0,2982900000.0,330500000.0,864200200.0,575100000.0,0.39,1126200000.0,864200200.0,1472100000.0,1417600000.0,743700000.0,1293100000.0,3883500000.0,8635900000.0,12519400000.0,548900000.0,4351200000.0,2447600000.0,3071800000.0,7423000000.0,5096400000.0,262000000.0,549500000.0,-306200000.0,-592700000.0,-294800000.0,-934300000.0,59.7
