,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,1559600000.0,1023400000.0,536200000.0,251000000.0,258299900.0,152800000.0,1.42,319699900.0,258299900.0,107529000.0,438814000.0,360205000.0,878156000.0,1745945000.0,7438509000.0,9184454000.0,50000000.0,593463000.0,2018508000.0,3330755000.0,3924218000.0,5260236000.0,61400000.0,324000000.0,-45500000.0,-34200000.0,-56300000.0,-54900000.0,88.63
2013-04-30,1339700000.0,860000100.0,479700100.0,233500000.0,213999800.0,129200000.0,1.22,277299700.0,214000000.0,107882000.0,256400000.0,313700000.0,945500000.0,1595200000.0,7436600000.0,9031800000.0,50000000.0,596800000.0,1967800000.0,3286200000.0,3883000000.0,5148800000.0,63300000.0,172200000.0,-59800000.0,-59400000.0,-56300000.0,-293800000.0,103.23
2013-07-31,1350900000.0,858000000.0,492900000.0,250200000.0,213300000.0,125500000.0,1.19,275400100.0,213300000.0,105078000.0,157500000.0,357300000.0,1059300000.0,1629900000.0,7404000000.0,9033900000.0,235000000.0,803100000.0,1867100000.0,3155700000.0,3958800000.0,5075100000.0,62100000.0,82100000.0,-35200000.0,-42300000.0,-55400000.0,-135600000.0,112.52
2013-10-31,1559900000.0,1007300000.0,552600000.0,270300000.0,250799900.0,152200000.0,1.46,314999900.0,250799900.0,104311000.0,150500000.0,464200000.0,1023700000.0,1762300000.0,7483700000.0,9246000000.0,357000000.0,896000000.0,1883600000.0,3182100000.0,4078100000.0,5167900000.0,64200000.0,85900000.0,-46800000.0,-150600000.0,-61000000.0,59700000.0,111.21
2014-01-31,1465500000.0,920300000.0,545200000.0,250300000.0,263500000.0,165500000.0,1.5899999999999999,328500000.0,263500000.0,103981000.0,168600000.0,365200000.0,864800000.0,1508100000.0,7480900000.0,8989000000.0,150000000.0,608300000.0,1879400000.0,3175900000.0,3784200000.0,5204800000.0,65000000.0,421100000.0,-65100000.0,-64300000.0,-61000000.0,-329300000.0,96.39
2014-04-30,1234300000.0,794000000.0,440300200.0,218000000.0,191400600.0,117500000.0,1.16,256500600.0,191400500.0,103504000.0,153500000.0,309400000.0,931000000.0,1539100000.0,7521100000.0,9060200000.0,100000000.0,885800000.0,1873100000.0,3144800000.0,4030600000.0,5029600000.0,65100000.0,266900000.0,-121700000.0,-113100000.0,-60600000.0,-170300000.0,96.68
2014-07-31,1323800000.0,845100000.0,478700100.0,253400000.0,191600000.0,115200000.0,1.1400000000000001,254800000.0,191600000.0,101030000.0,149400000.0,392500000.0,1084500000.0,1728200000.0,7522000000.0,9250200000.0,470000000.0,1019300000.0,1881100000.0,3146500000.0,4165800000.0,5084400000.0,63200000.0,-8100000.0,-47800000.0,-52100000.0,-58900000.0,59900000.0,99.64
2014-10-31,1481800000.0,945300000.0,536500100.0,252400000.0,254800000.0,157200000.0,1.55,317900100.0,254800000.0,101123000.0,105300000.0,453200000.0,1065200000.0,1725800000.0,7609000000.0,9334800000.0,545900000.0,1004100000.0,1890800000.0,3165700000.0,4169800000.0,5165000000.0,63100000.0,92000000.0,-64700000.0,-142000000.0,-65000000.0,11800000.0,104.0
2015-01-31,1440000000.0,917100000.0,522900000.0,237300000.0,255100000.0,159900000.0,1.58,318200000.0,255100000.0,101191000.0,111700000.0,373900000.0,944200000.0,1515600000.0,7580000000.0,9095600000.0,288000000.0,710100000.0,1891800000.0,3161300000.0,3871400000.0,5224200000.0,63100000.0,427700000.0,-48000000.0,-58900000.0,-65100000.0,-350100000.0,103.15
2015-04-30,1447100000.0,1016500000.0,430600200.0,288200100.0,70499900.0,-89600000.0,-0.8200000000000001,148299900.0,70500000.0,103038000.0,125600000.0,430100000.0,1163600000.0,1983900000.0,14822400000.0,16806300000.0,226000000.0,1022600000.0,5944900000.0,8696801000.0,9719400000.0,7086900000.0,77800000.0,227500000.0,-84600000.0,-1342700000.0,-65000000.0,1135700000.0,115.92
2015-07-31,1952000000.0,1223300000.0,728700000.0,387600000.0,267100000.0,135800000.0,1.1400000000000001,375800000.0,267100000.0,119090000.0,133600000.0,507900000.0,1150800000.0,2025500000.0,14732900000.0,16758400000.0,0.0,1059100000.0,5694700000.0,8569301000.0,9628400000.0,7130000000.0,108700000.0,307000000.0,-53000000.0,-38100000.0,-76400000.0,-256200000.0,111.69
