,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,10570000000.0,8409000000.0,2161000000.0,95000000.0,1774000000.0,1259000000.0,0.9500000000000001,2670000000.0,1774000000.0,1330000000.0,5561000000.0,11502000000.0,4973000000.0,23727000000.0,37701000000.0,61428000000.0,1996000000.0,12771000000.0,8138000000.0,12876000000.0,25647000000.0,35781000000.0,896000000.0,1138000000.0,-894000000.0,-106000000.0,-365000000.0,-785000000.0,74.89
2013-06-30,11182000000.0,8712000000.0,2470000000.0,100000000.0,2077000000.0,2095000000.0,1.58,3084000000.0,2077000000.0,1327000000.0,5925000000.0,11277000000.0,4955000000.0,23799000000.0,39452000000.0,63251000000.0,2083000000.0,12454000000.0,9098000000.0,13749000000.0,26203000000.0,37048000000.0,1007000000.0,2657000000.0,-906000000.0,-2059000000.0,-416000000.0,-91000000.0,71.66
2013-09-30,11608000000.0,8926000000.0,2682000000.0,110000000.0,2286000000.0,1715000000.0,1.3,3274000000.0,2286000000.0,1322000000.0,6435000000.0,12057000000.0,4895000000.0,25093000000.0,40030000000.0,65123000000.0,1876000000.0,12753000000.0,9916000000.0,14339000000.0,27092000000.0,38031000000.0,988000000.0,2776000000.0,-953000000.0,-1571000000.0,-415000000.0,-678000000.0,88.36
2013-12-31,11906000000.0,9284000000.0,2622000000.0,111000000.0,2208000000.0,1663000000.0,1.26,3196000000.0,2208000000.0,1323000000.0,8370000000.0,11497000000.0,4603000000.0,26225000000.0,40875000000.0,67100000000.0,1819000000.0,13525000000.0,10393000000.0,13940000000.0,27465000000.0,39635000000.0,988000000.0,4119000000.0,-1190000000.0,-3143000000.0,-412000000.0,-645000000.0,90.11
2014-03-31,11239000000.0,8745000000.0,2494000000.0,106000000.0,2104000000.0,1592000000.0,1.21,3105000000.0,2104000000.0,1306000000.0,7078000000.0,11680000000.0,4731000000.0,25353000000.0,41364000000.0,66717000000.0,628000000.0,11899000000.0,11120000000.0,14638000000.0,26537000000.0,40180000000.0,1001000000.0,1837000000.0,-864000000.0,172000000.0,-410000000.0,-1708000000.0,97.5
2014-06-30,12054000000.0,9269000000.0,2785000000.0,123000000.0,2353000000.0,1595000000.0,1.23,3349000000.0,2353000000.0,1300000000.0,6699000000.0,12251000000.0,4770000000.0,25414000000.0,42672000000.0,68086000000.0,837000000.0,12251000000.0,11740000000.0,15133000000.0,27384000000.0,40702000000.0,996000000.0,2382000000.0,-922000000.0,-2608000000.0,-522000000.0,-1265000000.0,117.95
2014-09-30,12646000000.0,9689000000.0,2957000000.0,125000000.0,2531000000.0,1949000000.0,1.51,3563000000.0,2531000000.0,1294000000.0,6759000000.0,12352000000.0,4702000000.0,25473000000.0,42847000000.0,68320000000.0,27000000.0,12388000000.0,11626000000.0,15245000000.0,27633000000.0,40687000000.0,1032000000.0,3063000000.0,-980000000.0,-517000000.0,-519000000.0,-1700000000.0,101.69
2014-12-31,12641000000.0,9695000000.0,2946000000.0,121000000.0,2502000000.0,302000000.0,0.24,3567000000.0,2502000000.0,1295000000.0,7501000000.0,11171000000.0,4628000000.0,24694000000.0,42210000000.0,66904000000.0,1244000000.0,14176000000.0,10565000000.0,14679000000.0,28855000000.0,38049000000.0,1065000000.0,3913000000.0,-1210000000.0,-2627000000.0,-517000000.0,-1223000000.0,85.41
2015-03-31,10248000000.0,8096000000.0,2152000000.0,119000000.0,1327000000.0,975000000.0,0.76,2369000000.0,1327000000.0,1276000000.0,6803000000.0,10443000000.0,4666000000.0,23394000000.0,42017000000.0,65411000000.0,3180000000.0,14572000000.0,8898000000.0,12973000000.0,27545000000.0,37866000000.0,1042000000.0,1770000000.0,-606000000.0,-1237000000.0,-512000000.0,-1525000000.0,83.44
2015-06-30,9010000000.0,7136000000.0,1874000000.0,120000000.0,1475000000.0,1124000000.0,0.89,2522000000.0,1475000000.0,1269000000.0,7274000000.0,9569000000.0,4581000000.0,22861000000.0,41892000000.0,64753000000.0,2092000000.0,13774000000.0,9110000000.0,12794000000.0,26568000000.0,38185000000.0,1047000000.0,2314000000.0,-587000000.0,-79000000.0,-639000000.0,-586000000.0,86.19
