,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,741700000.0,384800000.0,356900000.0,249100000.0,138300000.0,82800000.0,1.42,157100000.0,138300000.0,58300000.0,213600000.0,558800000.0,401300000.0,1675800000.0,2227400000.0,3903200000.0,0.0,669700000.0,868000000.0,1387100000.0,2056800000.0,1846400000.0,18800000.0,75700000.0,-14400000.0,-46500000.0,-22100000.0,-29300000.0,82.7
2013-06-30,764100000.0,390900000.0,373200000.0,255400000.0,148400000.0,88400000.0,1.52,167900000.0,148400000.0,58200000.0,174700000.0,556000000.0,418100000.0,1686200000.0,2275300000.0,3961500000.0,0.0,696100000.0,861400000.0,1369500000.0,2065600000.0,1895900000.0,19500000.0,110100000.0,-16500000.0,-107500000.0,-22300000.0,-40500000.0,89.38
2013-09-30,753200000.0,388900000.0,364300000.0,253000000.0,142900000.0,84600000.0,1.45,162300000.0,142900000.0,58200000.0,182500000.0,595000000.0,440300000.0,1783100000.0,2317900000.0,4101000000.0,0.0,725700000.0,861100000.0,1369200000.0,2094900000.0,2006100000.0,19400000.0,84300000.0,-19100000.0,-51900000.0,-22100000.0,-25300000.0,99.5
2013-12-31,797500100.0,418999900.0,378500100.0,254900000.0,156600000.0,94500000.0,1.63,175600000.0,156600000.0,58200000.0,217600000.0,600000000.0,434400000.0,1796200000.0,2313800000.0,4110000000.0,0.0,715400000.0,858900000.0,1264200000.0,1979600000.0,2130400000.0,19000000.0,122500000.0,-12200000.0,-44500000.0,-25500000.0,-42700000.0,109.52
2014-03-31,787500000.0,408800000.0,378700000.0,257000000.0,156100000.0,95900000.0,1.65,175700000.0,156100000.0,58200000.0,127800000.0,624900000.0,452600000.0,1769700000.0,2334400000.0,4104100000.0,0.0,632900000.0,859900000.0,1267500000.0,1900400000.0,2203700000.0,19600000.0,88300000.0,-18100000.0,-50900000.0,-25600000.0,-127100000.0,113.48
2014-06-30,826500000.0,426100000.0,400400000.0,262300000.0,172900000.0,106100000.0,1.83,192600000.0,172900000.0,58100000.0,115800000.0,632000000.0,467500000.0,1808800000.0,2419500000.0,4228300000.0,0.0,696700000.0,861500000.0,1258800000.0,1955500000.0,2272800000.0,19700000.0,124400000.0,-22400000.0,-119700000.0,-25600000.0,-17100000.0,118.52
2014-09-30,806300000.0,412400000.0,393900000.0,263300000.0,168300000.0,103700000.0,1.78,188000000.0,168300000.0,58100000.0,124700000.0,650600000.0,484600000.0,1860200000.0,2408300000.0,4268500000.0,0.0,733900000.0,860500000.0,1240100000.0,1974000000.0,2294500000.0,19700000.0,88000000.0,-22200000.0,-56600000.0,-25600000.0,-21500000.0,121.08
2014-12-31,857399900.0,446100000.0,411299900.0,266100000.0,187400000.0,116200000.0,2.0,207900000.0,187399900.0,58100000.0,132900000.0,625300000.0,475500000.0,1858600000.0,2451500000.0,4310100000.0,0.0,718700000.0,862700000.0,1366100000.0,2084800000.0,2225300000.0,20500000.0,102400000.0,-17100000.0,-46000000.0,-30800000.0,-46400000.0,136.74
2015-03-31,827800000.0,417700000.0,410100000.0,272200000.0,178200000.0,110500000.0,1.9,198200000.0,178200000.0,58100000.0,114400000.0,618600000.0,482300000.0,1843300000.0,2419100000.0,4262400000.0,0.0,726500000.0,864400000.0,1347600000.0,2074100000.0,2188300000.0,20000000.0,78100000.0,-18100000.0,-59500000.0,-30900000.0,-35300000.0,147.06
2015-06-30,851800000.0,432800000.0,419000000.0,268200000.0,192200000.0,120000000.0,2.07,212800000.0,192200000.0,58100000.0,124600000.0,627100000.0,499200000.0,1897900000.0,2492800000.0,4390700000.0,0.0,739800000.0,861400000.0,1334700000.0,2074500000.0,2316200000.0,20600000.0,160300000.0,-27300000.0,-85400000.0,-30800000.0,-64900000.0,159.25
2015-09-30,821500000.0,414600000.0,406900000.0,263300000.0,187100000.0,116800000.0,2.01,164900000.0,187100000.0,58100000.0,119200000.0,657300000.0,527700000.0,1952900000.0,2538500000.0,4491400000.0,0.0,785500000.0,864100000.0,1327100000.0,2112600000.0,2378800000.0,-22200000.0,113700000.0,-18400000.0,-86900000.0,-30800000.0,-30900000.0,150.94
2015-12-31,851700000.0,439400000.0,412300000.0,249999900.0,207300000.0,131400000.0,2.26,271400100.0,207300100.0,58100000.0,92800000.0,644600000.0,497800000.0,1788800000.0,2542300000.0,4331100000.0,0.0,670200000.0,861700000.0,1230200000.0,1900400000.0,2430700000.0,64100000.0,155100000.0,-13100000.0,-74600000.0,-35400000.0,-105600000.0,171.43
