,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,475137000.0,111063000.0,364074000.0,139696000.0,60981000.0,69922000.0,0.46,108045000.0,60981000.0,151477000.0,550365000.0,293084000.0,0.0,999782000.0,3020764000.0,4020546000.0,30000000.0,1022012000.0,97500000.0,396375000.0,1418387000.0,2602159000.0,47064000.0,-91438000.0,-14805000.0,-14805000.0,0.0,-36417000.0,33.44
2013-04-30,499257000.0,107733000.0,391524000.0,136184000.0,79503000.0,68691000.0,0.45,126593000.0,79503000.0,153515000.0,681018000.0,271860000.0,0.0,1106369000.0,2992519000.0,4098888000.0,30000000.0,1012922000.0,90000000.0,387034000.0,1399956000.0,2698932000.0,47090000.0,133730000.0,-14408000.0,-14186000.0,0.0,15457000.0,35.57
2013-07-31,482945000.0,115647000.0,367298000.0,139891000.0,54995000.0,52297000.0,0.34,102597000.0,54995000.0,153915000.0,892370000.0,297230000.0,0.0,1330084000.0,2958388000.0,4288472000.0,30000000.0,1171682000.0,82500000.0,380660000.0,1552342000.0,2736130000.0,47602000.0,263078000.0,-19092000.0,-19092000.0,0.0,-31270000.0,37.04
2013-10-31,504875100.0,119109000.0,385766100.0,154002000.0,51014100.0,56890000.0,0.37,96662100.0,51014100.0,153319000.0,1022441000.0,274303000.0,0.0,1447977000.0,2910958000.0,4358935000.0,30000000.0,1222919000.0,75000000.0,347739000.0,1570658000.0,2788277000.0,45648000.0,191335000.0,-18763000.0,-17996000.0,0.0,-45755000.0,36.42
2014-01-31,478951000.0,105849000.0,373102000.0,140025000.0,60156000.0,67696000.0,0.44,103870000.0,60156000.0,154066000.0,893053000.0,265916000.0,0.0,1320865000.0,2871291000.0,4192156000.0,30000000.0,1036703000.0,67500000.0,332238000.0,1368941000.0,2823215000.0,43714000.0,-73892000.0,-15255000.0,-9364000.0,0.0,-41025000.0,39.86
2014-04-30,517697000.0,114085000.0,403612000.0,155359000.0,63834100.0,63317000.0,0.41000000000000003,111705000.0,63834100.0,154572000.0,821633000.0,340847000.0,0.0,1328271000.0,3232265000.0,4560536000.0,230000000.0,1304732000.0,60000000.0,336685000.0,1641417000.0,2919119000.0,47871000.0,111803000.0,-16521000.0,-383073000.0,0.0,198401000.0,37.62
2014-07-31,521812000.0,115530000.0,406282000.0,149709000.0,67227000.0,65656000.0,0.42,116392000.0,67227000.0,155194000.0,903046000.0,257407000.0,0.0,1314783000.0,3230146000.0,4544929000.0,30000000.0,1227284000.0,52500000.0,321592000.0,1548876000.0,2996053000.0,49165000.0,340130000.0,-29121000.0,-37660000.0,0.0,-220034000.0,37.77
2014-10-31,539011900.0,121421000.0,417590900.0,163201000.0,57499700.0,62455000.0,0.4,109575700.0,57499800.0,155054000.0,985762000.0,353223000.0,0.0,1504735000.0,3270764000.0,4775499000.0,30000000.0,1386759000.0,45000000.0,332570000.0,1719329000.0,3056170000.0,52076000.0,172912000.0,-46016000.0,-67153000.0,0.0,-11031000.0,40.98
2015-01-31,542043000.0,124633000.0,417410000.0,142523000.0,71499000.0,65189000.0,0.42,122028000.0,71499000.0,154458000.0,917062000.0,311096000.0,0.0,1416273000.0,3246076000.0,4662349000.0,265000000.0,1343104000.0,37500000.0,382224000.0,1725328000.0,2937021000.0,50529000.0,-87343000.0,-20516000.0,-140931000.0,0.0,57805000.0,42.99
2015-04-30,557204000.0,124972000.0,432232000.0,161554000.0,75926900.0,55596000.0,0.36,127448900.0,75926900.0,154515000.0,1005424000.0,371411000.0,0.0,1544975000.0,3211192000.0,4756167000.0,190000000.0,1325038000.0,30000000.0,366131000.0,1691169000.0,3064998000.0,51522000.0,155079000.0,-25328000.0,-43339000.0,0.0,-39339000.0,46.88
