,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2650000000.0,1114000000.0,1536000000.0,878000000.0,363000000.0,178000000.0,0.73,658000000.0,363000000.0,243294000.0,1528000000.0,1638000000.0,270000000.0,4123000000.0,33150000000.0,37273000000.0,2143000000.0,5189000000.0,10680000000.0,20823000000.0,26012000000.0,11261000000.0,295000000.0,835000000.0,-531000000.0,-162000000.0,-145000000.0,320000000.0,79.94
2013-06-30,2651000000.0,936000000.0,1715000000.0,870000000.0,398000000.0,245000000.0,1.0,645000000.0,398000000.0,243603000.0,1043000000.0,1454000000.0,357000000.0,3661000000.0,33359000000.0,37020000000.0,2050000000.0,4725000000.0,10530000000.0,20747000000.0,25472000000.0,11548000000.0,247000000.0,270000000.0,-599000000.0,-465000000.0,-154000000.0,-316000000.0,81.76
2013-09-30,2551000000.0,918000000.0,1633000000.0,841000000.0,506000000.0,296000000.0,1.21,792000000.0,506000000.0,244140000.0,1089000000.0,1308000000.0,463000000.0,3712000000.0,33189000000.0,36901000000.0,1963000000.0,4530000000.0,10478000000.0,20617000000.0,25147000000.0,11754000000.0,286000000.0,225000000.0,-655000000.0,-274000000.0,-153000000.0,153000000.0,85.6
2013-12-31,2705000000.0,1045000000.0,1660000000.0,958000000.0,531000000.0,282000000.0,1.15,816000000.0,531000000.0,243863000.0,928000000.0,1611000000.0,287000000.0,3997000000.0,33247000000.0,37244000000.0,1692000000.0,4369000000.0,11253000000.0,21025000000.0,25394000000.0,11850000000.0,285000000.0,454000000.0,-217000000.0,-788000000.0,-154000000.0,181000000.0,89.76
2014-03-31,2795000000.0,1268000000.0,1527000000.0,819000000.0,435000000.0,247000000.0,1.01,721000000.0,435000000.0,245277000.0,870000000.0,1495000000.0,197000000.0,4224000000.0,33260000000.0,37484000000.0,1181000000.0,3875000000.0,11700000000.0,21720000000.0,25595000000.0,11889000000.0,286000000.0,904000000.0,-801000000.0,-770000000.0,-154000000.0,-193000000.0,96.76
2014-06-30,2678000000.0,1092000000.0,1586000000.0,863000000.0,435000000.0,269000000.0,1.1,723000000.0,435000000.0,245688000.0,809000000.0,1365000000.0,267000000.0,4195000000.0,34112000000.0,38307000000.0,1433000000.0,3882000000.0,12323000000.0,22374000000.0,26256000000.0,12051000000.0,288000000.0,130000000.0,-712000000.0,-851000000.0,-147000000.0,665000000.0,104.71
2014-09-30,2815000000.0,1178000000.0,1637000000.0,830000000.0,515000000.0,348000000.0,1.4100000000000001,807000000.0,515000000.0,246137000.0,689000000.0,1358000000.0,472000000.0,4414000000.0,34568000000.0,38982000000.0,1497000000.0,4292000000.0,12437000000.0,22533000000.0,26825000000.0,12157000000.0,292000000.0,627000000.0,-807000000.0,-845000000.0,-149000000.0,100000000.0,105.38
2014-12-31,2747000000.0,1053000000.0,1694000000.0,994000000.0,453000000.0,297000000.0,1.21,743000000.0,453000000.0,245891000.0,581000000.0,1477000000.0,396000000.0,4184000000.0,35467000000.0,39651000000.0,2202000000.0,5069000000.0,12086000000.0,22482000000.0,27551000000.0,12100000000.0,290000000.0,500000000.0,-654000000.0,-876000000.0,-148000000.0,282000000.0,111.36
2015-03-31,2682000000.0,925000000.0,1757000000.0,800000000.0,675000000.0,437000000.0,1.76,978000000.0,675000000.0,247722000.0,387000000.0,1314000000.0,255000000.0,3656000000.0,35895000000.0,39551000000.0,1272000000.0,3770000000.0,13012000000.0,23500000000.0,27270000000.0,12281000000.0,303000000.0,811000000.0,-780000000.0,-770000000.0,-149000000.0,-231000000.0,109.02
2015-06-30,2367000000.0,852000000.0,1515000000.0,809000000.0,461000000.0,295000000.0,1.19,768000000.0,461000000.0,248108000.0,644000000.0,1258000000.0,266000000.0,3506000000.0,36500000000.0,40006000000.0,2011000000.0,4399000000.0,12626000000.0,23132000000.0,27531000000.0,12475000000.0,307000000.0,408000000.0,-339000000.0,-431000000.0,-159000000.0,281000000.0,98.94
