,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,428215900.0,250447900.0,177768000.0,100927000.0,65110000.0,41381000.0,0.71,85637000.0,65110000.0,58305000.0,142008000.0,275937000.0,144443000.0,613940000.0,1147169000.0,1761109000.0,0.0,218837000.0,492290000.0,595292000.0,814129000.0,946980000.0,20527000.0,46879000.0,-23529000.0,-23790000.0,-11150000.0,-31803000.0,41.61
2013-06-30,367652000.0,220806000.0,146846000.0,93929000.0,41012000.0,32317000.0,0.55,59345000.0,41012000.0,59005000.0,165838000.0,262846000.0,155148000.0,628068000.0,1146092000.0,1774160000.0,0.0,196910000.0,513700000.0,605984000.0,802894000.0,971266000.0,18333000.0,32697000.0,-21733000.0,-21848000.0,-11244000.0,14548000.0,42.88
2013-09-30,383762000.0,229256000.0,154506000.0,90661000.0,50300000.0,29743000.0,0.5,68082000.0,50300000.0,59027000.0,163794000.0,260379000.0,155661000.0,630698000.0,1157804000.0,1788502000.0,0.0,197483000.0,508520000.0,599738000.0,797221000.0,991281000.0,17782000.0,47348000.0,-25369000.0,-25369000.0,-12400000.0,-30037000.0,42.96
2013-12-31,405551000.0,241776000.0,163775000.0,95497000.0,55890000.0,28506000.0,0.48,75464000.0,55890000.0,58885000.0,157337000.0,267721000.0,159899000.0,620913000.0,1156893000.0,1777806000.0,0.0,201385000.0,474740000.0,566676000.0,768061000.0,1009745000.0,19574000.0,62128000.0,-12937000.0,-21265000.0,-12365000.0,-47608000.0,48.05
2014-03-31,465287000.0,280792000.0,184494900.0,100883000.0,59605100.0,38876000.0,0.65,79565100.0,59605000.0,58966000.0,152802000.0,313686000.0,155146000.0,674745000.0,1212417000.0,1887162000.0,0.0,254506000.0,493480000.0,591410000.0,845916000.0,1041246000.0,19960000.0,67458000.0,-21554000.0,-80170000.0,-12376000.0,8891000.0,47.75
2014-06-30,412643000.0,242550000.0,170093000.0,113688000.0,44168000.0,24537000.0,0.41000000000000003,64573000.0,44168000.0,59169000.0,157936000.0,284194000.0,179593000.0,676897000.0,1375569000.0,2052466000.0,0.0,231350000.0,658740000.0,755111900.0,986462000.0,1066004000.0,20405000.0,46353000.0,-23260000.0,-202272000.0,-12459000.0,158467000.0,53.48
2014-09-30,462729000.0,268737000.0,193992000.0,126292000.0,53423000.0,31004000.0,0.52,80853000.0,53423000.0,59375000.0,147413000.0,288587000.0,184447000.0,673535000.0,1353872000.0,2027407000.0,0.0,244880000.0,619950000.0,714667000.0,959547000.0,1067860000.0,27430000.0,58555000.0,-12471000.0,-12839000.0,-13659000.0,-50364000.0,53.96
2014-12-31,473244000.0,276088000.0,197156000.0,122370000.0,61346000.0,38124000.0,0.64,82951000.0,61346000.0,59475000.0,144512000.0,297015000.0,183456000.0,671551000.0,1356257000.0,2027808000.0,0.0,244441000.0,610680000.0,707269000.0,951710000.0,1076098000.0,21605000.0,60302000.0,-20214000.0,-28207000.0,-13672000.0,-30025000.0,64.85
2015-03-31,501646900.0,288587000.0,213059900.0,130992000.0,68273900.0,41399000.0,0.6900000000000001,90374900.0,68273800.0,59413000.0,167689000.0,325289000.0,160818000.0,720432000.0,1376859000.0,2097291000.0,0.0,283331000.0,621075000.0,740314000.0,1023645000.0,1073646000.0,22101000.0,80830000.0,-28481000.0,-40451000.0,-13723000.0,-8328000.0,70.27
2015-06-30,439902000.0,255812000.0,184090000.0,126835000.0,44216000.0,24291000.0,0.41000000000000003,66569000.0,44216000.0,59768000.0,196193000.0,291392000.0,183753000.0,737743000.0,1443691000.0,2181434000.0,0.0,264463000.0,686166000.0,817370100.0,1081833000.0,1099601000.0,22353000.0,41153000.0,-23490000.0,-67800000.0,-13758000.0,50232000.0,64.44
