,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1795696000.0,1619432000.0,176264000.0,65262000.0,96232200.0,48215000.0,0.22,153293200.0,96232200.0,219995000.0,477861000.0,753301000.0,1170159000.0,2448941000.0,3507633000.0,5956574000.0,231582000.0,814687000.0,2069214000.0,2735297000.0,3549984000.0,2406590000.0,57061000.0,29710000.0,-45346000.0,-11412000.0,-21952000.0,83646000.0,15.88
2013-06-30,1801340000.0,1653648000.0,147692000.0,65356000.0,69198000.0,28958000.0,0.13,126024000.0,69198000.0,220471000.0,243753000.0,773127000.0,1168499000.0,2242089000.0,3493821000.0,5735910000.0,324241000.0,869849000.0,1774243000.0,2455324000.0,3325173000.0,2410737000.0,56826000.0,32715000.0,-49236000.0,-48373000.0,-24238000.0,-218450000.0,14.91
2013-09-30,1911738000.0,1714546000.0,197192000.0,67553000.0,113273100.0,57486000.0,0.26,171475100.0,113273100.0,220926000.0,370056000.0,772873000.0,1192032000.0,2385315000.0,3488990000.0,5874305000.0,335341000.0,954202000.0,1773619000.0,2472369000.0,3426571000.0,2447734000.0,58202000.0,183266000.0,-52162000.0,-51318000.0,-24274000.0,-5645000.0,16.72
2013-12-31,1864150000.0,1666154000.0,197995700.0,74606000.0,107822000.0,54655000.0,0.25,166661000.0,107822100.0,220916000.0,395156000.0,720600000.0,1314747000.0,2473634000.0,3459372000.0,5933006000.0,341544000.0,975178000.0,1766045000.0,2461973000.0,3437151000.0,2495855000.0,58839000.0,66484000.0,-40099000.0,-41742000.0,-24348000.0,358000.0,19.54
2014-03-31,1830082000.0,1666778000.0,163304100.0,70042000.0,80932000.0,38579000.0,0.17,138500000.0,80932000.0,223011000.0,342919000.0,811100000.0,1332101000.0,2528354000.0,3385503000.0,5913857000.0,343722000.0,951431000.0,1755028000.0,2449930000.0,3401361000.0,2512496000.0,57568000.0,-27247000.0,-24841000.0,4043000.0,-24515000.0,-29033000.0,17.79
2014-06-30,2069761000.0,1846990000.0,222771000.0,73463000.0,131905000.0,72303000.0,0.32,190346000.0,131905000.0,226220000.0,357490000.0,910796000.0,1320871000.0,2630186000.0,3355016000.0,5985202000.0,61761000.0,713223000.0,1742128000.0,2436949000.0,3150172000.0,2835030000.0,58441000.0,76014000.0,-33534000.0,-31220000.0,-25666000.0,-30223000.0,17.95
2014-09-30,2339016000.0,2050504000.0,288512200.0,80240000.0,188643300.0,91173000.0,0.38,254600300.0,188643300.0,240087000.0,159591000.0,1058668000.0,1664212000.0,2930136000.0,4648147000.0,7578283000.0,131858000.0,1041540000.0,2929994000.0,3625094000.0,4666634000.0,2911649000.0,65957000.0,249224000.0,-24531000.0,-1669035000.0,-27556000.0,1221912000.0,22.61
2014-12-31,2517093000.0,2225469000.0,291623500.0,93530000.0,-81161100.0,-45031000.0,-0.19,197900.0,-81161000.0,232547000.0,361363000.0,902825000.0,1618419000.0,2938262000.0,4294897000.0,7233159000.0,46460000.0,850582000.0,2935389000.0,3587050000.0,4437632000.0,2795527000.0,81359000.0,330233000.0,-28879000.0,-51055000.0,-27642000.0,-77406000.0,19.74
2015-03-31,2047435000.0,1860393000.0,187042100.0,76350000.0,99771100.0,30761000.0,0.13,172593100.0,99771100.0,241535000.0,160982000.0,769741000.0,1453242000.0,2452225000.0,4283613000.0,6735838000.0,30727000.0,618334000.0,2623444000.0,3320751000.0,3939085000.0,2796753000.0,72822000.0,234707000.0,-33351000.0,-31688000.0,-27766000.0,-403400000.0,20.1
2015-06-30,2005007000.0,1833264000.0,171742900.0,82660000.0,77558800.0,31550000.0,0.13,151831800.0,77558800.0,241900000.0,419401000.0,816522000.0,1292069000.0,2591392000.0,4235371000.0,6826763000.0,35075000.0,698588000.0,2619574000.0,3329447000.0,4028035000.0,2798728000.0,74273000.0,309212000.0,-22821000.0,-22015000.0,-33233000.0,-28778000.0,20.72
2015-09-30,1950923000.0,1722197000.0,228726000.0,82648000.0,131028900.0,60617000.0,0.25,205239900.0,131028900.0,242074000.0,473790000.0,799025000.0,1321397000.0,2651795000.0,4190746000.0,6842541000.0,31584000.0,677858000.0,2615819000.0,3335238000.0,4013096000.0,2829445000.0,74211000.0,164378000.0,-30286000.0,-71571000.0,-33282000.0,-38418000.0,17.18
2015-12-31,1591046000.0,1446839000.0,144207400.0,87100000.0,-381142200.0,-253239000.0,-1.04,-307853200.0,-381142600.0,242017000.0,727032000.0,613605000.0,1149390000.0,2537941000.0,3664141000.0,6202082000.0,16680000.0,535290000.0,2577976000.0,3121681000.0,3656971000.0,2545111000.0,73289000.0,345328000.0,-28043000.0,-17353000.0,-33288000.0,-74733000.0,17.87
2016-03-31,1741301000.0,1505265000.0,236036000.0,87530000.0,131965000.0,62737000.0,0.26,205950000.0,131965000.0,243202000.0,976951000.0,689201000.0,1066823000.0,2774233000.0,3617409000.0,6391642000.0,22770000.0,673046000.0,2575528000.0,3137430000.0,3810476000.0,2581166000.0,73985000.0,291028000.0,-27708000.0,-24654000.0,-33425000.0,-16455000.0,22.51
2016-06-30,2023902000.0,1643519000.0,380382900.0,96853000.0,256121800.0,141969000.0,0.58,330916800.0,256121800.0,243655000.0,1052666000.0,794003000.0,1175716000.0,3050457000.0,3579219000.0,6629676000.0,18047000.0,779224000.0,2573186000.0,3152186000.0,3931410000.0,2698266000.0,74795000.0,157972000.0,-35686000.0,-34480000.0,-34090000.0,-47777000.0,24.5
2016-09-30,2101310000.0,1692807000.0,408503100.0,95185000.0,283855100.0,157397000.0,0.65,358045100.0,283855100.0,243761000.0,1051489000.0,779459000.0,1275575000.0,3136644000.0,3650918000.0,6787562000.0,16155000.0,794113000.0,2570837000.0,3168087000.0,3962200000.0,2825362000.0,74190000.0,196362000.0,-59774000.0,-167332000.0,-34124000.0,-30207000.0,24.99
2016-12-31,1910596000.0,1600654000.0,309942000.0,94441000.0,56024300.0,20012000.0,0.08,129163300.0,56023900.0,243576000.0,841483000.0,729784000.0,1275211000.0,2929675000.0,3494057000.0,6423732000.0,3632000.0,712815000.0,2353194000.0,2933458000.0,3646273000.0,2777459000.0,73139000.0,207398000.0,-74992000.0,-86427000.0,-34128000.0,-330986000.0,35.58
2017-03-31,2368216000.0,1896062000.0,472154100.0,102933000.0,334566200.0,200817000.0,0.8300000000000001,409623200.0,334566200.0,242943000.0,966826000.0,883147000.0,1361550000.0,3244965000.0,3459070000.0,6704035000.0,2965000.0,881447000.0,2353744000.0,2939121000.0,3820568000.0,2883467000.0,75057000.0,240430000.0,-41677000.0,-14759000.0,-34130000.0,-100347000.0,34.76
2017-06-30,2390720000.0,1998202000.0,392517900.0,98433000.0,265352800.0,153933000.0,0.64,339153800.0,265352800.0,241343000.0,908843000.0,886894000.0,1418732000.0,3251657000.0,3418473000.0,6670130000.0,19971000.0,795892000.0,2354337000.0,2945997000.0,3741889000.0,2928241000.0,73801000.0,81010000.0,-43274000.0,-40887000.0,-37527000.0,-98104000.0,35.81
2017-09-30,2443382000.0,2046864000.0,396518100.0,97056000.0,271015100.0,153258000.0,0.64,346225100.0,271015100.0,239066000.0,1101964000.0,923017000.0,1487516000.0,3572145000.0,3388592000.0,6960737000.0,182661000.0,1066529000.0,2351483000.0,2944427000.0,4010956000.0,2949781000.0,75210000.0,225854000.0,-42795000.0,-47232000.0,-37180000.0,14205000.0,34.47
2017-12-31,2336479000.0,2015655000.0,320824500.0,96209000.0,195947500.0,304733000.0,1.28,270878500.0,195946800.0,240132000.0,1028649000.0,868837000.0,1519347000.0,3508342000.0,3347390000.0,6855732000.0,28795000.0,868519000.0,2353145000.0,2792145000.0,3660664000.0,3195068000.0,74931000.0,192126000.0,-37189000.0,-36227000.0,-36728000.0,-229089000.0,43.13
2018-03-31,2603875000.0,2140459000.0,463416000.0,106431000.0,323397000.0,227551000.0,0.96,399532000.0,323397000.0,236623000.0,1025824000.0,987655000.0,1600058000.0,3652242000.0,3320571000.0,6972813000.0,9646000.0,860740000.0,2353703000.0,2799936000.0,3660676000.0,3312137000.0,76135000.0,177935000.0,-50606000.0,-90377000.0,-36797000.0,-131222000.0,44.22
2018-06-30,3090525000.0,2438443000.0,652081800.0,101031000.0,501886700.0,362449000.0,1.54,581006700.0,501886700.0,235617000.0,810445000.0,1180183000.0,1787109000.0,3817664000.0,3686857000.0,7504521000.0,18266000.0,1058586000.0,2352127000.0,2857416000.0,3916002000.0,3588519000.0,79120000.0,326033000.0,-55203000.0,-500955000.0,-44268000.0,-90075000.0,45.95
2018-09-30,3223547000.0,2537466000.0,686081100.0,102614000.0,531572000.0,398375000.0,1.7000000000000002,612955000.0,531572000.0,234208000.0,999315000.0,1228190000.0,1853862000.0,4131477000.0,3666891000.0,7798368000.0,14776000.0,1049665000.0,2351979000.0,2873866000.0,3923531000.0,3874837000.0,81383000.0,420440000.0,-70668000.0,-132681000.0,-44081000.0,-124044000.0,45.19
2018-12-31,2903892000.0,2382657000.0,521234900.0,106564000.0,365552700.0,270004000.0,1.18,446112700.0,365552500.0,233923000.0,1057003000.0,1043756000.0,1859168000.0,4032657000.0,3670906000.0,7703563000.0,24234000.0,1019137000.0,2352489000.0,2908437000.0,3927574000.0,3775989000.0,80560000.0,491061000.0,-62913000.0,-171251000.0,-43767000.0,-375526000.0,30.04
2019-03-31,2817435000.0,2383865000.0,433570100.0,111038000.0,291842000.0,204328000.0,0.91,372016100.0,291842000.0,224058000.0,965167000.0,1143395000.0,1867700000.0,4028890000.0,3828343000.0,7857233000.0,80958000.0,1003090000.0,2354427000.0,3004615000.0,4007705000.0,3849528000.0,80174000.0,181553000.0,-54436000.0,-92424000.0,-42239000.0,-126304000.0,35.27
2019-06-30,2770515000.0,2349349000.0,421165800.0,106250000.0,285031700.0,194302000.0,0.88,365942700.0,285031700.0,221505000.0,1086715000.0,1072879000.0,1802759000.0,4023601000.0,3834313000.0,7857914000.0,72131000.0,925736000.0,2355917000.0,3023827000.0,3949563000.0,3908351000.0,80911000.0,361473000.0,-85120000.0,-24638000.0,-53503000.0,-155304000.0,30.2
2019-09-30,2526845000.0,2167006000.0,359838900.0,107242000.0,228044900.0,151048000.0,0.6900000000000001,307514900.0,228044900.0,217873000.0,1215536000.0,986946000.0,1767020000.0,4020320000.0,3922927000.0,7943247000.0,82150000.0,1005275000.0,2355243000.0,3037231000.0,4042506000.0,3900741000.0,79470000.0,444202000.0,-154131000.0,-110455000.0,-52751000.0,-160986000.0,29.8
2019-12-31,2350197000.0,2033787000.0,316409900.0,111968000.0,181961700.0,121425000.0,0.56,262488700.0,181961200.0,219639000.0,1643634000.0,844336000.0,1689043000.0,4253025000.0,4022740000.0,8275765000.0,89356000.0,1006698000.0,2644988000.0,3347826000.0,4354524000.0,3921241000.0,80527000.0,409062000.0,-158258000.0,-349169000.0,-51778000.0,175964000.0,34.04
2020-03-31,2575100000.0,2159871000.0,415229000.0,112898000.0,273686000.0,187340000.0,0.88,353945000.0,273686000.0,213254000.0,1454671000.0,998408000.0,1644538000.0,4142968000.0,4201955000.0,8344923000.0,70106000.0,1031720000.0,2646012000.0,3358278000.0,4389998000.0,3954925000.0,80259000.0,211281000.0,-217535000.0,-174036000.0,-51481000.0,-183658000.0,22.54
2020-06-30,2094305000.0,1809874000.0,284430900.0,109299000.0,158850000.0,75496000.0,0.36,237571000.0,158850000.0,210343000.0,1566004000.0,844056000.0,1567017000.0,4016120000.0,4452221000.0,8468341000.0,73926000.0,1115426000.0,2636722000.0,3365407000.0,4480833000.0,3987508000.0,78721000.0,486010000.0,-309716000.0,-159265000.0,-52584000.0,-65387000.0,26.09
