,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2546000000.0,111000000.0,2435000000.0,1759000000.0,623000000.0,455000000.0,1.0,454315000.0,53289000000.0,69355000000.0,148834000000.0,218189000000.0,0.0,189880000000.0,7440000000.0,7440000000.0,197320000000.0,20869000000.0,160000000.0,382000000.0,-119000000.0,8116000000.0,-110000000.0,-6380000000.0,59.09
2013-06-30,2664000000.0,104000000.0,2560000000.0,1714000000.0,792000000.0,571000000.0,1.26,452176000.0,56484000000.0,74948000000.0,152352000000.0,227300000000.0,0.0,198378000000.0,8841000000.0,8841000000.0,207219000000.0,20081000000.0,140000000.0,-2143000000.0,-109000000.0,-5701000000.0,-132000000.0,8615000000.0,65.21
2013-09-30,2522000000.0,97000000.0,2425000000.0,1639000000.0,733000000.0,531000000.0,1.2,442860000.0,49275000000.0,66925000000.0,150255000000.0,217180000000.0,0.0,188002000000.0,8748000000.0,8748000000.0,196750000000.0,20430000000.0,184000000.0,1186000000.0,-31000000.0,9015000000.0,-123000000.0,-11784000000.0,65.75
2013-12-31,2543000000.0,99000000.0,2444000000.0,1762000000.0,628000000.0,459000000.0,1.25,446245000.0,74550000000.0,90131000000.0,153160000000.0,243291000000.0,0.0,213214000000.0,9699000000.0,9699000000.0,222913000000.0,20378000000.0,191000000.0,-1449000000.0,-129000000.0,-25515000000.0,-121000000.0,26288000000.0,73.39
2014-03-31,2585000000.0,100000000.0,2485000000.0,1943000000.0,488000000.0,356000000.0,0.8300000000000001,430621000.0,86649000000.0,104930000000.0,151733000000.0,256663000000.0,0.0,225887000000.0,9503000000.0,9503000000.0,235390000000.0,21273000000.0,153000000.0,1906000000.0,-110000000.0,-14514000000.0,-120000000.0,13265000000.0,69.55
2014-06-30,2687000000.0,89000000.0,2598000000.0,1770000000.0,774000000.0,602000000.0,1.4100000000000001,427824000.0,109255000000.0,128243000000.0,154081000000.0,282324000000.0,0.0,251587000000.0,9037000000.0,9037000000.0,260624000000.0,21700000000.0,183000000.0,-1506000000.0,-124000000.0,-19964000000.0,-131000000.0,23840000000.0,67.26
2014-09-30,2683000000.0,101000000.0,2582000000.0,1820000000.0,708000000.0,542000000.0,1.28,421974000.0,94728000000.0,115410000000.0,159395000000.0,274805000000.0,0.0,244633000000.0,9016000000.0,9016000000.0,253649000000.0,21156000000.0,177000000.0,-1364000000.0,-64000000.0,10571000000.0,-145000000.0,-11308000000.0,73.61
2014-12-31,2711000000.0,102000000.0,2609000000.0,1949000000.0,600000000.0,458000000.0,1.26,424223000.0,98692000000.0,119095000000.0,155024000000.0,274119000000.0,0.0,242749000000.0,10042000000.0,10042000000.0,252791000000.0,21328000000.0,186000000.0,403000000.0,-129000000.0,-4585000000.0,-143000000.0,1891000000.0,78.5
2015-03-31,2696000000.0,96000000.0,2600000000.0,2045000000.0,505000000.0,373000000.0,0.91,412225000.0,99023000000.0,119582000000.0,159894000000.0,279476000000.0,0.0,249483000000.0,9174000000.0,9174000000.0,258657000000.0,20819000000.0,186000000.0,397000000.0,-96000000.0,-991000000.0,-156000000.0,1888000000.0,73.53
2015-06-30,2702000000.0,94000000.0,2608000000.0,2084000000.0,475000000.0,389000000.0,0.96,410674000.0,125632000000.0,146564000000.0,148007000000.0,294571000000.0,0.0,263986000000.0,9085000000.0,9085000000.0,273071000000.0,21500000000.0,198000000.0,-4924000000.0,-205000000.0,-15846000000.0,-152000000.0,20705000000.0,77.0
2015-09-30,2715000000.0,101000000.0,2614000000.0,1909000000.0,657000000.0,539000000.0,1.34,406612000.0,82399000000.0,103689000000.0,143585000000.0,247274000000.0,0.0,213717000000.0,12025000000.0,12025000000.0,225742000000.0,21532000000.0,207000000.0,-255000000.0,-242000000.0,46630000000.0,-181000000.0,-45799000000.0,67.21
2015-12-31,2647000000.0,109000000.0,2538000000.0,1802000000.0,686000000.0,547000000.0,1.3599999999999999,407856000.0,80798000000.0,101897000000.0,143258000000.0,245155000000.0,0.0,212523000000.0,11497000000.0,11497000000.0,224020000000.0,21135000000.0,210000000.0,3379000000.0,-160000000.0,-4798000000.0,-166000000.0,-1034000000.0,66.36
2016-03-31,2601000000.0,117000000.0,2484000000.0,1901000000.0,534000000.0,319000000.0,0.8,399421000.0,73362000000.0,94873000000.0,148812000000.0,243685000000.0,0.0,211834000000.0,10323000000.0,10323000000.0,222157000000.0,21528000000.0,232000000.0,2852000000.0,-168000000.0,8027000000.0,-184000000.0,-8351000000.0,58.52
2016-06-30,2672000000.0,99000000.0,2573000000.0,1795000000.0,729000000.0,585000000.0,1.48,394160000.0,82742000000.0,104929000000.0,150457000000.0,255386000000.0,0.0,221358000000.0,11924000000.0,11924000000.0,233282000000.0,22104000000.0,228000000.0,2160000000.0,-160000000.0,-10313000000.0,-169000000.0,9091000000.0,53.92
2016-09-30,2730000000.0,110000000.0,2620000000.0,1887000000.0,678000000.0,507000000.0,1.31,388358000.0,86085000000.0,110130000000.0,146010000000.0,256140000000.0,0.0,222125000000.0,11834000000.0,11834000000.0,233959000000.0,22181000000.0,210000000.0,-2736000000.0,-149000000.0,-3266000000.0,-188000000.0,4819000000.0,69.63
2016-12-31,2632000000.0,102000000.0,2530000000.0,2088000000.0,388000000.0,557000000.0,1.45,391485000.0,75229000000.0,97577000000.0,145121000000.0,242698000000.0,0.0,210049000000.0,11430000000.0,11430000000.0,221479000000.0,21219000000.0,259000000.0,14000000.0,-136000000.0,9782000000.0,-182000000.0,-11972000000.0,77.72
2017-03-31,2808000000.0,140000000.0,2668000000.0,2003000000.0,613000000.0,446000000.0,1.15,381224000.0,72824000000.0,98000000000.0,138802000000.0,236802000000.0,0.0,204114000000.0,11394000000.0,11394000000.0,215508000000.0,21294000000.0,264000000.0,3509000000.0,-164000000.0,3210000000.0,-201000000.0,-5124000000.0,79.61
2017-06-30,2935000000.0,125000000.0,2810000000.0,1909000000.0,847000000.0,584000000.0,1.53,375395000.0,70841000000.0,97953000000.0,140321000000.0,238274000000.0,0.0,204469000000.0,11737000000.0,11737000000.0,216206000000.0,22068000000.0,257000000.0,490000000.0,-161000000.0,1806000000.0,-178000000.0,-2049000000.0,89.73
2017-09-30,3004000000.0,158000000.0,2846000000.0,1937000000.0,855000000.0,629000000.0,1.69,372765000.0,69495000000.0,96119000000.0,139867000000.0,235986000000.0,0.0,201773000000.0,11716000000.0,11716000000.0,213489000000.0,22497000000.0,275000000.0,-2142000000.0,-160000000.0,5863000000.0,-198000000.0,-2938000000.0,95.54
2017-12-31,3123000000.0,181000000.0,2942000000.0,1942000000.0,946000000.0,313000000.0,0.9,374793000.0,73668000000.0,100007000000.0,138418000000.0,238425000000.0,0.0,204488000000.0,11620000000.0,11620000000.0,216108000000.0,22317000000.0,289000000.0,5083000000.0,-152000000.0,-10831000000.0,-191000000.0,3923000000.0,97.61
2018-03-31,3270000000.0,214000000.0,3056000000.0,2218000000.0,788000000.0,603000000.0,1.65,367439000.0,88278000000.0,120989000000.0,129297000000.0,250286000000.0,0.0,216943000000.0,10944000000.0,10944000000.0,227887000000.0,22399000000.0,298000000.0,4836000000.0,-147000000.0,-8973000000.0,-210000000.0,4576000000.0,99.73
