,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3526000000.0,2578000000.0,948000000.0,168000000.0,465000000.0,416000000.0,1.16,686000000.0,465000000.0,358000000.0,2010000000.0,1562000000.0,833000000.0,4987000000.0,3756000000.0,8743000000.0,4000000.0,2601000000.0,2474000000.0,2830000000.0,5431000000.0,3312000000.0,221000000.0,683000000.0,-206000000.0,-228000000.0,-4000000.0,-404000000.0,36.56
2013-06-30,3425000000.0,2486000000.0,939000000.0,178000000.0,447000000.0,348000000.0,0.97,669000000.0,447000000.0,370000000.0,2289000000.0,1670000000.0,854000000.0,5412000000.0,3831000000.0,9243000000.0,3000000.0,2611000000.0,2774000000.0,3126000000.0,5737000000.0,3506000000.0,222000000.0,388000000.0,-128000000.0,-144000000.0,-137000000.0,31000000.0,44.83
2013-09-30,3489000000.0,2514000000.0,975000000.0,181000000.0,478000000.0,427000000.0,1.2,706000000.0,478000000.0,357000000.0,2521000000.0,1618000000.0,871000000.0,5625000000.0,3720000000.0,9345000000.0,1000000.0,2514000000.0,2772000000.0,3142000000.0,5656000000.0,3689000000.0,228000000.0,682000000.0,-161000000.0,-186000000.0,-135000000.0,-282000000.0,43.76
2013-12-31,3528000000.0,2541000000.0,987000000.0,190000000.0,444000000.0,428000000.0,1.27,673000000.0,444000000.0,336000000.0,2343000000.0,1615000000.0,948000000.0,5289000000.0,3601000000.0,8890000000.0,0.0,2457000000.0,3572000000.0,3938000000.0,6395000000.0,2495000000.0,229000000.0,856000000.0,-143000000.0,363000000.0,-142000000.0,-850000000.0,56.16
2014-03-31,3406000000.0,2447000000.0,959000000.0,190000000.0,444000000.0,395000000.0,1.21,655000000.0,444000000.0,327000000.0,2310000000.0,1633000000.0,846000000.0,5151000000.0,3508000000.0,8659000000.0,0.0,2162000000.0,3514000000.0,3859000000.0,6021000000.0,2638000000.0,211000000.0,443000000.0,-124000000.0,-125000000.0,-140000000.0,-351000000.0,56.16
2014-06-30,3301000000.0,2376000000.0,925000000.0,161000000.0,410000000.0,320000000.0,0.98,621000000.0,410000000.0,337000000.0,2658000000.0,1729000000.0,985000000.0,5777000000.0,3715000000.0,9492000000.0,0.0,2398000000.0,3920000000.0,4262000000.0,6660000000.0,2832000000.0,211000000.0,577000000.0,-128000000.0,-374000000.0,-140000000.0,172000000.0,56.82
2014-09-30,3785000000.0,2734000000.0,1051000000.0,216000000.0,456000000.0,381000000.0,1.17,674000000.0,456000000.0,327000000.0,2205000000.0,1909000000.0,1071000000.0,5583000000.0,4182000000.0,9765000000.0,0.0,2596000000.0,3809000000.0,4223000000.0,6819000000.0,2946000000.0,218000000.0,602000000.0,-172000000.0,-619000000.0,-140000000.0,-420000000.0,57.27
2014-12-31,3696000000.0,2669000000.0,1027000000.0,218000000.0,1053000000.0,933000000.0,2.84,1261000000.0,1053000000.0,328000000.0,3306000000.0,1829000000.0,1129000000.0,6632000000.0,4182000000.0,10814000000.0,0.0,2819000000.0,3932000000.0,4280000000.0,7099000000.0,3715000000.0,208000000.0,1443000000.0,-215000000.0,-234000000.0,-177000000.0,-98000000.0,66.5
2015-03-31,3330000000.0,2375000000.0,955000000.0,219000000.0,343000000.0,291000000.0,0.9,546000000.0,343000000.0,323000000.0,2614000000.0,1769000000.0,1083000000.0,5831000000.0,4205000000.0,10036000000.0,474000000.0,3043000000.0,3457000000.0,3802000000.0,6845000000.0,3191000000.0,203000000.0,374000000.0,-159000000.0,-215000000.0,-176000000.0,-841000000.0,52.03
2015-06-30,2928000000.0,2152000000.0,776000000.0,204000000.0,206000000.0,137000000.0,0.44,418000000.0,206000000.0,324000000.0,2485000000.0,1735000000.0,993000000.0,5568000000.0,4277000000.0,9845000000.0,0.0,2343000000.0,4155000000.0,4484000000.0,6827000000.0,3018000000.0,212000000.0,231000000.0,-201000000.0,-219000000.0,-171000000.0,-136000000.0,47.5
2015-09-30,2925000000.0,2236000000.0,689000000.0,182000000.0,86000000.0,34000000.0,0.11,294000000.0,86000000.0,302000000.0,1921000000.0,1522000000.0,1098000000.0,4882000000.0,4197000000.0,9079000000.0,0.0,2718000000.0,4140000000.0,4439000000.0,7157000000.0,1922000000.0,208000000.0,824000000.0,-209000000.0,-209000000.0,-163000000.0,-1178000000.0,44.8
2015-12-31,2986000000.0,2245000000.0,741000000.0,160000000.0,229000000.0,165000000.0,0.55,438000000.0,229000000.0,299000000.0,1264000000.0,1398000000.0,1046000000.0,3931000000.0,4865000000.0,8796000000.0,0.0,2539000000.0,4140000000.0,4436000000.0,6975000000.0,1821000000.0,209000000.0,382000000.0,-137000000.0,-771000000.0,-188000000.0,-266000000.0,36.66
2016-03-31,2595000000.0,2071000000.0,524000000.0,150000000.0,27000000.0,-21000000.0,-0.07,225000000.0,27000000.0,298000000.0,1199000000.0,1250000000.0,928000000.0,3600000000.0,4774000000.0,8374000000.0,0.0,2259000000.0,4130000000.0,4432000000.0,6691000000.0,1683000000.0,198000000.0,205000000.0,-95000000.0,-85000000.0,-188000000.0,-188000000.0,34.45
2016-06-30,2654000000.0,1993000000.0,661000000.0,143000000.0,103000000.0,70000000.0,0.23,329000000.0,103000000.0,299000000.0,1131000000.0,1318000000.0,868000000.0,3533000000.0,4680000000.0,8213000000.0,0.0,2249000000.0,4091000000.0,4371000000.0,6620000000.0,1593000000.0,226000000.0,269000000.0,-146000000.0,-146000000.0,-188000000.0,-188000000.0,24.36
2016-09-30,2797000000.0,1996000000.0,801000000.0,155000000.0,221000000.0,167000000.0,0.56,421000000.0,221000000.0,299000000.0,1494000000.0,1307000000.0,914000000.0,3928000000.0,4567000000.0,8495000000.0,0.0,2608000000.0,4092000000.0,4363000000.0,6971000000.0,1524000000.0,200000000.0,591000000.0,-140000000.0,-139000000.0,0.0,-89000000.0,38.55
2016-12-31,2894000000.0,2003000000.0,891000000.0,155000000.0,370000000.0,297000000.0,1.0,561000000.0,370000000.0,296000000.0,1716000000.0,1211000000.0,1008000000.0,4140000000.0,4421000000.0,8561000000.0,0.0,2681000000.0,4093000000.0,4357000000.0,7038000000.0,1523000000.0,191000000.0,656000000.0,-96000000.0,-95000000.0,-188000000.0,-324000000.0,38.17
2017-03-31,2674000000.0,1858000000.0,816000000.0,150000000.0,266000000.0,194000000.0,0.66,448000000.0,266000000.0,296000000.0,3026000000.0,1156000000.0,1038000000.0,5460000000.0,4279000000.0,9739000000.0,158000000.0,2789000000.0,5073000000.0,5342000000.0,8131000000.0,1608000000.0,182000000.0,426000000.0,-94000000.0,-103000000.0,-186000000.0,984000000.0,45.93
2017-06-30,2406000000.0,1740000000.0,666000000.0,146000000.0,197000000.0,114000000.0,0.39,373000000.0,197000000.0,296000000.0,2539000000.0,1199000000.0,982000000.0,5041000000.0,4227000000.0,9268000000.0,0.0,2626000000.0,5021000000.0,5278000000.0,7904000000.0,1364000000.0,176000000.0,243000000.0,-104000000.0,-122000000.0,-187000000.0,-617000000.0,38.75
2017-09-30,2632000000.0,1896000000.0,736000000.0,145000000.0,255000000.0,181000000.0,0.62,416000000.0,255000000.0,290000000.0,2285000000.0,1209000000.0,1014000000.0,4824000000.0,4132000000.0,8956000000.0,0.0,2458000000.0,5002000000.0,5256000000.0,7714000000.0,1242000000.0,161000000.0,237000000.0,-124000000.0,-132000000.0,-184000000.0,-363000000.0,33.17
2017-12-31,2914000000.0,2037000000.0,877000000.0,142000000.0,433000000.0,159000000.0,0.55,590000000.0,433000000.0,288000000.0,2556000000.0,1055000000.0,1014000000.0,4910000000.0,3840000000.0,8750000000.0,560000000.0,3113000000.0,4316000000.0,4576000000.0,7689000000.0,1061000000.0,157000000.0,850000000.0,-75000000.0,-78000000.0,-182000000.0,-502000000.0,41.84
2018-03-31,2803000000.0,1956000000.0,847000000.0,135000000.0,441000000.0,381000000.0,1.33,584000000.0,441000000.0,286000000.0,2926000000.0,1076000000.0,1002000000.0,5247000000.0,3765000000.0,9012000000.0,503000000.0,3055000000.0,4319000000.0,4593000000.0,7648000000.0,1364000000.0,143000000.0,558000000.0,-26000000.0,-29000000.0,-179000000.0,-162000000.0,58.52
2018-06-30,2835000000.0,1931000000.0,904000000.0,140000000.0,505000000.0,461000000.0,1.6099999999999999,642000000.0,505000000.0,288000000.0,1853000000.0,1184000000.0,1053000000.0,4310000000.0,5100000000.0,9410000000.0,499000000.0,3190000000.0,4320000000.0,4555000000.0,7745000000.0,1665000000.0,137000000.0,468000000.0,-70000000.0,-1349000000.0,-181000000.0,-184000000.0,56.47
2018-09-30,2991000000.0,2078000000.0,913000000.0,115000000.0,503000000.0,450000000.0,1.57,637000000.0,503000000.0,287000000.0,1942000000.0,1202000000.0,1116000000.0,4523000000.0,5055000000.0,9578000000.0,499000000.0,3175000000.0,4322000000.0,4557000000.0,7732000000.0,1846000000.0,134000000.0,587000000.0,-171000000.0,-176000000.0,-181000000.0,-326000000.0,47.35
2018-12-31,2715000000.0,1921000000.0,794000000.0,120000000.0,416000000.0,384000000.0,1.35,554000000.0,416000000.0,285000000.0,1357000000.0,1058000000.0,1097000000.0,3676000000.0,5113000000.0,8789000000.0,0.0,2300000000.0,4324000000.0,4555000000.0,6855000000.0,1934000000.0,138000000.0,288000000.0,-127000000.0,-54000000.0,-180000000.0,-815000000.0,38.59
2019-03-31,2313000000.0,1712000000.0,601000000.0,110000000.0,236000000.0,195000000.0,0.6900000000000001,371000000.0,236000000.0,281000000.0,1388000000.0,897000000.0,1001000000.0,3487000000.0,5109000000.0,8596000000.0,0.0,2146000000.0,4522000000.0,4761000000.0,6907000000.0,1689000000.0,135000000.0,438000000.0,-123000000.0,-129000000.0,-178000000.0,-276000000.0,47.89
2019-06-30,2371000000.0,1747000000.0,624000000.0,108000000.0,332000000.0,983000000.0,3.5700000000000003,466000000.0,332000000.0,282000000.0,2220000000.0,989000000.0,970000000.0,4363000000.0,4522000000.0,8885000000.0,0.0,2232000000.0,4253000000.0,4491000000.0,6723000000.0,2162000000.0,134000000.0,448000000.0,-37000000.0,1205000000.0,-174000000.0,-795000000.0,47.12
2019-09-30,2578000000.0,1907000000.0,671000000.0,122000000.0,273000000.0,200000000.0,0.75,365000000.0,273000000.0,266000000.0,1784000000.0,1065000000.0,1041000000.0,4031000000.0,4707000000.0,8738000000.0,0.0,2549000000.0,4140000000.0,4419000000.0,6968000000.0,1770000000.0,92000000.0,456000000.0,-147000000.0,-151000000.0,-170000000.0,-765000000.0,53.79
2019-12-31,2696000000.0,1938000000.0,758000000.0,120000000.0,384000000.0,318000000.0,1.21,477000000.0,384000000.0,262000000.0,1744000000.0,1112000000.0,1148000000.0,4152000000.0,4780000000.0,8932000000.0,6000000.0,2700000000.0,4135000000.0,4402000000.0,7102000000.0,1830000000.0,93000000.0,480000000.0,-193000000.0,-234000000.0,-165000000.0,-289000000.0,59.5
2020-03-31,2718000000.0,1972000000.0,746000000.0,119000000.0,376000000.0,320000000.0,1.23,470000000.0,376000000.0,261000000.0,1612000000.0,1160000000.0,1102000000.0,4015000000.0,4814000000.0,8829000000.0,12000000.0,2690000000.0,4091000000.0,4347000000.0,7037000000.0,1792000000.0,94000000.0,390000000.0,-130000000.0,-142000000.0,-170000000.0,-374000000.0,48.8
2020-06-30,2517000000.0,1850000000.0,667000000.0,112000000.0,267000000.0,166000000.0,0.65,367000000.0,267000000.0,262000000.0,1722000000.0,1115000000.0,1142000000.0,4114000000.0,4816000000.0,8930000000.0,19000000.0,2722000000.0,4156000000.0,4421000000.0,7143000000.0,1787000000.0,100000000.0,388000000.0,-114000000.0,-108000000.0,-168000000.0,-177000000.0,48.41
2020-09-30,2314000000.0,1718000000.0,596000000.0,118000000.0,251000000.0,223000000.0,0.87,350000000.0,251000000.0,257000000.0,1664000000.0,866000000.0,1323000000.0,3994000000.0,4868000000.0,8862000000.0,25000000.0,2644000000.0,4138000000.0,4397000000.0,7041000000.0,1821000000.0,99000000.0,297000000.0,-111000000.0,-104000000.0,-167000000.0,-251000000.0,49.27
2020-12-31,2623000000.0,1927000000.0,696000000.0,122000000.0,348000000.0,280000000.0,1.12,444000000.0,348000000.0,249000000.0,1799000000.0,801000000.0,1318000000.0,4081000000.0,4905000000.0,8986000000.0,25000000.0,2621000000.0,5120000000.0,5375000000.0,7996000000.0,990000000.0,96000000.0,473000000.0,-159000000.0,-159000000.0,-167000000.0,-179000000.0,62.16
