,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,695900100.0,434100000.0,261800000.0,134900000.0,127399900.0,81700000.0,0.45,159099900.0,127399900.0,182190000.0,331500000.0,471900000.0,1480900000.0,2471200000.0,5166900000.0,7638100000.0,27600000.0,677900000.0,3277800000.0,4099900000.0,4777800000.0,2860300000.0,31700000.0,167300000.0,-17900000.0,-6600000.0,0.0,-26700000.0,44.24
2013-05-31,673400000.0,417300000.0,256100000.0,185600000.0,70500000.0,52900000.0,0.27,101200000.0,70500000.0,185228000.0,609300000.0,453800000.0,1443800000.0,2723300000.0,6729100000.0,9452400000.0,33300000.0,797200000.0,4817700000.0,5657800000.0,6455000000.0,2997400000.0,30700000.0,3300000.0,-22000000.0,-20000000.0,0.0,295500000.0,53.01
2013-08-31,1459800000.0,882800000.0,577000100.0,244100000.0,1674000000.0,1522000000.0,8.18,3662400000.0,3316000000.0,188297000.0,116800000.0,655900000.0,1643000000.0,2670100000.0,11452700000.0,14122800000.0,115700000.0,1810600000.0,6912700000.0,7801800000.0,9612400000.0,4510400000.0,346400000.0,485700000.0,-27200000.0,-4699400000.0,0.0,3725300000.0,54.25
2013-11-30,1443300000.0,833600000.0,609700100.0,245900000.0,363800000.0,211000000.0,1.13,409200000.0,363800000.0,189169000.0,65200000.0,668800000.0,1824000000.0,2835400000.0,11500900000.0,14336300000.0,67100000.0,1755000000.0,6897000000.0,7791500000.0,9546500000.0,4789800000.0,45400000.0,140100000.0,-36700000.0,-38100000.0,0.0,-155700000.0,70.41
2014-02-28,1291200000.0,742300100.0,548900000.0,219499900.0,329400000.0,157200000.0,0.84,374700000.0,-1312600000.0,188154000.0,63900000.0,626200000.0,1743800000.0,2747200000.0,11554900000.0,14302100000.0,590000000.0,2025700000.0,6373300000.0,7295100000.0,9320800000.0,4981300000.0,45300000.0,197100000.0,-137600000.0,-106300000.0,0.0,-88100000.0,81.03
2014-05-31,1526000000.0,855900000.0,670100000.0,277900000.0,392200000.0,206700000.0,1.09,444300000.0,392200000.0,191573000.0,378000000.0,651300000.0,1781500000.0,3137200000.0,11705200000.0,14842400000.0,614400000.0,2254700000.0,6345600000.0,7300700000.0,9555400000.0,5287000000.0,52100000.0,232300000.0,-131400000.0,-136300000.0,0.0,213100000.0,84.13
2014-08-31,1604100000.0,932100000.0,672000000.0,293300000.0,378700100.0,195800000.0,1.03,435400100.0,378700100.0,192559000.0,104300000.0,656900000.0,1778900000.0,2838100000.0,11819300000.0,14657400000.0,615700000.0,1876300000.0,6323200000.0,7293700000.0,9170000000.0,5487400000.0,56700000.0,435800000.0,-176800000.0,-169900000.0,0.0,-538100000.0,87.09
2014-11-30,1541700000.0,902800000.0,638900000.0,263300000.0,375600000.0,222200000.0,1.16,430400000.0,375600000.0,192972000.0,67300000.0,701300000.0,1927200000.0,3030800000.0,11949700000.0,14980500000.0,137000000.0,1248500000.0,7081500000.0,8097000000.0,9345500000.0,5635000000.0,54800000.0,82000000.0,-233100000.0,-253500000.0,0.0,135500000.0,96.4
2015-02-28,1356200000.0,758599900.0,597599900.0,243900100.0,353700000.0,214600000.0,1.12,404299900.0,353700200.0,192722000.0,110100000.0,598900000.0,1827200000.0,2910800000.0,12182200000.0,15093000000.0,158100000.0,1130700000.0,7086000000.0,8081000000.0,9211700000.0,5881300000.0,50600000.0,330900000.0,-178100000.0,-456200000.0,0.0,173100000.0,114.72
2015-05-31,1631300000.0,894200000.0,737100000.0,309800000.0,427300000.0,238600000.0,1.24,485200000.0,427300000.0,194746000.0,130700000.0,696200000.0,1783700000.0,2979300000.0,12268000000.0,15247300000.0,178500000.0,1120300000.0,7038200000.0,8075100000.0,9195400000.0,6051900000.0,57900000.0,205700000.0,-129700000.0,-131300000.0,-59800000.0,-53400000.0,117.89
